n_ID	s_SKILL_TITLE	s_DESCRIPTION	s_TIP	s_CACULATE
1	Dim Light	เมื่อสวมใส่สามารถเพิ่มโจมตีหนักกายภาพของลูกเรือได้นิดหน่อย	โจมตีหนักกายภาพของลูกเรือ +$ADD_DAMPLUS_PHYSICS	ADD_DAMPLUS_PHYSICS(1)
2	Dusk Light	เมื่อสวมใส่สามารถเพิ่มโจมตีหนักกายภาพของลูกเรือได้เล็กน้อย	โจมตีหนักกายภาพของลูกเรือ +$ADD_DAMPLUS_PHYSICS	ADD_DAMPLUS_PHYSICS(1)
3	Lighting	เมื่อสวมใส่สามารถเพิ่มโจมตีหนักกายภาพของลูกเรือได้ไม่มาก	โจมตีหนักกายภาพของลูกเรือ +$ADD_DAMPLUS_PHYSICS	ADD_DAMPLUS_PHYSICS(1)
4	Blink Light	เมื่อสวมใส่สามารถเพิ่มโจมตีหนักกายภาพของลูกเรือได้ปานกลาง	โจมตีหนักกายภาพของลูกเรือ +$ADD_DAMPLUS_PHYSICS	ADD_DAMPLUS_PHYSICS(1)
5	Dazzling Light	เมื่อสวมใส่สามารถเพิ่มโจมตีหนักกายภาพของลูกเรือได้มาก	โจมตีหนักกายภาพของลูกเรือ +$ADD_DAMPLUS_PHYSICS	ADD_DAMPLUS_PHYSICS(1)
6	Hurt Evil Eye	เมื่อสวมใส่สามารถเพิ่มโจมตีหนักเวทย์ได้นิดหน่อย	โจมตีหนักเวทย์ของลูกเรือ +$ADD_DAMPLUS_MAGIC	ADD_DAMPLUS_MAGIC(1)
7	Vacant Evil Eye	เมื่อสวมใส่สามารถเพิ่มโจมตีหนักเวทย์ได้เล็กน้อย	โจมตีหนักเวทย์ของลูกเรือ +$ADD_DAMPLUS_MAGIC	ADD_DAMPLUS_MAGIC(1)
8	Evil Eye	เมื่อสวมใส่สามารถเพิ่มโจมตีหนักเวทย์ได้ไม่มาก	โจมตีหนักเวทย์ของลูกเรือ +$ADD_DAMPLUS_MAGIC	ADD_DAMPLUS_MAGIC(1)
9	Gaze Evil Eye	เมื่อสวมใส่สามารถเพิ่มโจมตีหนักเวทย์ได้ปานกลาง	โจมตีหนักเวทย์ของลูกเรือ +$ADD_DAMPLUS_MAGIC	ADD_DAMPLUS_MAGIC(1)
10	Sparkle Evil Eye	เมื่อสวมใส่สามารถเพิ่มโจมตีหนักเวทย์ได้มาก	โจมตีหนักเวทย์ของลูกเรือ +$ADD_DAMPLUS_MAGIC	ADD_DAMPLUS_MAGIC(1)
11	Rupture Rock Skin	เมื่อสวมใส่สามารถเพิ่มป้องกันกายภาพได้นิดหน่อย	ป้องกันกายภาพของลูกเรือ +$ADD_AC_PHYSICS	ADD_AC_PHYSICS(1)
12	Inferior Rock Skin	เมื่อสวมใส่สามารถเพิ่มป้องกันกายภาพได้เล็กน้อย	ป้องกันกายภาพของลูกเรือ +$ADD_AC_PHYSICS	ADD_AC_PHYSICS(1)
13	Rock Skin	เมื่อสวมใส่สามารถเพิ่มป้องกันกายภาพได้ไม่มาก	ป้องกันกายภาพของลูกเรือ +$ADD_AC_PHYSICS	ADD_AC_PHYSICS(1)
14	Solid Rock Skin	เมื่อสวมใส่สามารถเพิ่มป้องกันกายภาพได้ปานกลาง	ป้องกันกายภาพของลูกเรือ +$ADD_AC_PHYSICS	ADD_AC_PHYSICS(1)
15	Hard Rock Skin	เมื่อสวมใส่สามารถเพิ่มป้องกันกายภาพได้มาก	ป้องกันกายภาพของลูกเรือ +$ADD_AC_PHYSICS	ADD_AC_PHYSICS(1)
16	Rupture Sparkling Skull	เมื่อสวมใส่สามารถเพิ่มป้องกันเวทย์ได้นิดหน่อย	ป้องกันเวทย์ของลูกเรือ +$ADD_AC_MAGIC	ADD_AC_MAGIC(1)
17	Dim Sparkling Skull	เมื่อสวมใส่สามารถเพิ่มป้องกันเวทย์ได้เล็กน้อย	ป้องกันเวทย์ของลูกเรือ +$ADD_AC_MAGIC	ADD_AC_MAGIC(1)
18	Sparkling Skull	เมื่อสวมใส่สามารถเพิ่มป้องกันเวทย์ได้ไม่มาก	ป้องกันเวทย์ของลูกเรือ +$ADD_AC_MAGIC	ADD_AC_MAGIC(1)
19	Blink Sparkling Skull	เมื่อสวมใส่สามารถเพิ่มป้องกันเวทย์ได้ปานกลาง	ป้องกันเวทย์ของลูกเรือ +$ADD_AC_MAGIC	ADD_AC_MAGIC(1)
20	Dazzling Sparkling Skull	เมื่อสวมใส่สามารถเพิ่มป้องกันเวทย์ได้มาก	ป้องกันเวทย์ของลูกเรือ +$ADD_AC_MAGIC	ADD_AC_MAGIC(1)
21	Fail Greystone Talisman	เมื่อสวมใส่สามารถเพิ่มลดความเสียหายกายภาพได้นิดหน่อย	ลดความเสียหายกายภาพของลูกเรือ +$ADD_ABSORB_PHYSICS	ADD_ABSORB_PHYSICS(1)
22	Fuzzy Greystone Talisman	เมื่อสวมใส่สามารถเพิ่มลดความเสียหายกายภาพได้เล็กน้อย	ลดความเสียหายกายภาพของลูกเรือ +$ADD_ABSORB_PHYSICS	ADD_ABSORB_PHYSICS(1)
23	Greystone Talisman	เมื่อสวมใส่สามารถเพิ่มลดความเสียหายกายภาพได้ไม่มาก	ลดความเสียหายกายภาพของลูกเรือ +$ADD_ABSORB_PHYSICS	ADD_ABSORB_PHYSICS(1)
24	Clear Greystone Talisman	เมื่อสวมใส่สามารถเพิ่มลดความเสียหายกายภาพได้ปานกลาง	ลดความเสียหายกายภาพของลูกเรือ +$ADD_ABSORB_PHYSICS	ADD_ABSORB_PHYSICS(1)
25	Potent Greystone Talisman	เมื่อสวมใส่สามารถเพิ่มลดความเสียหายกายภาพได้มาก	ลดความเสียหายกายภาพของลูกเรือ +$ADD_ABSORB_PHYSICS	ADD_ABSORB_PHYSICS(1)
26	Rupture Dragon Bone Necklace	เมื่อสวมใส่สามารถเพิ่มลดความเสียหายเวทย์ได้นิดหน่อย	ลดความเสียหายเวทย์ของลูกเรือ +$ADD_ABSORB_MAGIC	ADD_ABSORB_MAGIC(1)
27	Defect Dragon Bone Necklace	เมื่อสวมใส่สามารถเพิ่มลดความเสียหายเวทย์ได้เล็กน้อย	ลดความเสียหายเวทย์ของลูกเรือ +$ADD_ABSORB_MAGIC	ADD_ABSORB_MAGIC(1)
28	Dragon Bone Necklace	เมื่อสวมใส่สามารถเพิ่มลดความเสียหายเวทย์ได้ไม่มาก	ลดความเสียหายเวทย์ของลูกเรือ +$ADD_ABSORB_MAGIC	ADD_ABSORB_MAGIC(1)
29	Hard Dragon Bone Necklace	เมื่อสวมใส่สามารถเพิ่มลดความเสียหายเวทย์ได้ปานกลาง	ลดความเสียหายเวทย์ของลูกเรือ +$ADD_ABSORB_MAGIC	ADD_ABSORB_MAGIC(1)
30	Perfect Dragon Bone Necklace	เมื่อสวมใส่สามารถเพิ่มลดความเสียหายเวทย์ได้มาก	ลดความเสียหายเวทย์ของลูกเรือ +$ADD_ABSORB_MAGIC	ADD_ABSORB_MAGIC(1)
31	Stupid Gold Tiger Claw	เมื่อสวมใส่สามารถเพิ่มกายภาพทะลุเกราะของลูกเรือได้นิดหน่อย	กายภาพทะลุเกราะของลูกเรือ +$ADD_PENETRATE_PHYSICS	ADD_PENETRATE_PHYSICS(1)
32	Cub Gold Tiger Claw	เมื่อสวมใส่สามารถเพิ่มกายภาพทะลุเกราะของลูกเรือได้เล็กน้อย	กายภาพทะลุเกราะของลูกเรือ +$ADD_PENETRATE_PHYSICS	ADD_PENETRATE_PHYSICS(1)
33	Gold Tiger Claw	เมื่อสวมใส่สามารถเพิ่มกายภาพทะลุเกราะของลูกเรือได้ไม่มาก	กายภาพทะลุเกราะของลูกเรือ +$ADD_PENETRATE_PHYSICS	ADD_PENETRATE_PHYSICS(1)
34	Ripe Gold Tiger Claw	เมื่อสวมใส่สามารถเพิ่มกายภาพทะลุเกราะของลูกเรือได้ปานกลาง	กายภาพทะลุเกราะของลูกเรือ +$ADD_PENETRATE_PHYSICS	ADD_PENETRATE_PHYSICS(1)
35	Sharp Gold Tiger Claw	เมื่อสวมใส่สามารถเพิ่มกายภาพทะลุเกราะของลูกเรือได้มาก	กายภาพทะลุเกราะของลูกเรือ +$ADD_PENETRATE_PHYSICS	ADD_PENETRATE_PHYSICS(1)
36	Stupid Guide Pin	เมื่อสวมใส่สามารถเพิ่มเวทย์ทะลุเกราะของลูกเรือได้นิดหน่อย	เวทย์ทะลุเกราะของลูกเรือ +$ADD_PENETRATE_MAGIC	ADD_PENETRATE_MAGIC(1)
37	Defect Guide Pin	เมื่อสวมใส่สามารถเพิ่มเวทย์ทะลุเกราะของลูกเรือได้เล็กน้อย	เวทย์ทะลุเกราะของลูกเรือ +$ADD_PENETRATE_MAGIC	ADD_PENETRATE_MAGIC(1)
38	Guide Pin	เมื่อสวมใส่สามารถเพิ่มเวทย์ทะลุเกราะของลูกเรือได้ไม่มาก		ADD_PENETRATE_MAGIC(1)
39	Part Time Guide Pin	เมื่อสวมใส่สามารถเพิ่มเวทย์ทะลุเกราะของลูกเรือได้ปานกลาง	เวทย์ทะลุเกราะของลูกเรือ +$ADD_PENETRATE_MAGIC	ADD_PENETRATE_MAGIC(1)
40	Perfect Guide Pin	เมื่อสวมใส่สามารถเพิ่มเวทย์ทะลุเกราะของลูกเรือได้มาก	เวทย์ทะลุเกราะของลูกเรือ +$ADD_PENETRATE_MAGIC	ADD_PENETRATE_MAGIC(1)
41	Rift Crystal	เมื่อสวมใส่สามารถเพิ่มอัตราต้านมึนงงได้นิดหน่อย	อัตราต้านมึนงงของลูกเรือ +$ADD_ANTI_STUN	ADD_ANTI_STUN(2)
42	Dim Crystal	เมื่อสวมใส่สามารถเพิ่มอัตราต้านมึนงงได้เล็กน้อย	อัตราต้านมึนงงของลูกเรือ +$ADD_ANTI_STUN	ADD_ANTI_STUN(2)
43	Crystal	เมื่อสวมใส่สามารถเพิ่มอัตราต้านมึนงงได้ไม่มาก	อัตราต้านมึนงงของลูกเรือ +$ADD_ANTI_STUN	ADD_ANTI_STUN(2)
44	Clear Crystal	เมื่อสวมใส่สามารถเพิ่มอัตราต้านมึนงงได้ปานกลาง	อัตราต้านมึนงงของลูกเรือ +$ADD_ANTI_STUN	ADD_ANTI_STUN(2)
45	Bright Crystal	เมื่อสวมใส่สามารถเพิ่มอัตราต้านมึนงงได้มาก	อัตราต้านมึนงงของลูกเรือ +$ADD_ANTI_STUN	ADD_ANTI_STUN(2)
46	Calm Ghost Hammer	เมื่อสวมใส่สามารถเพิ่มอัตรามึนงงในสกิลโจมตีแฝงมึนงง	อัตราเกิดมึนงงของลูกเรือ +$ADD_STUN	ADD_STUN(2)
47	Quiver Ghost Hammer	เมื่อสวมใส่สามารถเพิ่มอัตรามึนงงในสกิลโจมตีแฝงมึนงง	อัตราเกิดมึนงงของลูกเรือ +$ADD_STUN	ADD_STUN(2)
48	Ghost Hammer	เมื่อสวมใส่สามารถเพิ่มอัตรามึนงงในสกิลโจมตีแฝงมึนงงได้ไม่มาก	อัตราเกิดมึนงงของลูกเรือ +$ADD_STUN	ADD_STUN(2)
49	Lament Ghost Hammer	เมื่อสวมใส่สามารถเพิ่มอัตรามึนงงในสกิลโจมตีแฝงมึนงง	อัตราเกิดมึนงงของลูกเรือ +$ADD_STUN	ADD_STUN(2)
50	Tyrannical Ghost Hammer	เมื่อสวมใส่สามารถเพิ่มอัตรามึนงงในสกิลโจมตีแฝงมึนงง	อัตราเกิดมึนงงของลูกเรือ +$ADD_STUN	ADD_STUN(2)
51	Meager Prayer	เมื่อสวมใส่สามารถเพิ่มอัตราต้านคำสาปได้นิดหน่อย	อัตราต้านคำสาปของลูกเรือ +$ADD_ANTI_CURSE	ADD_ANTI_CURSE(2)
52	One Way Prayer	เมื่อสวมใส่สามารถเพิ่มอัตราต้านคำสาปได้เล็กน้อย	อัตราต้านคำสาปของลูกเรือ +$ADD_ANTI_CURSE	ADD_ANTI_CURSE(2)
53	Prayer	เมื่อสวมใส่สามารถเพิ่มอัตราต้านคำสาปได้ไม่มาก	อัตราต้านคำสาปของลูกเรือ +$ADD_ANTI_CURSE	ADD_ANTI_CURSE(2)
54	Number Prayer	เมื่อสวมใส่สามารถเพิ่มอัตราต้านคำสาปได้ปานกลาง	อัตราต้านคำสาปของลูกเรือ +$ADD_ANTI_CURSE	ADD_ANTI_CURSE(2)
55	Abundant Prayer	เมื่อสวมใส่สามารถเพิ่มอัตราต้านคำสาปได้มาก	อัตราต้านคำสาปของลูกเรือ +$ADD_ANTI_CURSE	ADD_ANTI_CURSE(2)
