n_ID	s_NAME
1	Commercial Pier
2	Military Pier
3	Navy Headquarter
4	Business Zone
5	Top Grade Residential
6	Royal Plaza
7	Shipyard
8	Guard Encampment
9	Battleship
10	South Seaside
11	East Seaside
12	North Seaside
13	Exile Encampment
14	Seaside
15	Chamber Encampment
16	Green Corridor
17	Weird Forest
18	Ancient Remain
19	Selling Market
20	Slave Fighting Field
21	Barren Alley
22	Miasma Swamp
23	Blackwater Pool
24	Evil Town
25	Sea Snake Fortress
26	Foothill Zone
27	Cannon Position
28	Old Logging Field
29	Clash Zone
30	Karst Cave Entrance
31	Treasure Cave
32	Acute Corridor
33	Treasury Restricted Zone
34	Dragon Ramp
35	Navy Station
36	Tribe Mass Graves
37	Voodoo Tribe
38	Dead Wood
39	Ancient Remain
40	Silver Town
41	Frozen Dragon
42	Silver Peak
43	Broken Floating Ice
44	Frozen Alley
45	Outside Wasteland
46	Ghost Town
47	Coastal Reef group
48	Monster Bones
49	Giant Catapult Tower
50	Crystal Narrow Road
51	Crater Temple
52	Lava Highland
53	Southwest Waterfront
54	Monster Plain
55	Eden Prairie
56	Abandoned Village
57	Ark Wreckage
58	Eden Village
59	Floating Rock Island
60	Hijack  Factory
61	Airship Pier
62	Drake Battle Fort
63	Wasteland
64	Airship Pier
65	Central Tower
66	North Plaza
67	South Plaza
68	Arsenal
69	Research Center Ruin
266	Atlantic Ocean-Rising Sun Sea
267	Atlantic Ocean-Dark Fog Sea
268	Outer space Ocean-Taboo Sea
269	Outer space Ocean-Pale Silver Sea
270	Bermuda Sea
271	Norayana Airspace
