n_ID	s_SKILL_TITLE	s_DESCRIPTION	s_TIP	s_DETAIL	s_CACULATE
9	Portside Gun	ปืนใหญ่ด้านซ้ายของเรือ	ปืนใหญ่ด้านซ้ายของเรือ		
14	Javelin	ยิงJavelinจากหน้าเรือ	ยิงJavelinจากหน้าเรือ		
15	Starboard gun	ปืนใหญ่ด้านขวาของเรือ	ปืนใหญ่ด้านขวาของเรือ		
89	Wound Healing	เมื่อท่านโดนโจมตีครั้งแรกยังพอรักษาได้ แต่ถ้าโดนอีกครั้งจะตายทันที			
99	Normal Attack	จะต้องใส่ลงในช่องคีห์ลัด\n\nใช้พร้อมกับอาวุธในมือ	จะต้องใส่ลงในช่องคีห์ลัด\n\nใช้พร้อมกับอาวุธในมือ\n		
110	Strive Jump	กระโดดไกล ถ้ากระโดดจากที่สูงสามารถเหาะได้และสามารถบังคับทิศทางได้	กระโดดไกล ถ้ากระโดดจากที่สูงสามารถเหาะได้และสามารถบังคับทิศทางได้		
111	VIP Strive Jump	ใช้กระโดด VIP กระโดดไปกลางอากาศ กด (spacebar) เริ่มบิน หากท่านช่ำชองเรื่องทิศทาง นี่เป็นการเคลื่อนที่ที่เร็วที่สุด	ใช้กระโดด VIP กระโดดไปกลางอากาศ กด (spacebar) เริ่มบิน หากท่านช่ำชองเรื่องทิศทาง นี่เป็นการเคลื่อนที่ที่เร็วที่สุด		
278	Martial Attack	โจมตีด้วยมือเปล่า	โจมตีด้วยมือเปล่า		
279	Martial Attack	โจมตีด้วยมือเปล่า	โจมตีด้วยมือเปล่า		
280	Duble Blade Strike	โจมตีด้วยดาบคู่	โจมตีด้วยดาบคู่		
282	Duble Spear Strike	โจมตีด้วยปืนคู่	โจมตีด้วยปืนคู่		
284	Hammer Strike	โจมตีด้วยค้อนมือเดียว	โจมตีด้วยค้อนมือเดียว		
286	Stafe Strike	โจมตีด้วยไม้เท้า	โจมตีด้วยไม้เท้า		
288	Magma Strike	โจมตีด้วยแมกม่า	โจมตีด้วยแมกม่า		
298	Soul Gather	ได้รับผลจาก Soul Gather เป็นเวลา 30 วินาที เมื่อมีผลของ Soul Gathe rแล้วจึงจะทำการดูดซับพลังได้ สามารถยกเลิก Soul Gather ได้ ฟื้นฟูค่ากำลัง 20 แต้ม	ได้รับผลจาก Soul Gather เป็นเวลา 30 วินาที เมื่อมีผลของ Soul Gathe rแล้วจึงจะทำการดูดซับพลังได้ สามารถยกเลิก Soul Gather ได้ ฟื้นฟูค่ากำลัง 20 แต้ม		
299	Recovery Focus	ใช้ผลของ Soul Gather 1 ชั้น เพิ่มค่ากำลัง 10 แต้ม	ใช้ผลของSoul Gather 1 ชั้น เพิ่มค่ากำลัง 10 แต้ม		
510	Ship Repairing Lv.1				
511	Ship Repairing Lv.2				
512	Ship Repairing Lv.3				
513	Ship Repairing Lv.4				
520	Basic Breechloader[Left] 	\nยิงระเบิดจากทางซ้ายของเรือ 1 ลูก แต่ละลูกทำให้เกิดความเสียหาย 250 แต้ม\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship	\nnยิงระเบิดจากทางซ้ายของเรือ 1 ลูก แต่ละลูกทำให้เกิดความเสียหาย 250 แต้ม\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship		
521	Simple Ejector	\nเมื่อสวมใส่สามารถยิง Javelin ได้ ทำให้ศัตรูได้รับความเสียหาย 60 แต้ม\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship	\nเมื่อสวมใส่สามารถยิง Javelin ได้ ทำให้ศัตรูได้รับความเสียหาย 60 แต้ม\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship		
522	Basic Breechloader[Right] 	\nยิงปืนจากกราบเรือขวาได้ 1 นัด แต่ละนัดทำให้ศัตรูได้รับความเสียหาย 250 แต้ม\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship	\nยิงปืนจากกราบเรือขวาได้ 1 นัด แต่ละนัดทำให้ศัตรูได้รับความเสียหาย 250 แต้ม\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship		
523	Hunter Breechloader[Left] 	\nยิงปืนจากกราบเรือซ้ายได้ 3 นัด แต่ละนัดทำให้ศัตรูได้รับความเสียหาย 175 แต้ม\n\nเหมาะกับ: Bermuda Ship, Main Warship	\nยิงปืนจากกราบเรือซ้ายได้ 3 นัด แต่ละนัดทำให้ศัตรูได้รับความเสียหาย 175 แต้ม\n\nเหมาะกับ: Bermuda Ship, Main Warship		
