n_ID	s_NAME
1	Admiral
2	Sailor Suit
3	Pirate Attire
4	Knight Soldier
5	Royal Noble
6	Silver Magic Fox
11	Splendid Yuppie
12	Sentimental Scout
13	Impossible Blue Sky
14	Royal Officer
15	Heaven Feather
16	Strong Sun Of Magic
51	Prisoner
52	Freedom
101	Wilderness Passing
102	Instructor
103	War Machine
104	Abyss Armor
105	God Fire
201	Red Flame Armor
202	Curse Of Graveyard
203	Ice Beast Tooth
301	Punch Squad
302	Round Red Day
303	Odd Alchemist
304	Night Wizard
305	Elegant England
501	New World Emissary
502	Heaven Beast Armor
503	Guard
504	Indigo Guard
505	Glory Army Of Light
701	Flying Eagle
702	Soul Tutor
703	Fury Wild Tiger
704	Heavy Armor Priest
705	Dark Element
706	淡星夜露
801	Dream Of Seal
802	Purgatory Of Flower
901	Sakura Millennium
902	Cupid
903	Bard Poet
904	Flame Cross
905	Blue Wind
951	Star Dew
952	Voodoo Priest
953	Burst Method
954	Concentration Walker
955	Water Light Monk
956	Silver Knight Army
957	Guard Phantom
958	Red Dance Feather
959	Swimming Singer
960	Hunting Devil Horn
961	Fire Warsong
962	Sacrifice Of Hand
963	Yellow Ghost Witch
964	聖鎧騎士
965	凡赫辛
966	刺客教袍
967	神槍牛仔
968	神槍警長
969	海賊輓歌
970	Da Vinci Suit
971	Silva Suit
1001	Dante Suit
1002	Purgatory Queen
1004	morgan Suit
1005	Sephiroth Suit
1006	Fiona Suit
1007	Adventure Duke Suit
1008	Siren Suit
1010	Laura Suit
1011	Dark Armor Knight Suit
1012	Beautiful Armor Knight Suit
1013	Skeleton  Captain Suit
1014	Law Execution Suit
1015	Sails Fighter Suit
1016	CS
1017	Pink Beauty
1018	Rose Burial
1019	Whelp Division Suit
1020	Traditional Garments (Men)
1021	Traditional Garments (Women)
1022	Law Execution Suit
1023	Remain Intruder Suit
1024	Sails Fighter Suit
1025	Leaving Dragon Assassin Suit
1031	Getaway
1032	Pink Girl
1033	Purple Wave 
1034	Pure Lily 
1051	Warm Suit
1052	Pretty Suit
1053	Romantic Lover
1054	Pink Beauty
1101	Nasca Suit
1102	Whelp Division Suit
1103	God Wing Suit
1104	Sacred Feather Suit
1105	Law Execution Suit
1106	Remain Intruder Suit
1107	Sails Fighter Suit
1108	Leaving Dragon Assassin Suit
1109	2014_12_1_M
1110	2014_12_1_F
1111	2014_12_2_M
1112	2014_12_2_F
1113	2015_1_1_M
1114	2015_1_1_F
1115	2015_1_2_M
1116	2015_1_2_F
1117	暖冬少女
1118	刺客教袍
1119	亞馬遜
1120	聖鎧騎士
1121	女僕的絕對領域
1122	海賊輓歌
2501	Masked Trick
2502	Flying Fantasy
2503	World Type
2504	Survivor
2505	Mystery Goggles
2506	Rabbit Bag
2601	Event Reward
2602	TGS2014
2603	DMM神火
2995	測試用
2996	測試用
2997	測試用
2998	測試用
2999	Test
3001	Revive
3002	Blue Sky Certificate
3501	Seven Seas Elite 
3502	Natural Cure
3503	Festival Crossdressing
4001	Land Of Exile
4002	Greenwood Crisis
4003	Blooming
4004	Violent Ascribe
4005	Evil Character
4006	Poseidon Toxic
4007	Strange Frontier
4008	Exaggerate
4009	Silver Talasite
4010	Partial Blue Sea
4011	Dead Wind
4012	Deep Sea Fine
4013	Hell Anger
4014	Abyss Fear
4015	Lost Sky Wing
4016	Edan Deep
4017	Airspace Cold
4501	Cold Blood Kill
4502	Enthusiasm Sword
4503	Monarch Water
4504	Travel Eye
4801	Mist God
4851	Cute Bunny
4901	Event Reward
4902	Event Reward
4999	測試用
5001	Road Of Thousand Mile
5501	Exotic Beast 
5901	Event Reward
5902	OB獎勵
5999	測試用
6001	Travel Fantasy
6002	元素精靈
6999	測試用
