n_ID	s_TIP_SUBJECT	s_TIP_WORDS
1	สอบถามใหม่อีกครั้ง	กรุณาอัพเดทรายชื่อ
2	สอบถามใหม่อีกครั้ง	กรุณาอัพเดทรายชื่อ
3	สอบถามใหม่อีกครั้ง	กรุณาอัพเดทรายชื่อ
4	ปุ่มเพิ่มจำนวนคุกกี้	เพิ่มจำนวนตีบวก: ใช้ Token เล็กน้อย สามารถเพิ่มอัตราสำเร็จ 0.50%~5.00%
5	ระดับกิลด์	ระดับสมาชิกที่อยู่ในกิลด์
6	ระดับอาชีพ	อาชีพสมาชิกที่อยู่ในกิลด์
7	เข้าสู่ระบบครั้งที่แล้ว	เวลาเข้าสู่ระบบครั้งที่แล้วของตัวละคร
8	ข้อความฝาก	แสดง*เมื่อมีข้อความฝากใหม่
9	จำนวนสมาชิกกิลด์	จำนวนสมาชิกในกิลด์
10	จำนวนสมาชิกกิลด์สูงสุด	จำนวนสมาชิกกิลด์สูงสุด
11	ชื่อกิลด์	ในชื่อไม่สามารถมีอักษรพิเศษ\nจำนวนสูงสุด 8 ตัวอักษร
12	ค่าแนะนำ	เมื่อลูกเรือถูกจ้างแล้ว จะต้องให้ค่าแนะนำกับเถ้าแก่ร้านเหล้า หากลูกเรือไม่ถูกจ้าง ค่าแนะนำก็จะถูกส่งกลับคืน
13	ค่าเครื่องดื่ม	สามารถพบลูกเรือได้ที่ร้านเหล้า จะต้องเสียค่าเครื่องดื่มเล็กน้อย หากลูกเรือถูกคนจ้าง ค่าเครื่องดื่นจะถูกหักไปพร้อมกับค่าแนะนำ ค่าใช้จ่ายเหล่านี้จะได้รับคืนทั้งหมด
14		ดูบันทึกกิลด์ เช่นความจุคลังกิลด์, การจัดเรียงสมาชิกและเงินทุนกิลด์เป็นต้น
15	ปุ่มออกจากดันเจี้ยน	กดปุ่มนี้ในดันเจี้ยน จะออกจากดันเจี้ยนทันที หากออกจากดันเจี้ยนในวิธีนี้จะไม่สามารถได้รับรางวัลใดๆ ได้
16		เลือกจำนวนทุน
17		จำนวนการบริจาคของกิลด์ในปัจจุบัน
18		เลเวลสกิลปัจจุบัน
19		เปิดใช้เมื่อเลเวลกิลด์ถึง $V1 
20		จำนวนแต้มของแต่ละคนที่ต้องการในการเปิดใช้สกิล
21		การซื้อไอเทมให้ย้ายไอเทมที่อยู่ด้านซ้ายมาใส่ในช่องซื้อด้านบน การขายไอเทมให้ย้ายไอเทมลงมาช่องขายที่อยู่ด้านล่าง
22		คลิกเปลี่ยนชื่ออาชีพที่ตั้งเอง (สำหรับChairmanเท่านั้น)
23		เลเวลสกิลที่ใช้ในปัจจุบัน
24		เลเวลสกิลของกิลด์ที่ใช้ในปัจจุบัน
25		พลังของสกิลเลเวลต่างๆที่สามารถเพิ่มพลังได้
26		ไข่สัตว์ขี่ เข้าร่วมกิลด์และทำตามเงื่อนไขจะได้รับไข่ที่ฟักออกมาเป็นสัตว์ขี่ ประเภทสัตว์ขี่ขึ้นอยู่กับกิลด์กำหนด
27		เลือกข้อมูลย้อมสีเครื่องสวมใส่ที่ต้องการลบ!
28	ค่าธรรมเนียม	เมื่อขายไอเทม จะหักค่าธรรมเนียมในราคาขาย
29	ค่าคุ้มครอง	เมื่อวางขายไอเทม จะเก็บค่าคุ้มครองนี้ก่อน, ค่าคุ้มครองจะคิดตามเวลาการฝากขาย เมื่อขายไอเทมแล้วจะคืนเงินในส่วนนี้
30	ค่านายหน้าในการแลกเปลี่ยน Token	ค่านายหน้า: \nเมื่อยืนยันแล้ว จะเก็บค่านายหน้านี้ก่อน 5%(อย่างน้อย 1 Token) ไม่ว่าจะขายออกหรือยกเลิกการขาย เงินส่วนนี้จะไม่ได้คืน
31		จัดเรียงใหม่
32	กฏเกณฑ์กิลด์	เลือกประกาศกิลด์แล้ว คลิกยกเลิกการประกาศเพื่อลบการประกาศ
33	บัตรคะแนนสองเท่า	เพิ่มคะแนนกำจัดเป็น 2 เท่า เป็นเวลา 30 วินาที
