n_ID	s_NAME
101	ใช้พลังฟื้นฟูค่าเวทย์
102	ใช้พลังฟื้นฟูค่าเวทย์
103	ใช้พลังฟื้นฟูค่าเวทย์
104	ใช้พลังฟื้นฟูค่าเวทย์
105	ใช้พลังโจมตีกายภาพ
106	ใช้พลังโจมตีกายภาพ
107	ใช้พลังโจมตีกายภาพ
108	ใช้พลังโจมตีกายภาพ
109	ใช้พลังฟื้นฟูพลังชีวิต
110	ใช้พลังฟื้นฟูพลังชีวิต
111	ใช้พลังฟื้นฟูพลังชีวิต
112	ใช้พลังฟื้นฟูพลังชีวิต
113	ใช้พลังโจมตีเวทย์
114	ใช้พลังโจมตีเวทย์
115	ใช้พลังโจมตีเวทย์
116	ใช้พลังโจมตีเวทย์
117	ใช้พลังรักษา
118	ใช้พลังรักษา
119	ใช้พลังรักษา
120	ใช้พลังรักษา
121	ใช้พลังฟื้นฟูค่าเวทย์
122	ใช้พลังฟื้นฟูค่าเวทย์
123	ใช้พลังฟื้นฟูค่าเวทย์
124	ใช้พลังฟื้นฟูค่าเวทย์
127	ใช้พลังโจมตีหนัก 100%
128	ใช้พลังโจมตีหนัก 160%
129	ใช้พลังฟื้นฟูค่าเวทย์
130	ใช้พลังฟื้นฟูค่าเวทย์
131	ใช้พลังฟื้นฟูค่าเวทย์
132	ใช้พลังฟื้นฟูค่าเวทย์
278	Solar Vigor
5110	White Beard Pipe
5114	Exorcise Bell
5115	Imprisonment Of Light
5116	Exorcise Whip
5117	Luminous Fruit
7181	Medical Injection
10500	Red Chain
10506	Glory Shooting
10507	Light Bubble
10512	Flower Thunder
40021	Fighting Vitality
40270	Filthy Trick
42150	Power Armor
42160	Lightning Mastery
42188	Electrostatic Wound
42191	Ice Wound
43131	Soul Fire
43133	Soul Fire
43141	Soul Ice
43143	Soul Ice
43151	Soul Electric
43153	Soul Electric
44103	Dedicate
44104	Dedicate
44161	Blazing Armor
