n_ID	s_UI_WORDS
1	ยืนยัน
2	ยกเลิก
3	ส่ง
4	ปิด
5	รับ
6	ปฏิเสธ
7	เพิ่ม
8	ลบ
9	HP
10	MP
11	EXP 
12	$V1 
13	0
14	ค่าเอกลักษณ์อาชีพ 1
15	ค่าเอกลักษณ์อาชีพ 2
16	ค่าเอกลักษณ์อาชีพ 3
17	ค่าเอกลักษณ์อาชีพ 4
18	ค่าเอกลักษณ์อาชีพ 5
19	ค่าเอกลักษณ์อาชีพ 6
22	> 
23	ต้องการใช้คุกกี้ชำระเงินหรือไม่ ?
24	ชั่วโมง
25	ลบ
26	%
27	ใส่ชื่อเป้าหมาย: 
28	/
29	~
30	+
31	S
32	-
33	: 
34	．
35	เลเวลที่ต้องการ: 
36	สกิลที่ต้องการ: 
37	LV.
38	ใช้
39	คืนค่าเริ่มต้น
40	ไม่ต้องแสดงอีก
41	ท่าทางนี้ จะถูกหัก 1 คุกกี้ ต้องการใช้หรือไม่ ?
42	→
43	ถัดไป
44	ก่อนหน้า
45	การเชิญล้มเหลว! ฝ่ายตรงข้ามปฏิเสธ! 
46	เปิด
47	 $V1 /$V2/$V3
48	 $V1 :$V2:$V3
49	Pirate Force
50	【
51	】
101	มุมมองผู้เล่น
102	ติดตาม
103	เชิญร่วมทีม
104	เชิญร่วมกิลด์
105	เพิ่มเพื่อน
106	เพิ่มลงบัญชีดำ
107	กระซิบ
108	ซื้อขาย
109	รายงาน
110	(ล็อค-เรียบร้อย)
111	แลกเปลี่ยนซื้อขาย
112	เตือน! ฝ่ายตรงข้ามทำการแก้ไขข้อมูลการซื้อขาย! 
113	ล็อค
114	ใส่จำนวน
115	【 $V1 】 ต้องการซื้อขายกับท่าน ดำเนินการหรือไม่ ?
116	 $V1 /$V2
117	ประเมิน
118	กำจัดมอนสเตอร์
119	เวลาที่ใช้ไป
120	คะแนนรวม
121	ออกดันเจี้ยนทันที
122	อาชีพ
123	รูปร่าง
124	ทรงผม
125	ใบหน้า
126	ลักษณะ
127	กรุณาใส่ชื่อตัวละคร (ห้ามเกิน 10 ตัวอักษร)
128	●การสร้างตัวละครภายใน 2 ชั่วโมงแรก สามารถลบตัวละครได้ทันที หากเกิน 2 ชั่วโมงไปแล้ว จะต้องรอให้ครบ 72 ชั่วโมงก่อน จึงจะลบตัวละครได้!
129	ลักษณะใบหน้า
130	ลักษณะร่างกาย
131	เพศ
132	เป้าหมายฝ่ายเพื่อน
133	เป้าหมายฝ่ายศัตรู
134	คัดลอกชื่อ
135	ดูสกิล
136	ดูการดรอป
137	【 $V1 】 เชิญท่านเข้าร่วมทีม ต้องการเข้าร่วมหรือไม่ ?
138	เงื่อนไขสร้างกิลด์: \n1. หัวหน้าทีมต้องมีเลเวล $V1 \n2.ต้องใช้ Gold $V2 G\n※แนะนำ: \nเมื่อสร้างกิลด์เสร็จ ภายใน 7 วัน หากมีสมาชิกต่ำกว่า 10 คน กิลด์จะถูกยุบทันที
139	ใส่ชื่อกิลด์: 
140	ถัดไป
141	เลเวลกิลด์: 
142	ต้องการลบ 【 $V1 】 หรือไม่? \n(หากลบแล้วจะไม่สามารถนำไอเทมกลับมาอีกได้)
143	แสดงรูปลักษณ์
144	รายชื่อสมาชิก
145	พลังกิลด์
146	ต้องการสร้างกิลด์ $V1 หรือไม่?\n※แนะนำ: \nเมื่อสร้างกิลด์เสร็จ ภายใน 7 วัน หากมีสมาชิกต่ำกว่า 10 คน กิลด์จะถูกยุบทันที
147	เลือกสัตว์ขี่ตัวแรกของกิลด์
148	ต้องการลบประกาศกิลด์หรือไม่?
149	คลังกิลด์
150	*
151	เลเวลเครื่องสวมใส่ที่ฝังประดับได้: 
152	ใส่ชื่อผู้เล่นที่ต้องการเชิญ: 
153	ท่านมีกิลด์แล้วหรือยัง?\nถ้าเข้าร่วมกิลด์ ก็จะได้รับพลังกิลด์และได้เข้าร่วมกิจกรรมกิลด์อีกด้วย ! 
154	ชื่อสมาชิก
155	ต้องการยุบกิลด์หรือไม่?\nหลังจากยุบกิลด์แล้ว คลังกิลด์จะถูกลบและเรียกสัตว์ขี่กิลด์กลับคืน\nฉะนั้นกรุณาตรวจสอบไอเทมที่สำคัญก่อนทำการยุบกิลด์! 
156	ทั่วไป
157	เช่า
158	ภารกิจ
159	ทีม
160	ตั้งค่าเรียงลำดับ
161	จัดการใหม่
162	G-Coins:
163	S-Coins: 
164	 EXP: X\n เลือกอัตรา EXP ตามที่ต้องการ: \nแนะนำ: ค่า EXP ที่บริจาคให้กิลด์ จะถูกเปลี่ยนเป็นค่าความดีกลับคืน
165	วิธีการเลือก EXP มีดังนี้: \n EXP  รวมทั้งหมด: X\nส่วนตัว: $V1 \n กิลด์: $V2\n กิลด์ได้รับเพิ่ม: $V3
166	เริ่ม
167	ต้องการตั้งค่าแต้มสกิล?\nแนะนำ: หลังจากตั้งค่าแต้มสกิลเสร็จ ต้องรออีก 1 สัปดาห์ถึงจะตั้งค่าใหม่ได้
168	ตั้งค่าใหม่ทั้งหมด
169	ตั้งค่าเลเวล
170	ใส่ชื่อผู้เล่นหรือเลือกชื่อเพื่อน
171	ต้องการลบ 「$V1」 ?
172	เครื่องสวมใส่
173	 $V1  ต้องการเป็นเพื่อนกับท่าน ยอมรับหรือไม่?
174	คุกกี้: $V1 
175	Token: $V1 
176	ของใช้
177	อื่นๆ
178	กระเป๋า
179	เพื่อน
180	บัญชีดำ
181	จดหมาย
182	บันทึกส่วนตัว
183	สามารถใส่สถานะได้ที่นี่ (ความยาวไม่เกิน 30 ตัวอักษร)
184	ต้องการลบ 「$V1」 ออกจากบัญชีดำ?
185	Re: 
186	ต้องการลบจดหมายฉบับนี้?
187	ลบ
188	เพื่อนร่วมทาง
189	เพื่อน
190	จับคู่ทันที
191	จดหมายขวดแก้ว
192	เพิ่ม
193	รายการจดหมาย
194	ผู้ส่ง: $V1 
195	หัวข้อ: 
196	วันที่: $V1 
197	เขียนใหม่
198	ผู้รับ: 
199	กรุณาใส่เนื้อหา (ความยาวไม่เกิน 500 ตัวอักษร)
200	สังคม
201	รายการสกิล
202	แสดงสกิลทั้งหมด
203	แสดงเพียงสกิลแอคทีฟ
204	แสดงเพียงสกิลพาสซีฟ
205	เลเวล: 
206	เงื่อนไขอัพสกิล
207	อธิบายสกิล: 
208	เงื่อนไขอัพสกิล: 
209	ลดแต้มสกิล: 
210	อัพแต้มสกิล: 
211	แต้มสกิลมีอยู่: 
212	เลเวลตัวละคร
213	แต้มสกิล
214	ลดสมาธิ
215	ออฟไลน์
216	แสดงทั้งหมด
217	โปรดแจ้งเตือน ถ้ายังไม่ได้แก้ไขสถานะส่วนตัว! 
218	ลบ
219	กรุณาใส่หัวข้อ (ไม่เกิน 18 ตัวอักษร)
220	เพิ่มบัญชีดำ
221	ผู้ส่ง/หัวข้อ
222	วันที่
223	เนื้อหา
224	ตีบวกเครื่องสวมใส่
225	ต้องการลบสินค้าในรถเข็นทั้งหมด?
226	ไอเทมส่งมอบจากระบบ
227	ขายแล้ว
228	เตรียมขายเร็วๆนี้
229	เป้าหมายตีบวก
230	หินตีบวก
231	ไอเทมป้องกันคริติคอล
232	อัตราความสำเร็จ: 
233	ค่าใช้จ่าย: 
234	ตีบวก
235	สเตตัสความสามารถ
236	ประสิทธิผลพิเศษ
237	กำลังตีบวก
239	เสียงตัวละคร
240	เกี่ยวกับตีบวก
241	ประสิทธิผลหลังจากฝังประดับ
242	ไม่ได้
243	บันทึกกิลด์
244	กำลังย้าย
245	เครื่องสวมใส่เป้าหมาย
246	เลเวลเริ่มต้นเครื่องสวมใส่
247	เลเวลเครื่องสวมใส่เป้าหมาย
