n_ID	s_TITLE	s_TIP
1	Rescue	ช่วยด้วย~
2	Finish Dungeon	ผ่านดันเจี้ยน 1010
3	Die Together	ตายซะ!
4	Rescue 2	ช่วยด้วย~2
5	Finish Dungeon 2	ผ่านดันเจี้ยน 1010-2
6	Die Together 2	ตายซะ! 2
7	Poseidon Hall	ผ่านดันเจี้ยน Poseidon Hall กับเพื่อน 3 ครั้ง\nต้องการค่าความสนิท: 300
8	Kraken Lair	ผ่านดันเจี้ยน Kraken Lair กับเพื่อน 15 ครั้ง\nต้องการค่าความสนิท: 800
9	Doom Church	ผ่านดันเจี้ยน Doom Church กับเพื่อน 15 ครั้ง\nต้องการค่าความสนิท: 1400
10	Hell Trial	ผ่านดันเจี้ยน Hell Trial กับเพื่อน 15 ครั้ง\nต้องการค่าความสนิท: 2100
11	Skyfire Tower	ผ่านดันเจี้ยน Skyfire Tower กับเพื่อน 15 ครั้ง\nต้องการค่าความสนิท: 2900
12	Poseidon Hall 2Star 	ผ่านดันเจี้ยน Poseidon Hall(2Star) กับเพื่อน 25 ครั้ง\nต้องการค่าความสนิท: 5000
13	Kraken Lair 2Star 	ผ่านดันเจี้ยน Kraken Lair(2Star) กับเพื่อน 25 ครั้ง\nต้องการค่าความสนิท: 5000
14	Doom Church 2Star 	ผ่านดันเจี้ยน Doom Church(2Star) กับเพื่อน 25 ครั้ง\nต้องการค่าความสนิท: 5000
15	Hell Trial 2Star 	ผ่านดันเจี้ยน Hell Trial(2Star) กับเพื่อน 25 ครั้ง\nต้องการค่าความสนิท: 5000
16	Skyfire Tower 2Star 	ผ่านดันเจี้ยน Skyfire Tower(2Star) กับเพื่อน 25 ครั้ง\nต้องการค่าความสนิท: 5000
17	Poseidon Hall 3Star 	ผ่านดันเจี้ยน Poseidon Hall(3Star) กับเพื่อน 25 ครั้ง\nต้องการค่าความสนิท: 10000
18	Kraken Lair 3Star 	ผ่านดันเจี้ยน Kraken Lair(3Star) กับเพื่อน 25 ครั้ง\nต้องการค่าความสนิท: 10000
19	Doom Church 3Star 	ผ่านดันเจี้ยน Doom Church(3Star) กับเพื่อน 25 ครั้ง\nต้องการค่าความสนิท: 10000
20	Hell Trial 3Star 	ผ่านดันเจี้ยน Hell Trial(3Star) กับเพื่อน 25 ครั้ง\nต้องการค่าความสนิท: 10000
21	Skyfire Tower 3Star 	ผ่านดันเจี้ยน Skyfire Tower(3Star) กับเพื่อน 25 ครั้ง\nต้องการค่าความสนิท: 10000
22	Rescue 1	เมื่อร่วมทีมกับเพื่อน ช่วยเหลือเพื่อน 10 ครั้ง
23	Rescue 2	เมื่อร่วมทีมกับเพื่อน ช่วยเหลือเพื่อน 25 ครั้ง\nจะต้องช่วยเหลือ 1 สำเร็จ
24	Rescue 3	เมื่อร่วมทีมกับเพื่อน ช่วยเหลือเพื่อน 50 ครั้ง\nจะต้องช่วยเหลือ 2 สำเร็จ
25	Rescue 4	เมื่อร่วมทีมกับเพื่อน ช่วยเหลือเพื่อน 100 ครั้ง\nจะต้องช่วยเหลือ 3 สำเร็จ
