file	bytes	codex_wrote	team_reads_via	read_this_file	mirror_fresh	cited_in_a_ka1B_letter
00_SEARCH_HERE_FIRST.md	14205	08-30 02:06	full copy	00_SEARCH_HERE_FIRST.md	ok	not cited
PF_A1_SERIALIZER_SLOT34_DELTA.tsv	18143	08-29 21:08	full copy	PF_A1_SERIALIZER_SLOT34_DELTA.tsv	ok	not cited
PF_A1_STATIC_TYPE_INFO_DELTA.tsv	1543	08-30 01:35	full copy	PF_A1_STATIC_TYPE_INFO_DELTA.tsv	ok	not cited
PF_A2_A3_STRING_WIRE_CORRECTION.md	3202	08-29 20:29	full copy	PF_A2_A3_STRING_WIRE_CORRECTION.md	ok	not cited
PF_A2_ACHIEVEMENTS_CODEC_CORRECTION.tsv	430547	09-01 16:42	full copy	PF_A2_ACHIEVEMENTS_CODEC_CORRECTION.tsv	STALE	not cited
PF_A2_ACTOR_CODEC_CORRECTION.tsv	44883	09-01 16:42	full copy	PF_A2_ACTOR_CODEC_CORRECTION.tsv	STALE	cited
PF_A2_ATTR_FIELD_DELTA.tsv	488493	09-01 16:42	full copy	PF_A2_ATTR_FIELD_DELTA.tsv	STALE	not cited
PF_A2_ATTR_SEMANTIC_DELTA.md	1562	09-01 16:42	full copy	PF_A2_ATTR_SEMANTIC_DELTA.md	STALE	not cited
PF_A2_ATTR_SEMANTIC_DELTA.tsv	16186	09-01 16:42	full copy	PF_A2_ATTR_SEMANTIC_DELTA.tsv	STALE	not cited
PF_A2_BASIC_CODEC_CORRECTION.tsv	5887	09-01 16:42	full copy	PF_A2_BASIC_CODEC_CORRECTION.tsv	STALE	cited
PF_A2_COLLECTION_CODEC_CORRECTION.tsv	102444	09-01 16:42	full copy	PF_A2_COLLECTION_CODEC_CORRECTION.tsv	STALE	not cited
PF_A2_COOLDOWN_CODEC_CORRECTION.tsv	34749	09-01 16:42	full copy	PF_A2_COOLDOWN_CODEC_CORRECTION.tsv	STALE	not cited
PF_A2_CRYSTAL_CODEC_CORRECTION.tsv	104939	09-01 16:42	full copy	PF_A2_CRYSTAL_CODEC_CORRECTION.tsv	STALE	not cited
PF_A2_CSKILL_CODEC_CORRECTION.tsv	53245	09-01 16:42	full copy	PF_A2_CSKILL_CODEC_CORRECTION.tsv	STALE	not cited
PF_A2_DAILYREWARD_CODEC_CORRECTION.tsv	62349	09-01 16:42	full copy	PF_A2_DAILYREWARD_CODEC_CORRECTION.tsv	STALE	not cited
PF_A2_DAILY_ACTIVITY_NONWIRE_DELTA.tsv	8961	08-30 00:29	full copy	PF_A2_DAILY_ACTIVITY_NONWIRE_DELTA.tsv	ok	not cited
PF_A2_EMBEDDED_CHILD_COMPOSITION_DELTA.tsv	4275	08-30 01:16	full copy	PF_A2_EMBEDDED_CHILD_COMPOSITION_DELTA.tsv	ok	not cited
PF_A2_EXPRESS_GET_CODEC_CORRECTION.tsv	48963	09-01 16:42	full copy	PF_A2_EXPRESS_GET_CODEC_CORRECTION.tsv	STALE	not cited
PF_A2_INSTANCE_REFRESH_CODEC_CORRECTION.tsv	41372	09-01 16:42	full copy	PF_A2_INSTANCE_REFRESH_CODEC_CORRECTION.tsv	STALE	not cited
PF_A2_INVALID_PARAMETER_NONWIRE_DELTA.tsv	32429	08-29 23:21	full copy	PF_A2_INVALID_PARAMETER_NONWIRE_DELTA.tsv	ok	not cited
PF_A2_ITEMATTR_CODEC_CORRECTION.tsv	131177	09-01 16:42	full copy	PF_A2_ITEMATTR_CODEC_CORRECTION.tsv	STALE	cited
PF_A2_ITEMBAG_CODEC_CORRECTION.tsv	2149519	09-01 16:42	summary only (over cap)	PF_A2_ITEMBAG_CODEC_CORRECTION.SLICE.md	STALE	cited
PF_A2_ITEMVARY_CODEC_CORRECTION.tsv	39754	09-01 16:42	full copy	PF_A2_ITEMVARY_CODEC_CORRECTION.tsv	STALE	cited
PF_A2_ITERATOR_HELPERS_NONWIRE_DELTA.tsv	24350	08-29 23:22	full copy	PF_A2_ITERATOR_HELPERS_NONWIRE_DELTA.tsv	ok	not cited
PF_A2_PET_ACTIVITY_CORRECTION.tsv	116143	09-01 16:42	full copy	PF_A2_PET_ACTIVITY_CORRECTION.tsv	STALE	not cited
PF_A2_POOL_46BAA0_READER_DELTA.tsv	2205	08-29 21:24	full copy	PF_A2_POOL_46BAA0_READER_DELTA.tsv	ok	not cited
PF_A2_POOL_46F4D0_DELTA.tsv	21340	08-29 21:08	full copy	PF_A2_POOL_46F4D0_DELTA.tsv	ok	not cited
PF_A2_POOL_638690_DELTA.tsv	21365	08-29 20:48	full copy	PF_A2_POOL_638690_DELTA.tsv	ok	not cited
PF_A2_POOL_661FA0_DELTA.tsv	13126	08-29 20:51	full copy	PF_A2_POOL_661FA0_DELTA.tsv	ok	not cited
PF_A2_POST_V1_STATIC_DELTA.tsv	20985	08-29 20:29	full copy	PF_A2_POST_V1_STATIC_DELTA.tsv	ok	not cited
PF_A2_QUEST_CODEC_CORRECTION.tsv	1047985	09-01 16:42	full copy	PF_A2_QUEST_CODEC_CORRECTION.tsv	STALE	not cited
PF_A2_SERIALIZER_SLOT34_DELTA.tsv	5335314	08-29 21:08	summary only (over cap)	PF_A2_SERIALIZER_SLOT34_DELTA.SLICE.md	ok	cited
PF_A2_STRING_WIRE_TAG_DELTA.tsv	201157	08-29 20:29	full copy	PF_A2_STRING_WIRE_TAG_DELTA.tsv	ok	cited
PF_A2_SYSTEM_GIFT_CODEC_CORRECTION.tsv	49866	09-01 16:42	full copy	PF_A2_SYSTEM_GIFT_CODEC_CORRECTION.tsv	STALE	not cited
PF_A2_TARGETS_6564E0_656C50_6FDB40_NONWIRE_DELTA.tsv	19914	08-29 23:21	full copy	PF_A2_TARGETS_6564E0_656C50_6FDB40_NONWIRE_DELTA.tsv	ok	not cited
PF_A2_TARGET_656690_NONWIRE_DELTA.tsv	2744	08-29 23:21	full copy	PF_A2_TARGET_656690_NONWIRE_DELTA.tsv	ok	not cited
PF_A2_V5_INVALID_PARAMETER_NONWIRE_DELTA.tsv	14524	08-30 03:03	full copy	PF_A2_V5_INVALID_PARAMETER_NONWIRE_DELTA.tsv	ok	not cited
PF_A2_WINE_CODEC_CORRECTION.tsv	129907	09-01 16:42	full copy	PF_A2_WINE_CODEC_CORRECTION.tsv	STALE	not cited
PF_A3_SERIALIZER_SLOT34_DELTA.tsv	6251	08-29 21:08	full copy	PF_A3_SERIALIZER_SLOT34_DELTA.tsv	ok	not cited
PF_A3_TAG_CENSUS_DELTA.tsv	1503	08-29 20:29	full copy	PF_A3_TAG_CENSUS_DELTA.tsv	ok	cited
PF_A6_VTABLE_CANDIDATE_DELTA.md	3936	08-29 20:22	full copy	PF_A6_VTABLE_CANDIDATE_DELTA.md	ok	not cited
PF_A6_VTABLE_CANDIDATE_DELTA.tsv	95638	08-29 20:22	full copy	PF_A6_VTABLE_CANDIDATE_DELTA.tsv	ok	not cited
PF_ACTOR_RELATION_INTERACTION_GRAPH.md	7102	09-01 12:53	full copy	PF_ACTOR_RELATION_INTERACTION_GRAPH.md	ok	cited
PF_ACTOR_RELATION_INTERACTION_GRAPH.pair.json	556	09-01 12:53	full copy	PF_ACTOR_RELATION_INTERACTION_GRAPH.pair.json	ok	not cited
