file_in_external	bytes	codex_wrote_at	how_you_read_it	read_this_instead
00_SEARCH_HERE_FIRST.md	14205	2026-08-30 02:06	full copy	00_SEARCH_HERE_FIRST.md
PF_A1_SERIALIZER_SLOT34_DELTA.tsv	18143	2026-08-29 21:08	full copy	PF_A1_SERIALIZER_SLOT34_DELTA.tsv
PF_A1_STATIC_TYPE_INFO_DELTA.tsv	1543	2026-08-30 01:35	full copy	PF_A1_STATIC_TYPE_INFO_DELTA.tsv
PF_A2_A3_STRING_WIRE_CORRECTION.md	3202	2026-08-29 20:29	full copy	PF_A2_A3_STRING_WIRE_CORRECTION.md
PF_A2_ACHIEVEMENTS_CODEC_CORRECTION.tsv	430547	2026-09-01 18:24	full copy	PF_A2_ACHIEVEMENTS_CODEC_CORRECTION.tsv
PF_A2_ACTOR_CODEC_CORRECTION.tsv	44883	2026-09-01 18:24	full copy	PF_A2_ACTOR_CODEC_CORRECTION.tsv
PF_A2_ATTR_FIELD_DELTA.tsv	488493	2026-09-01 18:24	full copy	PF_A2_ATTR_FIELD_DELTA.tsv
PF_A2_ATTR_SEMANTIC_DELTA.md	1562	2026-09-01 18:24	full copy	PF_A2_ATTR_SEMANTIC_DELTA.md
PF_A2_ATTR_SEMANTIC_DELTA.tsv	16186	2026-09-01 18:24	full copy	PF_A2_ATTR_SEMANTIC_DELTA.tsv
PF_A2_BASIC_CODEC_CORRECTION.tsv	5887	2026-09-01 18:24	full copy	PF_A2_BASIC_CODEC_CORRECTION.tsv
PF_A2_COLLECTION_CODEC_CORRECTION.tsv	102444	2026-09-01 18:24	full copy	PF_A2_COLLECTION_CODEC_CORRECTION.tsv
PF_A2_COOLDOWN_CODEC_CORRECTION.tsv	34749	2026-09-01 18:24	full copy	PF_A2_COOLDOWN_CODEC_CORRECTION.tsv
PF_A2_CRYSTAL_CODEC_CORRECTION.tsv	104939	2026-09-01 18:24	full copy	PF_A2_CRYSTAL_CODEC_CORRECTION.tsv
PF_A2_CSKILL_CODEC_CORRECTION.tsv	53245	2026-09-01 18:24	full copy	PF_A2_CSKILL_CODEC_CORRECTION.tsv
