delta_key	action	base_file	base_line	base_row_key	name	vtable_va	old_serializer_slot	old_serializer_va	old_serializer_pointer_file_off	corrected_serializer_slot	corrected_serializer_va	corrected_serializer_pointer_file_off	corrected_candidates	old_slot_capabilities	corrected_slot_capabilities	classification	value_changed	source
913df9cd0a23f042aae18ec6ee9dde11f4eb88698bfe6a73200c83a85fef62f1	CHANGED	PF_PROTOCOL_REGISTRY.tsv	5	d39e52ec4fd31ef91b4cd8fee35f233b0f3690621b80a5b54df8069bb05ed416	ActorAttr	0x00F0E7A0	+0x18	0x0043BB80	0x00B0CBB8	+0x34	0x00466230	0x00B0CBD4	N/A	NONE	R|W	SLOT18_NONWIRE_SLOT34_RW	YES	IMAGE
3052a9a54093fc0cfc77f3e8a1d8f703f03e4f5ce124b23843570eddcab25319	CHANGED	PF_PROTOCOL_REGISTRY.tsv	134	8d038f109c95a761e8b39c80728a34cd78cee29952324d5298a34306dae535d9	ActorCommunityProperty	0x00F356A8	+0x18	0x0043BB80	0x00B33AC0	+0x34	0x00638430	0x00B33ADC	N/A	NONE	R|W	SLOT18_NONWIRE_SLOT34_RW	YES	IMAGE
77e7e0ed3c885fce42087a61176992293b9ba0b50e1b681bd16024ac00fad003	CHANGED	PF_PROTOCOL_REGISTRY.tsv	365	b2afddd67e538219d3d49864c1ad28cf22317e1f6f90699d10044611dc9309a5	ActorExpressData	0x00F40B70	+0x18	0x0043BB80	0x00B3EF88	+0x34	0x006E3EF0	0x00B3EFA4	N/A	NONE	R|W	SLOT18_NONWIRE_SLOT34_RW	YES	IMAGE
47edb772a29dd6ca3b046fcf82f472914e110d1df2e862c8796a26466fede3d4	CHANGED	PF_PROTOCOL_REGISTRY.tsv	262	2f9a63d15aacc18c9ed40086c907848e40a42b1fc1d8cfbe0934e4f44fee7219	ActorGatheringInfoAttr	0x00F3C1F8	+0x18	0x00515EC0	0x00B3A610	+0x34	0x0072B850	0x00B3A62C	N/A	NONE	R|W	SLOT18_NONWIRE_SLOT34_RW	YES	IMAGE
16991276c59d4d8ffd860d3ca5a05f4bc178b8a38ab9736bbc5dcc1a7f1684de	CHANGED	PF_PROTOCOL_REGISTRY.tsv	387	2caee780ff5a55cfd3c5d134570a05502f8d85ca08523913a1bfc114058a49c5	ActorLearnedPetsSkillData	0x00F421C8	+0x18	0x0043BB80	0x00B405E0	+0x34	0x006FDF60	0x00B405FC	N/A	NONE	R|W	SLOT18_NONWIRE_SLOT34_RW	YES	IMAGE
3e6f49a5bd6e7e0197f63bd74508979e94a70fa1c5144d368c322bd66b469867	CHANGED	PF_PROTOCOL_REGISTRY.tsv	130	9054e496f77e31b224508a24afa94449e75214006332e4cf749a2c538d1b9b8c	ActorMailData	0x00F356E8	+0x18	0x0043BB80	0x00B33B00	+0x34	0x00638F20	0x00B33B1C	N/A	NONE	R|W	SLOT18_NONWIRE_SLOT34_RW	YES	IMAGE
dbf7a3c639f75fbabd0c77a22e43c4c3f3710561d81d5b94250b4d3cd13af9f7	CHANGED	PF_PROTOCOL_REGISTRY.tsv	456	5870a4d2e29931ce6dcdf721a92a3350b3341c928c40a44978e98d55319a1f2a	ActorTreasureHuntExcavatingInfoAttr	0x00F466D0	+0x18	0x00515EC0	0x00B44AE8	+0x34	0x0072B850	0x00B44B04	N/A	NONE	R|W	SLOT18_NONWIRE_SLOT34_RW	YES	IMAGE
d4c0d4427191cfafee01006e6d1fe7b2a45b114965921fa72dcb9cc37574626e	CORRECTED_SLOT_PROVENANCE_SAME_TARGET	PF_PROTOCOL_REGISTRY.tsv	2	2efcc785df88f603b5402c0742570d3d20debb5a7104c6bae125882e125d7478	Attribute	0x00F0E850	+0x18	0x00515EC0	0x00B0CC68	+0x34	0x00515EC0	0x00B0CC84	N/A	NONE	NONE	SAME_TARGET_BOTH_NONWIRE	NO	IMAGE
afa3e1b770545ac401b718bb27d909b083ecc8eedcfb4df393928da0b064acbe	CHANGED	PF_PROTOCOL_REGISTRY.tsv	3	7688d49530a70f985f74d569a5dba0d2a3e3e61c8705b4e86f26ab6b21e4fa73	AvatarAttr	0x00F0E088	+0x18	0x0043BB80	0x00B0C4A0	+0x34	0x00464560	0x00B0C4BC	N/A	NONE	R|W	SLOT18_NONWIRE_SLOT34_RW	YES	IMAGE
4bc33ebb8700837f7cd8363b8aee154b14646588dd29b0c28919e0d81b400e8f	CHANGED	PF_PROTOCOL_REGISTRY.tsv	11	88010b77fc90b8d345fc5e1fd8394d174c559b08ea99ee937c72f1ed4bc5ae4a	BackpackAttr	0x00F0EA88	+0x18	0x0046E0A0	0x00B0CEA0	+0x34	0x00469FA0	0x00B0CEBC	N/A	NONE	R|W	SLOT18_NONWIRE_SLOT34_RW	YES	IMAGE
fbfa091a11847ec637fd144a57b93663ea8d6bc088c2e900c88c52150c105c23	CHANGED	PF_PROTOCOL_REGISTRY.tsv	4	7f0b818a6eabaa81bb49e850a6ab5e6341878e7b0d22bbb20302f2c4814d30af	BasicAttr	0x00F0E760	+0x18	0x0043BB80	0x00B0CB78	+0x34	0x004656F0	0x00B0CB94	N/A	NONE	R|W	SLOT18_NONWIRE_SLOT34_RW	YES	IMAGE
2c01f8e1beeeeb2da3057d5c5e2ee24e4bfb7b58f748ed6169ae69776654f2ce	CHANGED	PF_PROTOCOL_REGISTRY.tsv	404	6d743aa57d29b496c60dc95a08d3b3ffe890d93030adeebf3da72af8bcd1b96c	CAchievementsAttr	0x00F42550	+0x18	0x0043BB80	0x00B40968	+0x34	0x00701AF0	0x00B40984	N/A	NONE	R|W	SLOT18_NONWIRE_SLOT34_RW	YES	IMAGE
5126d396d561424e3e6dba7297c0f8e9bdfe0ce6a63a87f78e55a50496b18dcd	CHANGED	PF_PROTOCOL_REGISTRY.tsv	167	5fb74cc5e116702737ed8716f85a763265ff1623620ce9382c5597d283ae1b9d	CBuffAttr	0x00F36E80	+0x18	0x0043BB80	0x00B35298	+0x34	0x0064A430	0x00B352B4	N/A	NONE	R|W	SLOT18_NONWIRE_SLOT34_RW	YES	IMAGE
2e53f4aa7beecfa69904f7032913a6828318ee0a67a495e8dba9c0e5159b1769	CHANGED	PF_PROTOCOL_REGISTRY.tsv	349	2ad751146c7af583a8637be19c0fa52a9da86a5de545a816fb6c5da8defef3a3	CCooldownAttr	0x00F3F088	+0x18	0x0043BB80	0x00B3D4A0	+0x34	0x006C9DC0	0x00B3D4BC	N/A	NONE	R|W	SLOT18_NONWIRE_SLOT34_RW	YES	IMAGE
6d9f54bd4ec30fa3d57cba8eef7b5989a2f18cc8d8d3949466b97975e05ce61d	CHANGED	PF_PROTOCOL_REGISTRY.tsv	209	2f7c5a4d115c6d8937af0c2ff52ecfdb20946b973a84101ef38189d34259ee88	CGuildStorageAttr	0x00F39108	+0x18	0x0046E0A0	0x00B37520	+0x34	0x00469FA0	0x00B3753C	N/A	NONE	R|W	SLOT18_NONWIRE_SLOT34_RW	YES	IMAGE
e59f76d69c108789006225e37b69c380da872ee1641d17bcdcb03023abee7d06	CHANGED	PF_PROTOCOL_REGISTRY.tsv	503	52557cc54719fc6ac44b8d1db806fb18528b6d3c76e0a67a6f2b0a33ae8043f5	CSkillAttr	0x00F48B78	+0x18	0x0043BB80	0x00B46F90	+0x34	0x007520B0	0x00B46FAC	N/A	NONE	R|W	SLOT18_NONWIRE_SLOT34_RW	YES	IMAGE
ac38a90815013b79ce9805fb10c34e3fa6780e137e40b311707f220b60ac4cc6	CHANGED	PF_PROTOCOL_REGISTRY.tsv	363	dde732794523eed953886afafa1ed3e576ca2944840d021596b421b9d4174aec	CVehicleAttr	0x00F40A80	+0x18	0x00515EC0	0x00B3EE98	+0x34	0x006E31A0	0x00B3EEB4	N/A	NONE	R|W	SLOT18_NONWIRE_SLOT34_RW	YES	IMAGE
634b97326b14b0aaf2e06455c93ad8acd2e0afa0a009ef77ae2151fcc7a19fff	CHANGED	PF_PROTOCOL_REGISTRY.tsv	302	d4a44e3fd60aac85bc3ab58b0bdab119d27d0399239ffa7a38a74eab22d87235	CollectableBookTypeAttr	0x00F3D5A0	+0x18	0x0043BB80	0x00B3B9B8	+0x34	0x006A89A0	0x00B3B9D4	N/A	NONE	R|W	SLOT18_NONWIRE_SLOT34_RW	YES	IMAGE
1a095636ce777d52baf1fbd893f3124dbaad6349213168a70ea4fdaa4edbbcc4	CHANGED	PF_PROTOCOL_REGISTRY.tsv	13	7bfe727d34d918f6f1a6a37904039705f5fe03741ed53414630e2d79b06ae0fe	CollectionBagAttr	0x00F0EAF8	+0x18	0x0046E0A0	0x00B0CF10	+0x34	0x00471830	0x00B0CF2C	N/A	NONE	R|W	SLOT18_NONWIRE_SLOT34_RW	YES	IMAGE
9fe5fe29f1ea7201e20fbb5fedad96469e302be4c58836254de33bc4daea9b63	CHANGED	PF_PROTOCOL_REGISTRY.tsv	304	3475c684be62e788db079e07ca75e481cf8dd9e308e012e6beb6a8bbdba2579b	CollectionBookAttr	0x00F3D650	+0x18	0x0043BB80	0x00B3BA68	+0x34	0x006A9CA0	0x00B3BA84	N/A	NONE	R|W	SLOT18_NONWIRE_SLOT34_RW	YES	IMAGE
82b0c0ac59c0a44417f189b99f82f2b631876433438262d9c6269c0996c1a93d	CHANGED	PF_PROTOCOL_REGISTRY.tsv	353	b6bc5149edf55081e6b5b4bb1dda18f8143d2788c2e1c1237f2bd158ab07ed42	CollectionEffectData	0x00F3F400	+0x18	0x0043BB80	0x00B3D818	+0x34	0x006A4DB0	0x00B3D834	N/A	NONE	R|W	SLOT18_NONWIRE_SLOT34_RW	YES	IMAGE
4b506a2a6cef2e2cdb63cd83ca503df506d4010dc97ac13d7387dfd205c4a1cd	CHANGED	PF_PROTOCOL_REGISTRY.tsv	352	54427debd247ce269b1818526528be8e1f68e96aedca1712ce4efdf912d57690	CollectionObjPointAttr	0x00F3F3C0	+0x18	0x0043BB80	0x00B3D7D8	+0x34	0x006CC110	0x00B3D7F4	N/A	NONE	R|W	SLOT18_NONWIRE_SLOT34_RW	YES	IMAGE
