correction_key	conflict_key	base_row_ref	field_key	direction	composed_order	delta_action	prior_field_offset_claim	corrected_field_offset	prior_gate_claim	added_gate	corrected_gate	guard_cmp_va	guard_cmp_file_offset	guard_branch_va	guard_branch_file_offset	guard_skip_va	evidence_sites	codec_span_start	codec_span_end	codec_span_sha256	evidence_key	source	image_sha256
78b62588248b4563f6e3acb8b5b8c6b160d5c0a3ab7b53c150b86573753eb552	b3fe2e2b565117184a3fc7e380b53de52bae73d44847cb914e2d25038df9907e	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|195c56d69b36fb79e51e4474dcc97c488e2bf631d87c12defdd98635ee65137a	ActorAttr@0x1B4.8#R	R	18	CORRECT_MASK_STORAGE_LOCATION	STACK@0x00466230+0x14	+0x1B4/+0x1B8	ALWAYS	N/A	ALWAYS	N/A	N/A	N/A	N/A	N/A	wire=0x0046677A/off0x00065B7A;copies=0x0046678F/off0x00065B8F(+0x1B4);0x0046679A/off0x00065B9A(+0x1B8)	0x00466230	0x00466C79	f9ea39f3a6bc80e6d29d4aae3efa79c1d5ff855d70109319578cba86d5f9aabc	a67c074076011dbcef387e201cb62b10141e0eb7969b3eff013daec24e5f9d11	IMAGE	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
92b0e25f1544169813dc07334226dc5680e05b9800379505736f45b13ebbabe7	c99f9c63771f4b6267d6abfee89516ff0e2a6454853bea3f7a1ed18d08029735	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|d37e89a3113cc826b7d811329c48c0555893c12c35e047a48ab24b14f5f89525	ActorAttr@0x78.4#R:b0x00000004	R	22	ADD_NESTED_GROUP_GATE	+0x78	UNCHANGED	test@0x004667ED file_off=0x00065BED mask=0x4 set	+0x1BC != 0	+0x1B4 & 0x00000004 AND +0x1BC != 0	0x004667E4	0x00065BE4	0x004667E7	0x00065BE7	0x00466A61	mask_test_and_wire_sites_are_preserved_in_base_row	0x00466230	0x00466C79	f9ea39f3a6bc80e6d29d4aae3efa79c1d5ff855d70109319578cba86d5f9aabc	09b0116843d9e1bc090af5f1157ad6bb6a1cc83b81783cb4e406c0ae3209924d	IMAGE	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
69424630c24388448f3c9ffc42e9c5f696059b981ce04f2cf11e8030dc9d6580	113d3bb9bba22077d35b6b7656a9e92d52a73575d6c270fe65d72ba143fd6f1f	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|c891d7cd355fce12db21eb5c563509e9b9ad16229cbb8ad49513205d8d60135b	ActorAttr@0x7C.4#R:b0x00000008	R	23	ADD_NESTED_GROUP_GATE	+0x7C	UNCHANGED	test@0x00466805 file_off=0x00065C05 mask=0x8 set	+0x1BC != 0	+0x1B4 & 0x00000008 AND +0x1BC != 0	0x004667E4	0x00065BE4	0x004667E7	0x00065BE7	0x00466A61	mask_test_and_wire_sites_are_preserved_in_base_row	0x00466230	0x00466C79	f9ea39f3a6bc80e6d29d4aae3efa79c1d5ff855d70109319578cba86d5f9aabc	f6c3065e04fc91f8bae33ee2020bbf5d8d367470b44186cfd2b625a26982506e	IMAGE	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
ee009e8041655a143b79d9fa5a0fbfb118d0412c7c29d8656bb4896b65e8f93d	0121114a961832b67d0b3f0056403e2650e74404804f9d6cc8ce0ae8108b91b7	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|7098f65592ffde25998e38328c91a359bc02156d2b690eb0e4ab77f3597afb6b	ActorAttr@0x80.2#R:b0x00000010	R	24	ADD_NESTED_GROUP_GATE	+0x80	UNCHANGED	test@0x0046681D file_off=0x00065C1D mask=0x10 set	+0x1BC != 0	+0x1B4 & 0x00000010 AND +0x1BC != 0	0x004667E4	0x00065BE4	0x004667E7	0x00065BE7	0x00466A61	mask_test_and_wire_sites_are_preserved_in_base_row	0x00466230	0x00466C79	f9ea39f3a6bc80e6d29d4aae3efa79c1d5ff855d70109319578cba86d5f9aabc	24e9685561158a6ab33b0fe84adbf8150f2c02d9511eba46bf90a5eb883d7e21	IMAGE	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
4f124298e0c0db59861f02fc9f8ef41b34abac1cbae55f2feedc0f73af4ef0ea	807d786571478ccda3f98bd302b4745d0241b0413bd6645de3386a0b12122be5	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|ba01c1de82820ec179a7f6ae9bcb1f1d516c427ff5469ad9505770e7116a2c36	ActorAttr@0x82.2#R:b0x00000020	R	25	ADD_NESTED_GROUP_GATE	+0x82	UNCHANGED	test@0x00466838 file_off=0x00065C38 mask=0x20 set	+0x1BC != 0	+0x1B4 & 0x00000020 AND +0x1BC != 0	0x004667E4	0x00065BE4	0x004667E7	0x00065BE7	0x00466A61	mask_test_and_wire_sites_are_preserved_in_base_row	0x00466230	0x00466C79	f9ea39f3a6bc80e6d29d4aae3efa79c1d5ff855d70109319578cba86d5f9aabc	3739d8d9305f95363838d205faec2d69131900d5ee1b9eea7252005c77a49617	IMAGE	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
5304361744dd7761556cfb6ef4d1c53e16a09862a0d944c6e0f9bbb806821954	f0f3ff2701a218163186a0cd145cf142f923f16e3fa56610a9bc53631212de76	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|85bdb8c6fbb25ce5c840c6d26d7750bd4c0742dfe25667fcc71129382d57ee64	ActorAttr@0x84.2#R:b0x00000040	R	26	ADD_NESTED_GROUP_GATE	+0x84	UNCHANGED	test@0x00466853 file_off=0x00065C53 mask=0x40 set	+0x1BC != 0	+0x1B4 & 0x00000040 AND +0x1BC != 0	0x004667E4	0x00065BE4	0x004667E7	0x00065BE7	0x00466A61	mask_test_and_wire_sites_are_preserved_in_base_row	0x00466230	0x00466C79	f9ea39f3a6bc80e6d29d4aae3efa79c1d5ff855d70109319578cba86d5f9aabc	5ede8754aafb7271c8d32387f13797f805d28d9f4c087393f4ba757061c2dbb5	IMAGE	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
82fc324b02cb07d9259370dc9c6cd2b3ae1dbf327320e636f327270dad4104b2	d52bda645dbe5ef38f550919c596199fe015cd479c59bb12fdaeffbf67a99075	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|0a8987746e40d2a04f18e407f15813c6012bfbb0e76e32b037c0e2e18506e095	ActorAttr@0x86.2#R:b0x00000080	R	27	ADD_NESTED_GROUP_GATE	+0x86	UNCHANGED	test@0x0046686E file_off=0x00065C6E mask=0x80 set	+0x1BC != 0	+0x1B4 & 0x00000080 AND +0x1BC != 0	0x004667E4	0x00065BE4	0x004667E7	0x00065BE7	0x00466A61	mask_test_and_wire_sites_are_preserved_in_base_row	0x00466230	0x00466C79	f9ea39f3a6bc80e6d29d4aae3efa79c1d5ff855d70109319578cba86d5f9aabc	0190aadd5c3cc2598c1c342a4968a7b867dad1a8ddd6434b6b4a314e03e7d716	IMAGE	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
8db683cd701a78fe9de210c55748cac4f582301b44c6cd3f3024bdbe785ae15f	df4a435c394f9aaaf6d9279a94c6419b7df1cd5422cda7baddcb7c295cd3a3c7	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|5885987a2e4850ed6268ddeff27955619ceb552938928a1485918d8b31bb9a96	ActorAttr@0x88.2#R:b0x00000100	R	28	ADD_NESTED_GROUP_GATE	+0x88	UNCHANGED	test@0x00466889 file_off=0x00065C89 mask=0x100 set	+0x1BC != 0	+0x1B4 & 0x00000100 AND +0x1BC != 0	0x004667E4	0x00065BE4	0x004667E7	0x00065BE7	0x00466A61	mask_test_and_wire_sites_are_preserved_in_base_row	0x00466230	0x00466C79	f9ea39f3a6bc80e6d29d4aae3efa79c1d5ff855d70109319578cba86d5f9aabc	caebb8a3dad7027c0d3d389dc9ca1d24f577d5a5d1311282f39970b6c147d2e7	IMAGE	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
b9a030fa59211246e7cda558c11bc8e18468cedbbc17d49b8d425196a21a7c86	63e4a9c33be84da8f64195228d39ec0c1e100d3bc641fb807484d35c4f7acb0a	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|34013fc2f662a0e7cbbdf9e4af8ce03269f0dc45a28a7e92197c630085b6ec22	ActorAttr@0x8A.2#R:b0x00000200	R	29	ADD_NESTED_GROUP_GATE	+0x8A	UNCHANGED	test@0x004668A7 file_off=0x00065CA7 mask=0x200 set	+0x1BC != 0	+0x1B4 & 0x00000200 AND +0x1BC != 0	0x004667E4	0x00065BE4	0x004667E7	0x00065BE7	0x00466A61	mask_test_and_wire_sites_are_preserved_in_base_row	0x00466230	0x00466C79	f9ea39f3a6bc80e6d29d4aae3efa79c1d5ff855d70109319578cba86d5f9aabc	a0ecc1cea06f02a10c97413e8fcad2d1baeceab0e3cfdf58e23e6f16c2b148ee	IMAGE	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
f328863ae63ed814f81d89e6cd072834fcc3494e2f428528553b73dacbe02f06	dc098b86b3ae03e1669200eaf536329f5fd8a1104cacb824e366cd496ebe5f77	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|27bd81db867e418387e732a886e0dbda4f2005932974ad0f6adf04d4d1e78531	ActorAttr@0xA0.8#R:b0x00000400	R	30	ADD_NESTED_GROUP_GATE	+0xA0	UNCHANGED	test@0x004668C5 file_off=0x00065CC5 mask=0x400 set	+0x1BC != 0	+0x1B4 & 0x00000400 AND +0x1BC != 0	0x004667E4	0x00065BE4	0x004667E7	0x00065BE7	0x00466A61	mask_test_and_wire_sites_are_preserved_in_base_row	0x00466230	0x00466C79	f9ea39f3a6bc80e6d29d4aae3efa79c1d5ff855d70109319578cba86d5f9aabc	ad1f39d7bc7d09c0b244b5d4690abf85cb31eb222de91ace6ed38c7043d1c409	IMAGE	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
