correction_key	conflict_key	base_row_ref	direction	delta_action	prior_order	prior_tag	prior_field_offset	prior_gate	field_key	wire_key	offset_basis	object_offset	storage_width	wire_len	corrected_order	tag	corrected_gate	semantic_name	structural_status	semantic_status	field_source_va	field_source_file_offset	wire_call_va	wire_call_file_offset	persistent_write_va	consumer_va	codec_span_start	codec_span_end	codec_span_sha256	support_span_sha256	evidence_key	source	blocker	required_next_evidence	image_sha256
5efe4280f1e2fecf9e9a37bd7f72940c9b9f2151c38a9fd26aaab697e3b8de84	c6c3f81a1af2e1695e217ca96adee846ec86bdaaf76c9065afe79b0ecdab94e2	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|33f381199e7f0161db096082c7a1da67c76c838a9a338e84769f4a4303e17fa9	W	CORRECT_FIELD_LAYOUT	4	0x12	STACK@0x006C9DC0+0x38	ALWAYS	CCooldownAttr@0x48.2#W	CCooldownAttr@0x48.2#W	OBJECT	0x48	4	2	4	0x12	ALWAYS_AFTER_DBATTRIBUTE_CODEC	cooldown_entry_count	PROVEN_EXACT	PROVEN_EXACT	0x006C9DE3	0x002C91E3	0x006C9DF6	0x002C91F6	0x006525DE	0x006C9DE3	0x006C9DC0	0x006C9F4A	4d40cadb26437db551ef308732c53a30eddc7429174ee53cb966cbf474a5bd0d	c27d8e65a4de1359ba8e8605135ca72b39b2f62dde88f776178f73d887d45e0d;60dddb489eb53a54f186cd41181c1b757671858479aba83d4810846b827d147c;9d270330ec69e39b2651e7477e8bb6c0f5423af6275afeeb3935896e51491660;82959e20dae89a0ff8497a9222d90f9f77d496c60944ef95bd495122f4bfc07c;9b681e0d9a2047b3e522d43cd7ad2a149702d54b40142f54025b3b59d3820a38;5aa3f079eb83e92a669e2398971733df85035571a8112e07b64970f2f24eb6eb;f4de6a4fdbc4e4947797aa3712bd0ceb233481b60cffdd0b5c5324b63fda4f83;a10c20239c0a5921074a514b1ee70563c09299b19748d76b128e673e815e4aea	bfd2d7db343fc52996081fe9b98be3b359d0dbcb934a0abd8d051a58559e8fc0	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
fcda71f00668d1980e2be8bcfa80131734d6a9ba98c0725598ae12d7023f6381	6e409311c2b1ec080d81594fbefe80d9dc9941491ed95e79e6a85f544cc5a992	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|39f065bb17e58c6e5792a3a806c626ce6ea14b88af6119c2382ca2823263bc73	W	CORRECT_FIELD_LAYOUT	8	0x0F	STACK@0x006C9DC0+0x34	ALWAYS	CCooldownAttr.RecordNode@0x0C.2#W	CCooldownAttr.RecordNode@0x0C.2#W	RECORD_NODE	0x0C	4	2	5	0x0F	iterator_node != head/sentinel	cooldown_selector_s16	PROVEN_EXACT	PROVEN_ROLE_ONLY	0x006C9E48	0x002C9248	0x006C9E5B	0x002C925B	0x006CA967	0x006CA967	0x006C9DC0	0x006C9F4A	4d40cadb26437db551ef308732c53a30eddc7429174ee53cb966cbf474a5bd0d	c27d8e65a4de1359ba8e8605135ca72b39b2f62dde88f776178f73d887d45e0d;60dddb489eb53a54f186cd41181c1b757671858479aba83d4810846b827d147c;9d270330ec69e39b2651e7477e8bb6c0f5423af6275afeeb3935896e51491660;82959e20dae89a0ff8497a9222d90f9f77d496c60944ef95bd495122f4bfc07c;9b681e0d9a2047b3e522d43cd7ad2a149702d54b40142f54025b3b59d3820a38;5aa3f079eb83e92a669e2398971733df85035571a8112e07b64970f2f24eb6eb;f4de6a4fdbc4e4947797aa3712bd0ceb233481b60cffdd0b5c5324b63fda4f83;a10c20239c0a5921074a514b1ee70563c09299b19748d76b128e673e815e4aea	34f7cac489afc2d84025a701408a861673006a4b7893d57b9a0e1317287eb28e	IMAGE	the signed cooldown selector role is exact, but its skill/action/item namespace is not proved	a named selector producer/consumer or varied CAPTURE evidence retained as a separate source	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
a51ec49f6e666910c2a6ec70785488df48b5a46aa60e2a488a22ceef77bc91f4	e4ca2ead7e8c2f58d305eba8a7f7be860a0a49a1e65ee89b1473f59ea1ea2ab1	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|409e361f9a816f06c4a9e1e7c1a8465267103d4240f1197bf235aed15a6b34f4	R	CORRECT_FIELD_LAYOUT	12	0x0F	STACK@0x006C9DC0+0x34	ALWAYS	CCooldownAttr.RecordNode@0x0C.2#R	CCooldownAttr.RecordNode@0x0C.2#R	RECORD_NODE	0x0C	4	2	5	0x0F	loop_index_u16 < decoded_count_u16	cooldown_selector_s16	PROVEN_EXACT	PROVEN_ROLE_ONLY	0x006C9EFD	0x002C92FD	0x006C9EFD	0x002C92FD	0x006C9F33	0x006CA967	0x006C9DC0	0x006C9F4A	4d40cadb26437db551ef308732c53a30eddc7429174ee53cb966cbf474a5bd0d	c27d8e65a4de1359ba8e8605135ca72b39b2f62dde88f776178f73d887d45e0d;60dddb489eb53a54f186cd41181c1b757671858479aba83d4810846b827d147c;9d270330ec69e39b2651e7477e8bb6c0f5423af6275afeeb3935896e51491660;82959e20dae89a0ff8497a9222d90f9f77d496c60944ef95bd495122f4bfc07c;9b681e0d9a2047b3e522d43cd7ad2a149702d54b40142f54025b3b59d3820a38;5aa3f079eb83e92a669e2398971733df85035571a8112e07b64970f2f24eb6eb;f4de6a4fdbc4e4947797aa3712bd0ceb233481b60cffdd0b5c5324b63fda4f83;a10c20239c0a5921074a514b1ee70563c09299b19748d76b128e673e815e4aea	7560bfee0516002550fcc0146ae17e6b662e4ddd744f511cae375803f3ef318f	IMAGE	the signed cooldown selector role is exact, but its skill/action/item namespace is not proved	a named selector producer/consumer or varied CAPTURE evidence retained as a separate source	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
daef6d5dd9bf7b4325b45b20c7f539309800bf9b04f18af45c185f530c5e35b3	8d1ff4f4274659163c256b7dd818ce3c60c6711c81a30eb4cf02e50b59b74e98	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|653485cc03eac9ad8ebcf340c2915391e3cc1c5fa98027d059d4591a5dd20db4	W	CORRECT_FIELD_LAYOUT	11	0x2A	PHI(DEREF(DEREF(OBJ+0x44))|DEREF(STACK@0x006C9DC0+0x14))+0x10	ALWAYS	CCooldownAttr.RecordNode@0x10.4#W	CCooldownAttr.RecordNode@0x10.4#W	RECORD_NODE	0x10	4	4	6	0x2A	iterator_node != head/sentinel	cooldown_remaining_value_f32	PROVEN_EXACT	PROVEN_EXACT	0x006C9E77	0x002C9277	0x006C9E7F	0x002C927F	0x006CA97E	0x00752530	0x006C9DC0	0x006C9F4A	4d40cadb26437db551ef308732c53a30eddc7429174ee53cb966cbf474a5bd0d	c27d8e65a4de1359ba8e8605135ca72b39b2f62dde88f776178f73d887d45e0d;60dddb489eb53a54f186cd41181c1b757671858479aba83d4810846b827d147c;9d270330ec69e39b2651e7477e8bb6c0f5423af6275afeeb3935896e51491660;82959e20dae89a0ff8497a9222d90f9f77d496c60944ef95bd495122f4bfc07c;9b681e0d9a2047b3e522d43cd7ad2a149702d54b40142f54025b3b59d3820a38;5aa3f079eb83e92a669e2398971733df85035571a8112e07b64970f2f24eb6eb;f4de6a4fdbc4e4947797aa3712bd0ceb233481b60cffdd0b5c5324b63fda4f83;a10c20239c0a5921074a514b1ee70563c09299b19748d76b128e673e815e4aea	24adc4801c646b26ea8cd2350462ee8d352ee687986d83832b5e37c2fd6f0a4f	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
849dde6ac9b81abc1bc6d607db322906d836e4dad1679a885c616b7484f1a48f	ec9ac463953296b69b641fd5de454b0c1a8e9d639f2a11708f53c2445937e3e4	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|8815011eb0cfba81dc064d33bad356be38a4064f67687046040f27968871e31e	R	CORRECT_FIELD_LAYOUT	11	0x12	STACK@0x006C9DC0+0x38	ALWAYS	N/A	CCooldownAttr.entry_count#R	WIRE_CONTROL	N/A	N/A	2	4	0x12	ALWAYS_AFTER_DBATTRIBUTE_CODEC	decoded_cooldown_entry_count_loop_bound	PROVEN_EXACT	PROVEN_EXACT	0x006C9EE4	0x002C92E4	0x006C9EE4	0x002C92E4	0x006C9EC0	0x006C9EE4	0x006C9DC0	0x006C9F4A	4d40cadb26437db551ef308732c53a30eddc7429174ee53cb966cbf474a5bd0d	c27d8e65a4de1359ba8e8605135ca72b39b2f62dde88f776178f73d887d45e0d;60dddb489eb53a54f186cd41181c1b757671858479aba83d4810846b827d147c;9d270330ec69e39b2651e7477e8bb6c0f5423af6275afeeb3935896e51491660;82959e20dae89a0ff8497a9222d90f9f77d496c60944ef95bd495122f4bfc07c;9b681e0d9a2047b3e522d43cd7ad2a149702d54b40142f54025b3b59d3820a38;5aa3f079eb83e92a669e2398971733df85035571a8112e07b64970f2f24eb6eb;f4de6a4fdbc4e4947797aa3712bd0ceb233481b60cffdd0b5c5324b63fda4f83;a10c20239c0a5921074a514b1ee70563c09299b19748d76b128e673e815e4aea	5e30d030e8fc06a3c8be65e50df24c0bcd21e78958cc3ae96da7a563c0b50b35	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
8e2f2648a0c8ac6c9675dd142182f42b4cfcd99af0f84d64f86f40d5f3efa98c	8548798ce04294caad47d201a097263258342468434a7c7765249bb4a4cabd74	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|d5aa063813753e35953ba04588b60b815925853425279a939a33930450813692	R	CORRECT_FIELD_LAYOUT	13	0x2A	STACK@0x006C9DC0+0x14	ALWAYS	CCooldownAttr.RecordNode@0x10.4#R	CCooldownAttr.RecordNode@0x10.4#R	RECORD_NODE	0x10	4	4	6	0x2A	loop_index_u16 < decoded_count_u16	cooldown_remaining_value_f32	PROVEN_EXACT	PROVEN_EXACT	0x006C9F0D	0x002C930D	0x006C9F0D	0x002C930D	0x006C9F33	0x00752530	0x006C9DC0	0x006C9F4A	4d40cadb26437db551ef308732c53a30eddc7429174ee53cb966cbf474a5bd0d	c27d8e65a4de1359ba8e8605135ca72b39b2f62dde88f776178f73d887d45e0d;60dddb489eb53a54f186cd41181c1b757671858479aba83d4810846b827d147c;9d270330ec69e39b2651e7477e8bb6c0f5423af6275afeeb3935896e51491660;82959e20dae89a0ff8497a9222d90f9f77d496c60944ef95bd495122f4bfc07c;9b681e0d9a2047b3e522d43cd7ad2a149702d54b40142f54025b3b59d3820a38;5aa3f079eb83e92a669e2398971733df85035571a8112e07b64970f2f24eb6eb;f4de6a4fdbc4e4947797aa3712bd0ceb233481b60cffdd0b5c5324b63fda4f83;a10c20239c0a5921074a514b1ee70563c09299b19748d76b128e673e815e4aea	9d30f7736ffee3858ec92762f115aa3a640758976a91d3cbb2af86d2fff432e8	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
463910bc543736a8bc45e61ccabbf03dfb8a202188de69e23339c9a9a4d01f92	44e44ab42fd866e653006171be6e59213efc4a7dc41a8a5bfe40200b2c30d6cf	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|03de34e562b89b61ef3c556e10cc009b4a596ba79e5a26757839461c2afb07f9	W	REMOVE_NON_WIRE_CONTROL_FLOW_ROW	12	MUTATING_CHAIN_PLUS_04_HELPER	UNKNOWN(mutable_chain_target_object_alias_unproved)	mutable_chain_call@0x006C9E88 file_off=0x002C9288 function=0x006C9DC0 target=0x00B0BF70 AND mutable_chain_helper target=0x00B0BF70 target_file_off=0x0070B370 proof_end=0x00B0BFDC proof_end_file_off=0x0070B3DC proof_sha256=4e1374fd126457c82d11bf3e6efa0fda845bb85e2c2a985ed67c4eff3f4eb7e6 memory_write_sites=0x00B0BFAB,0x00B0BFC8,0x00B0BFD7 memory_write_shape=object_plus_04 object_alias=unproved iat=0x00C3B4C0 iat_file_off=0x008398C0 descriptor_file_off=0x00C112DC lookup_file_off=0x00C118B4 dll_name_file_off=0x00C1647C symbol_name_file_off=0x00C15C62 dll=MSVCR90.dll symbol=_invalid_parameter_noinfo basis=exact_full_body_and_pe_import	N/A	N/A	N/A	N/A	N/A	0	N/A	MUTATING_CHAIN_PLUS_04_HELPER	N/A	control_flow_iterator_guard_or_container_helper	NOT_WIRE	NOT_WIRE	N/A	N/A	N/A	N/A	N/A	N/A	0x006C9DC0	0x006C9F4A	4d40cadb26437db551ef308732c53a30eddc7429174ee53cb966cbf474a5bd0d	c27d8e65a4de1359ba8e8605135ca72b39b2f62dde88f776178f73d887d45e0d;60dddb489eb53a54f186cd41181c1b757671858479aba83d4810846b827d147c;9d270330ec69e39b2651e7477e8bb6c0f5423af6275afeeb3935896e51491660;82959e20dae89a0ff8497a9222d90f9f77d496c60944ef95bd495122f4bfc07c;9b681e0d9a2047b3e522d43cd7ad2a149702d54b40142f54025b3b59d3820a38;5aa3f079eb83e92a669e2398971733df85035571a8112e07b64970f2f24eb6eb;f4de6a4fdbc4e4947797aa3712bd0ceb233481b60cffdd0b5c5324b63fda4f83;a10c20239c0a5921074a514b1ee70563c09299b19748d76b128e673e815e4aea	68e17fa62c8d983f6211dbede1253df5c899a64722b717f34f299025aa3a47d0	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
3ab74fc0223f0a82990c25d692e88946c5a72485d0d422c148ee4410025e281a	acfba710d30c62aac6bebe83fb81ce7cc4836b97d46f38f863a89f136379ea9a	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|08eb020d32514af653ea8cd84dcb8ddff594f3d4f8b5223a4bba37dbbc5a2951	W	REMOVE_NON_WIRE_CONTROL_FLOW_ROW	9	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	UNKNOWN(invalid_parameter_import_call_wire_effect_unproved)	exact_direct_iat_call@0x006C9E64 file_off=0x002C9264 function=0x006C9DC0 iat=0x00C3B4C0 bytes=FF15C0B4C300 AND exact_direct_iat_import iat=0x00C3B4C0 iat_file_off=0x008398C0 descriptor_file_off=0x00C112DC lookup_file_off=0x00C118B4 dll_name_file_off=0x00C1647C symbol_name_file_off=0x00C15C62 dll=MSVCR90.dll symbol=_invalid_parameter_noinfo call_bytes=FF15C0B4C300 operation=PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL wire_effect=unproved basis=exact_call_bytes_and_pe_import	N/A	N/A	N/A	N/A	N/A	0	N/A	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	N/A	control_flow_iterator_guard_or_container_helper	NOT_WIRE	NOT_WIRE	N/A	N/A	N/A	N/A	N/A	N/A	0x006C9DC0	0x006C9F4A	4d40cadb26437db551ef308732c53a30eddc7429174ee53cb966cbf474a5bd0d	c27d8e65a4de1359ba8e8605135ca72b39b2f62dde88f776178f73d887d45e0d;60dddb489eb53a54f186cd41181c1b757671858479aba83d4810846b827d147c;9d270330ec69e39b2651e7477e8bb6c0f5423af6275afeeb3935896e51491660;82959e20dae89a0ff8497a9222d90f9f77d496c60944ef95bd495122f4bfc07c;9b681e0d9a2047b3e522d43cd7ad2a149702d54b40142f54025b3b59d3820a38;5aa3f079eb83e92a669e2398971733df85035571a8112e07b64970f2f24eb6eb;f4de6a4fdbc4e4947797aa3712bd0ceb233481b60cffdd0b5c5324b63fda4f83;a10c20239c0a5921074a514b1ee70563c09299b19748d76b128e673e815e4aea	2022020d75a595038da37aaf81f0470653c1a03845d21813ffe1ed926305e182	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
736f34fd7963553e2eae155b537867155023fe4133a057cb63d036f000d2294e	caace5c983911ba559dcbc1f3de69d5add658b72e9566b8149152af3b768a5af	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|2473fb8a873e56e822a47e7fcb942df2ee86efd762d45a80cb1dcb022dd4b598	W	REMOVE_NON_WIRE_CONTROL_FLOW_ROW	7	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	UNKNOWN(invalid_parameter_import_call_wire_effect_unproved)	exact_direct_iat_call@0x006C9E42 file_off=0x002C9242 function=0x006C9DC0 iat=0x00C3B4C0 bytes=FF15C0B4C300 AND exact_direct_iat_import iat=0x00C3B4C0 iat_file_off=0x008398C0 descriptor_file_off=0x00C112DC lookup_file_off=0x00C118B4 dll_name_file_off=0x00C1647C symbol_name_file_off=0x00C15C62 dll=MSVCR90.dll symbol=_invalid_parameter_noinfo call_bytes=FF15C0B4C300 operation=PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL wire_effect=unproved basis=exact_call_bytes_and_pe_import	N/A	N/A	N/A	N/A	N/A	0	N/A	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	N/A	control_flow_iterator_guard_or_container_helper	NOT_WIRE	NOT_WIRE	N/A	N/A	N/A	N/A	N/A	N/A	0x006C9DC0	0x006C9F4A	4d40cadb26437db551ef308732c53a30eddc7429174ee53cb966cbf474a5bd0d	c27d8e65a4de1359ba8e8605135ca72b39b2f62dde88f776178f73d887d45e0d;60dddb489eb53a54f186cd41181c1b757671858479aba83d4810846b827d147c;9d270330ec69e39b2651e7477e8bb6c0f5423af6275afeeb3935896e51491660;82959e20dae89a0ff8497a9222d90f9f77d496c60944ef95bd495122f4bfc07c;9b681e0d9a2047b3e522d43cd7ad2a149702d54b40142f54025b3b59d3820a38;5aa3f079eb83e92a669e2398971733df85035571a8112e07b64970f2f24eb6eb;f4de6a4fdbc4e4947797aa3712bd0ceb233481b60cffdd0b5c5324b63fda4f83;a10c20239c0a5921074a514b1ee70563c09299b19748d76b128e673e815e4aea	8eeb498abb56aadf4d9d1c27eed786675c3e9d98af9e1e89a99d191b2c9709f9	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
acd83342d09e0643941880ad49fdce5d29fbad79705221b15040c6e1c0fba366	55b48b2ebe3f8390d4cf6c719415c34ca31a1f9d0026617878faff111219df2a	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|341e388d814b689c8b9c8b15541ab7245a6601302cd4b5578a4cedc110840c52	W	REMOVE_NON_WIRE_CONTROL_FLOW_ROW	5	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	UNKNOWN(invalid_parameter_import_call_wire_effect_unproved)	exact_direct_iat_call@0x006C9E21 file_off=0x002C9221 function=0x006C9DC0 iat=0x00C3B4C0 bytes=FF15C0B4C300 AND exact_direct_iat_import iat=0x00C3B4C0 iat_file_off=0x008398C0 descriptor_file_off=0x00C112DC lookup_file_off=0x00C118B4 dll_name_file_off=0x00C1647C symbol_name_file_off=0x00C15C62 dll=MSVCR90.dll symbol=_invalid_parameter_noinfo call_bytes=FF15C0B4C300 operation=PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL wire_effect=unproved basis=exact_call_bytes_and_pe_import	N/A	N/A	N/A	N/A	N/A	0	N/A	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	N/A	control_flow_iterator_guard_or_container_helper	NOT_WIRE	NOT_WIRE	N/A	N/A	N/A	N/A	N/A	N/A	0x006C9DC0	0x006C9F4A	4d40cadb26437db551ef308732c53a30eddc7429174ee53cb966cbf474a5bd0d	c27d8e65a4de1359ba8e8605135ca72b39b2f62dde88f776178f73d887d45e0d;60dddb489eb53a54f186cd41181c1b757671858479aba83d4810846b827d147c;9d270330ec69e39b2651e7477e8bb6c0f5423af6275afeeb3935896e51491660;82959e20dae89a0ff8497a9222d90f9f77d496c60944ef95bd495122f4bfc07c;9b681e0d9a2047b3e522d43cd7ad2a149702d54b40142f54025b3b59d3820a38;5aa3f079eb83e92a669e2398971733df85035571a8112e07b64970f2f24eb6eb;f4de6a4fdbc4e4947797aa3712bd0ceb233481b60cffdd0b5c5324b63fda4f83;a10c20239c0a5921074a514b1ee70563c09299b19748d76b128e673e815e4aea	0442e8eb1d03dc98c491b39ca96b4002b349138520409b7beba824dbccdda1b2	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
