correction_key	conflict_key	base_row_ref	direction	delta_action	prior_order	prior_tag	prior_field_offset	prior_gate	field_key	wire_key	offset_basis	object_offset	storage_width	wire_len	corrected_order	tag	corrected_gate	semantic_name	structural_status	semantic_status	field_source_va	field_source_file_offset	wire_call_va	wire_call_file_offset	persistent_write_va	consumer_va	codec_span_start	codec_span_end	codec_span_sha256	support_span_sha256	evidence_key	source	blocker	required_next_evidence	image_sha256
0acf353e09f686a8e2a3a211fbd24826038dbe211c763e0816eb4b6d7c360d9c	2a30b868a33e3c20f547a860f048665ab0e0b4d3bef3fa216f50175df01607ad	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|01743241a65a29938b374dc61e08316ee900f638b5ff6b0c0d8400d8f642cbcd	W	CORRECT_FIELD_LAYOUT	4	0x12	STACK@0x007520B0+0x44	ALWAYS	CSkillAttr@0x48.2#W	CSkillAttr@0x48.2#W	OBJECT	0x48	4	2	4	0x12	ALWAYS	stored_skill_state_entry_count_low_u16	PROVEN_EXACT	PROVEN_EXACT	0x007520D3	0x003514D3	0x007520E6	0x003514E6	0x004B8DF7	0x00751E3E;0x007521DF	0x007520B0	0x00752281	9227cc6009fff2f20c79a3b19c395f9623d87f68a4ee3462e541aed62aa7e906	3abf69326a7a821bdecd8146e3e10094fbe17086eca54ead65b30124e905bcc4;a268638f18e7d92399f42a52f4e6ddda6e556b667bc72c4096f71abd9ddad6d5;9c20362a1f04e34a35b246d91e39c870c79b626d981bf726d2abfced162d1e61;8968da355afea6db7381ca0afb164f24af547fd53c0433cf3aa2b19cbaccae1d;48d6d72bcbe3c0e62750eae148d226129616f5a7f1b952f541f879c9009a4b98;0ad083636dbf0d785b3d574df71cf201944379a60bee6d69cd78923f6ca3866f;ae9f723f4adc625bf2e207e7bc8f0e7ead00e1dc1997fd0d4394f301f9df840e;47df63ff95cca406f7fe0d3130d453d68b17e2302d733547cab7893cdcb86797;34a12de2be09fe615e308c30f53e999b43d26ed8306837611ce9e20debf2e323;14b162ee7f412866163c06aa47bead334e4b12ec99bf71aa23c25ef7333113e1;c5734671cb2f3941d26840e898fef8f1c210405c30eb255de257aa9254d76c5b;3c361d40abeaffc12d56e6e7034584b68224dceb29565a4b5545c2f9070c1a9b;a4f12ed1aac069ec1a347236dd31143232edc05fb55b6a58a52f3f4fba72eb58;4f8e940ff8f77b4e0035a00386b6f40d8892b0b204c2dccc5fc366ace36976d6	b14be9495c21875ad8e97a41c41b638d7004b525c3e177ae7ee3dafa76e52f3c	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
5d050b63a58fd1775295591b15728b6eca05e90779b6098a01b00d017af3ad24	556aea936647aa05157f0d24c8567261a7731b6082f8a12f167fbdde22f5470d	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|09c5c4828b6dccfa2e064689204cca5d344a0106515b43078f3152b69ef1cc66	R	CORRECT_FIELD_LAYOUT	15	0x12	STACK@0x007520B0+0x14	ALWAYS	CSkillAttr.RecordNode@0x10.2#R	CSkillAttr.RecordNode@0x10.2#R	RECORD_NODE	0x10	2	2	6	0x12	loop_index_u16 < decoded_count_u16	current_skill_level_u16	PROVEN_EXACT	PROVEN_EXACT	0x0075222E	0x0035162E	0x0075222E	0x0035162E	0x005D28CF	0x00752425	0x007520B0	0x00752281	9227cc6009fff2f20c79a3b19c395f9623d87f68a4ee3462e541aed62aa7e906	3abf69326a7a821bdecd8146e3e10094fbe17086eca54ead65b30124e905bcc4;a268638f18e7d92399f42a52f4e6ddda6e556b667bc72c4096f71abd9ddad6d5;9c20362a1f04e34a35b246d91e39c870c79b626d981bf726d2abfced162d1e61;8968da355afea6db7381ca0afb164f24af547fd53c0433cf3aa2b19cbaccae1d;48d6d72bcbe3c0e62750eae148d226129616f5a7f1b952f541f879c9009a4b98;0ad083636dbf0d785b3d574df71cf201944379a60bee6d69cd78923f6ca3866f;ae9f723f4adc625bf2e207e7bc8f0e7ead00e1dc1997fd0d4394f301f9df840e;47df63ff95cca406f7fe0d3130d453d68b17e2302d733547cab7893cdcb86797;34a12de2be09fe615e308c30f53e999b43d26ed8306837611ce9e20debf2e323;14b162ee7f412866163c06aa47bead334e4b12ec99bf71aa23c25ef7333113e1;c5734671cb2f3941d26840e898fef8f1c210405c30eb255de257aa9254d76c5b;3c361d40abeaffc12d56e6e7034584b68224dceb29565a4b5545c2f9070c1a9b;a4f12ed1aac069ec1a347236dd31143232edc05fb55b6a58a52f3f4fba72eb58;4f8e940ff8f77b4e0035a00386b6f40d8892b0b204c2dccc5fc366ace36976d6	c2eb99ef4eff16b12ba1cd29c6f7cd2f6641b0d351a47b707021953dc84cadbc	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
2d680e9cd8137e5e606243106bea2820ae46a2108ae2cb382dca70a6f2783747	a78442e643faa2b157bd481f80294c285749f06d6ce40826d6a7ab0dc4b9027c	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|1d87eca5a854c0437c177f767c7452287e987112c14b15af5a015b146baff284	R	CORRECT_FIELD_LAYOUT	16	0x14	STACK@0x007520B0+0x1C	ALWAYS	CSkillAttr.RecordNode@0x14.4#R	CSkillAttr.RecordNode@0x14.4#R	RECORD_NODE	0x14	4	4	7	0x14	loop_index_u16 < decoded_count_u16	current_level_skill_point_progress_u32	PROVEN_EXACT	PROVEN_EXACT	0x0075223E	0x0035163E	0x0075223E	0x0035163E	0x005D28DA	0x00752495	0x007520B0	0x00752281	9227cc6009fff2f20c79a3b19c395f9623d87f68a4ee3462e541aed62aa7e906	3abf69326a7a821bdecd8146e3e10094fbe17086eca54ead65b30124e905bcc4;a268638f18e7d92399f42a52f4e6ddda6e556b667bc72c4096f71abd9ddad6d5;9c20362a1f04e34a35b246d91e39c870c79b626d981bf726d2abfced162d1e61;8968da355afea6db7381ca0afb164f24af547fd53c0433cf3aa2b19cbaccae1d;48d6d72bcbe3c0e62750eae148d226129616f5a7f1b952f541f879c9009a4b98;0ad083636dbf0d785b3d574df71cf201944379a60bee6d69cd78923f6ca3866f;ae9f723f4adc625bf2e207e7bc8f0e7ead00e1dc1997fd0d4394f301f9df840e;47df63ff95cca406f7fe0d3130d453d68b17e2302d733547cab7893cdcb86797;34a12de2be09fe615e308c30f53e999b43d26ed8306837611ce9e20debf2e323;14b162ee7f412866163c06aa47bead334e4b12ec99bf71aa23c25ef7333113e1;c5734671cb2f3941d26840e898fef8f1c210405c30eb255de257aa9254d76c5b;3c361d40abeaffc12d56e6e7034584b68224dceb29565a4b5545c2f9070c1a9b;a4f12ed1aac069ec1a347236dd31143232edc05fb55b6a58a52f3f4fba72eb58;4f8e940ff8f77b4e0035a00386b6f40d8892b0b204c2dccc5fc366ace36976d6	75efde981fc3e937d6dcd07fbfc8473fd3982e986c1e747c3d903a12a87949c2	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
5484760c88f9824d44138f1e9a07fca4a77b398254349dd81aa9be4819358a51	7fc09fed0348d354ae9945d2c5142db73888f2c11e93e5c0c64c0a670fa4abe1	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|28395f952efe232d29512bf5eb98132d1f42787e0fb0f4e84fbf723a5f4e0b46	W	CORRECT_FIELD_LAYOUT	14	0x14	PHI(DEREF(DEREF(OBJ+0x44))|DEREF(STACK@0x007520B0+0x1C))+0x14	ALWAYS	CSkillAttr.RecordNode@0x14.4#W	CSkillAttr.RecordNode@0x14.4#W	RECORD_NODE	0x14	4	4	7	0x14	iterator_node != head/sentinel	current_level_skill_point_progress_u32	PROVEN_EXACT	PROVEN_EXACT	0x00752191	0x00351591	0x00752199	0x00351599	UNKNOWN	0x00752495	0x007520B0	0x00752281	9227cc6009fff2f20c79a3b19c395f9623d87f68a4ee3462e541aed62aa7e906	3abf69326a7a821bdecd8146e3e10094fbe17086eca54ead65b30124e905bcc4;a268638f18e7d92399f42a52f4e6ddda6e556b667bc72c4096f71abd9ddad6d5;9c20362a1f04e34a35b246d91e39c870c79b626d981bf726d2abfced162d1e61;8968da355afea6db7381ca0afb164f24af547fd53c0433cf3aa2b19cbaccae1d;48d6d72bcbe3c0e62750eae148d226129616f5a7f1b952f541f879c9009a4b98;0ad083636dbf0d785b3d574df71cf201944379a60bee6d69cd78923f6ca3866f;ae9f723f4adc625bf2e207e7bc8f0e7ead00e1dc1997fd0d4394f301f9df840e;47df63ff95cca406f7fe0d3130d453d68b17e2302d733547cab7893cdcb86797;34a12de2be09fe615e308c30f53e999b43d26ed8306837611ce9e20debf2e323;14b162ee7f412866163c06aa47bead334e4b12ec99bf71aa23c25ef7333113e1;c5734671cb2f3941d26840e898fef8f1c210405c30eb255de257aa9254d76c5b;3c361d40abeaffc12d56e6e7034584b68224dceb29565a4b5545c2f9070c1a9b;a4f12ed1aac069ec1a347236dd31143232edc05fb55b6a58a52f3f4fba72eb58;4f8e940ff8f77b4e0035a00386b6f40d8892b0b204c2dccc5fc366ace36976d6	ac1372bc5055da85c269fee7c49567a5c1f90be19d94675df4b6f93a195fb4d7	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
a20755fbdf13d3481150caa3f17288f744e47580bd21892d967364d0d8c3f7e5	8446681cdf180b753b256001f1a62e74fae7615c195f9471cc0141a0358bff66	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|6bd5ff0d5bdfb9b0c96452dbe5a8b7dffa1935c44925151c80b0452c7aa6c1a2	R	CORRECT_FIELD_LAYOUT	13	0x12	STACK@0x007520B0+0x44	ALWAYS	N/A	CSkillAttr.entry_count#R	WIRE_CONTROL	N/A	N/A	2	4	0x12	ALWAYS	wire_skill_state_record_count_loop_bound	PROVEN_EXACT	PROVEN_EXACT	0x00752205	0x00351605	0x00752205	0x00351605	UNKNOWN	0x0075220C;0x00752270	0x007520B0	0x00752281	9227cc6009fff2f20c79a3b19c395f9623d87f68a4ee3462e541aed62aa7e906	3abf69326a7a821bdecd8146e3e10094fbe17086eca54ead65b30124e905bcc4;a268638f18e7d92399f42a52f4e6ddda6e556b667bc72c4096f71abd9ddad6d5;9c20362a1f04e34a35b246d91e39c870c79b626d981bf726d2abfced162d1e61;8968da355afea6db7381ca0afb164f24af547fd53c0433cf3aa2b19cbaccae1d;48d6d72bcbe3c0e62750eae148d226129616f5a7f1b952f541f879c9009a4b98;0ad083636dbf0d785b3d574df71cf201944379a60bee6d69cd78923f6ca3866f;ae9f723f4adc625bf2e207e7bc8f0e7ead00e1dc1997fd0d4394f301f9df840e;47df63ff95cca406f7fe0d3130d453d68b17e2302d733547cab7893cdcb86797;34a12de2be09fe615e308c30f53e999b43d26ed8306837611ce9e20debf2e323;14b162ee7f412866163c06aa47bead334e4b12ec99bf71aa23c25ef7333113e1;c5734671cb2f3941d26840e898fef8f1c210405c30eb255de257aa9254d76c5b;3c361d40abeaffc12d56e6e7034584b68224dceb29565a4b5545c2f9070c1a9b;a4f12ed1aac069ec1a347236dd31143232edc05fb55b6a58a52f3f4fba72eb58;4f8e940ff8f77b4e0035a00386b6f40d8892b0b204c2dccc5fc366ace36976d6	71db1bfda6d21680645c18d7063dd6fbf9ff73e4ef481738dd0c47b4a7698cbc	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
74b5ed6c32d2cc51d5046e0fa75ec5013587381f790df95db0f240b5a613fbb5	7158790280dacbf381b5f1bac8af7c70b17cd87c449b82ee9d6e2c034ccf4740	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|9ffd4a0d7fcde74a48fa2b340c6e5f8f1f08bde157aa6af9ca1d45c1ce70975d	R	CORRECT_FIELD_LAYOUT	14	0x12	STACK@0x007520B0+0x40	ALWAYS	CSkillAttr.RecordNode@0x0C.2#R	CSkillAttr.RecordNode@0x0C.2#R	RECORD_NODE	0x0C	4	2	5	0x12	loop_index_u16 < decoded_count_u16	skill_id_u16_wire	PROVEN_EXACT	PROVEN_EXACT	0x0075221E	0x0035161E	0x0075221E	0x0035161E	0x005D28C8	0x00751FC0	0x007520B0	0x00752281	9227cc6009fff2f20c79a3b19c395f9623d87f68a4ee3462e541aed62aa7e906	3abf69326a7a821bdecd8146e3e10094fbe17086eca54ead65b30124e905bcc4;a268638f18e7d92399f42a52f4e6ddda6e556b667bc72c4096f71abd9ddad6d5;9c20362a1f04e34a35b246d91e39c870c79b626d981bf726d2abfced162d1e61;8968da355afea6db7381ca0afb164f24af547fd53c0433cf3aa2b19cbaccae1d;48d6d72bcbe3c0e62750eae148d226129616f5a7f1b952f541f879c9009a4b98;0ad083636dbf0d785b3d574df71cf201944379a60bee6d69cd78923f6ca3866f;ae9f723f4adc625bf2e207e7bc8f0e7ead00e1dc1997fd0d4394f301f9df840e;47df63ff95cca406f7fe0d3130d453d68b17e2302d733547cab7893cdcb86797;34a12de2be09fe615e308c30f53e999b43d26ed8306837611ce9e20debf2e323;14b162ee7f412866163c06aa47bead334e4b12ec99bf71aa23c25ef7333113e1;c5734671cb2f3941d26840e898fef8f1c210405c30eb255de257aa9254d76c5b;3c361d40abeaffc12d56e6e7034584b68224dceb29565a4b5545c2f9070c1a9b;a4f12ed1aac069ec1a347236dd31143232edc05fb55b6a58a52f3f4fba72eb58;4f8e940ff8f77b4e0035a00386b6f40d8892b0b204c2dccc5fc366ace36976d6	d7ac3c0487856c5c60c3409d1a01b1efc870fe22aa892f49ff2610232cea21a0	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
e51b3df4bba8f7f4c33acccfac52febcc1f57b459204609df3191ff57317fd08	158a8fa8ecab795fe9c63446ae2afd08863dec4c283cbb523ece04871e3223cb	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|c8d9695dd81da2a235a79a95b186013f0b80276562b420fc9821db7026cf906c	W	CORRECT_FIELD_LAYOUT	11	0x12	PHI(DEREF(DEREF(OBJ+0x44))|DEREF(STACK@0x007520B0+0x1C))+0x10	ALWAYS	CSkillAttr.RecordNode@0x10.2#W	CSkillAttr.RecordNode@0x10.2#W	RECORD_NODE	0x10	2	2	6	0x12	iterator_node != head/sentinel	current_skill_level_u16	PROVEN_EXACT	PROVEN_EXACT	0x0075216D	0x0035156D	0x00752175	0x00351575	UNKNOWN	0x00752425	0x007520B0	0x00752281	9227cc6009fff2f20c79a3b19c395f9623d87f68a4ee3462e541aed62aa7e906	3abf69326a7a821bdecd8146e3e10094fbe17086eca54ead65b30124e905bcc4;a268638f18e7d92399f42a52f4e6ddda6e556b667bc72c4096f71abd9ddad6d5;9c20362a1f04e34a35b246d91e39c870c79b626d981bf726d2abfced162d1e61;8968da355afea6db7381ca0afb164f24af547fd53c0433cf3aa2b19cbaccae1d;48d6d72bcbe3c0e62750eae148d226129616f5a7f1b952f541f879c9009a4b98;0ad083636dbf0d785b3d574df71cf201944379a60bee6d69cd78923f6ca3866f;ae9f723f4adc625bf2e207e7bc8f0e7ead00e1dc1997fd0d4394f301f9df840e;47df63ff95cca406f7fe0d3130d453d68b17e2302d733547cab7893cdcb86797;34a12de2be09fe615e308c30f53e999b43d26ed8306837611ce9e20debf2e323;14b162ee7f412866163c06aa47bead334e4b12ec99bf71aa23c25ef7333113e1;c5734671cb2f3941d26840e898fef8f1c210405c30eb255de257aa9254d76c5b;3c361d40abeaffc12d56e6e7034584b68224dceb29565a4b5545c2f9070c1a9b;a4f12ed1aac069ec1a347236dd31143232edc05fb55b6a58a52f3f4fba72eb58;4f8e940ff8f77b4e0035a00386b6f40d8892b0b204c2dccc5fc366ace36976d6	eb3d0c442dbef3b82ccf4c440e624b7aa737f17fc106cd87b97575b3f853d1c2	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
f5559cf81410cdbd455a320360f68d69bf87a0b7e260fd0b46f535712bff854a	4a9eeb664b4d29e148c3c8634404f544f2240f70f25e84e64530b72c2de8ded0	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|f3031dbb8a567783d131b47b048bdcbb92972df5d2948b7b2b6fdccf4a738e48	W	CORRECT_FIELD_LAYOUT	8	0x12	STACK@0x007520B0+0x40	ALWAYS	CSkillAttr.RecordNode@0x0C.2#W	CSkillAttr.RecordNode@0x0C.2#W	RECORD_NODE	0x0C	4	2	5	0x12	iterator_node != head/sentinel	skill_id_u16_wire	PROVEN_EXACT	PROVEN_EXACT	0x0075213C	0x0035153C	0x0075214F	0x0035154F	UNKNOWN	0x00751FC0	0x007520B0	0x00752281	9227cc6009fff2f20c79a3b19c395f9623d87f68a4ee3462e541aed62aa7e906	3abf69326a7a821bdecd8146e3e10094fbe17086eca54ead65b30124e905bcc4;a268638f18e7d92399f42a52f4e6ddda6e556b667bc72c4096f71abd9ddad6d5;9c20362a1f04e34a35b246d91e39c870c79b626d981bf726d2abfced162d1e61;8968da355afea6db7381ca0afb164f24af547fd53c0433cf3aa2b19cbaccae1d;48d6d72bcbe3c0e62750eae148d226129616f5a7f1b952f541f879c9009a4b98;0ad083636dbf0d785b3d574df71cf201944379a60bee6d69cd78923f6ca3866f;ae9f723f4adc625bf2e207e7bc8f0e7ead00e1dc1997fd0d4394f301f9df840e;47df63ff95cca406f7fe0d3130d453d68b17e2302d733547cab7893cdcb86797;34a12de2be09fe615e308c30f53e999b43d26ed8306837611ce9e20debf2e323;14b162ee7f412866163c06aa47bead334e4b12ec99bf71aa23c25ef7333113e1;c5734671cb2f3941d26840e898fef8f1c210405c30eb255de257aa9254d76c5b;3c361d40abeaffc12d56e6e7034584b68224dceb29565a4b5545c2f9070c1a9b;a4f12ed1aac069ec1a347236dd31143232edc05fb55b6a58a52f3f4fba72eb58;4f8e940ff8f77b4e0035a00386b6f40d8892b0b204c2dccc5fc366ace36976d6	6c1a5e6ca35b079200536e6981f074280339c640fe5a1771e9424753ff5443ce	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
9c8acfcf20a588509361fce8390ab1b5b430c1b770856024cae18771f36e30e0	4dbc1da936c74c4be1d0aad99f4e7550cd606aac3c768bed1fc0a6f1f8227d14	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|1659d4371c73aa90a3156a0b182c2ee769c0b4e4326d7c2ca9d219e9a2318c03	R	REMOVE_NON_WIRE_CONTROL_FLOW_ROW	4	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	UNKNOWN(invalid_parameter_import_call_wire_effect_unproved)	exact_direct_iat_call@0x00752111 file_off=0x00351511 function=0x007520B0 iat=0x00C3B4C0 bytes=FF15C0B4C300 AND exact_direct_iat_import iat=0x00C3B4C0 iat_file_off=0x008398C0 descriptor_file_off=0x00C112DC lookup_file_off=0x00C118B4 dll_name_file_off=0x00C1647C symbol_name_file_off=0x00C15C62 dll=MSVCR90.dll symbol=_invalid_parameter_noinfo call_bytes=FF15C0B4C300 operation=PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL wire_effect=unproved basis=exact_call_bytes_and_pe_import	N/A	N/A	N/A	N/A	N/A	0	N/A	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	N/A	control_flow_or_container_helper	NOT_WIRE	NOT_WIRE	N/A	N/A	N/A	N/A	N/A	N/A	0x007520B0	0x00752281	9227cc6009fff2f20c79a3b19c395f9623d87f68a4ee3462e541aed62aa7e906	3abf69326a7a821bdecd8146e3e10094fbe17086eca54ead65b30124e905bcc4;a268638f18e7d92399f42a52f4e6ddda6e556b667bc72c4096f71abd9ddad6d5;9c20362a1f04e34a35b246d91e39c870c79b626d981bf726d2abfced162d1e61;8968da355afea6db7381ca0afb164f24af547fd53c0433cf3aa2b19cbaccae1d;48d6d72bcbe3c0e62750eae148d226129616f5a7f1b952f541f879c9009a4b98;0ad083636dbf0d785b3d574df71cf201944379a60bee6d69cd78923f6ca3866f;ae9f723f4adc625bf2e207e7bc8f0e7ead00e1dc1997fd0d4394f301f9df840e;47df63ff95cca406f7fe0d3130d453d68b17e2302d733547cab7893cdcb86797;34a12de2be09fe615e308c30f53e999b43d26ed8306837611ce9e20debf2e323;14b162ee7f412866163c06aa47bead334e4b12ec99bf71aa23c25ef7333113e1;c5734671cb2f3941d26840e898fef8f1c210405c30eb255de257aa9254d76c5b;3c361d40abeaffc12d56e6e7034584b68224dceb29565a4b5545c2f9070c1a9b;a4f12ed1aac069ec1a347236dd31143232edc05fb55b6a58a52f3f4fba72eb58;4f8e940ff8f77b4e0035a00386b6f40d8892b0b204c2dccc5fc366ace36976d6	2a7725acdd602a3c4c010e884ca594f8089b721d085b31312d97d7033bc32ac5	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
75b15e110b3d8c14a7572d98adc056a330e29f7b4a8874289c26bdc2208e19f3	a399dc5a2c095d2d44612beda2a04757391ebe5bf6d037a16cf662b8a5ce25cd	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|186d1c1477c6316666348b36509ad8ffb6eb5bda8dfea6bffb6544629858280b	W	REMOVE_NON_WIRE_CONTROL_FLOW_ROW	7	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	UNKNOWN(invalid_parameter_import_call_wire_effect_unproved)	exact_direct_iat_call@0x00752136 file_off=0x00351536 function=0x007520B0 iat=0x00C3B4C0 bytes=FF15C0B4C300 AND exact_direct_iat_import iat=0x00C3B4C0 iat_file_off=0x008398C0 descriptor_file_off=0x00C112DC lookup_file_off=0x00C118B4 dll_name_file_off=0x00C1647C symbol_name_file_off=0x00C15C62 dll=MSVCR90.dll symbol=_invalid_parameter_noinfo call_bytes=FF15C0B4C300 operation=PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL wire_effect=unproved basis=exact_call_bytes_and_pe_import	N/A	N/A	N/A	N/A	N/A	0	N/A	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	N/A	control_flow_or_container_helper	NOT_WIRE	NOT_WIRE	N/A	N/A	N/A	N/A	N/A	N/A	0x007520B0	0x00752281	9227cc6009fff2f20c79a3b19c395f9623d87f68a4ee3462e541aed62aa7e906	3abf69326a7a821bdecd8146e3e10094fbe17086eca54ead65b30124e905bcc4;a268638f18e7d92399f42a52f4e6ddda6e556b667bc72c4096f71abd9ddad6d5;9c20362a1f04e34a35b246d91e39c870c79b626d981bf726d2abfced162d1e61;8968da355afea6db7381ca0afb164f24af547fd53c0433cf3aa2b19cbaccae1d;48d6d72bcbe3c0e62750eae148d226129616f5a7f1b952f541f879c9009a4b98;0ad083636dbf0d785b3d574df71cf201944379a60bee6d69cd78923f6ca3866f;ae9f723f4adc625bf2e207e7bc8f0e7ead00e1dc1997fd0d4394f301f9df840e;47df63ff95cca406f7fe0d3130d453d68b17e2302d733547cab7893cdcb86797;34a12de2be09fe615e308c30f53e999b43d26ed8306837611ce9e20debf2e323;14b162ee7f412866163c06aa47bead334e4b12ec99bf71aa23c25ef7333113e1;c5734671cb2f3941d26840e898fef8f1c210405c30eb255de257aa9254d76c5b;3c361d40abeaffc12d56e6e7034584b68224dceb29565a4b5545c2f9070c1a9b;a4f12ed1aac069ec1a347236dd31143232edc05fb55b6a58a52f3f4fba72eb58;4f8e940ff8f77b4e0035a00386b6f40d8892b0b204c2dccc5fc366ace36976d6	92366c0bad885fbd47b1ecc8a1603eb9e659eb354d23e3ac9fd55c6fe08b2509	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
