delta_key	action	change_type	base_file	base_line	base_row_key	base_delta_key	message	direction(W/R)	old_order	old_tag	old_field_offset	old_len	new_wire_order	new_tag	new_field_offset	new_len	new_gate_condition	resolution	evidence_ticket	evidence_span_start	evidence_span_end	evidence_span_sha256	evidence_file_off	source
03af8b08042b49b54c0c081919919ac64a9f8181e2493fbb640787622f7323be	REMOVE_OVERLAY_NONWIRE_ROW	NONWIRE_STACK_NEUTRAL_INVALID_PARAMETER_GUARD	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	986	1179b702b5ff44837695529e716e266de21d659dec6407742b99b371e815aa1e	c975f2a41acbee4c90da1e556d1b5e5c850024e17b12b3a4a1c006208d1f2de7	DailyActivityState	R	4	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	UNKNOWN(invalid_parameter_import_call_wire_effect_unproved)	N/A	N/A	N/A	N/A	N/A	N/A	EXACT_PE_IMPORT;EXECUTED_CFG_UNIQUE_DEPTH_0x28;STACK_NEUTRAL_INVALID_PARAMETER_GUARD	STATIC-DAILY-ACTIVITY-NONWIRE	0x0069CB20	0x0069CC63	28f27bb1158748030e9876e896e729d3b6fe1d18a988f7e90ed1d7b0745e31ca	0x0029BF82	IMAGE
5b2e1d15dece8b2054892da6330bee10ecc4c032633100e211c0a26d2ec2b2e6	REMOVE_OVERLAY_NONWIRE_ROW	NONWIRE_STACK_NEUTRAL_INVALID_PARAMETER_GUARD	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	987	fe76e08e9c12f7b8344ffb56a78ed6b697d138a06abe229b9df09130022076ca	5b2db97c41b1ff2e6545358f9eccff40df39cbddd5941ea101f68ac4f8287ae2	DailyActivityState	W	5	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	UNKNOWN(invalid_parameter_import_call_wire_effect_unproved)	N/A	N/A	N/A	N/A	N/A	N/A	EXACT_PE_IMPORT;EXECUTED_CFG_UNIQUE_DEPTH_0x28;STACK_NEUTRAL_INVALID_PARAMETER_GUARD	STATIC-DAILY-ACTIVITY-NONWIRE	0x0069CB20	0x0069CC63	28f27bb1158748030e9876e896e729d3b6fe1d18a988f7e90ed1d7b0745e31ca	0x0029BF82	IMAGE
6563ffcdeb1ca477f7484c9393ae899ea603a81f3903ad2b6f3697b1e569c4b8	REMOVE_OVERLAY_NONWIRE_ROW	NONWIRE_STACK_NEUTRAL_INVALID_PARAMETER_GUARD	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	988	a0fbcac4364a8755c76be57424a3825980ad0248d0a4f644486398909d25dd5c	d71337a06fb09d2a88aa43f0bdc9c4a4a1128bd27e138df80999394ebee24538	DailyActivityState	R	5	PE_IMPORT_INVALID_PARAMETER_NOINFO_SINGLETON_REGISTER_CALL	UNKNOWN(invalid_parameter_singleton_register_call_wire_effect_unproved)	N/A	N/A	N/A	N/A	N/A	N/A	EXACT_PE_IMPORT;SINGLETON_EBP_IAT_REACHING_DEFINITION;EXECUTED_CFG_UNIQUE_DEPTH_0x28;STACK_NEUTRAL_INVALID_PARAMETER_GUARD	STATIC-DAILY-ACTIVITY-NONWIRE	0x0069CB20	0x0069CC63	28f27bb1158748030e9876e896e729d3b6fe1d18a988f7e90ed1d7b0745e31ca	0x0029BF9A	IMAGE
7072973131ce993243add315e507f467e6a5398c7e1725307b607039b6295f1f	REMOVE_OVERLAY_NONWIRE_ROW	NONWIRE_STACK_NEUTRAL_INVALID_PARAMETER_GUARD	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	989	348bfd8d68193a45c9fa4ef7a25f1aa780b1ba5979363713ee3f56f91cf14af3	98b900b14a49ea0fe4523cfc52b018dfe0e69da5e1e6c175a3a285463f466cd0	DailyActivityState	W	6	PE_IMPORT_INVALID_PARAMETER_NOINFO_SINGLETON_REGISTER_CALL	UNKNOWN(invalid_parameter_singleton_register_call_wire_effect_unproved)	N/A	N/A	N/A	N/A	N/A	N/A	EXACT_PE_IMPORT;SINGLETON_EBP_IAT_REACHING_DEFINITION;EXECUTED_CFG_UNIQUE_DEPTH_0x28;STACK_NEUTRAL_INVALID_PARAMETER_GUARD	STATIC-DAILY-ACTIVITY-NONWIRE	0x0069CB20	0x0069CC63	28f27bb1158748030e9876e896e729d3b6fe1d18a988f7e90ed1d7b0745e31ca	0x0029BF9A	IMAGE
9640451e5086ef635d6ec3d170009c34f082919982c5d93cb279e42bbbf1dc01	REMOVE_OVERLAY_NONWIRE_ROW	NONWIRE_STACK_NEUTRAL_INVALID_PARAMETER_GUARD	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	990	de89064a2ed47351c5f5a8a9ab1dcd32f7fa5daa3be78018169aec0637e37c86	5a88d810ceabc46e1bf1361db5ad857ebcd3f2df84f47197ada1ad5670df3c42	DailyActivityState	R	6	PE_IMPORT_INVALID_PARAMETER_NOINFO_SINGLETON_REGISTER_CALL	UNKNOWN(invalid_parameter_singleton_register_call_wire_effect_unproved)	N/A	N/A	N/A	N/A	N/A	N/A	EXACT_PE_IMPORT;SINGLETON_EBP_IAT_REACHING_DEFINITION;EXECUTED_CFG_UNIQUE_DEPTH_0x28;STACK_NEUTRAL_INVALID_PARAMETER_GUARD	STATIC-DAILY-ACTIVITY-NONWIRE	0x0069CB20	0x0069CC63	28f27bb1158748030e9876e896e729d3b6fe1d18a988f7e90ed1d7b0745e31ca	0x0029BFA3	IMAGE
7738a8411f7ce460224292c84c9b8eab672192ba3806e6f9a89b9530a89250fa	REMOVE_OVERLAY_NONWIRE_ROW	NONWIRE_STACK_NEUTRAL_INVALID_PARAMETER_GUARD	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	991	97cd50dc942b9c1a88593f35bdf7e7e60be1f7405df81b71c0ce7a33d225345b	b139e22eb7ba502153ead25d747687fe77b9f6e72877094d6398b85aee857ffe	DailyActivityState	W	7	PE_IMPORT_INVALID_PARAMETER_NOINFO_SINGLETON_REGISTER_CALL	UNKNOWN(invalid_parameter_singleton_register_call_wire_effect_unproved)	N/A	N/A	N/A	N/A	N/A	N/A	EXACT_PE_IMPORT;SINGLETON_EBP_IAT_REACHING_DEFINITION;EXECUTED_CFG_UNIQUE_DEPTH_0x28;STACK_NEUTRAL_INVALID_PARAMETER_GUARD	STATIC-DAILY-ACTIVITY-NONWIRE	0x0069CB20	0x0069CC63	28f27bb1158748030e9876e896e729d3b6fe1d18a988f7e90ed1d7b0745e31ca	0x0029BFA3	IMAGE
b930baaaee5a62c3210fb9aad37dc16d1dbd2a6d073a95e7c47028efc283e44b	REMOVE_OVERLAY_NONWIRE_ROW	NONWIRE_STACK_NEUTRAL_INVALID_PARAMETER_GUARD	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	993	16f0374e9b18a640cafffe1ff32048b904cd9c7df039bc78f5a1d2c83f271576	06b62262816a3cf302c503fb0b052fe8afc4a599f0cf641c8aed1ce63aba6985	DailyActivityState	R	7	PE_IMPORT_INVALID_PARAMETER_NOINFO_SINGLETON_REGISTER_CALL	UNKNOWN(invalid_parameter_singleton_register_call_wire_effect_unproved)	N/A	N/A	N/A	N/A	N/A	N/A	EXACT_PE_IMPORT;SINGLETON_EBP_IAT_REACHING_DEFINITION;EXECUTED_CFG_UNIQUE_DEPTH_0x28;STACK_NEUTRAL_INVALID_PARAMETER_GUARD	STATIC-DAILY-ACTIVITY-NONWIRE	0x0069CB20	0x0069CC63	28f27bb1158748030e9876e896e729d3b6fe1d18a988f7e90ed1d7b0745e31ca	0x0029BFB8	IMAGE
95807ea1e694c10685d14fedd3d3296573818532f19700d5b954349fbfbebd80	REMOVE_OVERLAY_NONWIRE_ROW	NONWIRE_STACK_NEUTRAL_INVALID_PARAMETER_GUARD	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	994	aa5dc305336c5102dbe87f3df2b8437e64084fe85521e6dec2d1907ada97d06a	7f5fa406a9ade5d2d77c4d6aaba4b1b67b2e320a5eca802f4509783b619c9035	DailyActivityState	W	9	PE_IMPORT_INVALID_PARAMETER_NOINFO_SINGLETON_REGISTER_CALL	UNKNOWN(invalid_parameter_singleton_register_call_wire_effect_unproved)	N/A	N/A	N/A	N/A	N/A	N/A	EXACT_PE_IMPORT;SINGLETON_EBP_IAT_REACHING_DEFINITION;EXECUTED_CFG_UNIQUE_DEPTH_0x28;STACK_NEUTRAL_INVALID_PARAMETER_GUARD	STATIC-DAILY-ACTIVITY-NONWIRE	0x0069CB20	0x0069CC63	28f27bb1158748030e9876e896e729d3b6fe1d18a988f7e90ed1d7b0745e31ca	0x0029BFB8	IMAGE
3dd0ab85443f7b456549f58819c765b946d624afbc0364451756315dd41d1026	REMOVE_OVERLAY_NONWIRE_ROW	NONWIRE_STACK_NEUTRAL_INVALID_PARAMETER_GUARD	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	995	9b344f70ce61da2080ec36eaffb31e102e18ee1145d7da8b84c553758e5dadd2	5aff5a1340677fb2cb3939fbee6c82af7718682697448f182f023f1b81b74f17	DailyActivityState	R	8	PE_IMPORT_INVALID_PARAMETER_NOINFO_SINGLETON_REGISTER_CALL	UNKNOWN(invalid_parameter_singleton_register_call_wire_effect_unproved)	N/A	N/A	N/A	N/A	N/A	N/A	EXACT_PE_IMPORT;SINGLETON_EBP_IAT_REACHING_DEFINITION;EXECUTED_CFG_UNIQUE_DEPTH_0x28;STACK_NEUTRAL_INVALID_PARAMETER_GUARD	STATIC-DAILY-ACTIVITY-NONWIRE	0x0069CB20	0x0069CC63	28f27bb1158748030e9876e896e729d3b6fe1d18a988f7e90ed1d7b0745e31ca	0x0029BFBF	IMAGE
4c2be55d3a7919ebdbbc4f3e9665933ff7f67795e01c2d4c0aee262f68fffe9e	REMOVE_OVERLAY_NONWIRE_ROW	NONWIRE_STACK_NEUTRAL_INVALID_PARAMETER_GUARD	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	996	bdba7df88a4e71e6e9a0d1357c87cb023f6ffa29aa5e6bed39c6aaa5c02d5bf6	a5663d2a5825ab8677f76ee7a7e1d788039a2d760fe50a2a7aa5e5831c52ac95	DailyActivityState	W	10	PE_IMPORT_INVALID_PARAMETER_NOINFO_SINGLETON_REGISTER_CALL	UNKNOWN(invalid_parameter_singleton_register_call_wire_effect_unproved)	N/A	N/A	N/A	N/A	N/A	N/A	EXACT_PE_IMPORT;SINGLETON_EBP_IAT_REACHING_DEFINITION;EXECUTED_CFG_UNIQUE_DEPTH_0x28;STACK_NEUTRAL_INVALID_PARAMETER_GUARD	STATIC-DAILY-ACTIVITY-NONWIRE	0x0069CB20	0x0069CC63	28f27bb1158748030e9876e896e729d3b6fe1d18a988f7e90ed1d7b0745e31ca	0x0029BFBF	IMAGE
