correction_key	conflict_key	base_row_ref	direction	delta_action	prior_order	prior_tag	prior_field_offset	prior_gate	field_key	wire_key	offset_basis	object_offset	storage_width	wire_len	corrected_order	tag	corrected_gate	semantic_name	structural_status	semantic_status	field_source_va	field_source_file_offset	wire_call_va	wire_call_file_offset	persistent_write_va	consumer_va	codec_span_start	codec_span_end	codec_span_sha256	support_span_sha256	evidence_key	source	blocker	required_next_evidence	image_sha256
8add5615d62e10a4ebd946b5ee9f685b094b2684c28271c927884075af962c6c	c33738d688534148299c150045206e8e6af624ef5c9298705f202649f3d36e35	PF_SERIALIZER_FIELDS.tsv|message=Express_ClientGetExpressItemAttrsVital|direction=R|order=1|tag=0x32|file_off_claim=0x002E7D63	R	CORRECT_FIELD_LAYOUT	1	0x32	+0x18	ALWAYS	Express_ClientGetExpressItemAttrsVital@0x18.8#R	Express_ClientGetExpressItemAttrsVital@0x18.8#R	OBJECT	0x18	8	8	1	0x32	ALWAYS	inherited_express_basic_qword	PROVEN_EXACT	PARTIAL	0x006E8963	0x002E7D63	0x006E8963	0x002E7D63	0x006E8963	N/A	0x006E8920	0x006E8A8F	6a8e48502c4cede19f37d30d9e63dfc9e148a6f1f26922f5ed159be9dced48ae	6675f67e0e3a6f57c24cfdfa8655a365bbbb8e32c007fc631b8c67ab4d65868a;2095511aa9a0f5d2d618612227644e7fa2c2f9f266b89400f80fd168b74af425;dae835e735364e4b116678a31fa8073be9bdcb1e682457a5c3141b50b19a392e;5db07529339034f3be924e0a461ea0703a5003623ab6efec37fa4ac00144a0a9;b473d845bd09bf64110489bd15d28acbf76742349a99106699a3abfe00a04b85;8ee197a89fa0d3e12bc40737b2f4193ec22b20ae781192bbfe66c2717c7823e6;e9c9d1247a70ad97878ad335cf83d1ced0a7e6580245b21d07bc42191562c5ba;638878c52ec6045dc6d7813996c6938a65a752e5e8df3388896fa308af7b5adf;6db0821f0cfc15f14805783a7607fbc59de3535b30035d8da01a1bca24d0d452;3634310320e186bff6c99996f6764557acb5038961b2bb05b7c0548eecbe1932;f3b2a6b9255a6fc9b2ed588c091a4ff10808778ac0b3bc4bf95781ce30cc45d8;8a996a4e9c1bf3bdfd81d1711fbf99dba817ee21d0a48bc3200978f3ca4d8924;5a5d9aba90e35eea8119d252751058561c125ff68e54c3416a8bef6230872ddc;b21137bde28452c08f8fa6a2eda18accf9c2d51b9b7d82a1b6997986feba86c1;81aeacd2225d12cf4588aa7d74f8cbb8ace467c13a514286bc8fe1240b1e865b;e604cee8a4369de821f635da19f3882286351f9dbf59959584c83d3f83dbdd80;89095ba06030f5b4878d274a4eb197e6715512fdc1fcc6827f0637e3f8d44c78	4daa278874a8fa0a92ee339e7db125b4c74a0d6ca2064f4105bf490bfa5f0c98	IMAGE	IMAGE proves inheritance, storage, and wire use but no unique producer/consumer meaning	unique non-copy IMAGE producer/consumer or source-separated CAPTURE variation	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
f7eded13c669cf585f61713ed8168bca9eac6008f267f1fa98b9f53ba7b66740	8fc338ed881ffb4a3ab8aec68b7fe2b87596b59e7a962a6c334bc15e896dcff5	PF_SERIALIZER_FIELDS.tsv|message=Express_ClientGetExpressItemAttrsVital|direction=R|order=2|tag=0x32|file_off_claim=0x002E7D7D	R	CORRECT_FIELD_LAYOUT	2	0x32	+0x28	ALWAYS	Express_ClientGetExpressItemAttrsVital@0x28.8#R	Express_ClientGetExpressItemAttrsVital@0x28.8#R	OBJECT	0x28	8	8	2	0x32	ALWAYS	express_item_attrs_lookup_key_qword	PROVEN_EXACT	PROVEN_ROLE_ONLY	0x006E897D	0x002E7D7D	0x006E897D	0x002E7D7D	0x006E897D	0x006E6E6D;0x006E6E70	0x006E8920	0x006E8A8F	6a8e48502c4cede19f37d30d9e63dfc9e148a6f1f26922f5ed159be9dced48ae	6675f67e0e3a6f57c24cfdfa8655a365bbbb8e32c007fc631b8c67ab4d65868a;2095511aa9a0f5d2d618612227644e7fa2c2f9f266b89400f80fd168b74af425;dae835e735364e4b116678a31fa8073be9bdcb1e682457a5c3141b50b19a392e;5db07529339034f3be924e0a461ea0703a5003623ab6efec37fa4ac00144a0a9;b473d845bd09bf64110489bd15d28acbf76742349a99106699a3abfe00a04b85;8ee197a89fa0d3e12bc40737b2f4193ec22b20ae781192bbfe66c2717c7823e6;e9c9d1247a70ad97878ad335cf83d1ced0a7e6580245b21d07bc42191562c5ba;638878c52ec6045dc6d7813996c6938a65a752e5e8df3388896fa308af7b5adf;6db0821f0cfc15f14805783a7607fbc59de3535b30035d8da01a1bca24d0d452;3634310320e186bff6c99996f6764557acb5038961b2bb05b7c0548eecbe1932;f3b2a6b9255a6fc9b2ed588c091a4ff10808778ac0b3bc4bf95781ce30cc45d8;8a996a4e9c1bf3bdfd81d1711fbf99dba817ee21d0a48bc3200978f3ca4d8924;5a5d9aba90e35eea8119d252751058561c125ff68e54c3416a8bef6230872ddc;b21137bde28452c08f8fa6a2eda18accf9c2d51b9b7d82a1b6997986feba86c1;81aeacd2225d12cf4588aa7d74f8cbb8ace467c13a514286bc8fe1240b1e865b;e604cee8a4369de821f635da19f3882286351f9dbf59959584c83d3f83dbdd80;89095ba06030f5b4878d274a4eb197e6715512fdc1fcc6827f0637e3f8d44c78	0a6eb92efc45758990fb2e57e7cc3ff074715af2960c52740c3b052de77e52c8	IMAGE	underlying ID domain (mail, package, attachment, or another noun) is not uniquely proved	unique IMAGE producer naming the ID domain or source-separated CAPTURE join	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
8f99a99e220c491c14155475eefdc36a3a4ae58d277f9eacee8c567bce82e02c	7a92d9d3f488e93ffa8595fabd76d9721d671f931c4c95b15bc2244ffec3f98f	PF_SERIALIZER_FIELDS.tsv|message=Express_ClientGetExpressItemAttrsVital|direction=R|order=5|tag=0x0B|file_off_claim=0x002E7DF5	R	CORRECT_FIELD_LAYOUT	5	0x0B	+0x30	ALWAYS	Express_ClientGetExpressItemAttrsVital@0x30.1#R	Express_ClientGetExpressItemAttrsVital@0x30.1#R	OBJECT	0x30	1	1	3	0x0B	ALWAYS	lookup_operation_status_code_u8	PROVEN_EXACT	PROVEN_ROLE_ONLY	0x006E89F5	0x002E7DF5	0x006E89F5	0x002E7DF5	0x006E89F5	0x006E6E2F	0x006E8920	0x006E8A8F	6a8e48502c4cede19f37d30d9e63dfc9e148a6f1f26922f5ed159be9dced48ae	6675f67e0e3a6f57c24cfdfa8655a365bbbb8e32c007fc631b8c67ab4d65868a;2095511aa9a0f5d2d618612227644e7fa2c2f9f266b89400f80fd168b74af425;dae835e735364e4b116678a31fa8073be9bdcb1e682457a5c3141b50b19a392e;5db07529339034f3be924e0a461ea0703a5003623ab6efec37fa4ac00144a0a9;b473d845bd09bf64110489bd15d28acbf76742349a99106699a3abfe00a04b85;8ee197a89fa0d3e12bc40737b2f4193ec22b20ae781192bbfe66c2717c7823e6;e9c9d1247a70ad97878ad335cf83d1ced0a7e6580245b21d07bc42191562c5ba;638878c52ec6045dc6d7813996c6938a65a752e5e8df3388896fa308af7b5adf;6db0821f0cfc15f14805783a7607fbc59de3535b30035d8da01a1bca24d0d452;3634310320e186bff6c99996f6764557acb5038961b2bb05b7c0548eecbe1932;f3b2a6b9255a6fc9b2ed588c091a4ff10808778ac0b3bc4bf95781ce30cc45d8;8a996a4e9c1bf3bdfd81d1711fbf99dba817ee21d0a48bc3200978f3ca4d8924;5a5d9aba90e35eea8119d252751058561c125ff68e54c3416a8bef6230872ddc;b21137bde28452c08f8fa6a2eda18accf9c2d51b9b7d82a1b6997986feba86c1;81aeacd2225d12cf4588aa7d74f8cbb8ace467c13a514286bc8fe1240b1e865b;e604cee8a4369de821f635da19f3882286351f9dbf59959584c83d3f83dbdd80;89095ba06030f5b4878d274a4eb197e6715512fdc1fcc6827f0637e3f8d44c78	47551ed398c5153ed932ea12711df532481603be69cf3a887b0e4f69d66a86bc	IMAGE	observed values 0, 4, and outbound default 5 do not prove the full enum or UI message 0x322 meaning	complete typed producer/consumer enum census	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
cb09e154637a2b7f464107a0a453a119bfe6f206984603c47d94752769b684b5	d21cfeb863ec50dc034e7a19ce984d9df4c1ef34aedbe12750059f5a24d11e93	PF_SERIALIZER_FIELDS.tsv|message=Express_ClientGetExpressItemAttrsVital|direction=R|order=6|tag=0x12|file_off_claim=0x002E7E0B	R	CORRECT_FIELD_LAYOUT	6	0x12	STACK@0x006E8920+0x2C	ALWAYS	N/A	Express_ClientGetExpressItemAttrsVital.item_attr_count#R	WIRE_CONTROL	N/A	N/A	2	4	0x12	ALWAYS	lookup_item_attr_count_u16	PROVEN_EXACT	PROVEN_EXACT	0x006E8A0B	0x002E7E0B	0x006E8A0B	0x002E7E0B	0x006E8A0B	0x006E8A12;0x006E8A75	0x006E8920	0x006E8A8F	6a8e48502c4cede19f37d30d9e63dfc9e148a6f1f26922f5ed159be9dced48ae	6675f67e0e3a6f57c24cfdfa8655a365bbbb8e32c007fc631b8c67ab4d65868a;2095511aa9a0f5d2d618612227644e7fa2c2f9f266b89400f80fd168b74af425;dae835e735364e4b116678a31fa8073be9bdcb1e682457a5c3141b50b19a392e;5db07529339034f3be924e0a461ea0703a5003623ab6efec37fa4ac00144a0a9;b473d845bd09bf64110489bd15d28acbf76742349a99106699a3abfe00a04b85;8ee197a89fa0d3e12bc40737b2f4193ec22b20ae781192bbfe66c2717c7823e6;e9c9d1247a70ad97878ad335cf83d1ced0a7e6580245b21d07bc42191562c5ba;638878c52ec6045dc6d7813996c6938a65a752e5e8df3388896fa308af7b5adf;6db0821f0cfc15f14805783a7607fbc59de3535b30035d8da01a1bca24d0d452;3634310320e186bff6c99996f6764557acb5038961b2bb05b7c0548eecbe1932;f3b2a6b9255a6fc9b2ed588c091a4ff10808778ac0b3bc4bf95781ce30cc45d8;8a996a4e9c1bf3bdfd81d1711fbf99dba817ee21d0a48bc3200978f3ca4d8924;5a5d9aba90e35eea8119d252751058561c125ff68e54c3416a8bef6230872ddc;b21137bde28452c08f8fa6a2eda18accf9c2d51b9b7d82a1b6997986feba86c1;81aeacd2225d12cf4588aa7d74f8cbb8ace467c13a514286bc8fe1240b1e865b;e604cee8a4369de821f635da19f3882286351f9dbf59959584c83d3f83dbdd80;89095ba06030f5b4878d274a4eb197e6715512fdc1fcc6827f0637e3f8d44c78	be63aea1ff16c829a955a3d79d7295adfc595ad25750a858ced2bd32d88fc046	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
a391454e16bb3b0197dca513e8c405b39d88c3d3f7ea6f5f48cc1e852e51a3b8	e5893d3dfa5cd53fa9dd00f09dca79ddc7cc944613704b119e87b354ec432c52	PF_SERIALIZER_FIELDS.tsv|message=Express_ClientGetExpressItemAttrsVital|direction=R|order=9|tag=CALL_UNCLASSIFIED:INDIRECT(DEREF(DEREF(RET(0x0046BAA0))+0x34))|file_off_claim=0x002E7E51	R	CORRECT_FIELD_LAYOUT	9	CALL_UNCLASSIFIED:INDIRECT(DEREF(DEREF(RET(0x0046BAA0))+0x34))	UNKNOWN(indirect_call_not_proven_serializer_slot)	ALWAYS	N/A	Express_ClientGetExpressItemAttrsVital.item_attr_entry.slot34#R	DYNAMIC_OBJECT	N/A	DYNAMIC	DYNAMIC	5	SUBCALL:0x0046BD30	entry_index < lookup_item_attr_count_u16	lookup_item_attr_entry_payload	PROVEN_EXACT	PROVEN_EXACT	0x006E8A51	0x002E7E51	0x006E8A51	0x002E7E51	0x0046BAA0	ItemAttr vtable 0x00F0EBB0 +0x34	0x006E8920	0x006E8A8F	6a8e48502c4cede19f37d30d9e63dfc9e148a6f1f26922f5ed159be9dced48ae	6675f67e0e3a6f57c24cfdfa8655a365bbbb8e32c007fc631b8c67ab4d65868a;2095511aa9a0f5d2d618612227644e7fa2c2f9f266b89400f80fd168b74af425;dae835e735364e4b116678a31fa8073be9bdcb1e682457a5c3141b50b19a392e;5db07529339034f3be924e0a461ea0703a5003623ab6efec37fa4ac00144a0a9;b473d845bd09bf64110489bd15d28acbf76742349a99106699a3abfe00a04b85;8ee197a89fa0d3e12bc40737b2f4193ec22b20ae781192bbfe66c2717c7823e6;e9c9d1247a70ad97878ad335cf83d1ced0a7e6580245b21d07bc42191562c5ba;638878c52ec6045dc6d7813996c6938a65a752e5e8df3388896fa308af7b5adf;6db0821f0cfc15f14805783a7607fbc59de3535b30035d8da01a1bca24d0d452;3634310320e186bff6c99996f6764557acb5038961b2bb05b7c0548eecbe1932;f3b2a6b9255a6fc9b2ed588c091a4ff10808778ac0b3bc4bf95781ce30cc45d8;8a996a4e9c1bf3bdfd81d1711fbf99dba817ee21d0a48bc3200978f3ca4d8924;5a5d9aba90e35eea8119d252751058561c125ff68e54c3416a8bef6230872ddc;b21137bde28452c08f8fa6a2eda18accf9c2d51b9b7d82a1b6997986feba86c1;81aeacd2225d12cf4588aa7d74f8cbb8ace467c13a514286bc8fe1240b1e865b;e604cee8a4369de821f635da19f3882286351f9dbf59959584c83d3f83dbdd80;89095ba06030f5b4878d274a4eb197e6715512fdc1fcc6827f0637e3f8d44c78	c3a1976688deec173858ebe9536ea365d20cf81b495609730a77e498b93ec675	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
8b8c6805a94f86082e5d6dd1ca04e9ae3269201e45d65d20ac5abd5e8c5ab753	01dd89fc2b2d7504f5ed60b00fcbfe815e48db8bc8cb751dbc2627bbd50189ac	PF_SERIALIZER_FIELDS.tsv|message=Express_ClientGetExpressItemAttrsVital|direction=W|order=1|tag=0x32|file_off_claim=0x002E7D5C	W	CORRECT_FIELD_LAYOUT	1	0x32	+0x18	ALWAYS	Express_ClientGetExpressItemAttrsVital@0x18.8#W	Express_ClientGetExpressItemAttrsVital@0x18.8#W	OBJECT	0x18	8	8	1	0x32	ALWAYS	inherited_express_basic_qword	PROVEN_EXACT	PARTIAL	0x006E895C	0x002E7D5C	0x006E895C	0x002E7D5C	0x006E540F	N/A	0x006E8920	0x006E8A8F	6a8e48502c4cede19f37d30d9e63dfc9e148a6f1f26922f5ed159be9dced48ae	6675f67e0e3a6f57c24cfdfa8655a365bbbb8e32c007fc631b8c67ab4d65868a;2095511aa9a0f5d2d618612227644e7fa2c2f9f266b89400f80fd168b74af425;dae835e735364e4b116678a31fa8073be9bdcb1e682457a5c3141b50b19a392e;5db07529339034f3be924e0a461ea0703a5003623ab6efec37fa4ac00144a0a9;b473d845bd09bf64110489bd15d28acbf76742349a99106699a3abfe00a04b85;8ee197a89fa0d3e12bc40737b2f4193ec22b20ae781192bbfe66c2717c7823e6;e9c9d1247a70ad97878ad335cf83d1ced0a7e6580245b21d07bc42191562c5ba;638878c52ec6045dc6d7813996c6938a65a752e5e8df3388896fa308af7b5adf;6db0821f0cfc15f14805783a7607fbc59de3535b30035d8da01a1bca24d0d452;3634310320e186bff6c99996f6764557acb5038961b2bb05b7c0548eecbe1932;f3b2a6b9255a6fc9b2ed588c091a4ff10808778ac0b3bc4bf95781ce30cc45d8;8a996a4e9c1bf3bdfd81d1711fbf99dba817ee21d0a48bc3200978f3ca4d8924;5a5d9aba90e35eea8119d252751058561c125ff68e54c3416a8bef6230872ddc;b21137bde28452c08f8fa6a2eda18accf9c2d51b9b7d82a1b6997986feba86c1;81aeacd2225d12cf4588aa7d74f8cbb8ace467c13a514286bc8fe1240b1e865b;e604cee8a4369de821f635da19f3882286351f9dbf59959584c83d3f83dbdd80;89095ba06030f5b4878d274a4eb197e6715512fdc1fcc6827f0637e3f8d44c78	527f4dc4baf27ea7a879434a2b88cf24453483e4d958727c2a78a69bf6a28671	IMAGE	IMAGE proves inheritance, storage, and wire use but no unique producer/consumer meaning	unique non-copy IMAGE producer/consumer or source-separated CAPTURE variation	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
0686949b3d0c1ae4e1f04bf2d76440f20ee6e5132fcf0ad6001a20d1a11a3aa8	06d18d88cd0f6cc72a04472bfeaeb58363f4bb347a1ac7cb477ac0d5fe5a9253	PF_SERIALIZER_FIELDS.tsv|message=Express_ClientGetExpressItemAttrsVital|direction=W|order=2|tag=0x32|file_off_claim=0x002E7D76	W	CORRECT_FIELD_LAYOUT	2	0x32	+0x28	ALWAYS	Express_ClientGetExpressItemAttrsVital@0x28.8#W	Express_ClientGetExpressItemAttrsVital@0x28.8#W	OBJECT	0x28	8	8	2	0x32	ALWAYS	express_item_attrs_lookup_key_qword	PROVEN_EXACT	PROVEN_ROLE_ONLY	0x006E8976	0x002E7D76	0x006E8976	0x002E7D76	0x006E5D21	0x006E5C6D;0x006E6E6D	0x006E8920	0x006E8A8F	6a8e48502c4cede19f37d30d9e63dfc9e148a6f1f26922f5ed159be9dced48ae	6675f67e0e3a6f57c24cfdfa8655a365bbbb8e32c007fc631b8c67ab4d65868a;2095511aa9a0f5d2d618612227644e7fa2c2f9f266b89400f80fd168b74af425;dae835e735364e4b116678a31fa8073be9bdcb1e682457a5c3141b50b19a392e;5db07529339034f3be924e0a461ea0703a5003623ab6efec37fa4ac00144a0a9;b473d845bd09bf64110489bd15d28acbf76742349a99106699a3abfe00a04b85;8ee197a89fa0d3e12bc40737b2f4193ec22b20ae781192bbfe66c2717c7823e6;e9c9d1247a70ad97878ad335cf83d1ced0a7e6580245b21d07bc42191562c5ba;638878c52ec6045dc6d7813996c6938a65a752e5e8df3388896fa308af7b5adf;6db0821f0cfc15f14805783a7607fbc59de3535b30035d8da01a1bca24d0d452;3634310320e186bff6c99996f6764557acb5038961b2bb05b7c0548eecbe1932;f3b2a6b9255a6fc9b2ed588c091a4ff10808778ac0b3bc4bf95781ce30cc45d8;8a996a4e9c1bf3bdfd81d1711fbf99dba817ee21d0a48bc3200978f3ca4d8924;5a5d9aba90e35eea8119d252751058561c125ff68e54c3416a8bef6230872ddc;b21137bde28452c08f8fa6a2eda18accf9c2d51b9b7d82a1b6997986feba86c1;81aeacd2225d12cf4588aa7d74f8cbb8ace467c13a514286bc8fe1240b1e865b;e604cee8a4369de821f635da19f3882286351f9dbf59959584c83d3f83dbdd80;89095ba06030f5b4878d274a4eb197e6715512fdc1fcc6827f0637e3f8d44c78	d712f2687bfb1f10b83e2e86ee09b718799293907df6ad15a16dc30ec2c6cb56	IMAGE	underlying ID domain (mail, package, attachment, or another noun) is not uniquely proved	unique IMAGE producer naming the ID domain or source-separated CAPTURE join	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
648a50ca24087b8cedf1e7c420a21964a63c55474133e04e19125492023d5f12	e0f1c3770b8310264a0db17f51e3b9fd186df4c19ddba6d86628ea44c04e970f	PF_SERIALIZER_FIELDS.tsv|message=Express_ClientGetExpressItemAttrsVital|direction=W|order=3|tag=0x0B|file_off_claim=0x002E7D90	W	CORRECT_FIELD_LAYOUT	3	0x0B	+0x30	ALWAYS	Express_ClientGetExpressItemAttrsVital@0x30.1#W	Express_ClientGetExpressItemAttrsVital@0x30.1#W	OBJECT	0x30	1	1	3	0x0B	ALWAYS	lookup_operation_status_code_u8	PROVEN_EXACT	PROVEN_ROLE_ONLY	0x006E8990	0x002E7D90	0x006E8990	0x002E7D90	0x006E5425	0x006E6E2F	0x006E8920	0x006E8A8F	6a8e48502c4cede19f37d30d9e63dfc9e148a6f1f26922f5ed159be9dced48ae	6675f67e0e3a6f57c24cfdfa8655a365bbbb8e32c007fc631b8c67ab4d65868a;2095511aa9a0f5d2d618612227644e7fa2c2f9f266b89400f80fd168b74af425;dae835e735364e4b116678a31fa8073be9bdcb1e682457a5c3141b50b19a392e;5db07529339034f3be924e0a461ea0703a5003623ab6efec37fa4ac00144a0a9;b473d845bd09bf64110489bd15d28acbf76742349a99106699a3abfe00a04b85;8ee197a89fa0d3e12bc40737b2f4193ec22b20ae781192bbfe66c2717c7823e6;e9c9d1247a70ad97878ad335cf83d1ced0a7e6580245b21d07bc42191562c5ba;638878c52ec6045dc6d7813996c6938a65a752e5e8df3388896fa308af7b5adf;6db0821f0cfc15f14805783a7607fbc59de3535b30035d8da01a1bca24d0d452;3634310320e186bff6c99996f6764557acb5038961b2bb05b7c0548eecbe1932;f3b2a6b9255a6fc9b2ed588c091a4ff10808778ac0b3bc4bf95781ce30cc45d8;8a996a4e9c1bf3bdfd81d1711fbf99dba817ee21d0a48bc3200978f3ca4d8924;5a5d9aba90e35eea8119d252751058561c125ff68e54c3416a8bef6230872ddc;b21137bde28452c08f8fa6a2eda18accf9c2d51b9b7d82a1b6997986feba86c1;81aeacd2225d12cf4588aa7d74f8cbb8ace467c13a514286bc8fe1240b1e865b;e604cee8a4369de821f635da19f3882286351f9dbf59959584c83d3f83dbdd80;89095ba06030f5b4878d274a4eb197e6715512fdc1fcc6827f0637e3f8d44c78	51904a3f8df2b8fd166bd91e99680b13a5a5122ddbb5850b2ffd4bc2c502a07c	IMAGE	observed values 0, 4, and outbound default 5 do not prove the full enum or UI message 0x322 meaning	complete typed producer/consumer enum census	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
73e025d310d7bb5ef218d8e6be981eb1cb4326e7b1ab9f5cebc81355bbc07ded	1b622cc41a2dcd059292817e893b2372304375735ffedd5df64001806018ada6	PF_SERIALIZER_FIELDS.tsv|message=Express_ClientGetExpressItemAttrsVital|direction=W|order=4|tag=0x12|file_off_claim=0x002E7DB0	W	CORRECT_FIELD_LAYOUT	4	0x12	STACK@0x006E8920+0x28	ALWAYS	N/A	Express_ClientGetExpressItemAttrsVital.item_attr_count#W	WIRE_CONTROL	N/A	N/A	2	4	0x12	ALWAYS	lookup_item_attr_count_u16	PROVEN_EXACT	PROVEN_EXACT	0x006E89B0	0x002E7DB0	0x006E89B0	0x002E7DB0	0x006E8995	0x006E89B9	0x006E8920	0x006E8A8F	6a8e48502c4cede19f37d30d9e63dfc9e148a6f1f26922f5ed159be9dced48ae	6675f67e0e3a6f57c24cfdfa8655a365bbbb8e32c007fc631b8c67ab4d65868a;2095511aa9a0f5d2d618612227644e7fa2c2f9f266b89400f80fd168b74af425;dae835e735364e4b116678a31fa8073be9bdcb1e682457a5c3141b50b19a392e;5db07529339034f3be924e0a461ea0703a5003623ab6efec37fa4ac00144a0a9;b473d845bd09bf64110489bd15d28acbf76742349a99106699a3abfe00a04b85;8ee197a89fa0d3e12bc40737b2f4193ec22b20ae781192bbfe66c2717c7823e6;e9c9d1247a70ad97878ad335cf83d1ced0a7e6580245b21d07bc42191562c5ba;638878c52ec6045dc6d7813996c6938a65a752e5e8df3388896fa308af7b5adf;6db0821f0cfc15f14805783a7607fbc59de3535b30035d8da01a1bca24d0d452;3634310320e186bff6c99996f6764557acb5038961b2bb05b7c0548eecbe1932;f3b2a6b9255a6fc9b2ed588c091a4ff10808778ac0b3bc4bf95781ce30cc45d8;8a996a4e9c1bf3bdfd81d1711fbf99dba817ee21d0a48bc3200978f3ca4d8924;5a5d9aba90e35eea8119d252751058561c125ff68e54c3416a8bef6230872ddc;b21137bde28452c08f8fa6a2eda18accf9c2d51b9b7d82a1b6997986feba86c1;81aeacd2225d12cf4588aa7d74f8cbb8ace467c13a514286bc8fe1240b1e865b;e604cee8a4369de821f635da19f3882286351f9dbf59959584c83d3f83dbdd80;89095ba06030f5b4878d274a4eb197e6715512fdc1fcc6827f0637e3f8d44c78	e90380f4028b1d221b22856fbaa2f61bbb39844e8d776480ccf90f45abdbddaa	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
bfc0efedf8658673586374c4b999b022ac1dc40c673d253632434f2cb4858f06	1c69e42efbc12a3db2fc87e93851936ecd9bb8b73804f8f80971483a2ae3109f	PF_SERIALIZER_FIELDS.tsv|message=Express_ClientGetExpressItemAttrsVital|direction=W|order=6|tag=CALL_UNCLASSIFIED:INDIRECT(DEREF(DEREF(DEREF(DEREF(PHI(OBJ|REG(ebp))+0x40)+PHI(REG(esi)+0x1|0x0)*4))+0x34))|file_off_claim=0x002E7DE4	W	CORRECT_FIELD_LAYOUT	6	CALL_UNCLASSIFIED:INDIRECT(DEREF(DEREF(DEREF(DEREF(PHI(OBJ|REG(ebp))+0x40)+PHI(REG(esi)+0x1|0x0)*4))+0x34))	UNKNOWN(indirect_call_not_proven_serializer_slot)	ALWAYS	N/A	Express_ClientGetExpressItemAttrsVital.item_attr_entry.slot34#W	DYNAMIC_OBJECT	N/A	DYNAMIC	DYNAMIC	5	SUBCALL:DYNAMIC+0x34	entry_index < lookup_item_attr_count_u16	lookup_item_attr_entry_payload	PROVEN_EXACT	PARTIAL	0x006E89E4	0x002E7DE4	0x006E89E4	0x002E7DE4	N/A	vector_entry->vtable+0x34	0x006E8920	0x006E8A8F	6a8e48502c4cede19f37d30d9e63dfc9e148a6f1f26922f5ed159be9dced48ae	6675f67e0e3a6f57c24cfdfa8655a365bbbb8e32c007fc631b8c67ab4d65868a;2095511aa9a0f5d2d618612227644e7fa2c2f9f266b89400f80fd168b74af425;dae835e735364e4b116678a31fa8073be9bdcb1e682457a5c3141b50b19a392e;5db07529339034f3be924e0a461ea0703a5003623ab6efec37fa4ac00144a0a9;b473d845bd09bf64110489bd15d28acbf76742349a99106699a3abfe00a04b85;8ee197a89fa0d3e12bc40737b2f4193ec22b20ae781192bbfe66c2717c7823e6;e9c9d1247a70ad97878ad335cf83d1ced0a7e6580245b21d07bc42191562c5ba;638878c52ec6045dc6d7813996c6938a65a752e5e8df3388896fa308af7b5adf;6db0821f0cfc15f14805783a7607fbc59de3535b30035d8da01a1bca24d0d452;3634310320e186bff6c99996f6764557acb5038961b2bb05b7c0548eecbe1932;f3b2a6b9255a6fc9b2ed588c091a4ff10808778ac0b3bc4bf95781ce30cc45d8;8a996a4e9c1bf3bdfd81d1711fbf99dba817ee21d0a48bc3200978f3ca4d8924;5a5d9aba90e35eea8119d252751058561c125ff68e54c3416a8bef6230872ddc;b21137bde28452c08f8fa6a2eda18accf9c2d51b9b7d82a1b6997986feba86c1;81aeacd2225d12cf4588aa7d74f8cbb8ace467c13a514286bc8fe1240b1e865b;e604cee8a4369de821f635da19f3882286351f9dbf59959584c83d3f83dbdd80;89095ba06030f5b4878d274a4eb197e6715512fdc1fcc6827f0637e3f8d44c78	05a33c9ab24a5df31085cd146e1258fb2ba66b6d5bc6f87c30781327ff24f74a	IMAGE	concrete W runtime subtype and serializer target are not statically unique	runtime class/vtable identity or source-separated CAPTURE payload validation	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
