correction_key	conflict_key	base_row_ref	direction	delta_action	prior_order	prior_tag	prior_field_offset	prior_gate	field_key	wire_key	offset_basis	object_offset	storage_width	wire_len	corrected_order	tag	corrected_gate	semantic_name	structural_status	semantic_status	field_source_va	field_source_file_offset	wire_call_va	wire_call_file_offset	persistent_write_va	consumer_va	codec_span_start	codec_span_end	codec_span_sha256	support_span_sha256	evidence_key	source	blocker	required_next_evidence	image_sha256
6599dc353ec285239b13f7f4411ef8c2c17f83504023c6c6aef8a0e5892f1413	6dfa2017ccf310c2678e169d79e47a199269160f9f2c8c0f9e3e88116415c595	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|36aa64e3c67eb1e2714f8ccfb2685c482c6cafe5637012b20efd6d702d6d79b3	R	CORRECT_FIELD_LAYOUT	12	0x14	STACK@0x004693B0+0x28	ALWAYS	InstanceRefreshAttr.RecordNode@0x10.4#R	InstanceRefreshAttr.RecordNode@0x10.4#R	RECORD_NODE	0x10	4	4	6	0x14	loop_index_u16 < decoded_count_u16	instance_refresh_time_endpoint_u32	PROVEN_EXACT	PROVEN_EXACT	0x004694C9	0x000688C9	0x004694C9	0x000688C9	0x004694DA	0x005521F2;0x005521FB;0x005521FE	0x004693B0	0x004694F1	13847761166d9e08bd61e7e7dbcc8b3db2853bcab9baeb08e18270594764b23d	d0500cded78505a0818746caa71cc5a1acebb9cecfc29867bdf5bd0c4ef8ae2b;a72dc6d97a3822370729b8557a0a2966f9bb1f9fef9653ecf0123086d4886025;cc0e3c71594c147e51eac24ceb9aab5d5e11d2cf1596258357191a70b42de771;fa6fee6512f830d1860c3da58fa3b48777f46d6d2e288cca2f8792c06abf73ac;9f8fb4eaf3332633c1f4bfbdc16333d27e4f0b77d8a9fd0c6a9a1261986f8368;bf18912ac08f5210537609305e42cc051f346507d7060767b4203df41afa1c69;e00f715200fac26efa30adb0d6cfdb7e2f14004329ded89238ab8767e124029f;53a36c439ef41d052a4bacd8359dc3b637a76a79bdd9af52888d2c4a5b26662c;3acce1907aa450fb7261febe5fc9613478d4ad909823e8777235e8968390e884;8e241cd75572a6184ae4cf666514040e81028973778a004342018ac0862138e4;a414e52711ab76cbf8d95f124d815b6acf208a929a2e2a754f6bde80afef8a2b;bae29647a57364a1ab7a4bb87453527a99f1d0d86d6317fdebf8abd85ebbaa43;31984365956a6496344b75184f376966472c65d07b4cebb65c8995b2049747fa;c10b03d56c5c8ca535197d53f10df075007fe7021bdd9380b65e75205e4f1812;f5f84cf6d63f89302855d0bb72686a921cc0b6251589ab46aa98de7ffa227ca2	ddc196cc36de0bd13bdc1a337713ec973983931f35248043e8f85d1f64d86e0b	IMAGE	time unit, epoch, and original clock authority remain UNKNOWN	exact producer of runtime clock slot +0x7BC or separate-source varied CAPTURE timing	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
e44ff200e4d3bb787969b0fdcf966e2153a9ff39ac739148457ca9fd7f91668d	20bfd9930a865843bc5dac69a0c6ff06f0a95a11c46b96dcd9b1e171361f399a	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|84769cbeed5145d5538294c24ac27ed5181d4e979e1a439c35a5ce453969cd82	R	CORRECT_FIELD_LAYOUT	11	0x0F	STACK@0x004693B0+0x14	ALWAYS	InstanceRefreshAttr.RecordNode@0x0C.2#R	InstanceRefreshAttr.RecordNode@0x0C.2#R	RECORD_NODE	0x0C	2	2	5	0x0F	loop_index_u16 < decoded_count_u16	instance_identifier_s16	PROVEN_EXACT	PROVEN_EXACT	0x004694B9	0x000688B9	0x004694B9	0x000688B9	0x004694DA	0x005520F7;0x0055225D;0x00552261	0x004693B0	0x004694F1	13847761166d9e08bd61e7e7dbcc8b3db2853bcab9baeb08e18270594764b23d	d0500cded78505a0818746caa71cc5a1acebb9cecfc29867bdf5bd0c4ef8ae2b;a72dc6d97a3822370729b8557a0a2966f9bb1f9fef9653ecf0123086d4886025;cc0e3c71594c147e51eac24ceb9aab5d5e11d2cf1596258357191a70b42de771;fa6fee6512f830d1860c3da58fa3b48777f46d6d2e288cca2f8792c06abf73ac;9f8fb4eaf3332633c1f4bfbdc16333d27e4f0b77d8a9fd0c6a9a1261986f8368;bf18912ac08f5210537609305e42cc051f346507d7060767b4203df41afa1c69;e00f715200fac26efa30adb0d6cfdb7e2f14004329ded89238ab8767e124029f;53a36c439ef41d052a4bacd8359dc3b637a76a79bdd9af52888d2c4a5b26662c;3acce1907aa450fb7261febe5fc9613478d4ad909823e8777235e8968390e884;8e241cd75572a6184ae4cf666514040e81028973778a004342018ac0862138e4;a414e52711ab76cbf8d95f124d815b6acf208a929a2e2a754f6bde80afef8a2b;bae29647a57364a1ab7a4bb87453527a99f1d0d86d6317fdebf8abd85ebbaa43;31984365956a6496344b75184f376966472c65d07b4cebb65c8995b2049747fa;c10b03d56c5c8ca535197d53f10df075007fe7021bdd9380b65e75205e4f1812;f5f84cf6d63f89302855d0bb72686a921cc0b6251589ab46aa98de7ffa227ca2	93bdb3f65bb406a760ee3b88b3305a092ee2cb4ac3247fbf06fd50c5abed8c6f	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
fa1663fb12dc623caafe334e24e3618392d1ef2f5782493acf7c89e4c2eb7ae2	4ba47ca29a26f1de1e5ebe47f9b885e3f544524b88ab903cb47b6b877ff0939f	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|a0612b0570756d7d252b80afb4edd51a407edac542067702448a52d4b6754379	R	CORRECT_FIELD_LAYOUT	10	0x0F	STACK@0x004693B0+0x2C	ALWAYS	N/A	InstanceRefreshAttr.entry_count#R	WIRE_CONTROL	N/A	N/A	2	4	0x0F	ALWAYS_AFTER_DBATTRIBUTE_CODEC	wire_instance_refresh_record_count_loop_bound	PROVEN_EXACT	PROVEN_EXACT	0x00469496	0x00068896	0x00469496	0x00068896	0x004694DA	0x0046949F;0x004694E0	0x004693B0	0x004694F1	13847761166d9e08bd61e7e7dbcc8b3db2853bcab9baeb08e18270594764b23d	d0500cded78505a0818746caa71cc5a1acebb9cecfc29867bdf5bd0c4ef8ae2b;a72dc6d97a3822370729b8557a0a2966f9bb1f9fef9653ecf0123086d4886025;cc0e3c71594c147e51eac24ceb9aab5d5e11d2cf1596258357191a70b42de771;fa6fee6512f830d1860c3da58fa3b48777f46d6d2e288cca2f8792c06abf73ac;9f8fb4eaf3332633c1f4bfbdc16333d27e4f0b77d8a9fd0c6a9a1261986f8368;bf18912ac08f5210537609305e42cc051f346507d7060767b4203df41afa1c69;e00f715200fac26efa30adb0d6cfdb7e2f14004329ded89238ab8767e124029f;53a36c439ef41d052a4bacd8359dc3b637a76a79bdd9af52888d2c4a5b26662c;3acce1907aa450fb7261febe5fc9613478d4ad909823e8777235e8968390e884;8e241cd75572a6184ae4cf666514040e81028973778a004342018ac0862138e4;a414e52711ab76cbf8d95f124d815b6acf208a929a2e2a754f6bde80afef8a2b;bae29647a57364a1ab7a4bb87453527a99f1d0d86d6317fdebf8abd85ebbaa43;31984365956a6496344b75184f376966472c65d07b4cebb65c8995b2049747fa;c10b03d56c5c8ca535197d53f10df075007fe7021bdd9380b65e75205e4f1812;f5f84cf6d63f89302855d0bb72686a921cc0b6251589ab46aa98de7ffa227ca2	561fd7bce8c1cee21d5b2bac74139a922317043ace18dd3d80dcadebb91ec4f7	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
a136c6aadf48d3cf385937f9ba1af6d4e5a11ff9509a21db2e7c2d7ad1c39155	071a8e4236b7c90faaec8cf6463314bbf445b334f8fe85b1089393b32550918c	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|ccb9fcc248080b8207ec33a96f3382aab59c27e3bf1e2d5bfe0a09145bf21ec8	W	CORRECT_FIELD_LAYOUT	11	0x14	PHI(DEREF(DEREF(OBJ+0x40))|DEREF(STACK@0x004693B0+0x14))+0x10	ALWAYS	InstanceRefreshAttr.RecordNode@0x10.4#W	InstanceRefreshAttr.RecordNode@0x10.4#W	RECORD_NODE	0x10	4	4	6	0x14	iterator_node != head/sentinel	instance_refresh_time_endpoint_u32	PROVEN_EXACT	PROVEN_EXACT	0x0046945F	0x0006885F	0x00469467	0x00068867	0x00469280	0x005521F2;0x005521FB;0x005521FE	0x004693B0	0x004694F1	13847761166d9e08bd61e7e7dbcc8b3db2853bcab9baeb08e18270594764b23d	d0500cded78505a0818746caa71cc5a1acebb9cecfc29867bdf5bd0c4ef8ae2b;a72dc6d97a3822370729b8557a0a2966f9bb1f9fef9653ecf0123086d4886025;cc0e3c71594c147e51eac24ceb9aab5d5e11d2cf1596258357191a70b42de771;fa6fee6512f830d1860c3da58fa3b48777f46d6d2e288cca2f8792c06abf73ac;9f8fb4eaf3332633c1f4bfbdc16333d27e4f0b77d8a9fd0c6a9a1261986f8368;bf18912ac08f5210537609305e42cc051f346507d7060767b4203df41afa1c69;e00f715200fac26efa30adb0d6cfdb7e2f14004329ded89238ab8767e124029f;53a36c439ef41d052a4bacd8359dc3b637a76a79bdd9af52888d2c4a5b26662c;3acce1907aa450fb7261febe5fc9613478d4ad909823e8777235e8968390e884;8e241cd75572a6184ae4cf666514040e81028973778a004342018ac0862138e4;a414e52711ab76cbf8d95f124d815b6acf208a929a2e2a754f6bde80afef8a2b;bae29647a57364a1ab7a4bb87453527a99f1d0d86d6317fdebf8abd85ebbaa43;31984365956a6496344b75184f376966472c65d07b4cebb65c8995b2049747fa;c10b03d56c5c8ca535197d53f10df075007fe7021bdd9380b65e75205e4f1812;f5f84cf6d63f89302855d0bb72686a921cc0b6251589ab46aa98de7ffa227ca2	5c13aaa1a638a999764bed2220a1d78588a947a02926b4a949390278c83c7cd2	IMAGE	time unit, epoch, and original clock authority remain UNKNOWN	exact producer of runtime clock slot +0x7BC or separate-source varied CAPTURE timing	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
7e40ce81d1ba82cd96c339e0200dcd34f92b7f453b45bde17a79cc86802cdec9	5ced116400d3a91dfc7e2d9e9184ea7e80a909013260d76204ba0d6279080ecf	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|dca783839809255660a95709f7478bdd7e911d2540d7285f135a036ef2575b52	W	CORRECT_FIELD_LAYOUT	8	0x0F	PHI(DEREF(DEREF(OBJ+0x40))|DEREF(STACK@0x004693B0+0x14))+0xC	ALWAYS	InstanceRefreshAttr.RecordNode@0x0C.2#W	InstanceRefreshAttr.RecordNode@0x0C.2#W	RECORD_NODE	0x0C	2	2	5	0x0F	iterator_node != head/sentinel	instance_identifier_s16	PROVEN_EXACT	PROVEN_EXACT	0x0046943B	0x0006883B	0x00469443	0x00068843	0x00469280	0x005520F7;0x0055225D;0x00552261	0x004693B0	0x004694F1	13847761166d9e08bd61e7e7dbcc8b3db2853bcab9baeb08e18270594764b23d	d0500cded78505a0818746caa71cc5a1acebb9cecfc29867bdf5bd0c4ef8ae2b;a72dc6d97a3822370729b8557a0a2966f9bb1f9fef9653ecf0123086d4886025;cc0e3c71594c147e51eac24ceb9aab5d5e11d2cf1596258357191a70b42de771;fa6fee6512f830d1860c3da58fa3b48777f46d6d2e288cca2f8792c06abf73ac;9f8fb4eaf3332633c1f4bfbdc16333d27e4f0b77d8a9fd0c6a9a1261986f8368;bf18912ac08f5210537609305e42cc051f346507d7060767b4203df41afa1c69;e00f715200fac26efa30adb0d6cfdb7e2f14004329ded89238ab8767e124029f;53a36c439ef41d052a4bacd8359dc3b637a76a79bdd9af52888d2c4a5b26662c;3acce1907aa450fb7261febe5fc9613478d4ad909823e8777235e8968390e884;8e241cd75572a6184ae4cf666514040e81028973778a004342018ac0862138e4;a414e52711ab76cbf8d95f124d815b6acf208a929a2e2a754f6bde80afef8a2b;bae29647a57364a1ab7a4bb87453527a99f1d0d86d6317fdebf8abd85ebbaa43;31984365956a6496344b75184f376966472c65d07b4cebb65c8995b2049747fa;c10b03d56c5c8ca535197d53f10df075007fe7021bdd9380b65e75205e4f1812;f5f84cf6d63f89302855d0bb72686a921cc0b6251589ab46aa98de7ffa227ca2	ceb96d9f49687c650f0177b101f08c04c5f7e17c18582a2c1aeb65642790193b	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
bfc37798d35cc6e37a8100c3435af28f3ba85d74146e32ea2e424100f42b6f1a	d0fdc1aaddeb10631f49f436c6dc5db830adc22228db6e8615b7e5d0bc990cc5	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|e238d009f6d0a966a637f2cc73d58a4e87400c8041aeb6f370e5b51b788ac47d	W	CORRECT_FIELD_LAYOUT	4	0x0F	STACK@0x004693B0+0x2C	ALWAYS	InstanceRefreshAttr@0x44.2#W	InstanceRefreshAttr@0x44.2#W	OBJECT	0x44	4	2	4	0x0F	ALWAYS_AFTER_DBATTRIBUTE_CODEC	instance_refresh_entry_count	PROVEN_EXACT	PROVEN_EXACT	0x004693D2	0x000687D2	0x004693E3	0x000687E3	0x006B0F9C	0x004693D2;0x004694DA	0x004693B0	0x004694F1	13847761166d9e08bd61e7e7dbcc8b3db2853bcab9baeb08e18270594764b23d	d0500cded78505a0818746caa71cc5a1acebb9cecfc29867bdf5bd0c4ef8ae2b;a72dc6d97a3822370729b8557a0a2966f9bb1f9fef9653ecf0123086d4886025;cc0e3c71594c147e51eac24ceb9aab5d5e11d2cf1596258357191a70b42de771;fa6fee6512f830d1860c3da58fa3b48777f46d6d2e288cca2f8792c06abf73ac;9f8fb4eaf3332633c1f4bfbdc16333d27e4f0b77d8a9fd0c6a9a1261986f8368;bf18912ac08f5210537609305e42cc051f346507d7060767b4203df41afa1c69;e00f715200fac26efa30adb0d6cfdb7e2f14004329ded89238ab8767e124029f;53a36c439ef41d052a4bacd8359dc3b637a76a79bdd9af52888d2c4a5b26662c;3acce1907aa450fb7261febe5fc9613478d4ad909823e8777235e8968390e884;8e241cd75572a6184ae4cf666514040e81028973778a004342018ac0862138e4;a414e52711ab76cbf8d95f124d815b6acf208a929a2e2a754f6bde80afef8a2b;bae29647a57364a1ab7a4bb87453527a99f1d0d86d6317fdebf8abd85ebbaa43;31984365956a6496344b75184f376966472c65d07b4cebb65c8995b2049747fa;c10b03d56c5c8ca535197d53f10df075007fe7021bdd9380b65e75205e4f1812;f5f84cf6d63f89302855d0bb72686a921cc0b6251589ab46aa98de7ffa227ca2	c33941d8dea263037cf5105aaa89bfc8ff9761cbc498d513d7ab65cc2a49f1a1	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
65e18c2465d44cebfbf7b4ab93ee978ccf3702061cf8188f61b831eda4306564	5b8ce1beca6d32caa5ceda4b987a65fe03465988761c41a89448756c73dda5fa	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|1896660992a7b7d8a28bd90a0d0dda4d90fe344c05cee8aa943aec2e4cdecb42	R	REMOVE_NON_WIRE_CONTROL_FLOW_ROW	5	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	UNKNOWN(invalid_parameter_import_call_wire_effect_unproved)	exact_direct_iat_call@0x00469426 file_off=0x00068826 function=0x004693B0 iat=0x00C3B4C0 bytes=FF15C0B4C300 AND exact_direct_iat_import iat=0x00C3B4C0 iat_file_off=0x008398C0 descriptor_file_off=0x00C112DC lookup_file_off=0x00C118B4 dll_name_file_off=0x00C1647C symbol_name_file_off=0x00C15C62 dll=MSVCR90.dll symbol=_invalid_parameter_noinfo call_bytes=FF15C0B4C300 operation=PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL wire_effect=unproved basis=exact_call_bytes_and_pe_import	N/A	N/A	N/A	N/A	N/A	0	N/A	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	N/A	iterator_guard_or_post_decode_helper	NOT_WIRE	NOT_WIRE	N/A	N/A	N/A	N/A	N/A	N/A	0x004693B0	0x004694F1	13847761166d9e08bd61e7e7dbcc8b3db2853bcab9baeb08e18270594764b23d	d0500cded78505a0818746caa71cc5a1acebb9cecfc29867bdf5bd0c4ef8ae2b;a72dc6d97a3822370729b8557a0a2966f9bb1f9fef9653ecf0123086d4886025;cc0e3c71594c147e51eac24ceb9aab5d5e11d2cf1596258357191a70b42de771;fa6fee6512f830d1860c3da58fa3b48777f46d6d2e288cca2f8792c06abf73ac;9f8fb4eaf3332633c1f4bfbdc16333d27e4f0b77d8a9fd0c6a9a1261986f8368;bf18912ac08f5210537609305e42cc051f346507d7060767b4203df41afa1c69;e00f715200fac26efa30adb0d6cfdb7e2f14004329ded89238ab8767e124029f;53a36c439ef41d052a4bacd8359dc3b637a76a79bdd9af52888d2c4a5b26662c;3acce1907aa450fb7261febe5fc9613478d4ad909823e8777235e8968390e884;8e241cd75572a6184ae4cf666514040e81028973778a004342018ac0862138e4;a414e52711ab76cbf8d95f124d815b6acf208a929a2e2a754f6bde80afef8a2b;bae29647a57364a1ab7a4bb87453527a99f1d0d86d6317fdebf8abd85ebbaa43;31984365956a6496344b75184f376966472c65d07b4cebb65c8995b2049747fa;c10b03d56c5c8ca535197d53f10df075007fe7021bdd9380b65e75205e4f1812;f5f84cf6d63f89302855d0bb72686a921cc0b6251589ab46aa98de7ffa227ca2	9066e1d1ac24b6a7a019262b202a940ac1aae729ee49994d2e5115f49ea1b2be	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
792737f291e98124ade21eaefdb8d5403069ae6a83021d7e561a0a425255d75a	44615f440992bc7984928f32c46795596a16ad45f7c8548068b3bed5dda4a4f6	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|266627418416be2896d02b087823cf2843f188cad8d3979af8edaaac014e720d	R	REMOVE_NON_WIRE_CONTROL_FLOW_ROW	7	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	UNKNOWN(invalid_parameter_import_call_wire_effect_unproved)	exact_direct_iat_call@0x0046944C file_off=0x0006884C function=0x004693B0 iat=0x00C3B4C0 bytes=FF15C0B4C300 AND exact_direct_iat_import iat=0x00C3B4C0 iat_file_off=0x008398C0 descriptor_file_off=0x00C112DC lookup_file_off=0x00C118B4 dll_name_file_off=0x00C1647C symbol_name_file_off=0x00C15C62 dll=MSVCR90.dll symbol=_invalid_parameter_noinfo call_bytes=FF15C0B4C300 operation=PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL wire_effect=unproved basis=exact_call_bytes_and_pe_import	N/A	N/A	N/A	N/A	N/A	0	N/A	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	N/A	iterator_guard_or_post_decode_helper	NOT_WIRE	NOT_WIRE	N/A	N/A	N/A	N/A	N/A	N/A	0x004693B0	0x004694F1	13847761166d9e08bd61e7e7dbcc8b3db2853bcab9baeb08e18270594764b23d	d0500cded78505a0818746caa71cc5a1acebb9cecfc29867bdf5bd0c4ef8ae2b;a72dc6d97a3822370729b8557a0a2966f9bb1f9fef9653ecf0123086d4886025;cc0e3c71594c147e51eac24ceb9aab5d5e11d2cf1596258357191a70b42de771;fa6fee6512f830d1860c3da58fa3b48777f46d6d2e288cca2f8792c06abf73ac;9f8fb4eaf3332633c1f4bfbdc16333d27e4f0b77d8a9fd0c6a9a1261986f8368;bf18912ac08f5210537609305e42cc051f346507d7060767b4203df41afa1c69;e00f715200fac26efa30adb0d6cfdb7e2f14004329ded89238ab8767e124029f;53a36c439ef41d052a4bacd8359dc3b637a76a79bdd9af52888d2c4a5b26662c;3acce1907aa450fb7261febe5fc9613478d4ad909823e8777235e8968390e884;8e241cd75572a6184ae4cf666514040e81028973778a004342018ac0862138e4;a414e52711ab76cbf8d95f124d815b6acf208a929a2e2a754f6bde80afef8a2b;bae29647a57364a1ab7a4bb87453527a99f1d0d86d6317fdebf8abd85ebbaa43;31984365956a6496344b75184f376966472c65d07b4cebb65c8995b2049747fa;c10b03d56c5c8ca535197d53f10df075007fe7021bdd9380b65e75205e4f1812;f5f84cf6d63f89302855d0bb72686a921cc0b6251589ab46aa98de7ffa227ca2	ccc16dfae74482415322312a02cfa23e91287678f2a4eb7c0500fb5285a94d07	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
8694dd9494a9ff81278a879013cee20f094d9c959ed35a02a4f46be0be5dc8c4	e5dbe70569dab67cf4447e303649bd760ee8e7a854668a293f09dd698fb6f2c6	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|2cd5e7d3cfbde99c99a739ab00ec0afb53fb39c9e541e0d34e2bcbfdc8b35253	W	REMOVE_NON_WIRE_CONTROL_FLOW_ROW	6	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	UNKNOWN(invalid_parameter_import_call_wire_effect_unproved)	exact_direct_iat_call@0x00469426 file_off=0x00068826 function=0x004693B0 iat=0x00C3B4C0 bytes=FF15C0B4C300 AND exact_direct_iat_import iat=0x00C3B4C0 iat_file_off=0x008398C0 descriptor_file_off=0x00C112DC lookup_file_off=0x00C118B4 dll_name_file_off=0x00C1647C symbol_name_file_off=0x00C15C62 dll=MSVCR90.dll symbol=_invalid_parameter_noinfo call_bytes=FF15C0B4C300 operation=PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL wire_effect=unproved basis=exact_call_bytes_and_pe_import	N/A	N/A	N/A	N/A	N/A	0	N/A	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	N/A	iterator_guard_or_post_decode_helper	NOT_WIRE	NOT_WIRE	N/A	N/A	N/A	N/A	N/A	N/A	0x004693B0	0x004694F1	13847761166d9e08bd61e7e7dbcc8b3db2853bcab9baeb08e18270594764b23d	d0500cded78505a0818746caa71cc5a1acebb9cecfc29867bdf5bd0c4ef8ae2b;a72dc6d97a3822370729b8557a0a2966f9bb1f9fef9653ecf0123086d4886025;cc0e3c71594c147e51eac24ceb9aab5d5e11d2cf1596258357191a70b42de771;fa6fee6512f830d1860c3da58fa3b48777f46d6d2e288cca2f8792c06abf73ac;9f8fb4eaf3332633c1f4bfbdc16333d27e4f0b77d8a9fd0c6a9a1261986f8368;bf18912ac08f5210537609305e42cc051f346507d7060767b4203df41afa1c69;e00f715200fac26efa30adb0d6cfdb7e2f14004329ded89238ab8767e124029f;53a36c439ef41d052a4bacd8359dc3b637a76a79bdd9af52888d2c4a5b26662c;3acce1907aa450fb7261febe5fc9613478d4ad909823e8777235e8968390e884;8e241cd75572a6184ae4cf666514040e81028973778a004342018ac0862138e4;a414e52711ab76cbf8d95f124d815b6acf208a929a2e2a754f6bde80afef8a2b;bae29647a57364a1ab7a4bb87453527a99f1d0d86d6317fdebf8abd85ebbaa43;31984365956a6496344b75184f376966472c65d07b4cebb65c8995b2049747fa;c10b03d56c5c8ca535197d53f10df075007fe7021bdd9380b65e75205e4f1812;f5f84cf6d63f89302855d0bb72686a921cc0b6251589ab46aa98de7ffa227ca2	f5eecdf0abec297b263cc4699e727663b47b1004f2a319d96cf19674fb9bc358	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
998db82b47a4268d9fd844f62aa95ee904c89306eb389b3a81afc5a25415b87b	ed144e138cd3cbd97b3ab7e8f65b374bb7682e403f2bf6d0df503fcb28b54cdb	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|37ef3f89212dc4250790a01a6ebb98286c22392e96a8d70e85a3d005ed1745a8	R	REMOVE_NON_WIRE_CONTROL_FLOW_ROW	6	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	UNKNOWN(invalid_parameter_import_call_wire_effect_unproved)	exact_direct_iat_call@0x00469433 file_off=0x00068833 function=0x004693B0 iat=0x00C3B4C0 bytes=FF15C0B4C300 AND exact_direct_iat_import iat=0x00C3B4C0 iat_file_off=0x008398C0 descriptor_file_off=0x00C112DC lookup_file_off=0x00C118B4 dll_name_file_off=0x00C1647C symbol_name_file_off=0x00C15C62 dll=MSVCR90.dll symbol=_invalid_parameter_noinfo call_bytes=FF15C0B4C300 operation=PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL wire_effect=unproved basis=exact_call_bytes_and_pe_import	N/A	N/A	N/A	N/A	N/A	0	N/A	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	N/A	iterator_guard_or_post_decode_helper	NOT_WIRE	NOT_WIRE	N/A	N/A	N/A	N/A	N/A	N/A	0x004693B0	0x004694F1	13847761166d9e08bd61e7e7dbcc8b3db2853bcab9baeb08e18270594764b23d	d0500cded78505a0818746caa71cc5a1acebb9cecfc29867bdf5bd0c4ef8ae2b;a72dc6d97a3822370729b8557a0a2966f9bb1f9fef9653ecf0123086d4886025;cc0e3c71594c147e51eac24ceb9aab5d5e11d2cf1596258357191a70b42de771;fa6fee6512f830d1860c3da58fa3b48777f46d6d2e288cca2f8792c06abf73ac;9f8fb4eaf3332633c1f4bfbdc16333d27e4f0b77d8a9fd0c6a9a1261986f8368;bf18912ac08f5210537609305e42cc051f346507d7060767b4203df41afa1c69;e00f715200fac26efa30adb0d6cfdb7e2f14004329ded89238ab8767e124029f;53a36c439ef41d052a4bacd8359dc3b637a76a79bdd9af52888d2c4a5b26662c;3acce1907aa450fb7261febe5fc9613478d4ad909823e8777235e8968390e884;8e241cd75572a6184ae4cf666514040e81028973778a004342018ac0862138e4;a414e52711ab76cbf8d95f124d815b6acf208a929a2e2a754f6bde80afef8a2b;bae29647a57364a1ab7a4bb87453527a99f1d0d86d6317fdebf8abd85ebbaa43;31984365956a6496344b75184f376966472c65d07b4cebb65c8995b2049747fa;c10b03d56c5c8ca535197d53f10df075007fe7021bdd9380b65e75205e4f1812;f5f84cf6d63f89302855d0bb72686a921cc0b6251589ab46aa98de7ffa227ca2	f71b9d90a0d560e80f351eba8539b271d6c6e937932ea01f51747396ff0b7060	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
