delta_key	action	change_type	base_file	base_line	base_row_key	base_delta_key	message	direction(W/R)	old_order	old_tag	old_field_offset	old_len	new_wire_order	new_tag	new_field_offset	new_len	new_gate_condition	resolution	evidence_ticket	evidence_span_start	evidence_span_end	evidence_span_sha256	evidence_file_off	source
85a4c176da4f16b78ed934dcb53d31360bbe952abdc64ab0cfe261ef2e7a5a23	REMOVE_OVERLAY_NONWIRE_ROW	GUARDED_ZERO_ARGUMENT_COMPILER_RUNTIME_NONWIRE	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	317	85abfe7770c3e3d1149e7ca1169888117f0de905a8976610c5435cd582d6a3bd	492abfc8ebe6d2b5588dc97926ec3559a4f3a9d72d1a99ff7740daf632323287	ActorLearnedPetsSkillData	R	4	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	UNKNOWN(invalid_parameter_import_call_wire_effect_unproved)	N/A	N/A	N/A	N/A	N/A	N/A	NULL_OR_UNEXPECTED_NODE_GUARD;EXACT_ZERO_ARGUMENT_DIRECT_IAT_CALL;EXECUTED_SERIALIZER_CFG;PINNED_CONTAINER_GRAPH	STATIC-GUARDED-CONTAINER-6564-6FDB	0x006FDF60	0x006FE058	357587a20115fd3ad22ff55a74dca38b4c6a3d96f69eed10ba79078b45502068	0x002FD3B6	IMAGE
fed26a07f56532c68f07ebebe80502024ed04d6e0cb01546518a3d9a15d80549	REMOVE_OVERLAY_NONWIRE_ROW	GUARDED_ZERO_ARGUMENT_COMPILER_RUNTIME_NONWIRE	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	318	99ca064900dd2930f5a5780b8198c33af070096ed059e9f7821d41e95f8265cc	bbbedb2f275fa0d245e6c5591c890f0a182894b9c9ed1f773b425fcb7cfe5922	ActorLearnedPetsSkillData	W	5	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	UNKNOWN(invalid_parameter_import_call_wire_effect_unproved)	N/A	N/A	N/A	N/A	N/A	N/A	NULL_OR_UNEXPECTED_NODE_GUARD;EXACT_ZERO_ARGUMENT_DIRECT_IAT_CALL;EXECUTED_SERIALIZER_CFG;PINNED_CONTAINER_GRAPH	STATIC-GUARDED-CONTAINER-6564-6FDB	0x006FDF60	0x006FE058	357587a20115fd3ad22ff55a74dca38b4c6a3d96f69eed10ba79078b45502068	0x002FD3B6	IMAGE
58dfbc59df9a1d8bef25e78246ef1b327538b166ec1727bf3eaec117aa122390	REMOVE_OVERLAY_NONWIRE_ROW	GUARDED_ZERO_ARGUMENT_COMPILER_RUNTIME_NONWIRE	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	319	9d09f88626371c769022a0794c7988048e03094de18813dfc3dacced9e82951c	71d929b0f2c82aed46c65287c3b27a9bd82494918c85b92e086d590e0f841949	ActorLearnedPetsSkillData	R	5	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	UNKNOWN(invalid_parameter_import_call_wire_effect_unproved)	N/A	N/A	N/A	N/A	N/A	N/A	NULL_NODE_GUARD;EXACT_ZERO_ARGUMENT_DIRECT_IAT_CALL;EXECUTED_SERIALIZER_CFG;PINNED_CONTAINER_GRAPH	STATIC-GUARDED-CONTAINER-6564-6FDB	0x006FDF60	0x006FE058	357587a20115fd3ad22ff55a74dca38b4c6a3d96f69eed10ba79078b45502068	0x002FD3CA	IMAGE
b660bbe47c419892bf1f91ab9e6b9c900aaf9c876ac0b76b97ab6a1130bae901	REMOVE_OVERLAY_NONWIRE_ROW	GUARDED_ZERO_ARGUMENT_COMPILER_RUNTIME_NONWIRE	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	320	e1cad61ba37cf9c3d3855bbf0376755a5b9c7f6785479428cf07f1dd36aed7e6	df22ad1c3d2d580c5c2b84f4236531aef832f5130db0d333ec614780e989cf69	ActorLearnedPetsSkillData	W	6	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	UNKNOWN(invalid_parameter_import_call_wire_effect_unproved)	N/A	N/A	N/A	N/A	N/A	N/A	NULL_NODE_GUARD;EXACT_ZERO_ARGUMENT_DIRECT_IAT_CALL;EXECUTED_SERIALIZER_CFG;PINNED_CONTAINER_GRAPH	STATIC-GUARDED-CONTAINER-6564-6FDB	0x006FDF60	0x006FE058	357587a20115fd3ad22ff55a74dca38b4c6a3d96f69eed10ba79078b45502068	0x002FD3CA	IMAGE
2dd01436ebbb1fc8d621292c00b6e05cc835ae57341570557cd5131b4b9abcf7	REMOVE_OVERLAY_NONWIRE_ROW	GUARDED_ZERO_ARGUMENT_COMPILER_RUNTIME_NONWIRE	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	321	f7c65fe20735b581f7dd97415fdfb95dc164d6910f9370e711850ac0ceb23e94	afbbe6942ae358d3a0133c51f001740429af7c0698082c425091f19b2be9f3be	ActorLearnedPetsSkillData	R	6	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	UNKNOWN(invalid_parameter_import_call_wire_effect_unproved)	N/A	N/A	N/A	N/A	N/A	N/A	NODE_BOUNDARY_EQUALITY_GUARD;EXACT_ZERO_ARGUMENT_DIRECT_IAT_CALL;EXECUTED_SERIALIZER_CFG;PINNED_CONTAINER_GRAPH	STATIC-GUARDED-CONTAINER-6564-6FDB	0x006FDF60	0x006FE058	357587a20115fd3ad22ff55a74dca38b4c6a3d96f69eed10ba79078b45502068	0x002FD3D9	IMAGE
a4b8f34c4ecbe690172133bef10a96bfd2996c3a7f2586e5c8e74e7aabe95b69	REMOVE_OVERLAY_NONWIRE_ROW	GUARDED_ZERO_ARGUMENT_COMPILER_RUNTIME_NONWIRE	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	322	707fb23cda27fabd726494516c823a6c15c7c192490b3b4b9cf3af81862763b8	6286e2c0ebf730d61911edc0f76429e52ed1ff4c4220e03f60f3b13966174150	ActorLearnedPetsSkillData	W	7	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	UNKNOWN(invalid_parameter_import_call_wire_effect_unproved)	N/A	N/A	N/A	N/A	N/A	N/A	NODE_BOUNDARY_EQUALITY_GUARD;EXACT_ZERO_ARGUMENT_DIRECT_IAT_CALL;EXECUTED_SERIALIZER_CFG;PINNED_CONTAINER_GRAPH	STATIC-GUARDED-CONTAINER-6564-6FDB	0x006FDF60	0x006FE058	357587a20115fd3ad22ff55a74dca38b4c6a3d96f69eed10ba79078b45502068	0x002FD3D9	IMAGE
85f1d1fc66c33f44ff5f0d1761aee0370155f7d9fcad6b4cda6e50ad1eac9b52	REMOVE_OVERLAY_NONWIRE_ROW	GUARDED_ZERO_ARGUMENT_COMPILER_RUNTIME_NONWIRE	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	878	bb2c3b6d7abc38fcb62a83d393b4ae951552fa34b017e9e28ed72d928a81c38c	121d4b4c0134ef69db05b97021da59f6d7766ad42fa636fc987cb4f180ece306	CollectionEffectData	R	4	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	UNKNOWN(invalid_parameter_import_call_wire_effect_unproved)	N/A	N/A	N/A	N/A	N/A	N/A	NULL_OR_UNEXPECTED_NODE_GUARD;EXACT_ZERO_ARGUMENT_DIRECT_IAT_CALL;EXECUTED_SERIALIZER_CFG;PINNED_CONTAINER_GRAPH	STATIC-GUARDED-CONTAINER-6564-6FDB	0x006A4DB0	0x006A4EA8	cc2032c193ffecffb950bc809b7106f78bdfa4d2824614cc58d86e380ef70fb5	0x002A4206	IMAGE
54f62f3f997a513cabbe5084bbca31af8bc5bb901be3e3b3c5d0c76b0ae7d76a	REMOVE_OVERLAY_NONWIRE_ROW	GUARDED_ZERO_ARGUMENT_COMPILER_RUNTIME_NONWIRE	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	879	3a5527f8a5c5ac6da5e940079e13748cdb0ccd93cb574f43a444da5edc99274d	19775e9dfed11c1e84bb8e07ec69fc6416b8943fad2aff90377b4070297b3efc	CollectionEffectData	W	5	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	UNKNOWN(invalid_parameter_import_call_wire_effect_unproved)	N/A	N/A	N/A	N/A	N/A	N/A	NULL_OR_UNEXPECTED_NODE_GUARD;EXACT_ZERO_ARGUMENT_DIRECT_IAT_CALL;EXECUTED_SERIALIZER_CFG;PINNED_CONTAINER_GRAPH	STATIC-GUARDED-CONTAINER-6564-6FDB	0x006A4DB0	0x006A4EA8	cc2032c193ffecffb950bc809b7106f78bdfa4d2824614cc58d86e380ef70fb5	0x002A4206	IMAGE
4818147cd06ab32aaa75cb9d13eed3e033d8a5832b69ff39b855e4a6bd0eee6c	REMOVE_OVERLAY_NONWIRE_ROW	GUARDED_ZERO_ARGUMENT_COMPILER_RUNTIME_NONWIRE	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	880	c874fe32c7627e403fccd2a2e8d39ab1f6d04e3076a52b0157425840929e2acb	e13eb44bd3cf48106e3cbf3f4b8ddb34d8c0bc68d07c8e8ae1accdab04a29356	CollectionEffectData	R	5	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	UNKNOWN(invalid_parameter_import_call_wire_effect_unproved)	N/A	N/A	N/A	N/A	N/A	N/A	NULL_NODE_GUARD;EXACT_ZERO_ARGUMENT_DIRECT_IAT_CALL;EXECUTED_SERIALIZER_CFG;PINNED_CONTAINER_GRAPH	STATIC-GUARDED-CONTAINER-6564-6FDB	0x006A4DB0	0x006A4EA8	cc2032c193ffecffb950bc809b7106f78bdfa4d2824614cc58d86e380ef70fb5	0x002A421A	IMAGE
0fb4640b9381d344e8e573d3b54a763d97978ff70ce3a95b3d6a4ce14193777f	REMOVE_OVERLAY_NONWIRE_ROW	GUARDED_ZERO_ARGUMENT_COMPILER_RUNTIME_NONWIRE	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	881	3ee962a1b11cb74b4c0d72f7d089ba4105bcf7d2c416b9f8f686798d3e5b6af2	d7029df81e20222b7cd984e1e2343be43d56f9226427fc53163e25c01a504fe8	CollectionEffectData	W	6	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	UNKNOWN(invalid_parameter_import_call_wire_effect_unproved)	N/A	N/A	N/A	N/A	N/A	N/A	NULL_NODE_GUARD;EXACT_ZERO_ARGUMENT_DIRECT_IAT_CALL;EXECUTED_SERIALIZER_CFG;PINNED_CONTAINER_GRAPH	STATIC-GUARDED-CONTAINER-6564-6FDB	0x006A4DB0	0x006A4EA8	cc2032c193ffecffb950bc809b7106f78bdfa4d2824614cc58d86e380ef70fb5	0x002A421A	IMAGE
