correction_key	conflict_key	class	schema_variant	base_row_ref	direction	delta_action	prior_order	prior_tag	prior_field_offset	prior_gate	field_key	wire_key	offset_basis	object_offset	storage_width	wire_len	corrected_order	tag	corrected_gate	semantic_name	structural_status	semantic_status	field_source_va	field_source_file_offset	wire_call_va	wire_call_file_offset	persistent_write_va	consumer_va	codec_span_start	codec_span_end	codec_span_sha256	support_span_sha256	evidence_key	source	blocker	required_next_evidence	image_sha256
94dcf954b38b5dd9b0cadba33a53cb6d418b3168ff4669b6ddac6c7229d43674	a1559da927295f4be6ae1fbb8656e237f4a5e642dca30a035c002e8932c229c9	ItemVaryAttr	SINGLETON_SLOT34	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|13df0d783eeeb2c079edfe6aeea25605af254de14bff2b5c4b2b49e5042242b5	W	REMOVE_NON_WIRE_FACTORY_CONTAINER_ROW	13	ATOMIC_INTERLOCKED_INCREMENT_ECX_PLUS_0C	UNKNOWN(atomic_target_object_alias_unproved)	atomic_object_call@0x00470D43 file_off=0x00070143 function=0x00470BB0 target=0x0088D050 AND atomic_object_helper target=0x0088D050 target_file_off=0x0048C450 proof_end=0x0088D05B proof_end_file_off=0x0048C45B proof_sha256=6da78a1acc15d9fd5f7b2d620253debf8d8465136165dfb1eae35914b2442845 iat=0x00C3B1B0 iat_file_off=0x008395B0 descriptor_file_off=0x00C11214 lookup_file_off=0x00C115A4 dll_name_file_off=0x00C124EA symbol_name_file_off=0x00C11FC4 dll=KERNEL32.dll symbol=InterlockedIncrement operation=ATOMIC_INTERLOCKED_INCREMENT_ECX_PLUS_0C basis=exact_full_body_and_pe_import	N/A	N/A	N/A	N/A	N/A	0	N/A	ATOMIC_INTERLOCKED_INCREMENT_ECX_PLUS_0C	N/A	factory_container_or_lifecycle_helper	NOT_WIRE	NOT_WIRE	UNKNOWN	N/A	UNKNOWN	N/A	N/A	N/A	0x00470BB0	0x00470D8D	124e4437b8293c8105e470827a08a3a31a4be4ba51c3ece84342cd67fa4c8b97	083a11cb3df908f09314275f6ad2d8a297c47f3c4ab18d8381ee8daea0f6b872;c4dc9f61d2869a727d513d86c7b9d003afb378ae3109a788281d37093126f7fd;dc1d97b43a1fcd199a0d90b040e327571a679d720105a2071e686b43386094f0;944f022b1ed2d80ecfbae6da736fc14e3eebbc64c4144c00fd85d430dc460c9b	e67922199403e716b89c128ca2ce385a8e48efd13e0c00b5449aaf4fdf978e7d	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
ca16e6e47055b17d6755ac892fdf673a51c7c2105bb4844344472e959859af44	ba28c060a8992017800798298816e1f6eeb043f147c41faf1141bf6ce75ab932	ItemVaryAttr	SINGLETON_SLOT34	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|22458131cd22a9f0aa970afc486add98a6b213271bb4d7f134191acb48becc3a	W	CORRECT_FIELD_LAYOUT	1	0x0B	STACK@0x00470BB0+0x1A	ALWAYS	N/A	ItemVaryAttr.entry_count#W	CONTAINER_DERIVED	N/A	N/A	1	1	0x0B	ALWAYS	ItemVaryAttr_entry_count	PROVEN_EXACT	PROVEN_EXACT	0x00470BE5	0x0006FFE5	0x00470C01	0x00070001	N/A	N/A	0x00470BB0	0x00470D8D	124e4437b8293c8105e470827a08a3a31a4be4ba51c3ece84342cd67fa4c8b97	083a11cb3df908f09314275f6ad2d8a297c47f3c4ab18d8381ee8daea0f6b872;c4dc9f61d2869a727d513d86c7b9d003afb378ae3109a788281d37093126f7fd;dc1d97b43a1fcd199a0d90b040e327571a679d720105a2071e686b43386094f0;944f022b1ed2d80ecfbae6da736fc14e3eebbc64c4144c00fd85d430dc460c9b	c43e0f0db49568faaff3a34d60eb24243c00a7152d3320160ce5f3f03396d57a	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
8568be718d107c7e2137082a5055e2afb166ae6cb19c9b09ce094c4a13d3702d	b38dec7e1417b3464180045326287e893b3de21cebda4f920ad7e55e16236e4f	ItemVaryAttr	SINGLETON_SLOT34	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|2e722719ef2bc1502803234df71568ac65ab79931cb60730b2d1e118e091cee2	R	CORRECT_FIELD_LAYOUT	7	0x0B	STACK@0x00470BB0+0x38	ALWAYS	N/A	ItemVaryAttr.entry_count#R	WIRE_CONTROL	N/A	N/A	1	1	0x0B	ALWAYS	ItemVaryAttr_entry_count	PROVEN_EXACT	PROVEN_EXACT	0x00470CCC	0x000700CC	0x00470CCC	0x000700CC	N/A	N/A	0x00470BB0	0x00470D8D	124e4437b8293c8105e470827a08a3a31a4be4ba51c3ece84342cd67fa4c8b97	083a11cb3df908f09314275f6ad2d8a297c47f3c4ab18d8381ee8daea0f6b872;c4dc9f61d2869a727d513d86c7b9d003afb378ae3109a788281d37093126f7fd;dc1d97b43a1fcd199a0d90b040e327571a679d720105a2071e686b43386094f0;944f022b1ed2d80ecfbae6da736fc14e3eebbc64c4144c00fd85d430dc460c9b	cfdbff5197745564ecb1480ffeed3a0491058610ada38dd2b0b8da0a67d49c0f	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
6926e8360032721edd109a72450bfd10cde8027bfd9f7a972129d805d38a2556	fdd3d9f135ec9b94245c8471f19501ceebc09bbda2e3d8be02d4d071ca417ffb	ItemVaryAttr	SINGLETON_SLOT34	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|3a0248d9142a4259e398d921764d6c7a8f054ab28d2a16bfdb2339c90d1cf771	W	CORRECT_FIELD_LAYOUT	3	0x0B	STACK@0x00470BB0+0x1B	ALWAYS	ItemVaryData@0x10.1#W	ItemVaryData@0x10.1#W	DYNAMIC_RECORD	0x10	1	1	2	0x0B	ALWAYS	ItemVaryData_type_code	PROVEN_EXACT	PROVEN_EXACT	0x00470C39	0x00070039	0x00470C4B	0x0007004B	N/A	0x00470CFD;0x00470D0D	0x00470BB0	0x00470D8D	124e4437b8293c8105e470827a08a3a31a4be4ba51c3ece84342cd67fa4c8b97	083a11cb3df908f09314275f6ad2d8a297c47f3c4ab18d8381ee8daea0f6b872;c4dc9f61d2869a727d513d86c7b9d003afb378ae3109a788281d37093126f7fd;dc1d97b43a1fcd199a0d90b040e327571a679d720105a2071e686b43386094f0;944f022b1ed2d80ecfbae6da736fc14e3eebbc64c4144c00fd85d430dc460c9b	527cb26320b203217ebc179c9fdd7610361a9258caace3763018bc937351a1e9	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
8a2f62a76ae6d3ad4f55f44cbfa92e15c06ef104d8a26c36dd2a5fb551eac66f	4c4465d0b4ea200fb51babd06fa17745bfda7baf467d6d07b30e8a98fd94d9f8	ItemVaryAttr	SINGLETON_SLOT34	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|3f2843aaab42d4137c97e7a978c275e2453696c13528a90c04722c40830ad5c4	W	REMOVE_NON_WIRE_FACTORY_CONTAINER_ROW	6	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	UNKNOWN(invalid_parameter_import_call_wire_effect_unproved)	exact_direct_iat_call@0x00470C90 file_off=0x00070090 function=0x00470BB0 iat=0x00C3B4C0 bytes=FF15C0B4C300 AND exact_direct_iat_import iat=0x00C3B4C0 iat_file_off=0x008398C0 descriptor_file_off=0x00C112DC lookup_file_off=0x00C118B4 dll_name_file_off=0x00C1647C symbol_name_file_off=0x00C15C62 dll=MSVCR90.dll symbol=_invalid_parameter_noinfo call_bytes=FF15C0B4C300 operation=PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL wire_effect=unproved basis=exact_call_bytes_and_pe_import	N/A	N/A	N/A	N/A	N/A	0	N/A	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	N/A	factory_container_or_lifecycle_helper	NOT_WIRE	NOT_WIRE	UNKNOWN	N/A	UNKNOWN	N/A	N/A	N/A	0x00470BB0	0x00470D8D	124e4437b8293c8105e470827a08a3a31a4be4ba51c3ece84342cd67fa4c8b97	083a11cb3df908f09314275f6ad2d8a297c47f3c4ab18d8381ee8daea0f6b872;c4dc9f61d2869a727d513d86c7b9d003afb378ae3109a788281d37093126f7fd;dc1d97b43a1fcd199a0d90b040e327571a679d720105a2071e686b43386094f0;944f022b1ed2d80ecfbae6da736fc14e3eebbc64c4144c00fd85d430dc460c9b	bbed976a6b828b58784d5247698bbf147ecdbf1c3a45111c0ed3bb037e7b2e7e	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
2f54602ec539c0ac745fe98552b0550c0128e057fc5d9aea37fec7279a0f556c	5e68e026cc492ca850604d4af05255fed05528ebb5288451d0ff8408729c23e5	ItemVaryAttr	SINGLETON_SLOT34	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|455abf438d900e38382c6068765815c3ce103ff99edf669aa338d79bb5cb5fbc	R	REMOVE_NON_WIRE_FACTORY_CONTAINER_ROW	10	CALL_UNCLASSIFIED:0x00470340	UNKNOWN(direct_call_not_proven_serializer)	ALWAYS	N/A	N/A	N/A	N/A	N/A	0	N/A	CALL_UNCLASSIFIED:0x00470340	N/A	factory_container_or_lifecycle_helper	NOT_WIRE	NOT_WIRE	UNKNOWN	N/A	UNKNOWN	N/A	N/A	N/A	0x00470BB0	0x00470D8D	124e4437b8293c8105e470827a08a3a31a4be4ba51c3ece84342cd67fa4c8b97	083a11cb3df908f09314275f6ad2d8a297c47f3c4ab18d8381ee8daea0f6b872;c4dc9f61d2869a727d513d86c7b9d003afb378ae3109a788281d37093126f7fd;dc1d97b43a1fcd199a0d90b040e327571a679d720105a2071e686b43386094f0;944f022b1ed2d80ecfbae6da736fc14e3eebbc64c4144c00fd85d430dc460c9b	94a87a8cecc2950b9e74bc3dc258c3be65a1e619adf39423eb7729012792522a	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
81b4883f14706f2bdebac17f46b32197bf974195acf6e057722891e389f42ade	61710bdf4eb22456f20e268797a702704e5df9187247f0d70c2a3d373cffcf96	ItemVaryAttr	SINGLETON_SLOT34	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|54623caba1ad1aa9ec9aa33adcc1cb54b208ba0f706b2d749328bdb98cd699a6	W	CORRECT_FIELD_LAYOUT	5	CALL_UNCLASSIFIED:INDIRECT(DEREF(DEREF(DEREF(DEREF(PHI(OBJ|REG(esi))+0x34)+PHI(REG(edi)+0x1|0x0)*4))+0x28))	UNKNOWN(indirect_call_not_proven_serializer_slot)	ALWAYS	N/A	ItemVaryAttr.entry_payload.slot28#W	DYNAMIC_OBJECT	N/A	DYNAMIC	DYNAMIC	3	SUBCALL:ItemVaryData+0x28	ALWAYS	ItemVaryData_subtype_payload	PROVEN_EXACT	PROVEN_EXACT	0x00470C6B	0x0007006B	0x00470C70	0x00070070	N/A	ItemVaryData vtable +0x28	0x00470BB0	0x00470D8D	124e4437b8293c8105e470827a08a3a31a4be4ba51c3ece84342cd67fa4c8b97	083a11cb3df908f09314275f6ad2d8a297c47f3c4ab18d8381ee8daea0f6b872;c4dc9f61d2869a727d513d86c7b9d003afb378ae3109a788281d37093126f7fd;dc1d97b43a1fcd199a0d90b040e327571a679d720105a2071e686b43386094f0;944f022b1ed2d80ecfbae6da736fc14e3eebbc64c4144c00fd85d430dc460c9b	40924d6137629f75c60e863a74a2f6b0ae78c445018eb0ee3b8bd3a17f628e0e	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
26fdb1c106177ce0b2ca6f3b720aa93c96983194b78172390d2e1d9b40d711b0	03120ae3c6e809b836854c41c2d5443237042f15cf2dba128c4547f3338a0146	ItemVaryAttr	SINGLETON_SLOT34	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|59ed9ee6fbd872e6d7f66243bf0da12f2360fad1cc4349cf25b442c2b38c1b47	W	REMOVE_NON_WIRE_FACTORY_CONTAINER_ROW	14	MUTATING_DWORD_SLOT_OPERATION_HELPER	UNKNOWN(mutable_dword_slot_nested_targets_and_alias_unproved)	mutable_dword_slot_operation_call@0x00470D57 file_off=0x00070157 function=0x00470BB0 target=0x00AC6E80 AND mutable_dword_slot_operation_helper target=0x00AC6E80 target_file_off=0x006C6280 proof_end=0x00AC6F00 proof_end_file_off=0x006C6300 proof_sha256=81aeacd2225d12cf4588aa7d74f8cbb8ace467c13a514286bc8fe1240b1e865b stack_zero_write=0x00AC6EAC state_end_write=0x00AC6ECE slot_scale=4 nested_unresolved_targets=0x006B35A0,0x00AC6D00 nested_target_file_offs=0x002B29A0,0x006C6100 invalid_iat=0x00C3B4C0 invalid_iat_file_off=0x008398C0 descriptor_file_off=0x00C112DC lookup_file_off=0x00C118B4 dll_name_file_off=0x00C1647C symbol_name_file_off=0x00C15C62 invalid_symbol=MSVCR90.dll!_invalid_parameter_noinfo entry_instruction_count=53 ret4_sites=0x00AC6ED6,0x00AC6EFD object_alias=unproved basis=bounded_entry_cfg_exact_body_and_pe_import	N/A	N/A	N/A	N/A	N/A	0	N/A	MUTATING_DWORD_SLOT_OPERATION_HELPER	N/A	factory_container_or_lifecycle_helper	NOT_WIRE	NOT_WIRE	UNKNOWN	N/A	UNKNOWN	N/A	N/A	N/A	0x00470BB0	0x00470D8D	124e4437b8293c8105e470827a08a3a31a4be4ba51c3ece84342cd67fa4c8b97	083a11cb3df908f09314275f6ad2d8a297c47f3c4ab18d8381ee8daea0f6b872;c4dc9f61d2869a727d513d86c7b9d003afb378ae3109a788281d37093126f7fd;dc1d97b43a1fcd199a0d90b040e327571a679d720105a2071e686b43386094f0;944f022b1ed2d80ecfbae6da736fc14e3eebbc64c4144c00fd85d430dc460c9b	b31f8f099e21ff092db9fce20e8b9ad4c0bb7144fe0fbdb064f7302d31d4be64	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
4985e46a4eb79303d38dfbbcdfddb7fd6fa93dbc4cfe2207033fa98b4680cd2b	3260bf008f95af4e8f67fb13b5d10f33349f90f9b4c5e278de5c74fd9a152a73	ItemVaryAttr	SINGLETON_SLOT34	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|603f748de349c5bbfa94b37c540aebc6bed97b32f0c8ab8168e8f97a5f58d8ca	W	REMOVE_NON_WIRE_FACTORY_CONTAINER_ROW	7	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	UNKNOWN(invalid_parameter_import_call_wire_effect_unproved)	exact_direct_iat_call@0x00470CA0 file_off=0x000700A0 function=0x00470BB0 iat=0x00C3B4C0 bytes=FF15C0B4C300 AND exact_direct_iat_import iat=0x00C3B4C0 iat_file_off=0x008398C0 descriptor_file_off=0x00C112DC lookup_file_off=0x00C118B4 dll_name_file_off=0x00C1647C symbol_name_file_off=0x00C15C62 dll=MSVCR90.dll symbol=_invalid_parameter_noinfo call_bytes=FF15C0B4C300 operation=PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL wire_effect=unproved basis=exact_call_bytes_and_pe_import	N/A	N/A	N/A	N/A	N/A	0	N/A	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	N/A	factory_container_or_lifecycle_helper	NOT_WIRE	NOT_WIRE	UNKNOWN	N/A	UNKNOWN	N/A	N/A	N/A	0x00470BB0	0x00470D8D	124e4437b8293c8105e470827a08a3a31a4be4ba51c3ece84342cd67fa4c8b97	083a11cb3df908f09314275f6ad2d8a297c47f3c4ab18d8381ee8daea0f6b872;c4dc9f61d2869a727d513d86c7b9d003afb378ae3109a788281d37093126f7fd;dc1d97b43a1fcd199a0d90b040e327571a679d720105a2071e686b43386094f0;944f022b1ed2d80ecfbae6da736fc14e3eebbc64c4144c00fd85d430dc460c9b	2476f5e64c01a80870a27c98d202fcaa170257b068f5f078f277641db1f8ffcd	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
ae444825817efb55ee352bec1c3d1b0c22228c32600cb8286803edcba2eb9dfe	d9476802a8918555db34553eba6f54e56dd7c739f1d706b01a00bee2cb7e817d	ItemVaryAttr	SINGLETON_SLOT34	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|6a3d807747490c11d1e576b25a6af6191f1328d2141393f2aaaceb135ffa1ae6	W	REMOVE_NON_WIRE_FACTORY_CONTAINER_ROW	2	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	UNKNOWN(invalid_parameter_import_call_wire_effect_unproved)	exact_direct_iat_call@0x00470C2D file_off=0x0007002D function=0x00470BB0 iat=0x00C3B4C0 bytes=FF15C0B4C300 AND exact_direct_iat_import iat=0x00C3B4C0 iat_file_off=0x008398C0 descriptor_file_off=0x00C112DC lookup_file_off=0x00C118B4 dll_name_file_off=0x00C1647C symbol_name_file_off=0x00C15C62 dll=MSVCR90.dll symbol=_invalid_parameter_noinfo call_bytes=FF15C0B4C300 operation=PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL wire_effect=unproved basis=exact_call_bytes_and_pe_import	N/A	N/A	N/A	N/A	N/A	0	N/A	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	N/A	factory_container_or_lifecycle_helper	NOT_WIRE	NOT_WIRE	UNKNOWN	N/A	UNKNOWN	N/A	N/A	N/A	0x00470BB0	0x00470D8D	124e4437b8293c8105e470827a08a3a31a4be4ba51c3ece84342cd67fa4c8b97	083a11cb3df908f09314275f6ad2d8a297c47f3c4ab18d8381ee8daea0f6b872;c4dc9f61d2869a727d513d86c7b9d003afb378ae3109a788281d37093126f7fd;dc1d97b43a1fcd199a0d90b040e327571a679d720105a2071e686b43386094f0;944f022b1ed2d80ecfbae6da736fc14e3eebbc64c4144c00fd85d430dc460c9b	0a3c2a0ab2c9efde0315ee26fd22fe61a9d9d3ced19f65b5cc8114ad77ffa120	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
