correction_key	origin_table	base_row_ref	class	direction	prior_order	prior_tag	prior_field_offset	prior_gate	delta_action	corrected_classification	correction_reason	evidence_span_start	evidence_span_end	evidence_span_sha256	evidence_key	conflict_key	source	image_sha256
1951ee96e002daaf2155848f5ffdbddbcab52df3801c9227d61b6e476c9d95cb	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|delta_key=492abfc8ebe6d2b5588dc97926ec3559a4f3a9d72d1a99ff7740daf632323287	ActorLearnedPetsSkillData	R	4	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	UNKNOWN(invalid_parameter_import_call_wire_effect_unproved)	exact_direct_iat_call@0x006FDFB6 file_off=0x002FD3B6 function=0x006FDF60 iat=0x00C3B4C0 bytes=FF15C0B4C300 AND exact_direct_iat_import iat=0x00C3B4C0 iat_file_off=0x008398C0 descriptor_file_off=0x00C112DC lookup_file_off=0x00C118B4 dll_name_file_off=0x00C1647C symbol_name_file_off=0x00C15C62 dll=MSVCR90.dll symbol=_invalid_parameter_noinfo call_bytes=FF15C0B4C300 operation=PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL wire_effect=unproved basis=exact_call_bytes_and_pe_import	REMOVE_NON_WIRE_ROW	NOT_WIRE_CONTROL_FLOW_OR_LIFECYCLE	exact function bytes show an import, indirect call, reference-count, or lifecycle/control-flow operation rather than a stream field transfer	0x006FDF60	0x006FE058	357587a20115fd3ad22ff55a74dca38b4c6a3d96f69eed10ba79078b45502068	93e3f92c9937a2807d14e0c96e8cad2ebc62fbfed891aa7857808ed39785632e	0b0f3e1fbcbb15876d2e1a9edb0fa6be4aa302e78140fcd620e8d54e844690ff	IMAGE	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
4a89f4c84dbdb5ab09bd70026d489a7b58297570dc49cc1a02fcd9f3ff1307a0	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|delta_key=bbbedb2f275fa0d245e6c5591c890f0a182894b9c9ed1f773b425fcb7cfe5922	ActorLearnedPetsSkillData	W	5	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	UNKNOWN(invalid_parameter_import_call_wire_effect_unproved)	exact_direct_iat_call@0x006FDFB6 file_off=0x002FD3B6 function=0x006FDF60 iat=0x00C3B4C0 bytes=FF15C0B4C300 AND exact_direct_iat_import iat=0x00C3B4C0 iat_file_off=0x008398C0 descriptor_file_off=0x00C112DC lookup_file_off=0x00C118B4 dll_name_file_off=0x00C1647C symbol_name_file_off=0x00C15C62 dll=MSVCR90.dll symbol=_invalid_parameter_noinfo call_bytes=FF15C0B4C300 operation=PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL wire_effect=unproved basis=exact_call_bytes_and_pe_import	REMOVE_NON_WIRE_ROW	NOT_WIRE_CONTROL_FLOW_OR_LIFECYCLE	exact function bytes show an import, indirect call, reference-count, or lifecycle/control-flow operation rather than a stream field transfer	0x006FDF60	0x006FE058	357587a20115fd3ad22ff55a74dca38b4c6a3d96f69eed10ba79078b45502068	38f13c13d9b060db1c302b51153812ec5f771c75e2ef0c21f997d2a26c737aa0	8ae7ffb2e3a5fb2abe5d1d081cb760c45d8742b63777b880167da5f021c5202c	IMAGE	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
87cec3b6b9f9c33036c62f19f65f5957a0a38813b5fc4bfec7e6420a1a4ec8d9	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|delta_key=71d929b0f2c82aed46c65287c3b27a9bd82494918c85b92e086d590e0f841949	ActorLearnedPetsSkillData	R	5	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	UNKNOWN(invalid_parameter_import_call_wire_effect_unproved)	exact_direct_iat_call@0x006FDFCA file_off=0x002FD3CA function=0x006FDF60 iat=0x00C3B4C0 bytes=FF15C0B4C300 AND exact_direct_iat_import iat=0x00C3B4C0 iat_file_off=0x008398C0 descriptor_file_off=0x00C112DC lookup_file_off=0x00C118B4 dll_name_file_off=0x00C1647C symbol_name_file_off=0x00C15C62 dll=MSVCR90.dll symbol=_invalid_parameter_noinfo call_bytes=FF15C0B4C300 operation=PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL wire_effect=unproved basis=exact_call_bytes_and_pe_import	REMOVE_NON_WIRE_ROW	NOT_WIRE_CONTROL_FLOW_OR_LIFECYCLE	exact function bytes show an import, indirect call, reference-count, or lifecycle/control-flow operation rather than a stream field transfer	0x006FDF60	0x006FE058	357587a20115fd3ad22ff55a74dca38b4c6a3d96f69eed10ba79078b45502068	cbe935de2592b356addfb45a0a16d7c7856abf7f1fabf95778f27c5b748124f4	4dcc74ce652261c8cc9863ff7d1393494822d2a73203481c98d128bc65fa1099	IMAGE	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
5aec6f39f5c157f21ce6f8b56bc2f65898c63e047cea60cbab937280796b308f	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|delta_key=df22ad1c3d2d580c5c2b84f4236531aef832f5130db0d333ec614780e989cf69	ActorLearnedPetsSkillData	W	6	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	UNKNOWN(invalid_parameter_import_call_wire_effect_unproved)	exact_direct_iat_call@0x006FDFCA file_off=0x002FD3CA function=0x006FDF60 iat=0x00C3B4C0 bytes=FF15C0B4C300 AND exact_direct_iat_import iat=0x00C3B4C0 iat_file_off=0x008398C0 descriptor_file_off=0x00C112DC lookup_file_off=0x00C118B4 dll_name_file_off=0x00C1647C symbol_name_file_off=0x00C15C62 dll=MSVCR90.dll symbol=_invalid_parameter_noinfo call_bytes=FF15C0B4C300 operation=PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL wire_effect=unproved basis=exact_call_bytes_and_pe_import	REMOVE_NON_WIRE_ROW	NOT_WIRE_CONTROL_FLOW_OR_LIFECYCLE	exact function bytes show an import, indirect call, reference-count, or lifecycle/control-flow operation rather than a stream field transfer	0x006FDF60	0x006FE058	357587a20115fd3ad22ff55a74dca38b4c6a3d96f69eed10ba79078b45502068	d3da9db757a3098abaa21c806ca09d5ca15f0055b4fba47fa782f5a3125eae99	20ac0805d843fd69e04fbc4c4239aa60a590ebf8c7e9c83c3adf0d106e4f1f25	IMAGE	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
d719cea51e8a0aef332edf12381f8f367b5fb372378c82c38d8e8c87d978e6ce	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|delta_key=afbbe6942ae358d3a0133c51f001740429af7c0698082c425091f19b2be9f3be	ActorLearnedPetsSkillData	R	6	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	UNKNOWN(invalid_parameter_import_call_wire_effect_unproved)	exact_direct_iat_call@0x006FDFD9 file_off=0x002FD3D9 function=0x006FDF60 iat=0x00C3B4C0 bytes=FF15C0B4C300 AND exact_direct_iat_import iat=0x00C3B4C0 iat_file_off=0x008398C0 descriptor_file_off=0x00C112DC lookup_file_off=0x00C118B4 dll_name_file_off=0x00C1647C symbol_name_file_off=0x00C15C62 dll=MSVCR90.dll symbol=_invalid_parameter_noinfo call_bytes=FF15C0B4C300 operation=PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL wire_effect=unproved basis=exact_call_bytes_and_pe_import	REMOVE_NON_WIRE_ROW	NOT_WIRE_CONTROL_FLOW_OR_LIFECYCLE	exact function bytes show an import, indirect call, reference-count, or lifecycle/control-flow operation rather than a stream field transfer	0x006FDF60	0x006FE058	357587a20115fd3ad22ff55a74dca38b4c6a3d96f69eed10ba79078b45502068	d055b4060210b4c8580b89e01342ff4fda78fb68dcaeea2f86e6c42e7d489978	558eb1790a6ae3226d0fe765582f66096ffec7457e7e2ee6d53468cff975c88c	IMAGE	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
4428c277db7aac7d4279de3789fd5ad468e302ca10197f09690737384a076a35	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|delta_key=6286e2c0ebf730d61911edc0f76429e52ed1ff4c4220e03f60f3b13966174150	ActorLearnedPetsSkillData	W	7	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	UNKNOWN(invalid_parameter_import_call_wire_effect_unproved)	exact_direct_iat_call@0x006FDFD9 file_off=0x002FD3D9 function=0x006FDF60 iat=0x00C3B4C0 bytes=FF15C0B4C300 AND exact_direct_iat_import iat=0x00C3B4C0 iat_file_off=0x008398C0 descriptor_file_off=0x00C112DC lookup_file_off=0x00C118B4 dll_name_file_off=0x00C1647C symbol_name_file_off=0x00C15C62 dll=MSVCR90.dll symbol=_invalid_parameter_noinfo call_bytes=FF15C0B4C300 operation=PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL wire_effect=unproved basis=exact_call_bytes_and_pe_import	REMOVE_NON_WIRE_ROW	NOT_WIRE_CONTROL_FLOW_OR_LIFECYCLE	exact function bytes show an import, indirect call, reference-count, or lifecycle/control-flow operation rather than a stream field transfer	0x006FDF60	0x006FE058	357587a20115fd3ad22ff55a74dca38b4c6a3d96f69eed10ba79078b45502068	3a2fc83b2516b73a07a409f4c497c391dedd35abd4fa647b8935e1f601096aed	4368863c73b70bcb93a552fa7aa46cf6b0c27b49f3d008bf31350c7240154b90	IMAGE	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
0cb282b5c322627c0cf638d6f3eeee8e9236cd0400a65c79db69402deea9c12b	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|delta_key=1662e97c2c2fa2a1e2f8d15293ea2dd9f7fa94da775427ed879d088f21fd886f	ActorLearnedPetsSkillData	R	7	CALL_UNCLASSIFIED:0x006564E0	UNKNOWN(direct_call_not_proven_serializer)	ALWAYS	REMOVE_NON_WIRE_ROW	NOT_WIRE_CONTROL_FLOW_OR_LIFECYCLE	exact function bytes show an import, indirect call, reference-count, or lifecycle/control-flow operation rather than a stream field transfer	0x006FDF60	0x006FE058	357587a20115fd3ad22ff55a74dca38b4c6a3d96f69eed10ba79078b45502068	b846fd16e2a9118bede5e8f84d2d599e9fc84de244ffb23b3d8c70e72bc52c06	645e748c7a2ee0909df189a62916fa593282fb6e385a12ee7a5de049abf7cfd3	IMAGE	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
9471b6062686860a42bfea11d54fcc04cf297cf4d1f980a106f42a7fce29d76a	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|delta_key=de5ae00dfefb821c23d724597a0ab431cbe65745835260fb91ddddac53c6319c	ActorLearnedPetsSkillData	W	9	CALL_UNCLASSIFIED:0x006564E0	UNKNOWN(direct_call_not_proven_serializer)	ALWAYS	REMOVE_NON_WIRE_ROW	NOT_WIRE_CONTROL_FLOW_OR_LIFECYCLE	exact function bytes show an import, indirect call, reference-count, or lifecycle/control-flow operation rather than a stream field transfer	0x006FDF60	0x006FE058	357587a20115fd3ad22ff55a74dca38b4c6a3d96f69eed10ba79078b45502068	cd1515667ff4e8fe5eb498becbda9e2dfb890e1364041dc5fd0ca9891b743853	477ffa8834c5c73a57102450075389182fb5c1f6c48d686bb09d36a40c8b10b3	IMAGE	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
17d356317503ab4c3e29ade84e12b08b1d1ff715a003887f78ae32f87043bb3d	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|delta_key=3107b00d3c1c4307f4e0b90d1d5cc11831313d3a1007c768fd3b0d5eecf5173f	ActorLearnedPetsSkillData	R	10	CALL_UNCLASSIFIED:0x006FDB40	UNKNOWN(direct_call_not_proven_serializer)	ALWAYS	REMOVE_NON_WIRE_ROW	NOT_WIRE_CONTROL_FLOW_OR_LIFECYCLE	exact function bytes show an import, indirect call, reference-count, or lifecycle/control-flow operation rather than a stream field transfer	0x006FDF60	0x006FE058	357587a20115fd3ad22ff55a74dca38b4c6a3d96f69eed10ba79078b45502068	0c85b295a3b6d5256b3fe67d1d105d69e4954670126e50d285d561e714a1cc03	beb8ec67a2aa22e5e81998df7175b3274917f3e18e51d45475282d34743204f3	IMAGE	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
0c12ee2669c525661b20ff2077fe03d34c39c16eb0e97dec6a485db34d20364e	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	PF_A2_SERIALIZER_SLOT34_DELTA.tsv|delta_key=df79a527545dbb7c192d5a2d396e04553bc115bcafee82d81935ef1fdd46b3a1	ActorLearnedPetsSkillData	W	10	CALL_UNCLASSIFIED:0x006FDB40	UNKNOWN(direct_call_not_proven_serializer)	ALWAYS	REMOVE_NON_WIRE_ROW	NOT_WIRE_CONTROL_FLOW_OR_LIFECYCLE	exact function bytes show an import, indirect call, reference-count, or lifecycle/control-flow operation rather than a stream field transfer	0x006FDF60	0x006FE058	357587a20115fd3ad22ff55a74dca38b4c6a3d96f69eed10ba79078b45502068	95f1b50e51d6ae961d9dff74582171d7690259bb8e8067594dfea5a03befd6c1	728ad778f2e309f2f0bb69ca54a57f4569bd87ba4f4d751f2086b89748cf91be	IMAGE	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
