delta_key	action	change_type	base_file	base_line	base_row_key	message	direction(W/R)	old_order	old_tag	old_field_offset	old_len	new_wire_order	new_tag	new_field_offset	new_len	new_gate_condition	resolution	evidence_ticket	evidence_span_start	evidence_span_end	evidence_span_sha256	evidence_file_off	source
9cf73046d00aaa30b95c7970588526eee28751b227a8dea182630845185ec364	REMOVE_NONWIRE_ROW	DIRECTION_CROSS_PRODUCT_ARTIFACT	PF_SERIALIZER_FIELDS.tsv	1101	4c43d2b6730956dcef6f032fd753ba47b7bc5c08b0f92e4f26cf722529290c2c	ActorInspectVital	R	1	CALL_UNCLASSIFIED:INDIRECT(DEREF(DEREF(DEREF(OBJ+0x20))+0x34))	UNKNOWN(indirect_call_not_proven_serializer_slot)	N/A	N/A	N/A	N/A	N/A	N/A	WRITER_SITE_NOT_READER	POOL_46F4D0	0x005EAC90	0x005EADCA	04c9bf8a126dbea9013a9578688f6d4b07dfdef13537da0cffe48f3c6da7168e	0x001EA0FB	IMAGE
1781be9f07143324ab1cd87f14bfeabd31e8b533e960b13eb4022ce78220af31	CHANGED	RESOLVE_FIXED_VTABLE_PLUS_34_SUBCALL	PF_SERIALIZER_FIELDS.tsv	1102	ffdcc14be3751969eb81867ae699676ecae6bd0e8dbb1679e639be3f457cbe25	ActorInspectVital	W	5	CALL_UNCLASSIFIED:INDIRECT(DEREF(DEREF(DEREF(OBJ+0x20))+0x34))	UNKNOWN(indirect_call_not_proven_serializer_slot)	N/A	5	SUBCALL:0x0046F180	DEREF(+0x20)	N/A	+0x20!=NULL	WRITER_MEMBER_FIXED_POOL_SUBCALL	POOL_46F4D0	0x005EAC90	0x005EADCA	04c9bf8a126dbea9013a9578688f6d4b07dfdef13537da0cffe48f3c6da7168e	0x001EA0FB	IMAGE
7d4f3fdda6f8698d22798105f0f8818d19ea2cff0f90050998710c5d68fa1597	REMOVE_NONWIRE_ROW	NONWIRE_LIFECYCLE_OR_POOL_ARTIFACT	PF_SERIALIZER_FIELDS.tsv	1107	2c1d24f3cfefa68e10ff132ccdb620c26f04fd97bf445ecb7a86ffe397ca0c18	ActorInspectVital	R	6	CALL_UNCLASSIFIED:0x0046F4D0	UNKNOWN(direct_call_not_proven_serializer)	N/A	N/A	N/A	N/A	N/A	N/A	OBJECT_POOL_ACQUIRE_FIXED_VTABLE_NO_STREAM_ALIAS	POOL_46F4D0	0x005EAC90	0x005EADCA	04c9bf8a126dbea9013a9578688f6d4b07dfdef13537da0cffe48f3c6da7168e	0x001EA156	IMAGE
c01de7f51d292c398451b58eee3bfe1f326516d02602c0283b4541d83c162413	REMOVE_NONWIRE_ROW	NONWIRE_LIFECYCLE_OR_POOL_ARTIFACT	PF_SERIALIZER_FIELDS.tsv	1108	21c3ddba5324beecbc22a982250a917a07807ffebfcfe9c243cf8cdbf6406e58	ActorInspectVital	W	6	CALL_UNCLASSIFIED:0x0046F4D0	UNKNOWN(direct_call_not_proven_serializer)	N/A	N/A	N/A	N/A	N/A	N/A	OBJECT_POOL_ACQUIRE_FIXED_VTABLE_NO_STREAM_ALIAS	POOL_46F4D0	0x005EAC90	0x005EADCA	04c9bf8a126dbea9013a9578688f6d4b07dfdef13537da0cffe48f3c6da7168e	0x001EA156	IMAGE
06ace25bd6e2f8444eeaf432e358b233d3fc61a777d5223cbe4ba2447d376af4	REMOVE_NONWIRE_ROW	NONWIRE_LIFECYCLE_OR_POOL_ARTIFACT	PF_SERIALIZER_FIELDS.tsv	1109	b0e148b034f1190de94985eac8939ecf64431aa2269a9dfffe389d430caa03c2	ActorInspectVital	R	7	DYNAMIC_INTERLOCKED_DECREMENT_ECX_PLUS_0C_VTABLE_PLUS_04	UNKNOWN(dynamic_vtable_plus_0x04_target_unresolved)	N/A	N/A	N/A	N/A	N/A	N/A	FIXED_POOL_REFCOUNT_DECREMENT_TEARDOWN_NONWIRE	POOL_46F4D0	0x005EAC90	0x005EADCA	04c9bf8a126dbea9013a9578688f6d4b07dfdef13537da0cffe48f3c6da7168e	0x001EA168	IMAGE
56259cf696e50efeeaebc983bb475c8bcb7775e7ec4b9a6aa6ba48b11d425864	REMOVE_NONWIRE_ROW	NONWIRE_LIFECYCLE_OR_POOL_ARTIFACT	PF_SERIALIZER_FIELDS.tsv	1110	9ef7214e71bdb497d2a60ea4cad62ca9ddf5458206812891c473ae05c2f47ad3	ActorInspectVital	W	7	DYNAMIC_INTERLOCKED_DECREMENT_ECX_PLUS_0C_VTABLE_PLUS_04	UNKNOWN(dynamic_vtable_plus_0x04_target_unresolved)	N/A	N/A	N/A	N/A	N/A	N/A	FIXED_POOL_REFCOUNT_DECREMENT_TEARDOWN_NONWIRE	POOL_46F4D0	0x005EAC90	0x005EADCA	04c9bf8a126dbea9013a9578688f6d4b07dfdef13537da0cffe48f3c6da7168e	0x001EA168	IMAGE
94b829ee53d0a43477c7a52362d1463315610535a6a28267e968c2ecc5b465e5	REMOVE_NONWIRE_ROW	NONWIRE_LIFECYCLE_OR_POOL_ARTIFACT	PF_SERIALIZER_FIELDS.tsv	1111	798c3749ce191b533a5405d1b5f387054f7cc93a12e3c4e444e6ddf556e56ae9	ActorInspectVital	R	8	ATOMIC_INTERLOCKED_INCREMENT_ECX_PLUS_0C	UNKNOWN(atomic_target_object_alias_unproved)	N/A	N/A	N/A	N/A	N/A	N/A	FIXED_NEW_OBJECT_REFCOUNT_INCREMENT_NONWIRE	POOL_46F4D0	0x005EAC90	0x005EADCA	04c9bf8a126dbea9013a9578688f6d4b07dfdef13537da0cffe48f3c6da7168e	0x001EA176	IMAGE
36dcdcd020639b99dfcbade26678e622926ddd8a2638fd6b0bdfe0edb0b13bbf	REMOVE_NONWIRE_ROW	NONWIRE_LIFECYCLE_OR_POOL_ARTIFACT	PF_SERIALIZER_FIELDS.tsv	1112	13ca69fd50fb81b73eb1e6a8468c54926d82f83794c52743ca8556f11118f9ac	ActorInspectVital	W	8	ATOMIC_INTERLOCKED_INCREMENT_ECX_PLUS_0C	UNKNOWN(atomic_target_object_alias_unproved)	N/A	N/A	N/A	N/A	N/A	N/A	FIXED_NEW_OBJECT_REFCOUNT_INCREMENT_NONWIRE	POOL_46F4D0	0x005EAC90	0x005EADCA	04c9bf8a126dbea9013a9578688f6d4b07dfdef13537da0cffe48f3c6da7168e	0x001EA176	IMAGE
a0bf7bb43dffe8185ecad0694777971aca41674ead73343ee85aa24f5a04bb70	CHANGED	RESOLVE_FIXED_VTABLE_PLUS_34_SUBCALL	PF_SERIALIZER_FIELDS.tsv	1113	64c3bf6bde9cd04d4899aca9f73a5db90d3f4e14f4353ed77c6c4bbbe8ec7aef	ActorInspectVital	R	9	CALL_UNCLASSIFIED:INDIRECT(DEREF(DEREF(DEREF(OBJ+0x20))+0x34))	UNKNOWN(indirect_call_not_proven_serializer_slot)	N/A	9	SUBCALL:0x0046F180	DEREF(+0x20)	N/A	DECODED_PRESENCE_FLAG!=0	READER_HELPER_RESULT_FIXED_POOL_SUBCALL	POOL_46F4D0	0x005EAC90	0x005EADCA	04c9bf8a126dbea9013a9578688f6d4b07dfdef13537da0cffe48f3c6da7168e	0x001EA188	IMAGE
50de4de10ff1f2d744d63e3c9a8728df7c8136d0273318fa942b84c99597d9bb	REMOVE_NONWIRE_ROW	DIRECTION_CROSS_PRODUCT_ARTIFACT	PF_SERIALIZER_FIELDS.tsv	1114	3f91df04f95d246d8645fd0925ec9d16e651f519da225eea0df3c274bd608059	ActorInspectVital	W	9	CALL_UNCLASSIFIED:INDIRECT(DEREF(DEREF(DEREF(OBJ+0x20))+0x34))	UNKNOWN(indirect_call_not_proven_serializer_slot)	N/A	N/A	N/A	N/A	N/A	N/A	READER_SITE_NOT_WRITER	POOL_46F4D0	0x005EAC90	0x005EADCA	04c9bf8a126dbea9013a9578688f6d4b07dfdef13537da0cffe48f3c6da7168e	0x001EA188	IMAGE
