delta_key	action	change_type	base_file	base_line	base_row_key	message	direction(W/R)	old_order	old_tag	old_field_offset	old_len	new_wire_order	new_tag	new_field_offset	new_len	new_gate_condition	resolution	evidence_ticket	evidence_span_start	evidence_span_end	evidence_span_sha256	evidence_file_off	source
245ec730cf6477fe99c001b8503dbba787eb8179a6a5ef4bcd3dd300fa931a96	REMOVE_NONWIRE_ROW	DIRECTION_CROSS_PRODUCT_ARTIFACT	PF_SERIALIZER_FIELDS.tsv	2087	1854aa84e0d7a42d84c2135da7b98d296bbad190e552c82feee0e2ee506a05ed	Community_AddBlackListVital	R	3	CALL_UNCLASSIFIED:INDIRECT(DEREF(DEREF(DEREF(OBJ+0x48))+0x14))	UNKNOWN(indirect_call_not_proven_serializer_slot)	N/A	N/A	N/A	N/A	N/A	N/A	WRITER_SITE_NOT_READER	POOL_638690	0x006448A0	0x0064498F	645560a112bc5938b11bea612cf90299958cc15b57fe1adb30fffddfde8231cf	0x00243D1C	IMAGE
5352d3dc619dde186dec94eae8cc79f994925110fe8d5149982e42a76f244afb	CHANGED	RESOLVE_FIXED_VTABLE_SUBCALL	PF_SERIALIZER_FIELDS.tsv	2088	00ce71dc000f255af4d05052df4eae6d0cde90ac515e82dfba7f3f322523b8f6	Community_AddBlackListVital	W	5	CALL_UNCLASSIFIED:INDIRECT(DEREF(DEREF(DEREF(OBJ+0x48))+0x14))	UNKNOWN(indirect_call_not_proven_serializer_slot)	N/A	5	SUBCALL:0x00637FC0	DEREF(+0x48)	N/A	+0x48!=NULL	WRITER_MEMBER_FIXED_POOL_SUBCALL	POOL_638690	0x006448A0	0x0064498F	645560a112bc5938b11bea612cf90299958cc15b57fe1adb30fffddfde8231cf	0x00243D1C	IMAGE
5f645c4e969d931bd8937d67104187cb50c1ea2e45fd1442d14c7f67b8c60ffd	REMOVE_NONWIRE_ROW	NONWIRE_LIFECYCLE_OR_POOL_ARTIFACT	PF_SERIALIZER_FIELDS.tsv	2091	0fac890235787fb634bf5dd8d0f216caa8714184629041bec567d8e736a480df	Community_AddBlackListVital	R	6	CALL_UNCLASSIFIED:0x00638690	UNKNOWN(direct_call_not_proven_serializer)	N/A	N/A	N/A	N/A	N/A	N/A	OBJECT_POOL_ACQUIRE_NO_STREAM_ALIAS	POOL_638690	0x006448A0	0x0064498F	645560a112bc5938b11bea612cf90299958cc15b57fe1adb30fffddfde8231cf	0x00243D51	IMAGE
8f77a6aaef4af0cdad57217e7fc3e7188c4d0c279d9dd32596395279185ce81e	REMOVE_NONWIRE_ROW	NONWIRE_LIFECYCLE_OR_POOL_ARTIFACT	PF_SERIALIZER_FIELDS.tsv	2092	1062238fd72ecdfcc0dfeafedd59fbd0f848606cd31d370279ca57f710fefcd1	Community_AddBlackListVital	W	6	CALL_UNCLASSIFIED:0x00638690	UNKNOWN(direct_call_not_proven_serializer)	N/A	N/A	N/A	N/A	N/A	N/A	OBJECT_POOL_ACQUIRE_NO_STREAM_ALIAS	POOL_638690	0x006448A0	0x0064498F	645560a112bc5938b11bea612cf90299958cc15b57fe1adb30fffddfde8231cf	0x00243D51	IMAGE
724c8e1400190a22b8df85ae184d231212d2ac884226f386bde6539e97d675c3	REMOVE_NONWIRE_ROW	NONWIRE_LIFECYCLE_OR_POOL_ARTIFACT	PF_SERIALIZER_FIELDS.tsv	2093	85d8252184d449b62efe9bc23ce6470654e5f166ec3bee31a5ff183c551f63de	Community_AddBlackListVital	R	7	DYNAMIC_INTERLOCKED_DECREMENT_ECX_PLUS_0C_VTABLE_PLUS_04	UNKNOWN(dynamic_vtable_plus_0x04_target_unresolved)	N/A	N/A	N/A	N/A	N/A	N/A	FIXED_POOL_DESTRUCTOR_FULL_CFG_NONWIRE	POOL_638690	0x006448A0	0x0064498F	645560a112bc5938b11bea612cf90299958cc15b57fe1adb30fffddfde8231cf	0x00243D63	IMAGE
9a39444f8bbf6ed367b72897decea62d34f4d067f7345e2645a8be5ccfefb3be	REMOVE_NONWIRE_ROW	NONWIRE_LIFECYCLE_OR_POOL_ARTIFACT	PF_SERIALIZER_FIELDS.tsv	2094	91bdcfbd41c65f8c6e483b3489ca48e19d923daa4969cb1870b75f5843102f40	Community_AddBlackListVital	W	7	DYNAMIC_INTERLOCKED_DECREMENT_ECX_PLUS_0C_VTABLE_PLUS_04	UNKNOWN(dynamic_vtable_plus_0x04_target_unresolved)	N/A	N/A	N/A	N/A	N/A	N/A	FIXED_POOL_DESTRUCTOR_FULL_CFG_NONWIRE	POOL_638690	0x006448A0	0x0064498F	645560a112bc5938b11bea612cf90299958cc15b57fe1adb30fffddfde8231cf	0x00243D63	IMAGE
780a43f05da893465b0a08bd30d82e0b09ae0d96a6c5aea669149c676ffbd65a	REMOVE_NONWIRE_ROW	NONWIRE_LIFECYCLE_OR_POOL_ARTIFACT	PF_SERIALIZER_FIELDS.tsv	2095	e3f2753a97ee8daf72415a74a8b1446b1df010844655c2be7065feb5e8c5b326	Community_AddBlackListVital	R	8	ATOMIC_INTERLOCKED_INCREMENT_ECX_PLUS_0C	UNKNOWN(atomic_target_object_alias_unproved)	N/A	N/A	N/A	N/A	N/A	N/A	FIXED_NEW_OBJECT_REFCOUNT_INCREMENT_NONWIRE	POOL_638690	0x006448A0	0x0064498F	645560a112bc5938b11bea612cf90299958cc15b57fe1adb30fffddfde8231cf	0x00243D71	IMAGE
bfbccfcf7c3bb9fa8da26ea3169830f60dbf0239f7bb09314314913de0cae82d	REMOVE_NONWIRE_ROW	NONWIRE_LIFECYCLE_OR_POOL_ARTIFACT	PF_SERIALIZER_FIELDS.tsv	2096	1933739ba73717be039536b554994851674b3e4bf69ad12b03baa88fde83eaba	Community_AddBlackListVital	W	8	ATOMIC_INTERLOCKED_INCREMENT_ECX_PLUS_0C	UNKNOWN(atomic_target_object_alias_unproved)	N/A	N/A	N/A	N/A	N/A	N/A	FIXED_NEW_OBJECT_REFCOUNT_INCREMENT_NONWIRE	POOL_638690	0x006448A0	0x0064498F	645560a112bc5938b11bea612cf90299958cc15b57fe1adb30fffddfde8231cf	0x00243D71	IMAGE
f3a4a08e69fa0414d27c8cb4b72e92530946753db0b678e6d93935a47e3cfec4	CHANGED	RESOLVE_FIXED_VTABLE_SUBCALL	PF_SERIALIZER_FIELDS.tsv	2097	e8e981894ed5a2fb3319b2a212a3179594dd6456615d9ad84dc34f42eae9dd75	Community_AddBlackListVital	R	9	CALL_UNCLASSIFIED:INDIRECT(DEREF(DEREF(DEREF(OBJ+0x48))+0x14))	UNKNOWN(indirect_call_not_proven_serializer_slot)	N/A	9	SUBCALL:0x00637FC0	DEREF(+0x48)	N/A	DECODED_PRESENCE_FLAG!=0	READER_HELPER_RESULT_FIXED_POOL_SUBCALL	POOL_638690	0x006448A0	0x0064498F	645560a112bc5938b11bea612cf90299958cc15b57fe1adb30fffddfde8231cf	0x00243D87	IMAGE
7cd9707c74d21ab53eff60dca9083aca42f5c28f020ccf39ae0475f136c21a75	REMOVE_NONWIRE_ROW	DIRECTION_CROSS_PRODUCT_ARTIFACT	PF_SERIALIZER_FIELDS.tsv	2098	64b5bc3ef3b6a56addccd8d177b5f4d153bf7f504ed890603f83c74a799b3c9c	Community_AddBlackListVital	W	9	CALL_UNCLASSIFIED:INDIRECT(DEREF(DEREF(DEREF(OBJ+0x48))+0x14))	UNKNOWN(indirect_call_not_proven_serializer_slot)	N/A	N/A	N/A	N/A	N/A	N/A	READER_SITE_NOT_WRITER	POOL_638690	0x006448A0	0x0064498F	645560a112bc5938b11bea612cf90299958cc15b57fe1adb30fffddfde8231cf	0x00243D87	IMAGE
