delta_key	action	change_type	base_file	base_line	base_row_key	message	direction(W/R)	old_order	old_tag	old_field_offset	old_len	new_wire_order	new_tag	new_field_offset	new_len	new_gate_condition	resolution	evidence_ticket	evidence_span_start	evidence_span_end	evidence_span_sha256	evidence_file_off	source
86a783911c06685d53361f546fb24c7f295d3a2da304d9b334c77de3603b28e8	REMOVE_NONWIRE_ROW	NONWIRE_FIXED_POOL_OR_REFCOUNT_ARTIFACT	PF_SERIALIZER_FIELDS.tsv	2562	fecbdf9859d0725a38cce347b6b6a8da72c5b5dffa5f311370e0295426f8e7da	TradeCmdVital	W	8	CALL_UNCLASSIFIED:0x00661FA0	UNKNOWN(direct_call_not_proven_serializer)	N/A	N/A	N/A	N/A	N/A	N/A	FIXED_0x20_POOL_OBJECT_CONSTRUCTION_NO_STREAM_EFFECT	STATIC-POOL-661FA0	0x00699910	0x006999EE	6f6d5832976137fa98b15ba81b512f64e30d2570f4d93f5311af9e25071540e8	0x00298DBA	IMAGE
c6b585050cbe3cb92b78ab6bd5eb1b88f6ece954c28a5f33133e2769b5e18390	REMOVE_NONWIRE_ROW	NONWIRE_FIXED_POOL_OR_REFCOUNT_ARTIFACT	PF_SERIALIZER_FIELDS.tsv	2564	6b217718280bfb2cf1a2240aab775e74d745c46c3317807d68450bf7be20c465	TradeCmdVital	W	9	DYNAMIC_INTERLOCKED_DECREMENT_ECX_PLUS_0C_VTABLE_PLUS_04	UNKNOWN(dynamic_vtable_plus_0x04_target_unresolved)	N/A	N/A	N/A	N/A	N/A	N/A	FIXED_OBJECT_REFCOUNT_DECREMENT_TO_0x005DFCA0_NO_STREAM_EFFECT	STATIC-POOL-661FA0	0x00699910	0x006999EE	6f6d5832976137fa98b15ba81b512f64e30d2570f4d93f5311af9e25071540e8	0x00298DCC	IMAGE
f871faf0cb1a944938a333efa0cc547b26fbb6ae00648c777b01abdb4e69e69f	REMOVE_NONWIRE_ROW	NONWIRE_FIXED_POOL_OR_REFCOUNT_ARTIFACT	PF_SERIALIZER_FIELDS.tsv	2566	5a035ccd893584076f050f155967e778b6669913cd132fffbc1ccf645c11c860	TradeCmdVital	W	10	ATOMIC_INTERLOCKED_INCREMENT_ECX_PLUS_0C	UNKNOWN(atomic_target_object_alias_unproved)	N/A	N/A	N/A	N/A	N/A	N/A	FIXED_OBJECT_REFCOUNT_INCREMENT_NO_STREAM_EFFECT	STATIC-POOL-661FA0	0x00699910	0x006999EE	6f6d5832976137fa98b15ba81b512f64e30d2570f4d93f5311af9e25071540e8	0x00298DDA	IMAGE
f6b59ea208c4b493d12977207e7ce521e4984fa1216b5572aeeb38757ec6b254	REMOVE_NONWIRE_ROW	NONWIRE_FIXED_POOL_OR_REFCOUNT_ARTIFACT	PF_SERIALIZER_FIELDS.tsv	2561	3e024a3be0906d908aa8f1a6985829b8c5802401caf11070b7865801b5eb2ae4	TradeCmdVital	R	4	CALL_UNCLASSIFIED:0x00661FA0	UNKNOWN(direct_call_not_proven_serializer)	N/A	N/A	N/A	N/A	N/A	N/A	FIXED_0x20_POOL_OBJECT_CONSTRUCTION_NO_STREAM_EFFECT	STATIC-POOL-661FA0	0x00699910	0x006999EE	6f6d5832976137fa98b15ba81b512f64e30d2570f4d93f5311af9e25071540e8	0x00298DBA	IMAGE
fc0d6d6f27e0733d954877553578b9d173c3d0fd94430a27bbb32defad1d5752	REMOVE_NONWIRE_ROW	NONWIRE_FIXED_POOL_OR_REFCOUNT_ARTIFACT	PF_SERIALIZER_FIELDS.tsv	2563	b6d9506e4dbdab91cc39827b77ab62b0fb2325eea8f18d081e7f79c5dab8f80f	TradeCmdVital	R	5	DYNAMIC_INTERLOCKED_DECREMENT_ECX_PLUS_0C_VTABLE_PLUS_04	UNKNOWN(dynamic_vtable_plus_0x04_target_unresolved)	N/A	N/A	N/A	N/A	N/A	N/A	FIXED_OBJECT_REFCOUNT_DECREMENT_TO_0x005DFCA0_NO_STREAM_EFFECT	STATIC-POOL-661FA0	0x00699910	0x006999EE	6f6d5832976137fa98b15ba81b512f64e30d2570f4d93f5311af9e25071540e8	0x00298DCC	IMAGE
80c218df4bf6e77ee20f984469469cc8e4b0429aafff4ae4a449f295f88023eb	REMOVE_NONWIRE_ROW	NONWIRE_FIXED_POOL_OR_REFCOUNT_ARTIFACT	PF_SERIALIZER_FIELDS.tsv	2565	557eb66154182aeb7e703fef3ee8bb1440eb17f925ba21ca2e1af57acb14ce38	TradeCmdVital	R	6	ATOMIC_INTERLOCKED_INCREMENT_ECX_PLUS_0C	UNKNOWN(atomic_target_object_alias_unproved)	N/A	N/A	N/A	N/A	N/A	N/A	FIXED_OBJECT_REFCOUNT_INCREMENT_NO_STREAM_EFFECT	STATIC-POOL-661FA0	0x00699910	0x006999EE	6f6d5832976137fa98b15ba81b512f64e30d2570f4d93f5311af9e25071540e8	0x00298DDA	IMAGE
db6cde2c17d82dad0e4c08844f184e1e64c28ba00a4db2ab44db14e7a5749a13	REMOVE_NONWIRE_ROW	NONWIRE_FIXED_POOL_OR_REFCOUNT_ARTIFACT	PF_SERIALIZER_FIELDS.tsv	3802	e9dde1c6f5665fc3846dbcd7fa26ec96466ccc14b5dc675e896897cafbafd5ca	GCGS_GuildStorageCmdVital	W	8	CALL_UNCLASSIFIED:0x00661FA0	UNKNOWN(direct_call_not_proven_serializer)	N/A	N/A	N/A	N/A	N/A	N/A	FIXED_0x20_POOL_OBJECT_CONSTRUCTION_NO_STREAM_EFFECT	STATIC-POOL-661FA0	0x00699910	0x006999EE	6f6d5832976137fa98b15ba81b512f64e30d2570f4d93f5311af9e25071540e8	0x00298DBA	IMAGE
28527ba2e9b0ef5882707e09ad9c7350109d3318379a9ba662110a16ce00aec8	REMOVE_NONWIRE_ROW	NONWIRE_FIXED_POOL_OR_REFCOUNT_ARTIFACT	PF_SERIALIZER_FIELDS.tsv	3804	72c720bbe963f35f37004aba1afbbc696783d44a92dd8c857fe939395d05ca08	GCGS_GuildStorageCmdVital	W	9	DYNAMIC_INTERLOCKED_DECREMENT_ECX_PLUS_0C_VTABLE_PLUS_04	UNKNOWN(dynamic_vtable_plus_0x04_target_unresolved)	N/A	N/A	N/A	N/A	N/A	N/A	FIXED_OBJECT_REFCOUNT_DECREMENT_TO_0x005DFCA0_NO_STREAM_EFFECT	STATIC-POOL-661FA0	0x00699910	0x006999EE	6f6d5832976137fa98b15ba81b512f64e30d2570f4d93f5311af9e25071540e8	0x00298DCC	IMAGE
1f5ee71f118310c81269648eb2be4ecb58a82dfe27328aa6275cae7a913e35c2	REMOVE_NONWIRE_ROW	NONWIRE_FIXED_POOL_OR_REFCOUNT_ARTIFACT	PF_SERIALIZER_FIELDS.tsv	3806	48fc36f84b072d435f860a7d7d4c416e95544611e2476af8e6ce7f69ea17bd88	GCGS_GuildStorageCmdVital	W	10	ATOMIC_INTERLOCKED_INCREMENT_ECX_PLUS_0C	UNKNOWN(atomic_target_object_alias_unproved)	N/A	N/A	N/A	N/A	N/A	N/A	FIXED_OBJECT_REFCOUNT_INCREMENT_NO_STREAM_EFFECT	STATIC-POOL-661FA0	0x00699910	0x006999EE	6f6d5832976137fa98b15ba81b512f64e30d2570f4d93f5311af9e25071540e8	0x00298DDA	IMAGE
cb662ab5632fd9b780f3d1e2f2460cfc42b6771bf4ea39929130d801a6bba6c7	REMOVE_NONWIRE_ROW	NONWIRE_FIXED_POOL_OR_REFCOUNT_ARTIFACT	PF_SERIALIZER_FIELDS.tsv	3801	7ed27f5d1c1fef369aee0df4eedb13c855275447a5646e56ba060abeec7fee12	GCGS_GuildStorageCmdVital	R	4	CALL_UNCLASSIFIED:0x00661FA0	UNKNOWN(direct_call_not_proven_serializer)	N/A	N/A	N/A	N/A	N/A	N/A	FIXED_0x20_POOL_OBJECT_CONSTRUCTION_NO_STREAM_EFFECT	STATIC-POOL-661FA0	0x00699910	0x006999EE	6f6d5832976137fa98b15ba81b512f64e30d2570f4d93f5311af9e25071540e8	0x00298DBA	IMAGE
