delta_key	action	change_type	base_file	base_line	base_row_key	message	direction(W/R)	old_order	old_tag	old_field_offset	old_len	new_wire_order	new_tag	new_field_offset	new_len	new_gate_condition	resolution	evidence_ticket	evidence_span_start	evidence_span_end	evidence_span_sha256	evidence_file_off	source
d3ddc7320609fc5d7a9bf336e7f85df9e3720af2d06e62a75570f962c69e2c8b	REMOVE_NONWIRE_ROW	NONWIRE_LIFECYCLE_OR_CONTAINER_ARTIFACT	PF_SERIALIZER_FIELDS.tsv	5493	458ae0477783bd3e900b6ec8bdd164b95f7a77a8d51ac7a7e6705414b9556392	CTracePathVital	W	3	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	UNKNOWN(invalid_parameter_import_call_wire_effect_unproved)	N/A	N/A	N/A	N/A	N/A	N/A	FAIL_FAST_INVALID_PARAMETER_BRANCH_NO_STREAM_EFFECT	RE-119	0x006EBD50	0x006EBE64	1940cd4500e3218d701abafa56a82ca6a45b1147143e21e4ad2d97ae27724f28	0x002EB190	IMAGE
a08a42190686fddd96efc1be2a020c37ebcb98835662a4b5518863e579cd9141	REMOVE_NONWIRE_ROW	NONWIRE_LIFECYCLE_OR_CONTAINER_ARTIFACT	PF_SERIALIZER_FIELDS.tsv	5494	9c39c1016c3555e671965623fc533b79474b389e2ea2b5cf215cdeec8bebe61a	CTracePathVital	W	4	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	UNKNOWN(invalid_parameter_import_call_wire_effect_unproved)	N/A	N/A	N/A	N/A	N/A	N/A	FAIL_FAST_INVALID_PARAMETER_BRANCH_NO_STREAM_EFFECT	RE-119	0x006EBD50	0x006EBE64	1940cd4500e3218d701abafa56a82ca6a45b1147143e21e4ad2d97ae27724f28	0x002EB1A0	IMAGE
45d41b8974caaee3e21be9a16c6fbfb5d03814c501131e19fa4cc3bbd871cc07	REMOVE_NONWIRE_ROW	NONWIRE_LIFECYCLE_OR_CONTAINER_ARTIFACT	PF_SERIALIZER_FIELDS.tsv	5495	16c85eb492a2797fdbbac86b35e2eda5f65afc1251d80159c2ffdd2144a93028	CTracePathVital	W	5	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	UNKNOWN(invalid_parameter_import_call_wire_effect_unproved)	N/A	N/A	N/A	N/A	N/A	N/A	FAIL_FAST_INVALID_PARAMETER_BRANCH_NO_STREAM_EFFECT	RE-119	0x006EBD50	0x006EBE64	1940cd4500e3218d701abafa56a82ca6a45b1147143e21e4ad2d97ae27724f28	0x002EB1B0	IMAGE
9ca7c92b688e13b80ac4b4fc445d854b02692dbf8154cb54756debef991a0889	REMOVE_NONWIRE_ROW	NONWIRE_LIFECYCLE_OR_CONTAINER_ARTIFACT	PF_SERIALIZER_FIELDS.tsv	5496	230ffd557cee88055242327000cc19cdf32f2c25697b6b55e985149eabe9ab87	CTracePathVital	W	6	PE_IMPORT_INVALID_PARAMETER_NOINFO_SINGLETON_REGISTER_CALL	UNKNOWN(invalid_parameter_singleton_register_call_wire_effect_unproved)	N/A	N/A	N/A	N/A	N/A	N/A	FAIL_FAST_INVALID_PARAMETER_BRANCH_NO_STREAM_EFFECT	RE-119	0x006EBD50	0x006EBE64	1940cd4500e3218d701abafa56a82ca6a45b1147143e21e4ad2d97ae27724f28	0x002EB1C4	IMAGE
0c2f25c57b064dc11378e522a057790b23c39bb8f37bdc507f2b5a16638c2662	REMOVE_NONWIRE_ROW	NONWIRE_LIFECYCLE_OR_CONTAINER_ARTIFACT	PF_SERIALIZER_FIELDS.tsv	5497	42212c0bb2a813ba458137ec5a63ba25a2601c891113c7a03506b985ff359d53	CTracePathVital	W	7	PE_IMPORT_INVALID_PARAMETER_NOINFO_SINGLETON_REGISTER_CALL	UNKNOWN(invalid_parameter_singleton_register_call_wire_effect_unproved)	N/A	N/A	N/A	N/A	N/A	N/A	FAIL_FAST_INVALID_PARAMETER_BRANCH_NO_STREAM_EFFECT	RE-119	0x006EBD50	0x006EBE64	1940cd4500e3218d701abafa56a82ca6a45b1147143e21e4ad2d97ae27724f28	0x002EB1CD	IMAGE
e211fa690a8d6bcf6f6f87b67d5562b753cf28f230d0d6ef865c179e3aba8435	CHANGED	RECORD_OFFSET_AND_DISCRIMINATOR_GATE_REFINEMENT	PF_SERIALIZER_FIELDS.tsv	5499	e664698e985bb053f20906b137101a8dbb3f75ea9bd5650dac08260ec6849abc	CTracePathVital	W	9	0x08	PHI(REG(edi)+0x18|DEREF(DEREF(STACK@0x006EBD50+0x8)+0xC))+0x16	1	1	0x08	RECORD+0x16	1	ALWAYS	RE119_DISCRIMINATED_RECORD_LAYOUT	RE-119	0x006EB960	0x006EBA88	b95745c2130cb09405d30553e0c236b440b3058acab5de779ce67e6a39e19ba8	0x002EAD7E	IMAGE
5a778cdbe23b4dfb7b6a0483d2754ced4a590dba422ab5e49ff7e5a8435fb909	CHANGED	RECORD_OFFSET_AND_DISCRIMINATOR_GATE_REFINEMENT	PF_SERIALIZER_FIELDS.tsv	5500	6d215f51577d07956b72702f26a46e78aaadd53a6de41a78832a1c96bd5cc3cb	CTracePathVital	W	10	0x0F	PHI(REG(edi)+0x18|DEREF(DEREF(STACK@0x006EBD50+0x8)+0xC))+0x10	2	2	0x0F	RECORD+0x10	2	ALWAYS	RE119_DISCRIMINATED_RECORD_LAYOUT	RE-119	0x006EB960	0x006EBA88	b95745c2130cb09405d30553e0c236b440b3058acab5de779ce67e6a39e19ba8	0x002EAD8D	IMAGE
fc051ceaeb81201c383c0d1a30d19ee5d0c7bc4ef8d205132080e486b70a3415	CHANGED	RECORD_OFFSET_AND_DISCRIMINATOR_GATE_REFINEMENT	PF_SERIALIZER_FIELDS.tsv	5501	afca7589cc19489777f51c701cbb84db51e7f92e7f4e00196879276550c07988	CTracePathVital	W	11	0x0F	PHI(REG(edi)+0x18|DEREF(DEREF(STACK@0x006EBD50+0x8)+0xC))+0x12	2	3	0x0F	RECORD+0x12	2	ALWAYS	RE119_DISCRIMINATED_RECORD_LAYOUT	RE-119	0x006EB960	0x006EBA88	b95745c2130cb09405d30553e0c236b440b3058acab5de779ce67e6a39e19ba8	0x002EAD9C	IMAGE
ef0bca1e41cb4cb7e79fb37f79e91d783dc3a32f2cbe1602aa261a77f201aedf	CHANGED	RECORD_OFFSET_AND_DISCRIMINATOR_GATE_REFINEMENT	PF_SERIALIZER_FIELDS.tsv	5502	4e8877e844870221cfdb688b5bdc907bbe2e5fb6b7b368fcb259e0c2297e5415	CTracePathVital	W	12	0x0F	PHI(REG(edi)+0x18|DEREF(DEREF(STACK@0x006EBD50+0x8)+0xC))+0x14	2	4	0x0F	RECORD+0x14	2	ALWAYS	RE119_DISCRIMINATED_RECORD_LAYOUT	RE-119	0x006EB960	0x006EBA88	b95745c2130cb09405d30553e0c236b440b3058acab5de779ce67e6a39e19ba8	0x002EADAB	IMAGE
b325aff660b300b2718b805962b5ada358ad3ad544f56d320828595fcad89222	CHANGED	RECORD_OFFSET_AND_DISCRIMINATOR_GATE_REFINEMENT	PF_SERIALIZER_FIELDS.tsv	5503	6a4d13a80c54fc9cd0c89dada39f740d24dd537b434047827ae7fc4b72cac1b6	CTracePathVital	W	13	0x14	PHI(REG(edi)+0x18|DEREF(DEREF(STACK@0x006EBD50+0x8)+0xC))	4	5	0x14	RECORD+0x00	4	ALWAYS	RE119_DISCRIMINATED_RECORD_LAYOUT	RE-119	0x006EB960	0x006EBA88	b95745c2130cb09405d30553e0c236b440b3058acab5de779ce67e6a39e19ba8	0x002EADB7	IMAGE
