dedup_key	delta_action	base_row_number	message	direction(W/R)	order	field_offset	original_tag	corrected_tag	original_payload_len	corrected_full_wire_len	string_kind	length_prefix	original_call_va	original_call_file_off	base_span_start	base_span_end	base_span_sha256	helper_va	helper_file_off	helper_span_end_va	helper_span_end_file_off	helper_span_sha256	tag_instruction_va	tag_instruction_file_off	tag_instruction_semantics	priority	source
a5a288cd5cfffa6a8683f87e16cf4adf297a3ac560e70054d2521b4fa34bdb93	CHANGED	326	LoginVerifyVital	W	2	+0x18	UNTAGGED_WSTRING16LE_LEN32LE	0x48	4+N_bytes	5+N_bytes	wstring16le	uint32le_byte_count	0x005E4B94	0x001E3F94	0x005E4B70	0x005E4BD1	e4a45cf24be3a9e99d92aa618118db97c944fe6f712616cd5cdbc340f291d7cf	0x0089A810	0x00499C10	0x0089A875	0x00499C75	08d6f27f030f3e0f1a32873d296c7f2c35a9d67f547607cf95c2900a60ffdad4	0x0089A833	0x00499C33	push_0x48	1	IMAGE
efa2c41918a2ce79527f6cbd61397fc491d1943803d034387f0857ec3fbe890d	CHANGED	327	LoginVerifyVital	W	3	+0x34	UNTAGGED_STRING8_LEN32LE	0x44	4+N_bytes	5+N_bytes	string8	uint32le_byte_count	0x005E4B9F	0x001E3F9F	0x005E4B70	0x005E4BD1	e4a45cf24be3a9e99d92aa618118db97c944fe6f712616cd5cdbc340f291d7cf	0x0089A6D0	0x00499AD0	0x0089A733	0x00499B33	a0674fb3366720314e20ef5f5dbfa010330b12a73ed4e56e6c43e9d310dce9f1	0x0089A6F1	0x00499AF1	push_0x44	1	IMAGE
3c0edeeccd187b493a6ff1b76e6e707b32030c231c7d8782742a9967c59012ed	CHANGED	329	LoginVerifyVital	R	2	+0x18	UNTAGGED_WSTRING16LE_LEN32LE	0x48	4+N_bytes	5+N_bytes	wstring16le	uint32le_byte_count	0x005E4BBC	0x001E3FBC	0x005E4B70	0x005E4BD1	e4a45cf24be3a9e99d92aa618118db97c944fe6f712616cd5cdbc340f291d7cf	0x0089A880	0x00499C80	0x0089A95E	0x00499D5E	2f564cb5d4f68d035d9e60fa1a4a5334b0875262420851f463f3f904e22ad978	0x0089A89C	0x00499C9C	push_0x48	1	IMAGE
242150771bcf861139a0f07073e6d65c6daf3225344ccf25f6113140b6515227	CHANGED	330	LoginVerifyVital	R	3	+0x34	UNTAGGED_STRING8_LEN32LE	0x44	4+N_bytes	5+N_bytes	string8	uint32le_byte_count	0x005E4BC7	0x001E3FC7	0x005E4B70	0x005E4BD1	e4a45cf24be3a9e99d92aa618118db97c944fe6f712616cd5cdbc340f291d7cf	0x0089A740	0x00499B40	0x0089A806	0x00499C06	90c8c73b3b3c7158af57e374c694730763ab28292130b4f128a4754dec54e76a	0x0089A75C	0x00499B5C	push_0x44	1	IMAGE
b245f6e60f0dd01d4a2cbc7b200d2824250618948de9944fba87683000810403	CHANGED	346	SelectActorVital	W	13	DEREF(DEREF(STACK@0x005EBAE0+0x18)+0x10)+0x24	UNTAGGED_WSTRING16LE_LEN32LE	0x48	4+N_bytes	5+N_bytes	wstring16le	uint32le_byte_count	0x005DFF99	0x001DF399	0x005DFF60	0x005E01C6	de9de2a04f4ac3ec8e6c07550336eea2be18954143c5c0de1823a4a2171e3f8a	0x0089A810	0x00499C10	0x0089A875	0x00499C75	08d6f27f030f3e0f1a32873d296c7f2c35a9d67f547607cf95c2900a60ffdad4	0x0089A833	0x00499C33	push_0x48	1	IMAGE
053e2e64ea6c6733e76248a83618fbba5b17d55a4edb716c7ed79b9958950a58	CHANGED	352	SelectActorVital	W	19	DEREF(DEREF(STACK@0x005EBAE0+0x18)+0x10)+0xFC	UNTAGGED_STRING8_LEN32LE	0x44	4+N_bytes	5+N_bytes	string8	uint32le_byte_count	0x005DFFF2	0x001DF3F2	0x005DFF60	0x005E01C6	de9de2a04f4ac3ec8e6c07550336eea2be18954143c5c0de1823a4a2171e3f8a	0x0089A6D0	0x00499AD0	0x0089A733	0x00499B33	a0674fb3366720314e20ef5f5dbfa010330b12a73ed4e56e6c43e9d310dce9f1	0x0089A6F1	0x00499AF1	push_0x44	1	IMAGE
4e2214a08b8f55f8484f105e08980d316314cd1e32e7a7b5a56c214ccf129f8d	CHANGED	353	SelectActorVital	W	20	DEREF(DEREF(STACK@0x005EBAE0+0x18)+0x10)+0x40	UNTAGGED_WSTRING16LE_LEN32LE	0x48	4+N_bytes	5+N_bytes	wstring16le	uint32le_byte_count	0x005DFFFD	0x001DF3FD	0x005DFF60	0x005E01C6	de9de2a04f4ac3ec8e6c07550336eea2be18954143c5c0de1823a4a2171e3f8a	0x0089A810	0x00499C10	0x0089A875	0x00499C75	08d6f27f030f3e0f1a32873d296c7f2c35a9d67f547607cf95c2900a60ffdad4	0x0089A833	0x00499C33	push_0x48	1	IMAGE
ca709901fdd49f9b52ccd186fe9218ca23b504b916c4801bc9bca2a2fbcc3a96	CHANGED	381	SelectActorVital	R	18	RET(0x004B1B20)+0x24	UNTAGGED_WSTRING16LE_LEN32LE	0x48	4+N_bytes	5+N_bytes	wstring16le	uint32le_byte_count	0x005E008C	0x001DF48C	0x005DFF60	0x005E01C6	de9de2a04f4ac3ec8e6c07550336eea2be18954143c5c0de1823a4a2171e3f8a	0x0089A880	0x00499C80	0x0089A95E	0x00499D5E	2f564cb5d4f68d035d9e60fa1a4a5334b0875262420851f463f3f904e22ad978	0x0089A89C	0x00499C9C	push_0x48	1	IMAGE
bfc8fe1e49d6d6b283972c4bee96806f1a789727e98dda5bf86cfe92815e7613	CHANGED	387	SelectActorVital	R	24	RET(0x004B1B20)+0xFC	UNTAGGED_STRING8_LEN32LE	0x44	4+N_bytes	5+N_bytes	string8	uint32le_byte_count	0x005E00E5	0x001DF4E5	0x005DFF60	0x005E01C6	de9de2a04f4ac3ec8e6c07550336eea2be18954143c5c0de1823a4a2171e3f8a	0x0089A740	0x00499B40	0x0089A806	0x00499C06	90c8c73b3b3c7158af57e374c694730763ab28292130b4f128a4754dec54e76a	0x0089A75C	0x00499B5C	push_0x44	1	IMAGE
6a3f74df98781f6cb4103b08ac9a163c8e4768a92e0491343d4c1c33e7a47b0a	CHANGED	388	SelectActorVital	R	25	RET(0x004B1B20)+0x40	UNTAGGED_WSTRING16LE_LEN32LE	0x48	4+N_bytes	5+N_bytes	wstring16le	uint32le_byte_count	0x005E00F0	0x001DF4F0	0x005DFF60	0x005E01C6	de9de2a04f4ac3ec8e6c07550336eea2be18954143c5c0de1823a4a2171e3f8a	0x0089A880	0x00499C80	0x0089A95E	0x00499D5E	2f564cb5d4f68d035d9e60fa1a4a5334b0875262420851f463f3f904e22ad978	0x0089A89C	0x00499C9C	push_0x48	1	IMAGE
