delta_key	action	change_type	base_file	base_line	base_row_key	base_delta_key	message	direction(W/R)	old_order	old_tag	old_field_offset	old_len	new_wire_order	new_tag	new_field_offset	new_len	new_gate_condition	resolution	evidence_ticket	evidence_span_start	evidence_span_end	evidence_span_sha256	evidence_file_off	source
faf444a660929430ff9402b64a8ad0ad8cf4fa1692bb417e3c45925728d661bc	REMOVE_OVERLAY_NONWIRE_ROW	FIXED_CONTAINER_HELPER_GRAPH_NONWIRE	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	324	5e19f855698dd0bdd8e850ac27bd76da84a4813a2e8dbf74d4b4f0c5365c2153	1662e97c2c2fa2a1e2f8d15293ea2dd9f7fa94da775427ed879d088f21fd886f	ActorLearnedPetsSkillData	R	7	CALL_UNCLASSIFIED:0x006564E0	UNKNOWN(direct_call_not_proven_serializer)	N/A	N/A	N/A	N/A	N/A	N/A	EXECUTED_CFG_REACHING_DEFINITION;STACK_LOCAL_OR_THIS_DERIVED_DISJOINT_FROM_STREAM_FORMAL	STATIC-GUARDED-CONTAINER-6564-6FDB	0x006FDF60	0x006FE058	357587a20115fd3ad22ff55a74dca38b4c6a3d96f69eed10ba79078b45502068	0x002FD3F6	IMAGE
b28c1d04163be0ed9135bd10622a75b930bdedc3e6369adb965c5b58bec177ed	REMOVE_OVERLAY_NONWIRE_ROW	FIXED_CONTAINER_HELPER_GRAPH_NONWIRE	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	325	6349126a430a813a5820ca18ab24a46023642557a79be8700f42fc6346318f8f	de5ae00dfefb821c23d724597a0ab431cbe65745835260fb91ddddac53c6319c	ActorLearnedPetsSkillData	W	9	CALL_UNCLASSIFIED:0x006564E0	UNKNOWN(direct_call_not_proven_serializer)	N/A	N/A	N/A	N/A	N/A	N/A	EXECUTED_CFG_REACHING_DEFINITION;STACK_LOCAL_OR_THIS_DERIVED_DISJOINT_FROM_STREAM_FORMAL	STATIC-GUARDED-CONTAINER-6564-6FDB	0x006FDF60	0x006FE058	357587a20115fd3ad22ff55a74dca38b4c6a3d96f69eed10ba79078b45502068	0x002FD3F6	IMAGE
217a9055483b46e5cef37545b627ad4632cce7f9987653615b113597d8dcabc4	REMOVE_OVERLAY_NONWIRE_ROW	FIXED_CONTAINER_HELPER_GRAPH_NONWIRE	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	328	661ecca9c826b1b1ca52cf8b098738961731e372b32a6b7de85ebdaf389b645f	3107b00d3c1c4307f4e0b90d1d5cc11831313d3a1007c768fd3b0d5eecf5173f	ActorLearnedPetsSkillData	R	10	CALL_UNCLASSIFIED:0x006FDB40	UNKNOWN(direct_call_not_proven_serializer)	N/A	N/A	N/A	N/A	N/A	N/A	EXECUTED_CFG_REACHING_DEFINITION;STACK_LOCAL_OR_THIS_DERIVED_DISJOINT_FROM_STREAM_FORMAL	STATIC-GUARDED-CONTAINER-6564-6FDB	0x006FDF60	0x006FE058	357587a20115fd3ad22ff55a74dca38b4c6a3d96f69eed10ba79078b45502068	0x002FD441	IMAGE
efe5334a7ab9e05dbe789cdecaaa2072af28075dc7ba8b4b1d28fa8758a4cd8a	REMOVE_OVERLAY_NONWIRE_ROW	FIXED_CONTAINER_HELPER_GRAPH_NONWIRE	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	329	9fdc191161c494d6abd8426e4b7b3697eb0fa76ab15dc4654ebea4bc39e9e649	df79a527545dbb7c192d5a2d396e04553bc115bcafee82d81935ef1fdd46b3a1	ActorLearnedPetsSkillData	W	10	CALL_UNCLASSIFIED:0x006FDB40	UNKNOWN(direct_call_not_proven_serializer)	N/A	N/A	N/A	N/A	N/A	N/A	EXECUTED_CFG_REACHING_DEFINITION;STACK_LOCAL_OR_THIS_DERIVED_DISJOINT_FROM_STREAM_FORMAL	STATIC-GUARDED-CONTAINER-6564-6FDB	0x006FDF60	0x006FE058	357587a20115fd3ad22ff55a74dca38b4c6a3d96f69eed10ba79078b45502068	0x002FD441	IMAGE
2aff51d81088aff6082f8b2e442573d9b94051caf41f7a1014e7dcb15823b143	REMOVE_OVERLAY_NONWIRE_ROW	FIXED_CONTAINER_HELPER_GRAPH_NONWIRE	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	885	4a0193097e61f99b03d6d63e5c2198e116115867f8fbf9c14fa851948bca62e3	8c50e2dba4baf9f4236e69ae07df8f91a9b7f29bb2c6322fe34fba823aabc5e3	CollectionEffectData	R	7	CALL_UNCLASSIFIED:0x006564E0	UNKNOWN(direct_call_not_proven_serializer)	N/A	N/A	N/A	N/A	N/A	N/A	EXECUTED_CFG_REACHING_DEFINITION;STACK_LOCAL_OR_THIS_DERIVED_DISJOINT_FROM_STREAM_FORMAL	STATIC-GUARDED-CONTAINER-6564-6FDB	0x006A4DB0	0x006A4EA8	cc2032c193ffecffb950bc809b7106f78bdfa4d2824614cc58d86e380ef70fb5	0x002A4246	IMAGE
069c650009d6887438652be8c405e65c026a17eb1ef57d1b838b0b6bc4617f5d	REMOVE_OVERLAY_NONWIRE_ROW	FIXED_CONTAINER_HELPER_GRAPH_NONWIRE	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	886	bb26c088fda78b45950ae10d7ae2014dbab8adbc6beb44e8933ec4ab230dd05f	325498bd156677f29fccd29553a3414fd172316df775dca68849464fd2bb57d8	CollectionEffectData	W	9	CALL_UNCLASSIFIED:0x006564E0	UNKNOWN(direct_call_not_proven_serializer)	N/A	N/A	N/A	N/A	N/A	N/A	EXECUTED_CFG_REACHING_DEFINITION;STACK_LOCAL_OR_THIS_DERIVED_DISJOINT_FROM_STREAM_FORMAL	STATIC-GUARDED-CONTAINER-6564-6FDB	0x006A4DB0	0x006A4EA8	cc2032c193ffecffb950bc809b7106f78bdfa4d2824614cc58d86e380ef70fb5	0x002A4246	IMAGE
3cae7bb7ce36d6fc071366a28230a34a7eca787f09c3f8f46acba6a115725c3a	REMOVE_OVERLAY_NONWIRE_ROW	FIXED_CONTAINER_HELPER_GRAPH_NONWIRE	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	889	0fd0a4de8ade7d2ef0d16f395669f6aae552d36f315f9664ab1cfd7e02d5b2e8	6174b42dea29593b3d65297a1017f700ef65d034222fb9b949da67cd24274916	CollectionEffectData	R	10	CALL_UNCLASSIFIED:0x00656C50	UNKNOWN(direct_call_not_proven_serializer)	N/A	N/A	N/A	N/A	N/A	N/A	EXECUTED_CFG_REACHING_DEFINITION;STACK_LOCAL_OR_THIS_DERIVED_DISJOINT_FROM_STREAM_FORMAL	STATIC-GUARDED-CONTAINER-6564-6FDB	0x006A4DB0	0x006A4EA8	cc2032c193ffecffb950bc809b7106f78bdfa4d2824614cc58d86e380ef70fb5	0x002A4291	IMAGE
535247e150b8cc419c1aafaa9a2462196e53d83fd7bbb779dd3aa1ab7205574a	REMOVE_OVERLAY_NONWIRE_ROW	FIXED_CONTAINER_HELPER_GRAPH_NONWIRE	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	890	6c27bfe8294c48a5c276920902be2ebf84a773395387d7de04ca44d562a40683	871cc7e84bb42ec311ca8cb529eeb5bde6c452e24719604af663314173da07f6	CollectionEffectData	W	10	CALL_UNCLASSIFIED:0x00656C50	UNKNOWN(direct_call_not_proven_serializer)	N/A	N/A	N/A	N/A	N/A	N/A	EXECUTED_CFG_REACHING_DEFINITION;STACK_LOCAL_OR_THIS_DERIVED_DISJOINT_FROM_STREAM_FORMAL	STATIC-GUARDED-CONTAINER-6564-6FDB	0x006A4DB0	0x006A4EA8	cc2032c193ffecffb950bc809b7106f78bdfa4d2824614cc58d86e380ef70fb5	0x002A4291	IMAGE
bab3ab0e55094689fff43be647f7fd53e55a14fafa2bb3d060e85413e1fe6b25	REMOVE_OVERLAY_NONWIRE_ROW	FIXED_CONTAINER_HELPER_GRAPH_NONWIRE	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	1442	0364af1ee142f0d015a519723d3877ec3540982095c8748bb0bed2639a310531	b011fa23b3e2327c5b05c0f433ecbff7ed8276873b5c9c6cf5df235ed6050a35	NPCAppearAttr	R	7	CALL_UNCLASSIFIED:0x006564E0	UNKNOWN(direct_call_not_proven_serializer)	N/A	N/A	N/A	N/A	N/A	N/A	EXECUTED_CFG_REACHING_DEFINITION;STACK_LOCAL_OR_THIS_DERIVED_DISJOINT_FROM_STREAM_FORMAL	STATIC-GUARDED-CONTAINER-6564-6FDB	0x00737FD0	0x007380CE	865dcf2144c2c8a86126bbae7e3ed3e1478a0d062194e4d1a6b5f52c2eaa2930	0x00337466	IMAGE
078e0fe1f996e8889cc3f2c6837c8952afe48dfa1bbfbe51acb613298347ea8c	REMOVE_OVERLAY_NONWIRE_ROW	FIXED_CONTAINER_HELPER_GRAPH_NONWIRE	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	1443	35a0c447f016671f7a415a60ace52c95c7c35a63da9705ce401ac943938a42a3	48dc4a29c743be88b446bf04195555314b6585189fe6e19434eb89b84d774dfb	NPCAppearAttr	W	9	CALL_UNCLASSIFIED:0x006564E0	UNKNOWN(direct_call_not_proven_serializer)	N/A	N/A	N/A	N/A	N/A	N/A	EXECUTED_CFG_REACHING_DEFINITION;STACK_LOCAL_OR_THIS_DERIVED_DISJOINT_FROM_STREAM_FORMAL	STATIC-GUARDED-CONTAINER-6564-6FDB	0x00737FD0	0x007380CE	865dcf2144c2c8a86126bbae7e3ed3e1478a0d062194e4d1a6b5f52c2eaa2930	0x00337466	IMAGE
