delta_key	action	change_type	base_file	base_line	base_row_key	base_delta_key	message	direction(W/R)	old_order	old_tag	old_field_offset	old_len	new_wire_order	new_tag	new_field_offset	new_len	new_gate_condition	resolution	evidence_ticket	evidence_span_start	evidence_span_end	evidence_span_sha256	evidence_file_off	source
96657fc108af235259ce444bdb4eff96473e46df861e01dd2c062e40c16af03c	REMOVE_NONWIRE_ROW	V5_GUARDED_INVALID_PARAMETER_NONWIRE	PF_SERIALIZER_FIELDS.tsv	966	1c9574b34ce501cff81d63c68ebfbd437b0c2ae76d95d63245d98117619804cd	N/A	ServerAddedInfoVital	R	1	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	UNKNOWN(invalid_parameter_import_call_wire_effect_unproved)	N/A	N/A	N/A	N/A	N/A	N/A	PROVEN_NONWIRE;NULL_OR_UNEXPECTED_NODE_GUARD;EXACT_DIRECT_IAT_CALL;ZERO_ARGUMENT_STACK_NEUTRAL;EXECUTED_W_ONLY_CFG;SINGLETON_THIS_AND_STREAM_DEFINITIONS;NO_STREAM_ALIAS;PINNED_HELPER_BOUNDARIES	STATIC-V5-INVALID-PARAMETER-SERVER-ITEMMALL	0x005EBCF0	0x005EBE33	f3608dd2456f8577a585e35164b6990d465abb1ffd73697ff7f103e4cbd34960	0x001EB13E	IMAGE
1cad84f5969854324b2dacf2667b8a577ec8cf54c0829e7a921b6f13492bb1dc	REMOVE_NONWIRE_ROW	V5_GUARDED_INVALID_PARAMETER_NONWIRE	PF_SERIALIZER_FIELDS.tsv	967	5e4682e2355b11554e4a3c52b24355bb4dde629a9199d2dcf4f1c97cd24db93f	N/A	ServerAddedInfoVital	W	2	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	UNKNOWN(invalid_parameter_import_call_wire_effect_unproved)	N/A	N/A	N/A	N/A	N/A	N/A	PROVEN_NONWIRE;NULL_OR_UNEXPECTED_NODE_GUARD;EXACT_DIRECT_IAT_CALL;ZERO_ARGUMENT_STACK_NEUTRAL;EXECUTED_W_ONLY_CFG;SINGLETON_THIS_AND_STREAM_DEFINITIONS;NO_STREAM_ALIAS;PINNED_HELPER_BOUNDARIES	STATIC-V5-INVALID-PARAMETER-SERVER-ITEMMALL	0x005EBCF0	0x005EBE33	f3608dd2456f8577a585e35164b6990d465abb1ffd73697ff7f103e4cbd34960	0x001EB13E	IMAGE
3b0473d509064c083ff44ff352909c68735cef1df34815eaeea878e2389b2bfe	REMOVE_NONWIRE_ROW	V5_GUARDED_INVALID_PARAMETER_NONWIRE	PF_SERIALIZER_FIELDS.tsv	968	bb4a94fe2830fea38f6e50b74feac0512a3f5c6b7f65e684fb533d376cc34e7c	N/A	ServerAddedInfoVital	R	2	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	UNKNOWN(invalid_parameter_import_call_wire_effect_unproved)	N/A	N/A	N/A	N/A	N/A	N/A	PROVEN_NONWIRE;NULL_NODE_GUARD;EXACT_DIRECT_IAT_CALL;ZERO_ARGUMENT_STACK_NEUTRAL;EXECUTED_W_ONLY_CFG;SINGLETON_THIS_AND_STREAM_DEFINITIONS;NO_STREAM_ALIAS;PINNED_HELPER_BOUNDARIES	STATIC-V5-INVALID-PARAMETER-SERVER-ITEMMALL	0x005EBCF0	0x005EBE33	f3608dd2456f8577a585e35164b6990d465abb1ffd73697ff7f103e4cbd34960	0x001EB150	IMAGE
b4f5dc88d6e3069be8e7d2e2e0330039301a610b792f67d12e07d738ae07ecc0	REMOVE_NONWIRE_ROW	V5_GUARDED_INVALID_PARAMETER_NONWIRE	PF_SERIALIZER_FIELDS.tsv	969	b8ee6bd091e971922517ea255bf2e03e1a9ffbea52b84575e10b37359c08a8e7	N/A	ServerAddedInfoVital	W	3	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	UNKNOWN(invalid_parameter_import_call_wire_effect_unproved)	N/A	N/A	N/A	N/A	N/A	N/A	PROVEN_NONWIRE;NULL_NODE_GUARD;EXACT_DIRECT_IAT_CALL;ZERO_ARGUMENT_STACK_NEUTRAL;EXECUTED_W_ONLY_CFG;SINGLETON_THIS_AND_STREAM_DEFINITIONS;NO_STREAM_ALIAS;PINNED_HELPER_BOUNDARIES	STATIC-V5-INVALID-PARAMETER-SERVER-ITEMMALL	0x005EBCF0	0x005EBE33	f3608dd2456f8577a585e35164b6990d465abb1ffd73697ff7f103e4cbd34960	0x001EB150	IMAGE
c103ec05a5a8be5c1f36467a122db44f14573bb99514ef2462083fde19b15ea8	REMOVE_NONWIRE_ROW	V5_GUARDED_INVALID_PARAMETER_NONWIRE	PF_SERIALIZER_FIELDS.tsv	970	f4ea8f28086822f2ceb550a964274c8f572b08dbed9b56d48d62f5872de8202f	N/A	ServerAddedInfoVital	R	3	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	UNKNOWN(invalid_parameter_import_call_wire_effect_unproved)	N/A	N/A	N/A	N/A	N/A	N/A	PROVEN_NONWIRE;NODE_BOUNDARY_EQUALITY_GUARD;EXACT_DIRECT_IAT_CALL;ZERO_ARGUMENT_STACK_NEUTRAL;EXECUTED_W_ONLY_CFG;SINGLETON_THIS_AND_STREAM_DEFINITIONS;NO_STREAM_ALIAS;PINNED_HELPER_BOUNDARIES	STATIC-V5-INVALID-PARAMETER-SERVER-ITEMMALL	0x005EBCF0	0x005EBE33	f3608dd2456f8577a585e35164b6990d465abb1ffd73697ff7f103e4cbd34960	0x001EB15D	IMAGE
2f69b1822c4351a266e33210540878d7a3303cad05e38b10bec4b235615b1af6	REMOVE_NONWIRE_ROW	V5_GUARDED_INVALID_PARAMETER_NONWIRE	PF_SERIALIZER_FIELDS.tsv	971	154a3bd92502928e8fc9256e35df6a9cb132a993b0a6b6ff72016b27924bfc10	N/A	ServerAddedInfoVital	W	4	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	UNKNOWN(invalid_parameter_import_call_wire_effect_unproved)	N/A	N/A	N/A	N/A	N/A	N/A	PROVEN_NONWIRE;NODE_BOUNDARY_EQUALITY_GUARD;EXACT_DIRECT_IAT_CALL;ZERO_ARGUMENT_STACK_NEUTRAL;EXECUTED_W_ONLY_CFG;SINGLETON_THIS_AND_STREAM_DEFINITIONS;NO_STREAM_ALIAS;PINNED_HELPER_BOUNDARIES	STATIC-V5-INVALID-PARAMETER-SERVER-ITEMMALL	0x005EBCF0	0x005EBE33	f3608dd2456f8577a585e35164b6990d465abb1ffd73697ff7f103e4cbd34960	0x001EB15D	IMAGE
803f5a6ac8df959caa9a271b8e9b72d736a8a0da9b0195705f963bb17ce2a856	REMOVE_NONWIRE_ROW	V5_GUARDED_INVALID_PARAMETER_NONWIRE	PF_SERIALIZER_FIELDS.tsv	973	daeee979ab174ab1d5a2eef1cd7d3e26efe013222250a68cf0542fc87902795b	N/A	ServerAddedInfoVital	R	4	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	UNKNOWN(invalid_parameter_import_call_wire_effect_unproved)	N/A	N/A	N/A	N/A	N/A	N/A	PROVEN_NONWIRE;NULL_NODE_GUARD;EXACT_DIRECT_IAT_CALL;ZERO_ARGUMENT_STACK_NEUTRAL;EXECUTED_W_ONLY_CFG;SINGLETON_THIS_AND_STREAM_DEFINITIONS;NO_STREAM_ALIAS;PINNED_HELPER_BOUNDARIES	STATIC-V5-INVALID-PARAMETER-SERVER-ITEMMALL	0x005EBCF0	0x005EBE33	f3608dd2456f8577a585e35164b6990d465abb1ffd73697ff7f103e4cbd34960	0x001EB17A	IMAGE
20fc51f6b6fcd961bc35c747910dc6f3872b0d1db9971b58d6e0303059165026	REMOVE_NONWIRE_ROW	V5_GUARDED_INVALID_PARAMETER_NONWIRE	PF_SERIALIZER_FIELDS.tsv	974	1c65fafbade6b1a73c6eb1d8f9a2294150d62c40caa2fba3d62fc0bacce53a61	N/A	ServerAddedInfoVital	W	6	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	UNKNOWN(invalid_parameter_import_call_wire_effect_unproved)	N/A	N/A	N/A	N/A	N/A	N/A	PROVEN_NONWIRE;NULL_NODE_GUARD;EXACT_DIRECT_IAT_CALL;ZERO_ARGUMENT_STACK_NEUTRAL;EXECUTED_W_ONLY_CFG;SINGLETON_THIS_AND_STREAM_DEFINITIONS;NO_STREAM_ALIAS;PINNED_HELPER_BOUNDARIES	STATIC-V5-INVALID-PARAMETER-SERVER-ITEMMALL	0x005EBCF0	0x005EBE33	f3608dd2456f8577a585e35164b6990d465abb1ffd73697ff7f103e4cbd34960	0x001EB17A	IMAGE
3372cbe61afd6d1456d6a1a76f62be5882cd5825215a3bd8381f9e20566b22c2	REMOVE_NONWIRE_ROW	V5_GUARDED_INVALID_PARAMETER_NONWIRE	PF_SERIALIZER_FIELDS.tsv	975	3e87140b63ddad1d51636508a7b162e422a96547cd8b2c559e7b3774b28410ce	N/A	ServerAddedInfoVital	R	5	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	UNKNOWN(invalid_parameter_import_call_wire_effect_unproved)	N/A	N/A	N/A	N/A	N/A	N/A	PROVEN_NONWIRE;NODE_BOUNDARY_EQUALITY_GUARD;EXACT_DIRECT_IAT_CALL;ZERO_ARGUMENT_STACK_NEUTRAL;EXECUTED_W_ONLY_CFG;SINGLETON_THIS_AND_STREAM_DEFINITIONS;NO_STREAM_ALIAS;PINNED_HELPER_BOUNDARIES	STATIC-V5-INVALID-PARAMETER-SERVER-ITEMMALL	0x005EBCF0	0x005EBE33	f3608dd2456f8577a585e35164b6990d465abb1ffd73697ff7f103e4cbd34960	0x001EB185	IMAGE
ca5246682ad58dca048b9f0364c91ada0dd66dfcf8daf9d92ebefdf0bf365479	REMOVE_NONWIRE_ROW	V5_GUARDED_INVALID_PARAMETER_NONWIRE	PF_SERIALIZER_FIELDS.tsv	976	4e7928b241062204685c200ee8ac0547a068671a4bcab63ee40d5c35964e3967	N/A	ServerAddedInfoVital	W	7	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	UNKNOWN(invalid_parameter_import_call_wire_effect_unproved)	N/A	N/A	N/A	N/A	N/A	N/A	PROVEN_NONWIRE;NODE_BOUNDARY_EQUALITY_GUARD;EXACT_DIRECT_IAT_CALL;ZERO_ARGUMENT_STACK_NEUTRAL;EXECUTED_W_ONLY_CFG;SINGLETON_THIS_AND_STREAM_DEFINITIONS;NO_STREAM_ALIAS;PINNED_HELPER_BOUNDARIES	STATIC-V5-INVALID-PARAMETER-SERVER-ITEMMALL	0x005EBCF0	0x005EBE33	f3608dd2456f8577a585e35164b6990d465abb1ffd73697ff7f103e4cbd34960	0x001EB185	IMAGE
