delta_key	action	schema_variant	count_semantics	tag	frequency_before	slot34_increment	effective_frequency	lengths	proven_semantics	example_1	example_2	example_3	source
84df113dff9c282dd02e6ed179017443490fdf137a22ab6e6ed6f423a68fc100	CHANGED_FREQUENCY	SINGLETON_56	ADD_TO_EFFECTIVE_BASE	0x05	56	4	60	1	UNKNOWN	ActorAttr:W:19@file_off=0x00065681	ActorAttr:R:19@file_off=0x00065BA0	UserSettingServer:W:8@file_off=0x0032002A	IMAGE
95564cf7c230c9aa9dc8da68727036e5d71576e943b3d7fc2d4e5f4c4e1d990c	CHANGED_FREQUENCY	SINGLETON_56	ADD_TO_EFFECTIVE_BASE	0x08	378	17	395	1	UNKNOWN	AvatarAttr:W:18@file_off=0x00063AB9	AvatarAttr:W:19@file_off=0x00063AD0	AvatarAttr:R:18@file_off=0x00063CA1	IMAGE
db6db710c1d0f7655dd41be51f7e28df528988107c642ccb25e29c6889c31d1f	CHANGED_FREQUENCY	SINGLETON_56	ADD_TO_EFFECTIVE_BASE	0x0B	555	219	774	1	UNKNOWN	ActorAttr:W:3@file_off=0x00066BAA	ActorAttr:R:3@file_off=0x00066BC9	ActorAttr:W:33@file_off=0x00065817	IMAGE
d165c5eba6625976b1dbb426e74ae6861bcbf58a7e214fd5d94117f58660d22c	CHANGED_FREQUENCY	SINGLETON_56	ADD_TO_EFFECTIVE_BASE	0x0F	231	86	317	2	UNKNOWN	ActorLearnedPetsSkillData:W:8@file_off=0x002FD3ED	ActorLearnedPetsSkillData:R:9@file_off=0x002FD430	BackpackAttr:W:5@file_off=0x0006E5D6	IMAGE
5e05431c2e720ae835f20f8d46669146eeefa4b9b1abe158a4d95c3a9bf917e7	CHANGED_FREQUENCY	SINGLETON_56	ADD_TO_EFFECTIVE_BASE	0x12	275	125	400	2	uint16	ActorAttr:W:5@file_off=0x00064B16	ActorAttr:W:7@file_off=0x00064B45	ActorAttr:W:14@file_off=0x00064BDE	IMAGE
7feb1c0daf4986e751357c9863056d25f6ddfb1d5fbce605291d48ecbd69e01e	CHANGED_FREQUENCY	SINGLETON_56	ADD_TO_EFFECTIVE_BASE	0x14	505	166	671	4	UNKNOWN	ActorAttr:W:8@file_off=0x00064B59	ActorAttr:W:9@file_off=0x00064B6D	ActorAttr:W:10@file_off=0x00064B81	IMAGE
b56c3eec9b3bdc49f75316690482971769e632574225f7961d8edbd839c1180a	CHANGED_FREQUENCY	SINGLETON_56	ADD_TO_EFFECTIVE_BASE	0x19	78	14	92	4	UNKNOWN	ActorAttr:W:20@file_off=0x000656AA	ActorAttr:W:21@file_off=0x000656C5	ActorAttr:W:23@file_off=0x000656FF	IMAGE
ce4e760a2a849a7851f0262e160284d757598abc644c9295e6c8d229b64fbcd3	CHANGED_FREQUENCY	SINGLETON_56	ADD_TO_EFFECTIVE_BASE	0x26	14	12	26	4	UNKNOWN	ActorAttr:W:22@file_off=0x000656E7	ActorAttr:R:22@file_off=0x00065C00	AvatarAttr:W:4@file_off=0x00063986	IMAGE
c1d3d45cf08104b62917fa9704f777ffc62450624b6737b94f6d4aa9da48be98	CHANGED_FREQUENCY	SINGLETON_56	ADD_TO_EFFECTIVE_BASE	0x2A	148	34	182	4	float32	ActorAttr:W:12@file_off=0x00064BA9	ActorAttr:W:13@file_off=0x00064BBD	ActorAttr:R:12@file_off=0x00064CE3	IMAGE
b2e38016b0e747f83920e0cdd3de8c227bcc9531098536df5cda148db0bd581d	CHANGED_FREQUENCY	SINGLETON_56	ADD_TO_EFFECTIVE_BASE	0x32	541	165	706	8	UNKNOWN	ActorAttr:W:4@file_off=0x00066BBE	ActorAttr:R:4@file_off=0x00066BDD	ActorAttr:W:15@file_off=0x00064BFF	IMAGE
aeb11377b76084b48d17097fcf34014d5b6ed84beae2ab1d612afe14ecf68f9f	CHANGED_FREQUENCY	SINGLETON_56	ADD_TO_EFFECTIVE_BASE	0x44	60	6	66	5+N_bytes	string8; uint32le byte count; N payload bytes; tag included in full wire length	ActorAttr:W:37@file_off=0x0006588B	ActorAttr:R:37@file_off=0x00065DA8	AvatarAttr:W:20@file_off=0x00063AE3	IMAGE
