class_key	class	registry_name	census_scope	family	parent_chain	parent_status	parent_evidence_key	registry_site_va	registry_file_offset	name_va	name_file_offset	id_global_va	getter_va	getter_file_offset	vtable_va	vtable_file_offset	slot18_target_va	slot18_pointer_file_offset	slot1c_target_va	slot1c_pointer_file_offset	slot34_target_va	slot34_pointer_file_offset	slot34_role	codec_slot	codec_target_va	codec_role	primary_table_size	next_vtable_va	next_vtable_class	boundary_status	decorated_type_name	type_descriptor_va	type_descriptor_file_offset	type_descriptor_name_hits	census_status	evidence_key	source	blocker	required_next_evidence	image_sha256
2f6147c5c9fbd34cb0495deb8038d325b8e99dc66360d01d99043f6188fba467	AccuseModule_Client	AccuseModule_Client	REGISTRY_ATTR_RELATED	Module	PcRefObject>Module>AccuseModule_Client	PROVEN_EXACT	cb0f75a674833ee95316a0161f41a796951e1fa7559560894f7679f58a146617	0x00C06F90	0x00806390	0x00F1B228	0x00B19628	0x01088C60	0x00721E30	0x00321230	0x00F45278	0x00B43678	0x00697870	0x00B43690	0x0073D360	0x00B43694	0x004CD2F0	0x00B436AC	EMPTY_NO_PAYLOAD	+0x34	0x004CD2F0	EMPTY_NO_PAYLOAD	UNKNOWN_NOT_A_LENGTH_PROOF	NOT_WITHIN_AUDITED_0x38_WINDOW	N/A	NO_REGISTERED_VTABLE_BOUNDARY_THROUGH_OWN_PLUS_0x34	.?AVAccuseModule_Client@@	0x0101DC88	0x00C1B488	1	REGISTRY_VTABLE_CODEC_LINKED	f1a15b8d2182800105c5e18799045ccd6756257d8f2c637c545712b54412f381	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
eea6747ec60ccf41267a88ca1a8bbb3f13959a3d996c793012a7a83ace28ae08	ActivityModule_Client	ActivityModule_Client	REGISTRY_ATTR_RELATED	Module	PcRefObject>Module>ClientModule>ActivityModule_Client	PROVEN_EXACT	a9c938632654f8d02cf4446d39c646878064f3bf2f3876538c8a978f192e28cf	0x00BFDAB0	0x007FCEB0	0x00F25650	0x00B23A50	0x01086464	0x0069EE30	0x0029E230	0x00F3C7E8	0x00B3ABE8	0x0069E030	0x00B3AC00	0x0069F460	0x00B3AC04	0x0069DDC0	0x00B3AC1C	NON_CODEC_ROUTINE	+0x34	0x0069DDC0	NON_CODEC_ROUTINE	UNKNOWN_NOT_A_LENGTH_PROOF	NOT_WITHIN_AUDITED_0x38_WINDOW	N/A	NO_REGISTERED_VTABLE_BOUNDARY_THROUGH_OWN_PLUS_0x34	.?AVActivityModule_Client@@	0x0101C260	0x00C19A60	1	REGISTRY_VTABLE_CODEC_LINKED	9bd6a6dca022404a92adbb2224ea7201d3c04d1e4122354377578be8f14580a2	IMAGE		slot +0x34 has been proved as a non-wire module routine; see inheritance and UI/DATA bindings	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
0e9cb206325d9ed8e7ce8636adbe00ea2643132e5705121fa1301030555d77ea	ActorAttr	ActorAttr	REGISTRY_ATTR_RELATED	AttrRelated	PcRefObject>Attribute>DBAttribute>BasicAttr>ActorAttr	PROVEN_EXACT	f151d822982d81850f7603ba011a19fa5295919cf538eeba65de2db0a8ab700c	0x00BD93D0	0x007D87D0	0x00F0E82C	0x00B0CC2C	0x010334A0	0x00464E40	0x00064240	0x00F0E7A0	0x00B0CBA0	0x0043BB80	0x00B0CBB8	0x00463710	0x00B0CBBC	0x00466230	0x00B0CBD4	PAIRED_W_R_FIELD_CODEC	+0x34	0x00466230	PAIRED_W_R_FIELD_CODEC	UNKNOWN_NOT_A_LENGTH_PROOF	NOT_WITHIN_AUDITED_0x38_WINDOW	N/A	NO_REGISTERED_VTABLE_BOUNDARY_THROUGH_OWN_PLUS_0x34	.?AVActorAttr@@	0x010200A4	0x00C1D8A4	1	REGISTRY_VTABLE_CODEC_LINKED	617aef0b33b54535139f6f2ec378db1301e69cde18c3d01e4e60a3fd4b7bfd29	IMAGE		see the dedicated class field/container/runtime tables	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
17fa56d227370c6892c41721c748e6db4bb7acd3aa80c85318e9d39eab74e1af	ActorCommunityDataSet	ActorCommunityDataSet	REGISTRY_ATTR_RELATED	DataSet	PcRefObject>Attribute>DBAttribute>ActorCommunityDataSet	PROVEN_EXACT	3626a9e02bbae72ab4ddbbb0096327986857b96ac8d37c61b92137e8478713b3	0x00BF5010	0x007F4410	0x00F35728	0x00B33B28	0x01083C6C	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	.?AVActorCommunityDataSet@@	0x0101B7E4	0x00C18FE4	1	RTTI_NAME_ONLY	f8e7309f3e99bdcb08e4f37f106e769c726dc18043e8349a7cdf9305b89474a2	IMAGE	getter/vtable link remains unresolved; immediate parent is proved separately	recover an exact getter/table or runtime DUMP identity as a separate source	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
62c76cae0f9ed6f83aaa400b31c2d40ccf24b1624129682a915b60154ed4f637	ActorEffectsModule_Client	ActorEffectsModule_Client	REGISTRY_ATTR_RELATED	Module	PcRefObject>Module>ActorEffectsModule_Client	PROVEN_EXACT	c77b34603fa16ca0ffc34eccee5006c547c2ef9c9ba4bfa7bbef79d741e41dcd	0x00C0A360	0x00809760	0x00F47748	0x00B45B48	0x0108995C	0x0073A380	0x00339780	0x00F475D8	0x00B459D8	0x00699FE0	0x00B459F0	0x0073A4B0	0x00B459F4	0x004CD2F0	0x00B45A0C	EMPTY_NO_PAYLOAD	+0x34	0x004CD2F0	EMPTY_NO_PAYLOAD	UNKNOWN_NOT_A_LENGTH_PROOF	NOT_WITHIN_AUDITED_0x38_WINDOW	N/A	NO_REGISTERED_VTABLE_BOUNDARY_THROUGH_OWN_PLUS_0x34	.?AVActorEffectsModule_Client@@	0x0101E110	0x00C1B910	1	REGISTRY_VTABLE_CODEC_LINKED	83916c727866b6df03d3124018d1071420ffd7886abbc93ff958eaf3c63d74b6	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
c277edf1f6895b90aa3215cef98cbe4cd4a6a8f58802d5694c04e1b4986aa371	ActorGatheringInfoAttr	ActorGatheringInfoAttr	REGISTRY_ATTR_RELATED	AttrRelated	PcRefObject>Attribute>ActorGatheringInfoAttr	PROVEN_EXACT	2689c35c6cb1864718c3c32a244f6d024d850a7b01eaeb781ff2030a0b9ef0fe	0x00BFD380	0x007FC780	0x00F3C238	0x00B3A638	0x0108633C	0x00699B90	0x00298F90	0x00F3C1F8	0x00B3A5F8	0x00515EC0	0x00B3A610	0x00463710	0x00B3A614	0x0072B850	0x00B3A62C	PAIRED_W_R_FIELD_CODEC	+0x34	0x0072B850	PAIRED_W_R_FIELD_CODEC	UNKNOWN_NOT_A_LENGTH_PROOF	NOT_WITHIN_AUDITED_0x38_WINDOW	N/A	NO_REGISTERED_VTABLE_BOUNDARY_THROUGH_OWN_PLUS_0x34	.?AVActorGatheringInfoAttr@@	0x0101C0E4	0x00C198E4	1	REGISTRY_VTABLE_CODEC_LINKED	2c5162c43dd3b8ab9bb068548c275fdd555c6ba69273e7e6197abddcb5036d41	IMAGE		see PF_ATTR_FIELD_SEMANTICS.tsv and PF_ATTR_CONTAINER_SEMANTICS.tsv	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
486d3ec8b9e5d9d4b0bdb9f8d9b3988e1da802578a5c99d274e9cf65ab4dd345	ActorLearnedPetsSkillData	ActorLearnedPetsSkillData	REGISTRY_EMBEDDED_STATE_DEPENDENCY	AttrRelated	PcRefObject>Attribute>DBAttribute>ActorLearnedPetsSkillData	PROVEN_EXACT	399e229c2d4f60b255b39daef3822027e77fbe5d69c678ef6c46a1cd3411a57e	0x00C04330	0x00803730	0x00F420F4	0x00B404F4	0x01088290	0x006FE5F0	0x002FD9F0	0x00F421C8	0x00B405C8	0x0043BB80	0x00B405E0	0x006FD4E0	0x00B405E4	0x006FDF60	0x00B405FC	PAIRED_W_R_FIELD_CODEC	+0x34	0x006FDF60	PAIRED_W_R_FIELD_CODEC	UNKNOWN_NOT_A_LENGTH_PROOF	NOT_WITHIN_AUDITED_0x38_WINDOW	N/A	NO_REGISTERED_VTABLE_BOUNDARY_THROUGH_OWN_PLUS_0x34	.?AVActorLearnedPetsSkillData@@	0x0101D700	0x00C1AF00	1	REGISTRY_VTABLE_CODEC_LINKED	bbe50f569637b40b2508498c207009aafd4672dc2d9414df06de901f7b7c86f4	IMAGE		see PF_ATTR_FIELD_SEMANTICS.tsv and PF_ATTR_CONTAINER_SEMANTICS.tsv	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
1a74e4e63ab2adb2eff1fc329c18a6b22f623a6893af0a0d38c13646c7068a21	ActorPetsCommonAttr	ActorPetsCommonAttr	REGISTRY_ATTR_RELATED	AttrRelated	PcRefObject>Attribute>DBAttribute>ActorPetsCommonAttr	PROVEN_EXACT	4a6171849c9d75b0e8692611e4cf4a64bd487743201f9cc635607e7c0b3a9b79	0x00C03EE0	0x008032E0	0x00F41D40	0x00B40140	0x01087FE8	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	.?AVActorPetsCommonAttr@@	0x0101D69C	0x00C1AE9C	1	RTTI_NAME_ONLY	cf210222d70e54ebe81b4264bca87040a1d8aa02aac0fc3bd7b43b9ea9038180	IMAGE	getter/vtable link remains unresolved; immediate parent is proved separately	recover an exact getter/table or runtime DUMP identity as a separate source	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
b55955685b6652ae50e582c9b5bd26a770eccf09895d51cc353e2e97e6a6a9a7	ActorTreasureHuntExcavatingInfoAttr	ActorTreasureHuntExcavatingInfoAttr	REGISTRY_ATTR_RELATED	AttrRelated	PcRefObject>Attribute>ActorTreasureHuntExcavatingInfoAttr	PROVEN_EXACT	998dd15918a393b0d1fc4eb65e6bbf5b13c4b151cf954723de58159231ced6fd	0x00C08A50	0x00807E50	0x00F0EA0C	0x00B0CE0C	0x01089178	0x0072B670	0x0032AA70	0x00F466D0	0x00B44AD0	0x00515EC0	0x00B44AE8	0x00463710	0x00B44AEC	0x0072B850	0x00B44B04	PAIRED_W_R_FIELD_CODEC	+0x34	0x0072B850	PAIRED_W_R_FIELD_CODEC	UNKNOWN_NOT_A_LENGTH_PROOF	NOT_WITHIN_AUDITED_0x38_WINDOW	N/A	NO_REGISTERED_VTABLE_BOUNDARY_THROUGH_OWN_PLUS_0x34	.?AVActorTreasureHuntExcavatingInfoAttr@@	0x0101DF18	0x00C1B718	1	REGISTRY_VTABLE_CODEC_LINKED	5980a5cfd0ba2a5d2566ae933081583a901953f016b6170e6284c72aab68a2fc	IMAGE		see PF_ATTR_FIELD_SEMANTICS.tsv and PF_ATTR_CONTAINER_SEMANTICS.tsv	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
2dd4d74433cf6bfc6916ee9371b6ac14c15e3d82a1a93783c00e8dbd39466042	AppraisalModule_Client	AppraisalModule_Client	REGISTRY_ATTR_RELATED	Module	PcRefObject>Module>AppraisalModule_Client	PROVEN_EXACT	63a98e276e2915512549608d217c7c9fc4ced882e00ca2b9d496bb4c788af3af	0x00BFEC80	0x007FE080	0x00F3D4FC	0x00B3B8FC	0x010867B8	0x006A7E70	0x002A7270	0x00F3D408	0x00B3B808	0x00710440	0x00B3B820	0x0073D360	0x00B3B824	0x004CD2F0	0x00B3B83C	EMPTY_NO_PAYLOAD	+0x34	0x004CD2F0	EMPTY_NO_PAYLOAD	UNKNOWN_NOT_A_LENGTH_PROOF	NOT_WITHIN_AUDITED_0x38_WINDOW	N/A	NO_REGISTERED_VTABLE_BOUNDARY_THROUGH_OWN_PLUS_0x34	.?AVAppraisalModule_Client@@	0x0101C400	0x00C19C00	1	REGISTRY_VTABLE_CODEC_LINKED	1315ab210528f75da222de9fc2be9ecf07b8b10d595450e18ad0286b80dc68cd	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
