conflict_key	field_key	conflict_kind	frozen_claim	rederived_claim	rederived_evidence_key	rederived_evidence_artifact	resolution_status
345c1ffbb011241271fa8f3fd847cd3597f79c1d0c5183261a56f84fe3d187f3	ActorAttr@0x13C.2#R:b0x00010000	FROZEN_A2_OMITTED_NESTED_GROUP_GATE	gate=test@0x00466975 file_off=0x00065D75 mask=0x10000 set	gate=+0x1B4 & 0x00010000 AND +0x1BC != 0	7eda997864704542b63907d2f6523ed28fd964c66aa7483fb2297759273e6ec6	PF_A2_ACTOR_CODEC_CORRECTION.tsv	OPEN_REDERIVED_IMAGE_CONFLICT
8ce2c6ba1701c1288355399f64441b9c2c37412cc4d8ee99cb19de50ea4e667b	ActorAttr@0x13C.2#W:b0x00010000	FROZEN_A2_OMITTED_NESTED_GROUP_GATE	gate=test@0x00466458 file_off=0x00065858 mask=0x10000 set	gate=+0x1B4 & 0x00010000 AND +0x1BC != 0	646d370cebf045369a4cfd85468a19eea6c3e21107ec063700cc654946f48451	PF_A2_ACTOR_CODEC_CORRECTION.tsv	OPEN_REDERIVED_IMAGE_CONFLICT
01d9480c2327fca58c32feb56d5f3011c0e19dd6bd53bec6a5d85e0513925a77	ActorAttr@0x13E.2#R:b0x00008000	FROZEN_A2_OMITTED_NESTED_GROUP_GATE	gate=test@0x00466957 file_off=0x00065D57 mask=0x8000 set	gate=+0x1B4 & 0x00008000 AND +0x1BC != 0	daaa264dc134b063ca2d4dcd6dab95afb2887678725ff57dfd0e65e1c6022602	PF_A2_ACTOR_CODEC_CORRECTION.tsv	OPEN_REDERIVED_IMAGE_CONFLICT
4842ba4c4aae43313c9b38e23ad11d3ee114f6e0089de2e8aa8c2bbc722881d2	ActorAttr@0x13E.2#W:b0x00008000	FROZEN_A2_OMITTED_NESTED_GROUP_GATE	gate=test@0x0046643A file_off=0x0006583A mask=0x8000 set	gate=+0x1B4 & 0x00008000 AND +0x1BC != 0	6aa000eec11c54635bb7b6deebe21350721742b2824f5234b9fdf7edeab16056	PF_A2_ACTOR_CODEC_CORRECTION.tsv	OPEN_REDERIVED_IMAGE_CONFLICT
5454082ce47cf3bde9a92a32b7d8d8d43938dd5517526b3066cfa35753dea37a	ActorAttr@0x148.var#R:b0x00020000	FROZEN_A2_OMITTED_NESTED_GROUP_GATE	gate=test@0x00466993 file_off=0x00065D93 mask=0x20000 set AND string_wire_call@0x004669A8 file_off=0x00065DA8 function=0x00466230 target=0x0089A740 stream_formal=entry+0x4 AND string_wire_helper target=0x0089A740 target_file_off=0x00499B40 proof_end=0x0089A806 proof_end_file_off=0x00499C06 proof_sha256=90c8c73b3b3c7158af57e374c694730763ab28292130b4f128a4754dec54e76a direction=R kind=basic_string<char> length_prefix=uint32le payload=N_bytes memcpy_thunk=0x00B37B80 memcpy_thunk_file_off=0x00736F80 memcpy_iat=0x00C3B504 imports=(0x00C3B43C@iat_file_off=0x0083983C@descriptor_file_off=0x00C1128C@lookup_file_off=0x00C11830@dll_name_file_off=0x00C15908@symbol_name_file_off=0x00C12F66@dll=MSVCP90.dll@symbol=??4?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV01@PBD@Z;0x00C3B504@iat_file_off=0x00839904@descriptor_file_off=0x00C112DC@lookup_file_off=0x00C118F8@dll_name_file_off=0x00C1647C@symbol_name_file_off=0x00C15D40@dll=MSVCR90.dll@symbol=memcpy) basis=exact_helper_bytes_and_pe_imports	gate=+0x1B4 & 0x00020000 AND +0x1BC != 0	a9a1080139477aa03d063afacd809de1e4bf68fe0ceedb778ec7ab230048fb1e	PF_A2_ACTOR_CODEC_CORRECTION.tsv	OPEN_REDERIVED_IMAGE_CONFLICT
345c524557f6c68127cdd4e7effa3e0d4893e44f2ce7e22ef0bc4405d80fad26	ActorAttr@0x148.var#W:b0x00020000	FROZEN_A2_OMITTED_NESTED_GROUP_GATE	gate=test@0x00466476 file_off=0x00065876 mask=0x20000 set AND string_wire_call@0x0046648B file_off=0x0006588B function=0x00466230 target=0x0089A6D0 stream_formal=entry+0x4 AND string_wire_helper target=0x0089A6D0 target_file_off=0x00499AD0 proof_end=0x0089A733 proof_end_file_off=0x00499B33 proof_sha256=a0674fb3366720314e20ef5f5dbfa010330b12a73ed4e56e6c43e9d310dce9f1 direction=W kind=basic_string<char> length_prefix=uint32le payload=N_bytes memcpy_thunk=0x00B37B80 memcpy_thunk_file_off=0x00736F80 memcpy_iat=0x00C3B504 imports=(0x00C3B470@iat_file_off=0x00839870@descriptor_file_off=0x00C1128C@lookup_file_off=0x00C11864@dll_name_file_off=0x00C15908@symbol_name_file_off=0x00C12B1E@dll=MSVCP90.dll@symbol=?length@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QBEIXZ;0x00C3B494@iat_file_off=0x00839894@descriptor_file_off=0x00C1128C@lookup_file_off=0x00C11888@dll_name_file_off=0x00C15908@symbol_name_file_off=0x00C128A0@dll=MSVCP90.dll@symbol=?c_str@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QBEPBDXZ;0x00C3B504@iat_file_off=0x00839904@descriptor_file_off=0x00C112DC@lookup_file_off=0x00C118F8@dll_name_file_off=0x00C1647C@symbol_name_file_off=0x00C15D40@dll=MSVCR90.dll@symbol=memcpy) basis=exact_helper_bytes_and_pe_imports	gate=+0x1B4 & 0x00020000 AND +0x1BC != 0	2dd8d4fe57839f4d599ca35ed24bf0e9ab0e3bc8134d022d214dfab42fe6d919	PF_A2_ACTOR_CODEC_CORRECTION.tsv	OPEN_REDERIVED_IMAGE_CONFLICT
579ea549b8cc2e8803d57d1fc6b19e75bb698091fa3f96f33efd53cca37456f9	ActorAttr@0x164.var#W:b0x01000000	RUNNABLE_SERVER_CODE_SEMANTIC_CONFLICT	non-default frozen class-less player-wire helper encodes character_name at ActorAttr +0x164 and is executed by the optional stats path as its byte-for-byte crosscheck; production LegacyProjector.start_game uses the corrected class+level encoder and is outside this claim	ActorAttr +0x164 feeds NameBoard_Player LABEL_GUILD child +0x5C; character name text is BasicAttr +0x28	3392ba8ca736f896a76fddf06a84ac2e8d99e6a21305b4b554eb00f74ecf6f9d	PF_ATTR_FIELD_SEMANTICS.tsv	OPEN_SERVER_CODE_SEMANTIC_CONFLICT
f82af72f259c2c5914bafebc28174813abed4e2e89a2046044b8145dbefa4184	ActorAttr@0x164.var#W:b0x01000000	RUNNABLE_SERVER_CODE_SEMANTIC_CONFLICT	optional stats-progression encoder labels ActorAttr +0x164 as character_name	ActorAttr +0x164 feeds NameBoard_Player LABEL_GUILD child +0x5C; character name text is BasicAttr +0x28	3392ba8ca736f896a76fddf06a84ac2e8d99e6a21305b4b554eb00f74ecf6f9d	PF_ATTR_FIELD_SEMANTICS.tsv	OPEN_SERVER_CODE_SEMANTIC_CONFLICT
6bc125495ac1aa0aaa0e251efa07769321cdeae6239411d2a8b095f1f4bf8250	ActorAttr@0x164.var#W:b0x01000000	RUNNABLE_SERVER_CODE_SEMANTIC_CONFLICT	optional damage/HP-link encoder labels ActorAttr +0x164 as character_name	ActorAttr +0x164 feeds NameBoard_Player LABEL_GUILD child +0x5C; character name text is BasicAttr +0x28	3392ba8ca736f896a76fddf06a84ac2e8d99e6a21305b4b554eb00f74ecf6f9d	PF_ATTR_FIELD_SEMANTICS.tsv	OPEN_SERVER_CODE_SEMANTIC_CONFLICT
330f3523f57674af5667c650c0400872b8751797d2d7a9686871ede3c6731d5a	ActorAttr@0x182.2#R:b0x00040000	FROZEN_A2_OMITTED_NESTED_GROUP_GATE	gate=test@0x004669AD file_off=0x00065DAD mask=0x40000 set	gate=+0x1B4 & 0x00040000 AND +0x1BC != 0	933569361a314b8b87e84adf3f18b84553b69c737f07b7e35d314deabf1f4a5d	PF_A2_ACTOR_CODEC_CORRECTION.tsv	OPEN_REDERIVED_IMAGE_CONFLICT
