container_key	container_semantic_row_key	owner_class	applies_to_class	scope_status	scope_basis	scope_evidence_key	scope_evidence_ref	scope_blocker	scope_required_next_evidence	parent_chain	field_kind	object_offset	container_object_offset	count_storage_offset	container_owner_class	container_offset_basis	mask_offset	mask_bit	gate	negative_evidence	negative_evidence_scope	record_offset	tag	wire_len	semantic_name	semantic_status	structural_status	default_value	write_site_va	read_site_va	codec_span_start	codec_span_end	codec_span_sha256	semantic_consumer_va	semantic_support_spans	evidence_key	source	blocker	required_next_evidence	image_sha256
2784fe5821e6cff09ab719460282a0bbc811b72699251041e1340a219fb25ff4	c8dd5e31d45caafa45715d42ceded5c9fc0a51bb63c890029c848cc00ac3f267	UpdateAttrVital	UpdateAttrVital	PROVEN_EXACT	PF_ATTR_CLASS_CENSUS:984480ef0dfeffa3b188a670a42abbacae80810c2cede62887fbe11330658d98	de54c76f44bbac8db56855ea1cccd0ff8f23754bd01375f4844e1e6593024366	PF_ATTR_CLASS_CENSUS.tsv|class=UpdateAttrVital|evidence_key=984480ef0dfeffa3b188a670a42abbacae80810c2cede62887fbe11330658d98			UNKNOWN_RUNTIME_ROOT>VitalData>UpdateAttrVital	wire_meta	0x40	0x24	0x40 (carrier+0x2C)	UpdateAttrVital	OUTER_OBJECT;codec_carrier=+0x14;ordered_tree=carrier+0x10	N/A	N/A	ALWAYS			N/A	0x12	2	update_attr_entry_count_u16	PROVEN_EXACT	PROVEN_EXACT	CONTAINER_SIZE_DERIVED	0x00463E0F	0x00463F12	0x00463DE0	0x00463FA2	888c2fac20948b7896ed105f46b84e94d01c9442f6535df9be36e6baa2335fc3	0x00463DFA;0x00463F25;0x00463F91	exact_wrapper=0x005E42C0..0x005E42E4@25c5f92bbee97425e0b91ea61f4028b6353e33e7702e3f5d7c4df0d7e682207f;frozen_A2_evidence_window=0x005E42C0..0x005E42F6@f6013c7bd899ae2744f7cd1b2a13bc0ca88b074e380305fd245327bef897ee99;carrier=0x00463DE0..0x00463FA2@888c2fac20948b7896ed105f46b84e94d01c9442f6535df9be36e6baa2335fc3	8d0f14ca03e54787afa3117ef01e8f4e9c38f08ef1c5a0f3ce7b68fdb49ae15d	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
167e09a88cb727c6b9507b2a51db350babd2b2825686c7d33056c75fb5c5e79b	360573fe69e6dda81d4d4eb85a9d5120061e627da996f66dcf8c6b1b7c89819f	UpdateAttrVital.Entry	UNKNOWN_DYNAMIC_ATTRIBUTE_SUBTYPE(type_key)	UNKNOWN	OUTER_CODEC_ONLY_NO_UNIQUE_CHILD_RTTI_BINDING	N/A	N/A	generic carrier proves type key, declared length, and virtual +0x34 dispatch, but Entry is polymorphic and the complete type-key to concrete Attr class/vtable map is not proved	complete the exact factory-key to class/vtable/codec mapping and split per concrete class; validate each nested payload separately	UNKNOWN_RUNTIME_ROOT>VitalData>UpdateAttrVital>Entry	wire_member	N/A	N/A	N/A	N/A	N/A	N/A	N/A	W: container_iterator != end; R: loop_index < decoded_entry_count			0x0C	0x12	2	attr_factory_type_key_u16	PROVEN_EXACT	PROVEN_EXACT	N/A	0x00463E6D	0x00463F3B	0x00463DE0	0x00463FA2	888c2fac20948b7896ed105f46b84e94d01c9442f6535df9be36e6baa2335fc3	0x00463F5C	exact_wrapper=0x005E42C0..0x005E42E4@25c5f92bbee97425e0b91ea61f4028b6353e33e7702e3f5d7c4df0d7e682207f;frozen_A2_evidence_window=0x005E42C0..0x005E42F6@f6013c7bd899ae2744f7cd1b2a13bc0ca88b074e380305fd245327bef897ee99;carrier=0x00463DE0..0x00463FA2@888c2fac20948b7896ed105f46b84e94d01c9442f6535df9be36e6baa2335fc3	ed876b95a5317120ec301c90e55e40e416d14b4b0cb5f7863350f4acad53547d	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
8e1cce4cce7c0be72b6e60ce523d5dfbb2608a8fed1185860e29153bf40e05de	51a2d8ed13f9acd53e3a5e7c1a7965f0cedf48fec96069b221a45f73185d8c94	UpdateAttrVital.Entry	UNKNOWN_DYNAMIC_ATTRIBUTE_SUBTYPE(type_key)	UNKNOWN	OUTER_CODEC_ONLY_NO_UNIQUE_CHILD_RTTI_BINDING	N/A	N/A	generic carrier proves type key, declared length, and virtual +0x34 dispatch, but Entry is polymorphic and the complete type-key to concrete Attr class/vtable map is not proved	complete the exact factory-key to class/vtable/codec mapping and split per concrete class; validate each nested payload separately	UNKNOWN_RUNTIME_ROOT>VitalData>UpdateAttrVital>Entry	wire_control	SYNTHETIC	N/A	N/A	N/A	N/A	N/A	N/A	W: container_iterator != end; R: loop_index < decoded_entry_count			PAYLOAD_LENGTH	0x14	4	nested_attr_payload_length_u32	PROVEN_EXACT	PROVEN_EXACT	COMPUTED_AND_BACKPATCHED	0x00463E8C	0x00463F4B	0x00463DE0	0x00463FA2	888c2fac20948b7896ed105f46b84e94d01c9442f6535df9be36e6baa2335fc3	0x00463ED5;0x00463F6E	exact_wrapper=0x005E42C0..0x005E42E4@25c5f92bbee97425e0b91ea61f4028b6353e33e7702e3f5d7c4df0d7e682207f;frozen_A2_evidence_window=0x005E42C0..0x005E42F6@f6013c7bd899ae2744f7cd1b2a13bc0ca88b074e380305fd245327bef897ee99;carrier=0x00463DE0..0x00463FA2@888c2fac20948b7896ed105f46b84e94d01c9442f6535df9be36e6baa2335fc3	b756b37e36f36c18903353ba1117792bc45419e25eff2821cb444fa97f94dc72	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
b69ae8e6741d1725f08ef8a38e87e9febed2ef27012608a73a54baa8d3510356	8f818703f6dc90e12be9706813965e29bc6fe362e6a8b6417d933099789f9bc8	UpdateAttrVital.Entry	UNKNOWN_DYNAMIC_ATTRIBUTE_SUBTYPE(type_key)	UNKNOWN	OUTER_CODEC_ONLY_NO_UNIQUE_CHILD_RTTI_BINDING	N/A	N/A	generic carrier proves type key, declared length, and virtual +0x34 dispatch, but Entry is polymorphic and the complete type-key to concrete Attr class/vtable map is not proved	complete the exact factory-key to class/vtable/codec mapping and split per concrete class; validate each nested payload separately	UNKNOWN_RUNTIME_ROOT>VitalData>UpdateAttrVital>Entry	dynamic_subserializer	N/A	N/A	N/A	N/A	N/A	N/A	N/A	W: existing entry object; R: factory_create_result_nonnull	R factory_create_result_null advances by the declared payload length; non-null R decode does not consume or enforce that length	UpdateAttrVital generic carrier only	DYNAMIC_PAYLOAD	SUBCALL:vtable+0x34	dynamic_declared_length	polymorphic_attr_payload_selected_by_entry_type_key	PARTIAL	PROVEN_EXACT	N/A	0x00463EB7	0x00463F7E	0x00463DE0	0x00463FA2	888c2fac20948b7896ed105f46b84e94d01c9442f6535df9be36e6baa2335fc3	0x00463EB7;0x00463F7E	exact_wrapper=0x005E42C0..0x005E42E4@25c5f92bbee97425e0b91ea61f4028b6353e33e7702e3f5d7c4df0d7e682207f;frozen_A2_evidence_window=0x005E42C0..0x005E42F6@f6013c7bd899ae2744f7cd1b2a13bc0ca88b074e380305fd245327bef897ee99;carrier=0x00463DE0..0x00463FA2@888c2fac20948b7896ed105f46b84e94d01c9442f6535df9be36e6baa2335fc3	4c0b0dc9028d1ea3242553c01a36346037212028c2b7ee93ab157c03dddbbe2b	IMAGE	the entry type key selects a factory result and concrete Attr +0x34 schema; the declared length is not consumed or enforced on the non-null R decode path	map UpdateAttr entry/factory type keys to concrete class/vtable codecs; validate each nested payload against CAPTURE as a separate source	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
e11b1d50c5ed51c4030946b5941531f76a43ba72a07c7f7c105784754f519038	be6b896f4daf2dc7a4ad04f09f270d3b173dd0df9f3b38c66396b3a85c65e6de	CBuffAttr	CBuffAttr	PROVEN_EXACT	PF_ATTR_CLASS_CENSUS:ee549741c9839b5eb186ed04aa4a204e3924c16ad8a7c8c37016f11dd376a7a3	84112bcf4d1764cffc16abfde4fd0e71d20de371984f607a1842f4418a013dff	PF_ATTR_CLASS_CENSUS.tsv|class=CBuffAttr|evidence_key=ee549741c9839b5eb186ed04aa4a204e3924c16ad8a7c8c37016f11dd376a7a3			PcRefObject>Attribute>DBAttribute>CBuffAttr	wire_container	0x30	0x30	N/A	CBuffAttr	OUTER_OBJECT	route_container@(CBuffAttr+0x28)+0x2C / primary_record+0x0C	MASK_OVERLAP_TEST	POPULATION: primary_lookup==NULL OR (primary_lookup!=NULL AND (route_container@(CBuffAttr+0x28)+0x2C & primary_record+0x0C)==0 AND primary_selector==0); WRITE: include only records with (record_flags@+0x20 & 0x2)==0	NONNULL_PRIMARY_WITH_MASK_OVERLAP_IS_DESTROYED;NONNULL_PRIMARY_SELECTOR_OUTSIDE_0_1_2_IS_DESTROYED;NULL_PRIMARY_ROUTES_TO_OBJECT_OFFSET_0x30	CBuffAttr category_route@0x0064E820..0x0064E8A1	N/A	SUBCALL	dynamic	primary_lookup_null_or_primary_selector_0_record_bucket	PROVEN_EXACT	PROVEN_EXACT	UNASSERTED	0x0064A472	N/A	0x0064A430	0x0064A58A	738d40cfef5b7ec3f4d74c3f148bd688b7ec6e3c6a8aa90cda67da702dac1e42	0x0064E820	record_factory=0x0064E8B0..0x0064E9C5@0d5bc400a65d24e6fc204649e2bfb92d51fe18515c2b45155853e8afd4d16b46;category_route=0x0064E820..0x0064E8A1@3842b96d37122cd2302e3c2cf4f08b3c40f9501858d808a2ab495fa18677931a	251230bbd0699b53c314bcc2b2181b61a54555e855cbbc78c989cf316ec564db	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
1905057a5654211b53826d257d050168b97082f455d5cefe6d478bc0079df08e	812a90f7953410f30912de48e01a5e9f3f2bf55b5367dcda796da4479bae7a71	CBuffAttr	CBuffAttr	PROVEN_EXACT	PF_ATTR_CLASS_CENSUS:ee549741c9839b5eb186ed04aa4a204e3924c16ad8a7c8c37016f11dd376a7a3	0aa573e6013e369b52af01e19344feec9669cbe7ffa169e0f2ad30e378fd929c	PF_ATTR_CLASS_CENSUS.tsv|class=CBuffAttr|evidence_key=ee549741c9839b5eb186ed04aa4a204e3924c16ad8a7c8c37016f11dd376a7a3			PcRefObject>Attribute>DBAttribute>CBuffAttr	wire_container	0x3C	0x3C	N/A	CBuffAttr	OUTER_OBJECT	route_container@(CBuffAttr+0x28)+0x2C / primary_record+0x0C	MASK_OVERLAP_TEST	POPULATION: primary_lookup!=NULL AND (route_container@(CBuffAttr+0x28)+0x2C & primary_record+0x0C)==0 AND primary_selector==1; WRITE: include only records with (record_flags@+0x20 & 0x2)==0	NONNULL_PRIMARY_WITH_MASK_OVERLAP_IS_DESTROYED;NONNULL_PRIMARY_SELECTOR_OUTSIDE_0_1_2_IS_DESTROYED;NULL_PRIMARY_ROUTES_TO_OBJECT_OFFSET_0x30	CBuffAttr category_route@0x0064E820..0x0064E8A1	N/A	SUBCALL	dynamic	primary_category_1_record_bucket	PROVEN_EXACT	PROVEN_EXACT	UNASSERTED	0x0064A47E	N/A	0x0064A430	0x0064A58A	738d40cfef5b7ec3f4d74c3f148bd688b7ec6e3c6a8aa90cda67da702dac1e42	0x0064E820	record_factory=0x0064E8B0..0x0064E9C5@0d5bc400a65d24e6fc204649e2bfb92d51fe18515c2b45155853e8afd4d16b46;category_route=0x0064E820..0x0064E8A1@3842b96d37122cd2302e3c2cf4f08b3c40f9501858d808a2ab495fa18677931a	392e58c326a4c97a05fbef59290ace7a25c6fadbf1cb9b61ffe83a956bb3515b	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
fcff4b221f4ecb8183094928ce8ba4d95f74ebf735f42f3d8131a371be62db21	a62ebc945715028ba4409ace81f433aadbe97bc38cab66db9f857faa0f6d2cae	CBuffAttr	CBuffAttr	PROVEN_EXACT	PF_ATTR_CLASS_CENSUS:ee549741c9839b5eb186ed04aa4a204e3924c16ad8a7c8c37016f11dd376a7a3	1ec219c4140800bbbcc8333721555cc8cd2558d9acfdd4b3befec84887533f3e	PF_ATTR_CLASS_CENSUS.tsv|class=CBuffAttr|evidence_key=ee549741c9839b5eb186ed04aa4a204e3924c16ad8a7c8c37016f11dd376a7a3			PcRefObject>Attribute>DBAttribute>CBuffAttr	wire_container	0x48	0x48	N/A	CBuffAttr	OUTER_OBJECT	route_container@(CBuffAttr+0x28)+0x2C / primary_record+0x0C	MASK_OVERLAP_TEST	POPULATION: primary_lookup!=NULL AND (route_container@(CBuffAttr+0x28)+0x2C & primary_record+0x0C)==0 AND primary_selector==2; WRITE: include only records with (record_flags@+0x20 & 0x2)==0	NONNULL_PRIMARY_WITH_MASK_OVERLAP_IS_DESTROYED;NONNULL_PRIMARY_SELECTOR_OUTSIDE_0_1_2_IS_DESTROYED;NULL_PRIMARY_ROUTES_TO_OBJECT_OFFSET_0x30	CBuffAttr category_route@0x0064E820..0x0064E8A1	N/A	SUBCALL	dynamic	primary_category_2_record_bucket	PROVEN_EXACT	PROVEN_EXACT	UNASSERTED	0x0064A48A	N/A	0x0064A430	0x0064A58A	738d40cfef5b7ec3f4d74c3f148bd688b7ec6e3c6a8aa90cda67da702dac1e42	0x0064E820	record_factory=0x0064E8B0..0x0064E9C5@0d5bc400a65d24e6fc204649e2bfb92d51fe18515c2b45155853e8afd4d16b46;category_route=0x0064E820..0x0064E8A1@3842b96d37122cd2302e3c2cf4f08b3c40f9501858d808a2ab495fa18677931a	e5776cf499f9664eb4112a903eb44760f7f3a89b5a00ec54dba0b52d345ae972	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
a8a443a07f2763ca967608e731c273f6fbd89858578313ffde05bf8523740c5a	5b6a854c6355dccfc64da00ebf3fb7222dabc1192a254f29533581d043fc2d97	CBuffWireRecord	UNKNOWN_CBUFF_WIRE_RECORD_CLASS	UNKNOWN	OUTER_CODEC_ONLY_NO_UNIQUE_CHILD_RTTI_BINDING	N/A	N/A	factory/record-codec spans are exact, but the synthetic record label has no unique concrete C++ RTTI/type-descriptor/vtable binding	prove the factory result vtable and COL/type descriptor to this exact record codec, or retain source-separated DUMP RTTI identity	PcRefObject>Attribute>DBAttribute>CBuffAttr>CBuffWireRecord	wire_member	N/A	N/A	N/A	N/A	N/A	record_flags@+0x20	0x00000002	WRITE: record/count contribution only when (record_flags@+0x20 & 0x2)==0	RECORD_WITH_FLAGS_BIT_0x2_IS_OMITTED_FROM_WRITE_AND_RECORD_COUNT	CBuffAttr count@0x0064A2A0..0x0064A2E8 and record_WRITE@0x0064A2F0..0x0064A3CC	0x30	0x12	2	primary_catalog_lookup_key	PROVEN_ROLE_ONLY	PROVEN_EXACT	N/A	0x0064A32B	0x0064A4E0	0x0064A2F0	0x0064A3CC	1a5967914bf6773247b6f88771d2b441e26085cbee5193279da433299cdcffe5	0x004A1C70	record_ctor=0x0064C910..0x0064C99E@1c967e600c89dc9cf2b0ccaf8ec374cc22907f2aefc3e31f0311ec661c458709;record_factory=0x0064E8B0..0x0064E9C5@0d5bc400a65d24e6fc204649e2bfb92d51fe18515c2b45155853e8afd4d16b46;primary_lookup=0x004A1C70..0x004A1CD6@7beabab3276346b864404833a199b85c96074aedc759652effb4ee3d4f96c4f2;category_route=0x0064E820..0x0064E8A1@3842b96d37122cd2302e3c2cf4f08b3c40f9501858d808a2ab495fa18677931a;condition_sets=0x0064B260..0x0064B3AD@12a98c2c9bff8fab5e0158ab3deabe2e2bb49840551e7706407ba5a3eb238dc2	2b67b36c8b564741541fa574d819cb7510a816254dcb8ac3a4a4f5e9e96f9322	IMAGE	the exact client-side structural role is proved, but the broader gameplay identity is not unique	a named producer or source-separated varied CAPTURE/DUMP evidence for the gameplay noun	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
43f088e80d28a084fd3229191366796336608561dd4bf5c232cd593a931b78be	94cb788b39385f20f128193b200282e6c9238f2f85862d3cd14a76897776545b	CBuffWireRecord	UNKNOWN_CBUFF_WIRE_RECORD_CLASS	UNKNOWN	OUTER_CODEC_ONLY_NO_UNIQUE_CHILD_RTTI_BINDING	N/A	N/A	factory/record-codec spans are exact, but the synthetic record label has no unique concrete C++ RTTI/type-descriptor/vtable binding	prove the factory result vtable and COL/type descriptor to this exact record codec, or retain source-separated DUMP RTTI identity	PcRefObject>Attribute>DBAttribute>CBuffAttr>CBuffWireRecord	wire_member	N/A	N/A	N/A	N/A	N/A	record_flags@+0x20	0x00000002	WRITE: record/count contribution only when (record_flags@+0x20 & 0x2)==0	RECORD_WITH_FLAGS_BIT_0x2_IS_OMITTED_FROM_WRITE_AND_RECORD_COUNT	CBuffAttr count@0x0064A2A0..0x0064A2E8 and record_WRITE@0x0064A2F0..0x0064A3CC	0x34	0x12	2	record_u16_1	UNKNOWN	PROVEN_EXACT	N/A	0x0064A342	0x0064A4F0	0x0064A2F0	0x0064A3CC	1a5967914bf6773247b6f88771d2b441e26085cbee5193279da433299cdcffe5	N/A		ae8d085e5620d2f3f0bacf8aba06302c6050f6c4bc873dcf59b101f3f87e3170	IMAGE	wire structure is exact but the record/list gameplay identity is unresolved	producer/consumer xref tied to a named gameplay operation or varied CAPTURE/DUMP evidence	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
1c717ba1542e9fef272b33def90877838af1fe8cbd4425c04c35cc2acf0ac970	8dbe071a24439ea58c72865b0ec0fb1f47a27d260de182893a8309877c220d33	CBuffWireRecord	UNKNOWN_CBUFF_WIRE_RECORD_CLASS	UNKNOWN	OUTER_CODEC_ONLY_NO_UNIQUE_CHILD_RTTI_BINDING	N/A	N/A	factory/record-codec spans are exact, but the synthetic record label has no unique concrete C++ RTTI/type-descriptor/vtable binding	prove the factory result vtable and COL/type descriptor to this exact record codec, or retain source-separated DUMP RTTI identity	PcRefObject>Attribute>DBAttribute>CBuffAttr>CBuffWireRecord	wire_member	N/A	N/A	N/A	N/A	N/A	record_flags@+0x20	0x00000002	WRITE: record/count contribution only when (record_flags@+0x20 & 0x2)==0	RECORD_WITH_FLAGS_BIT_0x2_IS_OMITTED_FROM_WRITE_AND_RECORD_COUNT	CBuffAttr count@0x0064A2A0..0x0064A2E8 and record_WRITE@0x0064A2F0..0x0064A3CC	0x38	0x12	2	record_u16_2	UNKNOWN	PROVEN_EXACT	N/A	0x0064A359	0x0064A500	0x0064A2F0	0x0064A3CC	1a5967914bf6773247b6f88771d2b441e26085cbee5193279da433299cdcffe5	N/A		8c2e7c7909beeaa2e0d3335cc83834121534fba2c389a37f75fcf8de9c173c2a	IMAGE	wire structure is exact but the record/list gameplay identity is unresolved	producer/consumer xref tied to a named gameplay operation or varied CAPTURE/DUMP evidence	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
