field_key	wire_key	semantic_row_key	class	applies_to_class	scope_status	scope_basis	scope_evidence_key	scope_evidence_ref	scope_blocker	scope_required_next_evidence	parent_chain	direction	offset_basis	storage_width	order	mask_bit	gate	offset	tag	len	structural_type	structural_status	default_value	default_writer_va	semantic_name	semantic_status	semantic_source_load_va	semantic_producer_va	semantic_consumer_va	semantic_evidence_span_start	semantic_evidence_span_end	semantic_evidence_span_sha256	semantic_support_spans	producer_va	consumer_va	consumer_slot	codec_slot	write_site_va	read_site_va	file_offset	span_start	span_end	span_sha256	origin_evidence_key	evidence_key	source	conflicts_with	open_conflicts_with	blocker	required_next_evidence	image_sha256
ActorAttr@0x78.4#R:b0x00000004	ActorAttr@0x78.4#R:b0x00000004	f3ed665b4ef6788053342e382420905f3f56410247be268974383582ff998925	ActorAttr	UNKNOWN_CONCRETE_OWNER_OF_ActorAttr	UNKNOWN	EXPLICIT_AUDIT_OPEN_NO_COMPLETE_TYPED_OWNER_CENSUS	N/A	N/A	the field behavior/meaning is bounded, but no complete typed owner/consumer-class census proves which concrete class attaches and consumes this Attr field	prove the receiver/attachment path from concrete RTTI/vtable/type node through the exact consumer span; split one row per class and audit inherited consumers	PcRefObject>Attribute>DBAttribute>BasicAttr>ActorAttr	R	OBJECT	4	3	0x00000004	+0x1BC != 0 AND +0x1B4 & 0x00000004	0x78	0x26	4	opaque_4_bytes	PROVEN_EXACT	0	0x00464CBA	GetPpClass_value	PROVEN_EXACT	0x00461500	0x00755171	0x00461500	0x00461500	0x0046152F	10e1a36878c55118cc401458df46816c1ad301569031b36efc622f950650a99e	0x00461F36..0x00461F65@18e5d6df7f26430b6d377577e0e6ba64a471f29e02bfebb67762103b8973c6e2;0x00755171..0x00755192@1b777bdacb53aff7a355bf69154f649f5b7da932394d6915198c64dad6bed1bd;0x00755149..0x00755165@47df3df9b19fe5ddb0b69dcd6df39c2bda91960405ce0894b24643a5b10e68a2	0x004667F8	UNKNOWN	N/A	+0x34	N/A	0x004667F8	0x00065BF8	0x00466230	0x00466C6F	ff1bf8f6b8beb33d6c070d4bbb2d37f8d83aaa93545a38397bf58f8acf72a5ed	d218be1c68afb3be970047d70ffc44665479bb1d0f02fc8d8e137604063f27dc	032fc67c05715c53efff55f35f45f0a6f980548f4806c2304543f6c136c00b4e	IMAGE	c99f9c63771f4b6267d6abfee89516ff0e2a6454853bea3f7a1ed18d08029735	c99f9c63771f4b6267d6abfee89516ff0e2a6454853bea3f7a1ed18d08029735			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
ActorAttr@0x78.4#W:b0x00000004	ActorAttr@0x78.4#W:b0x00000004	9111d8dcf686233c96b506f8ce8f1314e36cb1e80c8b39802bfc22cf031a823b	ActorAttr	UNKNOWN_CONCRETE_OWNER_OF_ActorAttr	UNKNOWN	EXPLICIT_AUDIT_OPEN_NO_COMPLETE_TYPED_OWNER_CENSUS	N/A	N/A	the field behavior/meaning is bounded, but no complete typed owner/consumer-class census proves which concrete class attaches and consumes this Attr field	prove the receiver/attachment path from concrete RTTI/vtable/type node through the exact consumer span; split one row per class and audit inherited consumers	PcRefObject>Attribute>DBAttribute>BasicAttr>ActorAttr	W	OBJECT	4	3	0x00000004	+0x1BC != 0 AND +0x1B4 & 0x00000004	0x78	0x26	4	opaque_4_bytes	PROVEN_EXACT	0	0x00464CBA	GetPpClass_value	PROVEN_EXACT	0x00461500	0x00755171	0x00461500	0x00461500	0x0046152F	10e1a36878c55118cc401458df46816c1ad301569031b36efc622f950650a99e	0x00461F36..0x00461F65@18e5d6df7f26430b6d377577e0e6ba64a471f29e02bfebb67762103b8973c6e2;0x00755171..0x00755192@1b777bdacb53aff7a355bf69154f649f5b7da932394d6915198c64dad6bed1bd;0x00755149..0x00755165@47df3df9b19fe5ddb0b69dcd6df39c2bda91960405ce0894b24643a5b10e68a2	0x00464CBA	0x004662DF	N/A	+0x34	0x004662DF	N/A	0x000656DF	0x00466230	0x00466C6F	ff1bf8f6b8beb33d6c070d4bbb2d37f8d83aaa93545a38397bf58f8acf72a5ed	18385b13c42eb38ddf66ff13eb6795ec5ec8ba692fc5d30932660e31bc71ff10	43134dbdbd1cf3d4d02624c4130ef80a3ef6d2e62cf94f5af013246d133870f6	IMAGE	57a4c2c1bffb7ecdf4f057f4646a83ccbe233d75e3d27abd52e9911a2d725e8d	57a4c2c1bffb7ecdf4f057f4646a83ccbe233d75e3d27abd52e9911a2d725e8d			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
ActorAttr@0x94.4#R:b0x04000000	ActorAttr@0x94.4#R:b0x04000000	ce1e351eb11010076e28702b34dd735191071ae9dd4dea97c4576b36f5949c71	ActorAttr	UNKNOWN_CONCRETE_OWNER_OF_ActorAttr	UNKNOWN	EXPLICIT_AUDIT_OPEN_NO_COMPLETE_TYPED_OWNER_CENSUS	N/A	N/A	the field behavior/meaning is bounded, but no complete typed owner/consumer-class census proves which concrete class attaches and consumes this Attr field	prove the receiver/attachment path from concrete RTTI/vtable/type node through the exact consumer span; split one row per class and audit inherited consumers	PcRefObject>Attribute>DBAttribute>BasicAttr>ActorAttr	R	OBJECT	4	28	0x04000000	+0x1B4 & 0x04000000	0x94	0x19	4	opaque_4_bytes	PROVEN_EXACT	0	0x00464D6F	UNKNOWN	UNKNOWN	N/A	N/A	N/A	N/A	N/A	N/A	ActorAttr_registration=0x00BD9470..0x00BD94A6@e06bbe57b62415a13d3cdfc0cafad4c19df028105ef5d82dadf3dfbbdfbc3643;ActorAttr_node_getter=0x004649A0..0x004649A6@24a044f6b787fb4d6054f0f3832ce4026f0b61476c8dc78b2c150df2818d8223;ActorAttr_vtable=0x00F0E7A0..0x00F0E7E0@36511ad596f0cd6db58929c6b9b58a7615399a04745293336fa2461c97632b10;ActorAttr_ctor=0x00464BE0..0x00464E39@e83ae4a601a4ec700326598d6329e4b34cd2f4cf78dcf17d639d8df8e1f1096a;ActorAttr_copy=0x00464F30..0x004652AC@78f9c31b0ff1d75bc7845d5e340f4d525e0c8f80e034396b0e0f61699ad6a3e1;ActorAttr_equality=0x00465990..0x00465E5A@ec8ad0e7c03f9c6d194f99110c87355f872e2de5c314db32a8eda523247d67f3;ActorAttr_assign_merge=0x00465E60..0x0046622C@ae42593007f32d954a25990b2599aaabcc040dd20a4c3c27e87cb18464ab0cb5;ActorAttr_codec=0x00466230..0x00466C6F@ff1bf8f6b8beb33d6c070d4bbb2d37f8d83aaa93545a38397bf58f8acf72a5ed;ActorAttr_full_layout_copy=0x004B23D0..0x004B2696@7f32024f54cf8657a8da117403aff4482a1a6a0516e82bae6048c6a62e87623a;ActorAttr_explicit_vtable_copy=0x005ACA40..0x005ACD66@cf1c8bf41029c9671d84940496646ca9a996abf7eb78a4cbf15472d23df92f5f;ActorAttr_runtime_membership_helper=0x0043B9B0..0x0043B9DF@5ca35aea61af0154839fb10121417eaaa7e54f54c8c6e290a199971c243f930c;offset_94_counterexample_base_reassigned_to_UI_scene_object=0x004C2B27..0x004C2C73@debb9b1c5e01706b7fc1c64d29fc938eb0bc74b803dd1497ab456066882ec467;offset_94_counterexample_EBP_is_not_verified_ActorAttr_EBX=0x005217BF..0x00521889@cddbb1c8d3f4cc5acac13f35e4258128542bfe8b0223188bdaba061c9b34d76e;offset_94_counterexample_UI_objects_not_verified_ActorAttr_EDI=0x005BD7B5..0x005BD88D@b1276574961d3303b6af95085162aec4b9542022b09b929e8af8650a07345689	0x00466AB9	UNKNOWN	N/A	+0x34	N/A	0x00466AB9	0x00065EB9	0x00466230	0x00466C6F	ff1bf8f6b8beb33d6c070d4bbb2d37f8d83aaa93545a38397bf58f8acf72a5ed	9673253f8a80bddf8db69deba8d9062bd86b07eb73c958cd4cfddb5192cf7812	8bef2cce0cf05f943415143fd23b699b45c72aebff2b743a1612cd50065a6b08	IMAGE			only constructor/default, provenance-backed full-layout copy, equality/assignment, and gated codec accesses are proved; three tempting +0x94 paths are rejected because the base is reassigned or belongs to a separate UI/scene object	a provenance-backed non-core ActorAttr producer/consumer or source-separated DATA/UI/CAPTURE binding for ActorAttr +0x94	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
ActorAttr@0x94.4#W:b0x04000000	ActorAttr@0x94.4#W:b0x04000000	569ecab110ca770c669250d455a022afcab923fe29ed4e51d120263bffae8bcb	ActorAttr	UNKNOWN_CONCRETE_OWNER_OF_ActorAttr	UNKNOWN	EXPLICIT_AUDIT_OPEN_NO_COMPLETE_TYPED_OWNER_CENSUS	N/A	N/A	the field behavior/meaning is bounded, but no complete typed owner/consumer-class census proves which concrete class attaches and consumes this Attr field	prove the receiver/attachment path from concrete RTTI/vtable/type node through the exact consumer span; split one row per class and audit inherited consumers	PcRefObject>Attribute>DBAttribute>BasicAttr>ActorAttr	W	OBJECT	4	28	0x04000000	+0x1B4 & 0x04000000	0x94	0x19	4	opaque_4_bytes	PROVEN_EXACT	0	0x00464D6F	UNKNOWN	UNKNOWN	N/A	N/A	N/A	N/A	N/A	N/A	ActorAttr_registration=0x00BD9470..0x00BD94A6@e06bbe57b62415a13d3cdfc0cafad4c19df028105ef5d82dadf3dfbbdfbc3643;ActorAttr_node_getter=0x004649A0..0x004649A6@24a044f6b787fb4d6054f0f3832ce4026f0b61476c8dc78b2c150df2818d8223;ActorAttr_vtable=0x00F0E7A0..0x00F0E7E0@36511ad596f0cd6db58929c6b9b58a7615399a04745293336fa2461c97632b10;ActorAttr_ctor=0x00464BE0..0x00464E39@e83ae4a601a4ec700326598d6329e4b34cd2f4cf78dcf17d639d8df8e1f1096a;ActorAttr_copy=0x00464F30..0x004652AC@78f9c31b0ff1d75bc7845d5e340f4d525e0c8f80e034396b0e0f61699ad6a3e1;ActorAttr_equality=0x00465990..0x00465E5A@ec8ad0e7c03f9c6d194f99110c87355f872e2de5c314db32a8eda523247d67f3;ActorAttr_assign_merge=0x00465E60..0x0046622C@ae42593007f32d954a25990b2599aaabcc040dd20a4c3c27e87cb18464ab0cb5;ActorAttr_codec=0x00466230..0x00466C6F@ff1bf8f6b8beb33d6c070d4bbb2d37f8d83aaa93545a38397bf58f8acf72a5ed;ActorAttr_full_layout_copy=0x004B23D0..0x004B2696@7f32024f54cf8657a8da117403aff4482a1a6a0516e82bae6048c6a62e87623a;ActorAttr_explicit_vtable_copy=0x005ACA40..0x005ACD66@cf1c8bf41029c9671d84940496646ca9a996abf7eb78a4cbf15472d23df92f5f;ActorAttr_runtime_membership_helper=0x0043B9B0..0x0043B9DF@5ca35aea61af0154839fb10121417eaaa7e54f54c8c6e290a199971c243f930c;offset_94_counterexample_base_reassigned_to_UI_scene_object=0x004C2B27..0x004C2C73@debb9b1c5e01706b7fc1c64d29fc938eb0bc74b803dd1497ab456066882ec467;offset_94_counterexample_EBP_is_not_verified_ActorAttr_EBX=0x005217BF..0x00521889@cddbb1c8d3f4cc5acac13f35e4258128542bfe8b0223188bdaba061c9b34d76e;offset_94_counterexample_UI_objects_not_verified_ActorAttr_EDI=0x005BD7B5..0x005BD88D@b1276574961d3303b6af95085162aec4b9542022b09b929e8af8650a07345689	0x00464D6F	0x0046659C	N/A	+0x34	0x0046659C	N/A	0x0006599C	0x00466230	0x00466C6F	ff1bf8f6b8beb33d6c070d4bbb2d37f8d83aaa93545a38397bf58f8acf72a5ed	bc1ec5bae59a1d888526024b0471a2c853e4d5b1a8658b7957efa871a7cbe9d9	d6f9915ae50d33d28ec4b201422c5cbc4f648a6ced227e6de6ca3bfd3c8ac1f3	IMAGE			only constructor/default, provenance-backed full-layout copy, equality/assignment, and gated codec accesses are proved; three tempting +0x94 paths are rejected because the base is reassigned or belongs to a separate UI/scene object	a provenance-backed non-core ActorAttr producer/consumer or source-separated DATA/UI/CAPTURE binding for ActorAttr +0x94	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
ActorAttr@0x99.1#R:b0x00002000	ActorAttr@0x99.1#R:b0x00002000	9d2fecb5a573ed62625d51d5ea7e7d29584ee8e3fd4af39a8f470e72ed2c477d	ActorAttr	UNKNOWN_CONCRETE_OWNER_OF_ActorAttr	UNKNOWN	EXPLICIT_AUDIT_OPEN_NO_COMPLETE_TYPED_OWNER_CENSUS	N/A	N/A	the field behavior/meaning is bounded, but no complete typed owner/consumer-class census proves which concrete class attaches and consumes this Attr field	prove the receiver/attachment path from concrete RTTI/vtable/type node through the exact consumer span; split one row per class and audit inherited consumers	PcRefObject>Attribute>DBAttribute>BasicAttr>ActorAttr	R	OBJECT	1	14	0x00002000	+0x1BC != 0 AND +0x1B4 & 0x00002000	0x99	0x0B	1	opaque_1_byte	PROVEN_EXACT	0	0x00464D5D	state_record_forced_flag	PROVEN_ROLE_ONLY	0x004B45CB	0x004B45CB	0x004B45CB	0x004B45CB	0x004B4621	63bbbd8ccd0614122306466bf1f43642ee18474022e6780565019ec0db9561a8		0x00466929	UNKNOWN	N/A	+0x34	N/A	0x00466929	0x00065D29	0x00466230	0x00466C6F	ff1bf8f6b8beb33d6c070d4bbb2d37f8d83aaa93545a38397bf58f8acf72a5ed	4bcac83c70875740ed734f26fd10b062b517159bd3aa46aca6fcf16b9d1641ba	742f47b18b30fd187cf47f2b1c0b231113f039278604d0c66dc659e2a23b1628	IMAGE	5e67e4ffe5c17a6cb8d871b105e5fd7732d5512695ee7875c58c97295faa18f9	5e67e4ffe5c17a6cb8d871b105e5fd7732d5512695ee7875c58c97295faa18f9	structural/consumer role is proved but the broader gameplay noun or full value domain is not unique	unique Data/UI binding or varied CAPTURE evidence as a separate source	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
ActorAttr@0x99.1#W:b0x00002000	ActorAttr@0x99.1#W:b0x00002000	6997c79510eea2ee263f4203da0ea7181a8564b575ba58c6e56e6d9fe0e71f8b	ActorAttr	UNKNOWN_CONCRETE_OWNER_OF_ActorAttr	UNKNOWN	EXPLICIT_AUDIT_OPEN_NO_COMPLETE_TYPED_OWNER_CENSUS	N/A	N/A	the field behavior/meaning is bounded, but no complete typed owner/consumer-class census proves which concrete class attaches and consumes this Attr field	prove the receiver/attachment path from concrete RTTI/vtable/type node through the exact consumer span; split one row per class and audit inherited consumers	PcRefObject>Attribute>DBAttribute>BasicAttr>ActorAttr	W	OBJECT	1	14	0x00002000	+0x1BC != 0 AND +0x1B4 & 0x00002000	0x99	0x0B	1	opaque_1_byte	PROVEN_EXACT	0	0x00464D5D	state_record_forced_flag	PROVEN_ROLE_ONLY	0x004B45CB	0x004B45CB	0x004B45CB	0x004B45CB	0x004B4621	63bbbd8ccd0614122306466bf1f43642ee18474022e6780565019ec0db9561a8		0x00464D5D	0x0046640C	N/A	+0x34	0x0046640C	N/A	0x0006580C	0x00466230	0x00466C6F	ff1bf8f6b8beb33d6c070d4bbb2d37f8d83aaa93545a38397bf58f8acf72a5ed	8af0f2dd08aeb32d4385ddea207de729ae698c553491beeef074f9bad4b3889b	10bc2022cb95d5b193a236a00da2c66e39d06a78dafc20161f2717ac3bf3ad6d	IMAGE	6e99143f6a2ce3b91cadb9a39c50c18fc498460a27d8ea7d967ba6d467472e19	6e99143f6a2ce3b91cadb9a39c50c18fc498460a27d8ea7d967ba6d467472e19	structural/consumer role is proved but the broader gameplay noun or full value domain is not unique	unique Data/UI binding or varied CAPTURE evidence as a separate source	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
ActorAttr@0x9A.1#R:b0x00004000	ActorAttr@0x9A.1#R:b0x00004000	dfab49066b2b02069f59f2d4ea8cfe57c169eb607aa9b7b22b4ebe7ef4393a77	ActorAttr	UNKNOWN_CONCRETE_OWNER_OF_ActorAttr	UNKNOWN	EXPLICIT_AUDIT_OPEN_NO_COMPLETE_TYPED_OWNER_CENSUS	N/A	N/A	the field behavior/meaning is bounded, but no complete typed owner/consumer-class census proves which concrete class attaches and consumes this Attr field	prove the receiver/attachment path from concrete RTTI/vtable/type node through the exact consumer span; split one row per class and audit inherited consumers	PcRefObject>Attribute>DBAttribute>BasicAttr>ActorAttr	R	OBJECT	1	15	0x00004000	+0x1BC != 0 AND +0x1B4 & 0x00004000	0x9A	0x0B	1	opaque_1_byte	PROVEN_EXACT	0	0x00464D63	source_state_appearance_byte	PROVEN_ROLE_ONLY	0x004BF978	0x004BF978	0x007198C0	0x004BF978	0x004BF995	2fa985d8b5aa42e054cdfb163f8f473d7714c645e93a7447ebf36c23954a5983		0x00466947	UNKNOWN	N/A	+0x34	N/A	0x00466947	0x00065D47	0x00466230	0x00466C6F	ff1bf8f6b8beb33d6c070d4bbb2d37f8d83aaa93545a38397bf58f8acf72a5ed	81fdfe7f02b02f315f00a047009d748daf99c4c7cb46a4423f63c877d9d457eb	b1b997b6f08aed1dc3fcbc49e310fb8c0658b412251cb17b1942a59617dfce86	IMAGE	8a383ccb3557c857973fb397088fd06285baa1fbad5885d4b59a4c360626a48e	8a383ccb3557c857973fb397088fd06285baa1fbad5885d4b59a4c360626a48e	structural/consumer role is proved but the broader gameplay noun or full value domain is not unique	unique Data/UI binding or varied CAPTURE evidence as a separate source	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
ActorAttr@0x9A.1#W:b0x00004000	ActorAttr@0x9A.1#W:b0x00004000	4da0b5db915a72d48f99fbc6b817d51d2e2d3f81fbb5e6809de6c2f80f88f0b9	ActorAttr	UNKNOWN_CONCRETE_OWNER_OF_ActorAttr	UNKNOWN	EXPLICIT_AUDIT_OPEN_NO_COMPLETE_TYPED_OWNER_CENSUS	N/A	N/A	the field behavior/meaning is bounded, but no complete typed owner/consumer-class census proves which concrete class attaches and consumes this Attr field	prove the receiver/attachment path from concrete RTTI/vtable/type node through the exact consumer span; split one row per class and audit inherited consumers	PcRefObject>Attribute>DBAttribute>BasicAttr>ActorAttr	W	OBJECT	1	15	0x00004000	+0x1BC != 0 AND +0x1B4 & 0x00004000	0x9A	0x0B	1	opaque_1_byte	PROVEN_EXACT	0	0x00464D63	source_state_appearance_byte	PROVEN_ROLE_ONLY	0x004BF978	0x004BF978	0x007198C0	0x004BF978	0x004BF995	2fa985d8b5aa42e054cdfb163f8f473d7714c645e93a7447ebf36c23954a5983		0x00464D63	0x0046642A	N/A	+0x34	0x0046642A	N/A	0x0006582A	0x00466230	0x00466C6F	ff1bf8f6b8beb33d6c070d4bbb2d37f8d83aaa93545a38397bf58f8acf72a5ed	784a7fcf5ff2c237a82d72b74323232f1c6b611aebc9524321b4f9a7ff338615	00e91368a384f68cd4c9e3ea5f30623b11cb5a17ea709650df019db1380127a9	IMAGE	81603934f1335b019f4d8e9c1a5f54a7c1371c91fd2affb73721f6535e32420a	81603934f1335b019f4d8e9c1a5f54a7c1371c91fd2affb73721f6535e32420a	structural/consumer role is proved but the broader gameplay noun or full value domain is not unique	unique Data/UI binding or varied CAPTURE evidence as a separate source	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
ActorAttr@0xE8.var#R:b0x00000008	ActorAttr@0xE8.var#R:b0x00000008	f54ed8bb342d283c0ea26a1530d548f09c49275f8c79232296d93408aba820bb	ActorAttr	UNKNOWN_CONCRETE_OWNER_OF_ActorAttr	UNKNOWN	EXPLICIT_AUDIT_OPEN_NO_COMPLETE_TYPED_OWNER_CENSUS	N/A	N/A	the field behavior/meaning is bounded, but no complete typed owner/consumer-class census proves which concrete class attaches and consumes this Attr field	prove the receiver/attachment path from concrete RTTI/vtable/type node through the exact consumer span; split one row per class and audit inherited consumers	PcRefObject>Attribute>DBAttribute>BasicAttr>ActorAttr	R	OBJECT	var	37	0x00000008	+0x1B8 & 0x00000008	0xE8	VARSEQ_0x48	var	std_wstring_utf16le	PROVEN_EXACT	empty_sequence	0x00464D2A	residence_location_text	PROVEN_EXACT	0x0063A360	0x0063A2D0	0x006470F0	0x0063A360	0x0063A384	39ac8d4d4e64c57a25c00c93118a2e1a7f946753dfd79b75eb34a2f2d8977a33	0x0063A2D0..0x0063A353@72f27f059ddd2cb689d240b3179b201eae11537e800f7063d143d3d35257289f;0x00646FF0..0x006470E1@740933c8ce31cae6033828737efc6f7a27e4a98f747953f9723799b9edbd2c9c;0x006470F0..0x00647266@f481015b59b0e4645c52c7cffa93df8033f404550a10b16da75b9b28123869dd;0x0064117E..0x0064122A@9ea8b64c1863a0009c30624ccdbd8b92c9de87d1216ec86956826fe2ba598f37;0x00F36D10..0x00F36D30@a3c6b91d63a90edae10571749f580c2c30e3c47e625ca84b5cbbf8d3267bd880	0x00466BB7	UNKNOWN	N/A	+0x34	N/A	0x00466BB7	0x00065FB7	0x00466230	0x00466C6F	ff1bf8f6b8beb33d6c070d4bbb2d37f8d83aaa93545a38397bf58f8acf72a5ed	7c5ddf55435e1b5c8f2de86c5d03785ccfde8ac0190f5746669bf0ba802a8024	ad404654de7d9c0f9eabe88cce01c30fde829bfb2c05ea0e5cdc4ff515915f5b	IMAGE					9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
ActorAttr@0xE8.var#W:b0x00000008	ActorAttr@0xE8.var#W:b0x00000008	6a84c6a3d6f4857ce3844e2b25a01bfa6999ca2974857050bee12d6ee6fd1f65	ActorAttr	UNKNOWN_CONCRETE_OWNER_OF_ActorAttr	UNKNOWN	EXPLICIT_AUDIT_OPEN_NO_COMPLETE_TYPED_OWNER_CENSUS	N/A	N/A	the field behavior/meaning is bounded, but no complete typed owner/consumer-class census proves which concrete class attaches and consumes this Attr field	prove the receiver/attachment path from concrete RTTI/vtable/type node through the exact consumer span; split one row per class and audit inherited consumers	PcRefObject>Attribute>DBAttribute>BasicAttr>ActorAttr	W	OBJECT	var	37	0x00000008	+0x1B8 & 0x00000008	0xE8	VARSEQ_0x48	var	std_wstring_utf16le	PROVEN_EXACT	empty_sequence	0x00464D2A	residence_location_text	PROVEN_EXACT	0x0063A360	0x0063A2D0	0x006470F0	0x0063A360	0x0063A384	39ac8d4d4e64c57a25c00c93118a2e1a7f946753dfd79b75eb34a2f2d8977a33	0x0063A2D0..0x0063A353@72f27f059ddd2cb689d240b3179b201eae11537e800f7063d143d3d35257289f;0x00646FF0..0x006470E1@740933c8ce31cae6033828737efc6f7a27e4a98f747953f9723799b9edbd2c9c;0x006470F0..0x00647266@f481015b59b0e4645c52c7cffa93df8033f404550a10b16da75b9b28123869dd;0x0064117E..0x0064122A@9ea8b64c1863a0009c30624ccdbd8b92c9de87d1216ec86956826fe2ba598f37;0x00F36D10..0x00F36D30@a3c6b91d63a90edae10571749f580c2c30e3c47e625ca84b5cbbf8d3267bd880	0x00464D2A	0x0046669B	N/A	+0x34	0x0046669B	N/A	0x00065A9B	0x00466230	0x00466C6F	ff1bf8f6b8beb33d6c070d4bbb2d37f8d83aaa93545a38397bf58f8acf72a5ed	d25aadc01be2c461fb3d55248ba3bcc832eec9bbbfd2e5a516b5a6ab5856a9a2	0102b1cd5350ad31cb330e552f3ca3c8606a1a8b995c6f228b16b00cd42db226	IMAGE					9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
