edge_key	child	parent	parent_chain	parent_status	edge_kind	type_descriptor_va	type_descriptor_file_offset	decorated_type_name	parent_locator_va	parent_locator_file_offset	child_type_node_va	registration_call_va	child_node_getter_va	registration_span_start	registration_span_end	registration_span_sha256	support_span_sha256	ctor_span	dtor_span	ctor_base_call_va	codec_base_call_va	evidence_key	source	blocker	required_next_evidence	image_sha256
6217a3667d779d1294924fe90650afd58716f7965ce455c3048d882e2eedeb22	Attribute	PcRefObject	PcRefObject>Attribute	PROVEN_EXACT	PARENT_NODE_GETTER	0x0101B184	0x00C18984	.?AVAttribute@@	0x0088D000	0x0048C400	0x0103344C	0x00BD930C	0x004636E0	0x00BD92F0	0x00BD9327	c56b630cadb4beae771ad3f13a5d665b75e11e26e1b8f9e6663ac0028803319d	Attribute.node_getter@de521a117646eda905dc19203984f79da1c4642bcaaaf414b9fa11c5b2f7a262;Attribute.registration@c56b630cadb4beae771ad3f13a5d665b75e11e26e1b8f9e6663ac0028803319d;PcRefObject.global_node_binding@92221a78df4f005e2769be797bfadd2f18b03d323b846349da3988c181969b5a;PcRefObject.node_constructor@6028372c7ab18be72e4250c1a810dc3282423e74a14a4ccb44797aa47e444059;PcRefObject.node_getter@02365cc06767b6375d490abcc800d3fd832f7bab17769ba811319752b7d89d6b;PcRefObject.type_descriptor@0e60d0beec1df4b62cc1fe0afefa60e52be775248169d246951136f8f9e5e902;TypeNode.constructor@fbcc4f6cde7843646fa17b9ab4627748d013b27421ca80a8f82a67b6433da4f4	N/A	N/A	N/A	N/A	930881915c4b00a73aaf3bcc65158e5ca60f3c98105e3e8aa8282e44875a2c1f	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
48f7f87b45e7c1baae1d083286c977382caecf1471b10578bbf6cc1193cecb61	DBAttribute	Attribute	PcRefObject>Attribute>DBAttribute	PROVEN_EXACT	PARENT_NODE_GETTER	0x0101F368	0x00C1CB68	.?AVDBAttribute@@	0x004636E0	0x00062AE0	0x010334AC	0x00BD957C	0x00467620	0x00BD9560	0x00BD9597	5d15fd6acab058452fe321cee3db62f0b0510266b73df726348cd0fa869564f1	Attribute.node_getter@de521a117646eda905dc19203984f79da1c4642bcaaaf414b9fa11c5b2f7a262;Attribute.registration@c56b630cadb4beae771ad3f13a5d665b75e11e26e1b8f9e6663ac0028803319d;DBAttribute.ctor@8c0f40c7c199b77470111db990ae5a92f9da4ae8559d4d7b6df3812995b007d5;DBAttribute.dtor@5080e93eb23cb770d9314ad49aacd9944f615c8f0522480e1a575261af3a7756;DBAttribute.node_getter@04602c34b325ca34f48af2ac5ef3d0e8305241825f1610652f71117a10cf4b21;DBAttribute.registration@5d15fd6acab058452fe321cee3db62f0b0510266b73df726348cd0fa869564f1;DBAttribute.type_descriptor@ac05b00a7391f37eebf623241b23ee218bac4f7c66014473fa9f5dacec7382e7;PcRefObject.node_getter@02365cc06767b6375d490abcc800d3fd832f7bab17769ba811319752b7d89d6b	0x00467650..0x0046767D	0x00467690..0x0046769B	N/A	N/A	bf4ba26a590ac62cf7caef29080b3d05ccaec6bf6143c48c547339794a02ec30	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
4804e84cde549051d313a230c64a08776cd039a1057d5380cb1893a3be6c5266	BasicAttr	DBAttribute	PcRefObject>Attribute>DBAttribute>BasicAttr	PROVEN_EXACT	PARENT_NODE_GETTER	0x0102008C	0x00C1D88C	.?AVBasicAttr@@	0x00467620	0x00066A20	0x01033490	0x00BD944C	0x00464A50	0x00BD9430	0x00BD9467	158855242535ab17089cbeeb92a2cf6209844b8f9002871fc89f6a6cf1498e58	Attribute.node_getter@de521a117646eda905dc19203984f79da1c4642bcaaaf414b9fa11c5b2f7a262;BasicAttr.base_codec_call@e6fd8eedc20e3285e72674afab2ad00301bb4e6b4080cf5eb2b65cf7c4962a79;BasicAttr.ctor@aefa3a436f15deb03fe6390bf3f7d05c67e420cfb22a58c254e8f0eea5e58dd6;BasicAttr.dtor@c8516a6fe04a4226c6728623d8301ebdec1160cb845c9e2f00a9cf6540bc4e23;BasicAttr.node_getter@c2aadfb705cab4f42d81e13cbdcff13abeb67c8dc96145df65fa2352703af046;BasicAttr.registration@158855242535ab17089cbeeb92a2cf6209844b8f9002871fc89f6a6cf1498e58;DBAttribute.node_getter@04602c34b325ca34f48af2ac5ef3d0e8305241825f1610652f71117a10cf4b21;DBAttribute.registration@5d15fd6acab058452fe321cee3db62f0b0510266b73df726348cd0fa869564f1;DBAttribute.type_descriptor@ac05b00a7391f37eebf623241b23ee218bac4f7c66014473fa9f5dacec7382e7;TypeNode.constructor@fbcc4f6cde7843646fa17b9ab4627748d013b27421ca80a8f82a67b6433da4f4	0x00464A80..0x00464B34	0x004649F0..0x00464A4F	0x00464AAA	0x004656FF	b63b6497f2661024c0d85f6dc7be7c28bdf0cc243983990cc9d8b5b221f21581	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
77de06987c805c90c6051ba264860bb2adbe3f835a08c10a26b08e2663539327	ActorAttr	BasicAttr	PcRefObject>Attribute>DBAttribute>BasicAttr>ActorAttr	PROVEN_EXACT	DIRECT_PARENT_NODE_PUSH	0x010200A4	0x00C1D8A4	.?AVActorAttr@@	0x01033490	UNKNOWN	0x01033484	0x00BD948B	0x004649A0	0x00BD9470	0x00BD94A6	e06bbe57b62415a13d3cdfc0cafad4c19df028105ef5d82dadf3dfbbdfbc3643	ActorAttr.base_codec_call@8ae5dc70a6dafbb9587d74154d58e6e9d1640dac8bad0a67280a9bbecf7ae844;ActorAttr.ctor@e83ae4a601a4ec700326598d6329e4b34cd2f4cf78dcf17d639d8df8e1f1096a;ActorAttr.dtor@dd1031bf07e48347ff001d1ff1e57237de0b6433148d5938a84675905d0a9acb;ActorAttr.node_getter@24a044f6b787fb4d6054f0f3832ce4026f0b61476c8dc78b2c150df2818d8223;ActorAttr.registration@e06bbe57b62415a13d3cdfc0cafad4c19df028105ef5d82dadf3dfbbdfbc3643;BasicAttr.node_getter@c2aadfb705cab4f42d81e13cbdcff13abeb67c8dc96145df65fa2352703af046;BasicAttr.registration@158855242535ab17089cbeeb92a2cf6209844b8f9002871fc89f6a6cf1498e58	0x00464BE0..0x00464E39	0x00464E60..0x00464F28	0x00464C0B	0x00466243	f151d822982d81850f7603ba011a19fa5295919cf538eeba65de2db0a8ab700c	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
c0a3ef0f11a132d8b9790e0040405f630276acaf85e8e4497cc46d9fa1ca8b50	AvatarAttr	DBAttribute	PcRefObject>Attribute>DBAttribute>AvatarAttr	PROVEN_EXACT	PARENT_NODE_GETTER	0x0101B19C	0x00C1899C	.?AVAvatarAttr@@	0x00467620	0x00066A20	0x0103345C	0x00BD938C	0x00463FB0	0x00BD9370	0x00BD93A7	c808b9a1b22ced3785c36d28f2d1b1c9f18e5da365431109222c333d839f3bee	Attribute.node_getter@de521a117646eda905dc19203984f79da1c4642bcaaaf414b9fa11c5b2f7a262;AvatarAttr.codec@d9f565631b1e5afd35ceead1e230a8ecb38b55ffb007da587e0ce605e18a0b88;AvatarAttr.ctor@5ffe6371e9067bf8cc500817910de261e722350dd9cf7fc7e740e4484344bc6f;AvatarAttr.dtor@a5778ab27561af2174df6439f91c1ac226dec835a44fd73f37fd8eec402cc91e;AvatarAttr.node_getter@7c3eb27b5a964e8503010f7b8b0c589ddd50828c10cb5b9f8c64e2f6d31cf091;AvatarAttr.registration@c808b9a1b22ced3785c36d28f2d1b1c9f18e5da365431109222c333d839f3bee;DBAttribute.node_getter@04602c34b325ca34f48af2ac5ef3d0e8305241825f1610652f71117a10cf4b21;DBAttribute.registration@5d15fd6acab058452fe321cee3db62f0b0510266b73df726348cd0fa869564f1;DBAttribute.type_descriptor@ac05b00a7391f37eebf623241b23ee218bac4f7c66014473fa9f5dacec7382e7;TypeNode.constructor@fbcc4f6cde7843646fa17b9ab4627748d013b27421ca80a8f82a67b6433da4f4	0x00464080..0x00464149	0x0045E0E0..0x0045E13F	0x00464083	0x0046456F	10de39c4f651039da73d389878c31347ca6a10eaf8804c01df53bb733e62113d	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
83cdc26a8d61e5731672be9a9184d3a9378fdf05be8fa58e4695477258bb7db5	NPCAttr	BasicAttr	PcRefObject>Attribute>DBAttribute>BasicAttr>NPCAttr	PROVEN_EXACT	DIRECT_PARENT_NODE_PUSH	0x010200BC	0x00C1D8BC	.?AVNPCAttr@@	0x01033490	UNKNOWN	0x01033478	0x00BD94CB	0x004652B0	0x00BD94B0	0x00BD94E7	b88db28bf29aa76bd2f3931877f19e93bdb0ad5cd57e03cb85bc478474cea71a	BasicAttr.node_getter@c2aadfb705cab4f42d81e13cbdcff13abeb67c8dc96145df65fa2352703af046;BasicAttr.registration@158855242535ab17089cbeeb92a2cf6209844b8f9002871fc89f6a6cf1498e58;NPCAttr.codec@da9a2c2a30f4d131d0d3018a9daaa1b4a97bdd2b41145ff6d607a3baa29253ff;NPCAttr.ctor@7e67a01a0ef0554281c016e2a2c047c04b46d9c083ab9fd656834e9fc9dad38f;NPCAttr.node_getter@f34040ca42afd23a0bc2a6dcaec6ab807898a3d4d9764bdbe949dbebd891095a;NPCAttr.registration@b88db28bf29aa76bd2f3931877f19e93bdb0ad5cd57e03cb85bc478474cea71a	0x00465210..0x004652AC	N/A	N/A	0x00466EBF	9d2bcd52b0aea4c445c840270db6a072affd36bb86b09b76a8a2d8371ef1df66	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
95440d59924280c13f65af198093b1960d94e7da462325b7cee42dad6355e988	MovementAttr	DBAttribute	PcRefObject>Attribute>DBAttribute>MovementAttr	PROVEN_EXACT	PARENT_NODE_GETTER	0x010200D4	0x00C1D8D4	.?AVMovementAttr@@	0x00467620	0x00066A20	0x0103346C	0x00BD950C	0x004649B0	0x00BD94F0	0x00BD9527	892e7c8270c0d72f2325218f159b7b43a01869911816127ffe75e8c81046c949	Attribute.node_getter@de521a117646eda905dc19203984f79da1c4642bcaaaf414b9fa11c5b2f7a262;DBAttribute.node_getter@04602c34b325ca34f48af2ac5ef3d0e8305241825f1610652f71117a10cf4b21;DBAttribute.registration@5d15fd6acab058452fe321cee3db62f0b0510266b73df726348cd0fa869564f1;DBAttribute.type_descriptor@ac05b00a7391f37eebf623241b23ee218bac4f7c66014473fa9f5dacec7382e7;MovementAttr.node_getter@84b9f692c2509db139ea657c717666ab906c1261c5e10835fad01783ee139011;MovementAttr.registration@892e7c8270c0d72f2325218f159b7b43a01869911816127ffe75e8c81046c949;TypeNode.constructor@fbcc4f6cde7843646fa17b9ab4627748d013b27421ca80a8f82a67b6433da4f4	0x00465400..0x0046544C	0x0043BB60..0x0043BB6B	0x0046540C	0x004671CF	6076220de6bd220b8b584824b8f8d3aa6e6bbaf399324393fd4bf75a6e997970	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
d3f197606f13b45ba4ff120fedb9ee14a2953888533f6548b5bb8b82b1c0db20	FightAttr	Attribute	PcRefObject>Attribute>FightAttr	PROVEN_EXACT	PARENT_NODE_GETTER	0x0101B554	0x00C18D54	.?AVFightAttr@@	0x004636E0	0x00062AE0	0x010334C0	0x00BD95DC	0x00467A30	0x00BD95C0	0x00BD95F7	bc0d481b60afbffe65de03106a3ad66621470ea1c92a09b9a20177bca9bdf01f	Attribute.node_getter@de521a117646eda905dc19203984f79da1c4642bcaaaf414b9fa11c5b2f7a262;Attribute.registration@c56b630cadb4beae771ad3f13a5d665b75e11e26e1b8f9e6663ac0028803319d;FightAttr.node_getter@ad50629f1c265da0d2e0489767ce72a623fce892a4304113df0adb4a6b75b7de;FightAttr.registration@bc0d481b60afbffe65de03106a3ad66621470ea1c92a09b9a20177bca9bdf01f;PcRefObject.node_getter@02365cc06767b6375d490abcc800d3fd832f7bab17769ba811319752b7d89d6b	N/A	N/A	N/A	N/A	7a0ce0780e17608cd6e74ac543c22f29b57eac264627d7c6e55e9cf3d98047b8	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
2736122777ecee4925d15c3941dc33670d4f9c9acdfeb5d483e0a25c1ad18541	CBuffAttr	DBAttribute	PcRefObject>Attribute>DBAttribute>CBuffAttr	PROVEN_EXACT	PARENT_NODE_GETTER	0x0101AE88	0x00C18688	.?AVCBuffAttr@@	0x00467620	0x00066A20	0x01084190	0x00BF69FC	0x0064A240	0x00BF69E0	0x00BF6A17	52de18249eaac4893f247183914d62de71e947ed40a3614a8c86fa96efb92262	Attribute.node_getter@de521a117646eda905dc19203984f79da1c4642bcaaaf414b9fa11c5b2f7a262;CBuffAttr.node_getter@124189b0b8d43ca60a79b26d5b6d549d2ab4cc14803dd77ed5c4b11c3fea368f;CBuffAttr.registration@52de18249eaac4893f247183914d62de71e947ed40a3614a8c86fa96efb92262;DBAttribute.node_getter@04602c34b325ca34f48af2ac5ef3d0e8305241825f1610652f71117a10cf4b21;DBAttribute.registration@5d15fd6acab058452fe321cee3db62f0b0510266b73df726348cd0fa869564f1;DBAttribute.type_descriptor@ac05b00a7391f37eebf623241b23ee218bac4f7c66014473fa9f5dacec7382e7;TypeNode.constructor@fbcc4f6cde7843646fa17b9ab4627748d013b27421ca80a8f82a67b6433da4f4	N/A	N/A	N/A	0x0064A441	9ac04bba0e0e16534661260d3a88790aad079bbd46a9dc237cbe0adda6a83801	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
78aa22da8a4ae9fe149b61c0106cc24e9acc6aa4273dd47e2e1567aea3781b89	CSkillAttr	DBAttribute	PcRefObject>Attribute>DBAttribute>CSkillAttr	PROVEN_EXACT	PARENT_NODE_GETTER	0x0101B1B8	0x00C189B8	.?AVCSkillAttr@@	0x00467620	0x00066A20	0x0108A320	0x00C0C56C	0x00751C60	0x00C0C550	0x00C0C587	02a5649e3f0fef7383dc3309210cddca2346dbd1fb56edccfcfc52d5ba05830d	Attribute.node_getter@de521a117646eda905dc19203984f79da1c4642bcaaaf414b9fa11c5b2f7a262;CSkillAttr.ctor@3abf69326a7a821bdecd8146e3e10094fbe17086eca54ead65b30124e905bcc4;CSkillAttr.deleting_dtor@18e812e6654411f822474f29150ab44eaaf78f6e7f70da044d2e46d490e7bf8e;CSkillAttr.dtor@60b43dc33a9f837be6aa294a299c1cf56d0d904d8dc6d320f4da3524b2169eda;CSkillAttr.id_registration@e783bd54d32e5afbe704c3b7aeaaab0e3f4e6ff6ac20785391c3cbdb0f6f86f1;CSkillAttr.node_constructor@fbcc4f6cde7843646fa17b9ab4627748d013b27421ca80a8f82a67b6433da4f4;CSkillAttr.node_getter@85786e3e8decbf74833d4dd03f9a6331222b29121bb6e0bd32724c014f392ba0;CSkillAttr.registration@02a5649e3f0fef7383dc3309210cddca2346dbd1fb56edccfcfc52d5ba05830d;CSkillAttr.type_descriptor@c074806367b94d63bd8c5892b2d714bc30710b6f2a41bd69e33535ac1290b757;CSkillAttr.vtable@6777057f24854ecdf7726e59b57ebff436d304cf4be925170c7a0942231963ba;DBAttribute.node_getter@04602c34b325ca34f48af2ac5ef3d0e8305241825f1610652f71117a10cf4b21;DBAttribute.registration@5d15fd6acab058452fe321cee3db62f0b0510266b73df726348cd0fa869564f1;DBAttribute.type_descriptor@ac05b00a7391f37eebf623241b23ee218bac4f7c66014473fa9f5dacec7382e7;TypeNode.constructor@fbcc4f6cde7843646fa17b9ab4627748d013b27421ca80a8f82a67b6433da4f4	0x00751B90..0x00751BEA	0x00751C00..0x00751C5E	0x00751BB8	0x007520C3	914dbeb4cb4e8958b1c5b6d929d6011db8ff7b0ce5a79a6dfbec40962fdf682b	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
