remaining_key	class	family	immediate_parent	parent_chain	parent_status	parent_evidence_key	priority	slot34_kind	codec_kind	codec_slot	codec_target_va	primary_table_size	next_vtable_va	next_vtable_class	boundary_status	detail_status	registry_site_va	id_global_va	getter_va	vtable_va	slot34_target_va	registry_stub_sha256	getter_sha256	vtable_span_sha256	registry_aggregate_sha256	vtable_aggregate_sha256	getter_aggregate_sha256	evidence_key	source	blocker	required_next_evidence	image_sha256
4a1dcf6aaf14a23b3857f428434a35221eba06c1d414c92f2565e701997f5b18	AccuseModule_Client	Module	Module	PcRefObject>Module>AccuseModule_Client	PROVEN_EXACT	5ed0424df5a221b5e8e7bfbfd3b69d4e2077ada0c61ab9110d4c39be8cc3f646	P2_NO_PAYLOAD	EMPTY_NO_PAYLOAD	EMPTY_NO_PAYLOAD	+0x34	0x004CD2F0	UNKNOWN_NOT_A_LENGTH_PROOF	NOT_WITHIN_AUDITED_0x38_WINDOW	N/A	NO_REGISTERED_VTABLE_BOUNDARY_THROUGH_OWN_PLUS_0x34	STRUCTURAL_CENSUS_ONLY	0x00C06F90	0x01088C60	0x00721E30	0x00F45278	0x004CD2F0	d9bc29537c0d30779f74064ec293b5ab9567df942054021e174a28562432af64	917297a30b55b7bb50cd12f2653c7c2e7769bb5fc4e652f138e39b076c66988b	2a88606e01598d9a429571999e04d9b46df18372c0d9208a378036aee49182e9	b025dc45edcdbd3957edea434c92b4b5a6375db0010ae441958752d84cf0e73d	1e5d7b1c3033dba0367f49f3948033d238ef95211e47c46b2cc7bef52ba31d50	f124f615463be43748fb0da96d27ed3d79180aa4cb1c6cacb3ade8e86ce4a1fd	313f1e1e7fdac2db14b0be223ad3274e8d448d55dcfdd26125035b2c9734bc2d	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
26dc79c6c90209e8a934be7a970f278bb2f873f3b9c5f9415dc0c2bf652848f2	ActivityModule_Client	Module	ClientModule	PcRefObject>Module>ClientModule>ActivityModule_Client	PROVEN_EXACT	a9c938632654f8d02cf4446d39c646878064f3bf2f3876538c8a978f192e28cf	P1_BINDER_OR_ACCESSOR	NON_CODEC_ROUTINE	NON_CODEC_ROUTINE	+0x34	0x0069DDC0	UNKNOWN_NOT_A_LENGTH_PROOF	NOT_WITHIN_AUDITED_0x38_WINDOW	N/A	NO_REGISTERED_VTABLE_BOUNDARY_THROUGH_OWN_PLUS_0x34	PROVED_NON_WIRE_PROPERTY_REGISTRAR	0x00BFDAB0	0x01086464	0x0069EE30	0x00F3C7E8	0x0069DDC0	2c0cf5974a6b5306e114e735b1ea463eb9fa22abf02227547112cd4d81561154	f2fc60b0c8ca1c1d9bf740c85d933a84fe9e691dc4cfb25e4ac62766225185f7	9d1604f75fd11e1f6d8586374d242c5a44628fdaf411c05768c30538327a9261	b025dc45edcdbd3957edea434c92b4b5a6375db0010ae441958752d84cf0e73d	1e5d7b1c3033dba0367f49f3948033d238ef95211e47c46b2cc7bef52ba31d50	f124f615463be43748fb0da96d27ed3d79180aa4cb1c6cacb3ade8e86ce4a1fd	9d6bfede31a0355d5ec54932f6b1bb990968e193b132699a2197bd32cb18ad0a	IMAGE		slot +0x34 has been proved as a non-wire module routine; see inheritance and UI/DATA bindings	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
33ecf802bc03f2ec51adefcc99499865bdf0a6b857ad81d86b94766916429353	ActorCommunityDataSet	DataSet	DBAttribute	PcRefObject>Attribute>DBAttribute>ActorCommunityDataSet	PROVEN_EXACT	3626a9e02bbae72ab4ddbbb0096327986857b96ac8d37c61b92137e8478713b3	P3_RECOVERY	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	STRUCTURAL_CENSUS_ONLY	0x00BF5010	0x01083C6C	UNKNOWN	UNKNOWN	UNKNOWN	05f84e35dc37395ea7d5cc4eec7fc2a8b82ade71b8cf914305960f8f4b49e878	N/A	N/A	b025dc45edcdbd3957edea434c92b4b5a6375db0010ae441958752d84cf0e73d	N/A	N/A	9a851a5ee659df9196f4275a647f23e772e9bb136080e28eb635f8cce85db3f1	IMAGE	getter/vtable link remains unresolved; immediate parent is proved separately	recover an exact getter/table or runtime DUMP identity as a separate source	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
24c2b80fae4aa0bff144461f86e5a42945397189730ff584936b75961d9522a5	ActorEffectsModule_Client	Module	Module	PcRefObject>Module>ActorEffectsModule_Client	PROVEN_EXACT	b638ec85ecbec1c28b3f3671825d5b3b4cddb6ca590c92c2a65fc179ff9cabf0	P2_NO_PAYLOAD	EMPTY_NO_PAYLOAD	EMPTY_NO_PAYLOAD	+0x34	0x004CD2F0	UNKNOWN_NOT_A_LENGTH_PROOF	NOT_WITHIN_AUDITED_0x38_WINDOW	N/A	NO_REGISTERED_VTABLE_BOUNDARY_THROUGH_OWN_PLUS_0x34	STRUCTURAL_CENSUS_ONLY	0x00C0A360	0x0108995C	0x0073A380	0x00F475D8	0x004CD2F0	5016124b6d3c32353b98823bdbc6511cd7fbb5253233e8830e068d654f3979a4	aded127bc608b22ebf0d04a1b7c5105acd471bc9a0fb30c39041193739da0e3f	747745d750954139d502252e77cd226d29ac0286dfc1699f4cc492be1c251529	b025dc45edcdbd3957edea434c92b4b5a6375db0010ae441958752d84cf0e73d	1e5d7b1c3033dba0367f49f3948033d238ef95211e47c46b2cc7bef52ba31d50	f124f615463be43748fb0da96d27ed3d79180aa4cb1c6cacb3ade8e86ce4a1fd	4b3f30c9ff97a21246bf168200ee7f4e4da0e1fce594138538b9cd73d2b9c6a1	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
9d69e41842b5f225be523940431867e4fe666e6e85ac0b5888df8474cddfad67	ActorGatheringInfoAttr	AttrRelated	Attribute	PcRefObject>Attribute>ActorGatheringInfoAttr	PROVEN_EXACT	2689c35c6cb1864718c3c32a244f6d024d850a7b01eaeb781ff2030a0b9ef0fe	P0_STATE_CODEC	PAIRED_W_R_FIELD_CODEC	PAIRED_W_R_FIELD_CODEC	+0x34	0x0072B850	UNKNOWN_NOT_A_LENGTH_PROOF	NOT_WITHIN_AUDITED_0x38_WINDOW	N/A	NO_REGISTERED_VTABLE_BOUNDARY_THROUGH_OWN_PLUS_0x34	DECODED_IN_OBJECT_WORLD_OVERLAY	0x00BFD380	0x0108633C	0x00699B90	0x00F3C1F8	0x0072B850	57b5ccc388b7aee5cbd3c73d132df59f75d7bea577b6acb238d417c9d7691be9	e8d91ce121be6e86791b3bcfec459ebd681ebfb1cd9c3dcb2f42cbb941c2dc33	b4845dd8b7688d5f4911e741e2c3025b79d39ce5041bbc145e1e7c074f6b6e82	b025dc45edcdbd3957edea434c92b4b5a6375db0010ae441958752d84cf0e73d	1e5d7b1c3033dba0367f49f3948033d238ef95211e47c46b2cc7bef52ba31d50	f124f615463be43748fb0da96d27ed3d79180aa4cb1c6cacb3ade8e86ce4a1fd	3f00627bec5100c70fda1fa27e3200661f2fe2eab114a44bfeba5d6ae2cb4fc2	IMAGE		see PF_ATTR_FIELD_SEMANTICS.tsv and PF_ATTR_CONTAINER_SEMANTICS.tsv	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
e92d2fa08d0c63b5ad58199e9cf7b1be325ade75e121fbddd6c397bd9c44e8ba	ActorLearnedPetsSkillData	AttrRelated	DBAttribute	PcRefObject>Attribute>DBAttribute>ActorLearnedPetsSkillData	PROVEN_EXACT	399e229c2d4f60b255b39daef3822027e77fbe5d69c678ef6c46a1cd3411a57e	P0_STATE_CODEC	PAIRED_W_R_FIELD_CODEC	PAIRED_W_R_FIELD_CODEC	+0x34	0x006FDF60	UNKNOWN_NOT_A_LENGTH_PROOF	NOT_WITHIN_AUDITED_0x38_WINDOW	N/A	NO_REGISTERED_VTABLE_BOUNDARY_THROUGH_OWN_PLUS_0x34	DECODED_IN_PET_ACTIVITY_OVERLAY	0x00C04330	0x01088290	0x006FE5F0	0x00F421C8	0x006FDF60	768d2e95be4fbc3c093d4973bea2bc4ea5b54171d6c73076109d2e276c0319b6	1416e1fb55b8fe17a8c1165c59bbc73a78553b78a67fd514b3d0d59e58617e22	5f70605f23770301daf365beb60e79f8a930bce384ea5bdfced021160d40c02a	b025dc45edcdbd3957edea434c92b4b5a6375db0010ae441958752d84cf0e73d	1e5d7b1c3033dba0367f49f3948033d238ef95211e47c46b2cc7bef52ba31d50	f124f615463be43748fb0da96d27ed3d79180aa4cb1c6cacb3ade8e86ce4a1fd	b2634554ce0cad085ce5425d81473596c471a856a31b9e744f8e857fa301a02e	IMAGE		see PF_ATTR_FIELD_SEMANTICS.tsv and PF_ATTR_CONTAINER_SEMANTICS.tsv	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
649a1f911d2e2fe86d4530fd188bf4898384700946954d64c69e347c5ec16f9b	ActorPetsCommonAttr	AttrRelated	DBAttribute	PcRefObject>Attribute>DBAttribute>ActorPetsCommonAttr	PROVEN_EXACT	4a6171849c9d75b0e8692611e4cf4a64bd487743201f9cc635607e7c0b3a9b79	P3_RECOVERY	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	STRUCTURAL_CENSUS_ONLY	0x00C03EE0	0x01087FE8	UNKNOWN	UNKNOWN	UNKNOWN	a39689b7dc21848fc7b5bd31750084ac2982faec7dd61ff450acf34715de02d6	N/A	N/A	b025dc45edcdbd3957edea434c92b4b5a6375db0010ae441958752d84cf0e73d	N/A	N/A	75e41ef1bdf89baedacd4fcf7f55fc02b5c0ca2c3a2dc42ad0316d675618842c	IMAGE	getter/vtable link remains unresolved; immediate parent is proved separately	recover an exact getter/table or runtime DUMP identity as a separate source	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
52823a24f76247ca4b849ce7cbfb07068898ba10216f9bd2bb7ab796b2184492	ActorTreasureHuntExcavatingInfoAttr	AttrRelated	Attribute	PcRefObject>Attribute>ActorTreasureHuntExcavatingInfoAttr	PROVEN_EXACT	998dd15918a393b0d1fc4eb65e6bbf5b13c4b151cf954723de58159231ced6fd	P0_STATE_CODEC	PAIRED_W_R_FIELD_CODEC	PAIRED_W_R_FIELD_CODEC	+0x34	0x0072B850	UNKNOWN_NOT_A_LENGTH_PROOF	NOT_WITHIN_AUDITED_0x38_WINDOW	N/A	NO_REGISTERED_VTABLE_BOUNDARY_THROUGH_OWN_PLUS_0x34	DECODED_IN_OBJECT_WORLD_OVERLAY	0x00C08A50	0x01089178	0x0072B670	0x00F466D0	0x0072B850	9cd5d6ffc9a255dcb00e3a0bbd9342409b83a70d1c65076a8349280e7e878664	06aea29607331e0d8f144a248e603cacee3a625e93bd6116a81c72b71f71508f	f578d53a9b3c4ab681c8adc7d3c90adc01139b7656b0eb62c6ec754b968cd0b2	b025dc45edcdbd3957edea434c92b4b5a6375db0010ae441958752d84cf0e73d	1e5d7b1c3033dba0367f49f3948033d238ef95211e47c46b2cc7bef52ba31d50	f124f615463be43748fb0da96d27ed3d79180aa4cb1c6cacb3ade8e86ce4a1fd	511bdf230a8f67827b8af16752239c79e2bed5a81c10b17c57ef47f8f0241dbd	IMAGE		see PF_ATTR_FIELD_SEMANTICS.tsv and PF_ATTR_CONTAINER_SEMANTICS.tsv	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
3e0c0f4b186bc0edb240af9125512325421115b558db0d8fda2a241537c61386	AppraisalModule_Client	Module	Module	PcRefObject>Module>AppraisalModule_Client	PROVEN_EXACT	7418bc1449d54af193d9025898ea235bcd59db7a812325aa96465c6ee12e6d17	P2_NO_PAYLOAD	EMPTY_NO_PAYLOAD	EMPTY_NO_PAYLOAD	+0x34	0x004CD2F0	UNKNOWN_NOT_A_LENGTH_PROOF	NOT_WITHIN_AUDITED_0x38_WINDOW	N/A	NO_REGISTERED_VTABLE_BOUNDARY_THROUGH_OWN_PLUS_0x34	STRUCTURAL_CENSUS_ONLY	0x00BFEC80	0x010867B8	0x006A7E70	0x00F3D408	0x004CD2F0	f0771571bd51a26efc00514961f6e4c4cfbec04c8fe933e63fe51994560c818f	3c1e10313c917b5dfbc1ce7d253064f52cd294c3f7a77ec0107d8b698f334e97	cf04e722db13cbda0a6a8bd1d6bbb9e57c685cf6ebbbb642d4d65ae9c53c6ce7	b025dc45edcdbd3957edea434c92b4b5a6375db0010ae441958752d84cf0e73d	1e5d7b1c3033dba0367f49f3948033d238ef95211e47c46b2cc7bef52ba31d50	f124f615463be43748fb0da96d27ed3d79180aa4cb1c6cacb3ade8e86ce4a1fd	6c5f443f6d547be55e3a58c46906fa290428969a61882b21e5dae520bcaa1369	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
bd27f9b77a277e7e4c780706e3d6004bf080e71c74dd3fdeb4696752bd60e485	ArenaModule_Client	Module	Module	PcRefObject>Module>ArenaModule_Client	PROVEN_EXACT	d48f488e5ee55eeb2cc1cadd8b54f3bce6e0abf6f7154827f396eaf2b54f2bf6	P2_NO_PAYLOAD	EMPTY_NO_PAYLOAD	EMPTY_NO_PAYLOAD	+0x34	0x004CD2F0	UNKNOWN_NOT_A_LENGTH_PROOF	NOT_WITHIN_AUDITED_0x38_WINDOW	N/A	NO_REGISTERED_VTABLE_BOUNDARY_THROUGH_OWN_PLUS_0x34	STRUCTURAL_CENSUS_ONLY	0x00BF4460	0x01083950	0x006305E0	0x00F34B30	0x004CD2F0	ef27d17364e82849a8a8dff16baef163ff9da1d5723cfacee7a8a1f6524555f8	46f836ac960eae925bca07436db3dddc4f3cd904eabaae5e7a9ab69ea15a2801	c563fe2d4ba2e2c58c1a000096dbc3363ec89bd6a66fd6a6c95f74a1ed48e09f	b025dc45edcdbd3957edea434c92b4b5a6375db0010ae441958752d84cf0e73d	1e5d7b1c3033dba0367f49f3948033d238ef95211e47c46b2cc7bef52ba31d50	f124f615463be43748fb0da96d27ed3d79180aa4cb1c6cacb3ade8e86ce4a1fd	f244d21498f7ac19a699a59c3d183aee0342d13aa1839c072f2d2ec3d27970fa	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
