binding_key	owner_class	refresh_va	widget_offset	getter_va	semantic_name	value_kind	presence_gate_offset	literal_widget_name	literal_widget_name_status	semantic_status	evidence_span_start	evidence_span_end	evidence_span_sha256	evidence_key	source	blocker	required_next_evidence	image_sha256
3f599950f277cf22dcd960dd06267db8929a9da2c0ac44561d52c39de6b389fc	FightAttr	0x006CFC90	0x13C	0x00467E60	run_speed	i32	ALWAYS	UNKNOWN	UNKNOWN	PROVEN_EXACT	0x006CFC90	0x006D02CC	82fe1b85abbec568d4db93a63f549f5749142da8e074b8144d9f5fc774d50007	667a2772be71bbe4fa496f119e18708b7414a3d278d864f3af972fc74d6383d7	IMAGE	literal UI control names are not present in the proved IMAGE path	exact DATA model binding for each widget offset, kept as a separate DATA row	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
affad6c26cdb632d2f19427086e27daf7814779073f21e457a4140accf806119	FightAttr	0x006CFC90	0x140	0x00468340	ac_magic	i32	ALWAYS	UNKNOWN	UNKNOWN	PROVEN_EXACT	0x006CFC90	0x006D02CC	82fe1b85abbec568d4db93a63f549f5749142da8e074b8144d9f5fc774d50007	e51929564673812cf2801d39d57bef45679b4da41f02287c5ea1f7b9e8b626fc	IMAGE	literal UI control names are not present in the proved IMAGE path	exact DATA model binding for each widget offset, kept as a separate DATA row	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
3ad1b60d664077fa48295c7d6d3b2beb5f777fc814a36b60e06f0c1dab8b67a5	FightAttr	0x006CFC90	0x144	0x00468250	ac_physics	i32	ALWAYS	UNKNOWN	UNKNOWN	PROVEN_EXACT	0x006CFC90	0x006D02CC	82fe1b85abbec568d4db93a63f549f5749142da8e074b8144d9f5fc774d50007	b66a824654147dae3cc38c2ea3b7f2c6af8d8d249b188b24c8d96084084197a2	IMAGE	literal UI control names are not present in the proved IMAGE path	exact DATA model binding for each widget offset, kept as a separate DATA row	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
e22016d33b26d9fe2abc8b668377268cb86d24cc9b6035454d952a2e6a0fc378	FightAttr	0x006CFC90	0x148	0x00467F80	dammin_magic	i32	ALWAYS	UNKNOWN	UNKNOWN	PROVEN_EXACT	0x006CFC90	0x006D02CC	82fe1b85abbec568d4db93a63f549f5749142da8e074b8144d9f5fc774d50007	ab4e19baa0d3ff2fd84a92a0130b2d9df26e436df0fa8da21a796507b91ab8aa	IMAGE	literal UI control names are not present in the proved IMAGE path	exact DATA model binding for each widget offset, kept as a separate DATA row	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
1cec3021c1bc0c62d85e50894d1e6cdaa1097439a66ca20d1f3bf8b192459c34	FightAttr	0x006CFC90	0x14C	0x00467E90	dammin_physics	i32	ALWAYS	UNKNOWN	UNKNOWN	PROVEN_EXACT	0x006CFC90	0x006D02CC	82fe1b85abbec568d4db93a63f549f5749142da8e074b8144d9f5fc774d50007	0a6effcfcf21ad551327baa74a6d9fd6a2094ca9d9df99d225346de56d237006	IMAGE	literal UI control names are not present in the proved IMAGE path	exact DATA model binding for each widget offset, kept as a separate DATA row	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
ec6332d72f80c510e85e22dfadc4f4be23526f75847686d47ef818700c9d764b	FightAttr	0x006CFC90	0x1B0	0x00468070	damplus_physics	i32	0x1A8	UNKNOWN	UNKNOWN	PROVEN_EXACT	0x006CFC90	0x006D02CC	82fe1b85abbec568d4db93a63f549f5749142da8e074b8144d9f5fc774d50007	de4788aa67ce0ec461f3e6d122c8284dae6cbb900ef22936b3a492261aa6d562	IMAGE	literal UI control names are not present in the proved IMAGE path	exact DATA model binding for each widget offset, kept as a separate DATA row	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
0d4f00188d2105ac28c04c3766cf1f85fd6183dd8f79638eca0f224123927dba	FightAttr	0x006CFC90	0x1B4	0x00468160	damplus_magic	i32	0x1A8	UNKNOWN	UNKNOWN	PROVEN_EXACT	0x006CFC90	0x006D02CC	82fe1b85abbec568d4db93a63f549f5749142da8e074b8144d9f5fc774d50007	00b662fedf785298e8321963c91beec58ec1d799877d5bae0ce9de38523f2a1d	IMAGE	literal UI control names are not present in the proved IMAGE path	exact DATA model binding for each widget offset, kept as a separate DATA row	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
77e9809d08075909200ed0355b53f459317c7856613df9ab26a30f15838b90c8	FightAttr	0x006CFC90	0x1B8	0x00468610	penetrate_physics	i32	0x1A8	UNKNOWN	UNKNOWN	PROVEN_EXACT	0x006CFC90	0x006D02CC	82fe1b85abbec568d4db93a63f549f5749142da8e074b8144d9f5fc774d50007	1edca5df18dc592dd11700aa595621cc87debe712a805389b612a2235a72d808	IMAGE	literal UI control names are not present in the proved IMAGE path	exact DATA model binding for each widget offset, kept as a separate DATA row	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
b6e7dcb56c2ba3fd689916036e27d92e8116e8e56ff6b449fc2f792b036c22b8	FightAttr	0x006CFC90	0x1BC	0x00468700	penetrate_magic	i32	0x1A8	UNKNOWN	UNKNOWN	PROVEN_EXACT	0x006CFC90	0x006D02CC	82fe1b85abbec568d4db93a63f549f5749142da8e074b8144d9f5fc774d50007	3dc29734361f0def2ec918c469d3cc3fc11ffa6cb8720b82c0e645a73d0e078b	IMAGE	literal UI control names are not present in the proved IMAGE path	exact DATA model binding for each widget offset, kept as a separate DATA row	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
69ec30a905016365c0ad393698b7cba3b4b72bd083bd77a7cecfc768eb92ecf9	FightAttr	0x006CFC90	0x1C0	0x004687F0	hitrate	f32	0x1A8	UNKNOWN	UNKNOWN	PROVEN_EXACT	0x006CFC90	0x006D02CC	82fe1b85abbec568d4db93a63f549f5749142da8e074b8144d9f5fc774d50007	4e2c1dcc0f271749c25c3d2b8998bd64b87684c1feab850c0d11b3eafb9d3074	IMAGE	literal UI control names are not present in the proved IMAGE path	exact DATA model binding for each widget offset, kept as a separate DATA row	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
13a1e1c7c4be95578fd93d9aec98c3daefe749c909970401d22b71d2ef7edf20	FightAttr	0x006CFC90	0x1C4	0x00468970	powerhit	f32	0x1A8	UNKNOWN	UNKNOWN	PROVEN_EXACT	0x006CFC90	0x006D02CC	82fe1b85abbec568d4db93a63f549f5749142da8e074b8144d9f5fc774d50007	d5cbd3d60118bf486bb45bb64e5fdad0af28bffbbe0d6669f5b326b2bcf356c5	IMAGE	literal UI control names are not present in the proved IMAGE path	exact DATA model binding for each widget offset, kept as a separate DATA row	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
030d0acc04b4116496b3f5a02a0eb2375b8639a3fc3a5658f847f44f2e3042b9	FightAttr	0x006CFC90	0x1C8	0x00468E30	overhit	f32	0x1A8	UNKNOWN	UNKNOWN	PROVEN_EXACT	0x006CFC90	0x006D02CC	82fe1b85abbec568d4db93a63f549f5749142da8e074b8144d9f5fc774d50007	cfca1fed745163d8e4858b3264e58c61ba0af45fd335015b37120bc2e3ffcd83	IMAGE	literal UI control names are not present in the proved IMAGE path	exact DATA model binding for each widget offset, kept as a separate DATA row	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
154e78f2e88b9649e5a0c8e2a57cbc03c2aa6d24d53167e15fa26e55ad505be6	FightAttr	0x006CFC90	0x1CC	0x00468D90	bypass	f32	0x1A8	UNKNOWN	UNKNOWN	PROVEN_EXACT	0x006CFC90	0x006D02CC	82fe1b85abbec568d4db93a63f549f5749142da8e074b8144d9f5fc774d50007	0f2a4dfc04f8e2349eea34f7c96563064dcfe19313088e31ab97aa722edf773b	IMAGE	literal UI control names are not present in the proved IMAGE path	exact DATA model binding for each widget offset, kept as a separate DATA row	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
d5eb3a07af17b2e6c375d52972febcc66eddaba246a5c1921bbe8f7b451be290	FightAttr	0x006CFC90	0x1D0	0x00468AD0	multiply_powerdam	f32	0x1A8	UNKNOWN	UNKNOWN	PROVEN_EXACT	0x006CFC90	0x006D02CC	82fe1b85abbec568d4db93a63f549f5749142da8e074b8144d9f5fc774d50007	a8196bcb8653cf2b385e8cbd1faa3aa5d53a2692b172938c925a1c779a1d4f76	IMAGE	literal UI control names are not present in the proved IMAGE path	exact DATA model binding for each widget offset, kept as a separate DATA row	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
806df5d3d3426e1e1e4efcd8f256fe7c58ad0b0d36d4614a318cf798c1b43ea8	FightAttr	0x006CFC90	0x1D4	0x00468430	absorb_physics	i32	0x1A8	UNKNOWN	UNKNOWN	PROVEN_EXACT	0x006CFC90	0x006D02CC	82fe1b85abbec568d4db93a63f549f5749142da8e074b8144d9f5fc774d50007	38111063f659f371d7abbed7140f64e895c8f86b48ed82439dee51fec59394f4	IMAGE	literal UI control names are not present in the proved IMAGE path	exact DATA model binding for each widget offset, kept as a separate DATA row	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
4dbf3c9d69d35ec21307d29a120a00736304f8df8799c979424e7ef39b2423fe	FightAttr	0x006CFC90	0x1D8	0x00468520	absorb_magic	i32	0x1A8	UNKNOWN	UNKNOWN	PROVEN_EXACT	0x006CFC90	0x006D02CC	82fe1b85abbec568d4db93a63f549f5749142da8e074b8144d9f5fc774d50007	66dcdfdeef988ee77ab17cb2b7fc8962939f0f2742bfb387493d6f9851ff2266	IMAGE	literal UI control names are not present in the proved IMAGE path	exact DATA model binding for each widget offset, kept as a separate DATA row	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
8980861ef8552731202ef34e13a1e200abff8a137df950a1635580c5f9307036	FightAttr	0x006CFC90	0x1DC	0x004688B0	dodge	f32	0x1A8	UNKNOWN	UNKNOWN	PROVEN_EXACT	0x006CFC90	0x006D02CC	82fe1b85abbec568d4db93a63f549f5749142da8e074b8144d9f5fc774d50007	772adbe6668052e42a1d05197da7975b60c42e5606910469831b209a38c5ae59	IMAGE	literal UI control names are not present in the proved IMAGE path	exact DATA model binding for each widget offset, kept as a separate DATA row	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
f190442dc926edd40cc9c505250c2e45859aaf106fe321a59ea91d589a8cec53	FightAttr	0x006CFC90	0x1E0	0x00468A20	anti_powerhit	f32	0x1A8	UNKNOWN	UNKNOWN	PROVEN_EXACT	0x006CFC90	0x006D02CC	82fe1b85abbec568d4db93a63f549f5749142da8e074b8144d9f5fc774d50007	8e9548d7822c5d65b3616c517d62d8a03e7b7e6dc886082a036007fda0f0aa57	IMAGE	literal UI control names are not present in the proved IMAGE path	exact DATA model binding for each widget offset, kept as a separate DATA row	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
0f96ba713ca17672ac82d633d5177d67218b036c03772938f9fe402dd23cb3db	FightAttr	0x006CFC90	0x1E4	0x00468B70	absorb_powerdam	f32	0x1A8	UNKNOWN	UNKNOWN	PROVEN_EXACT	0x006CFC90	0x006D02CC	82fe1b85abbec568d4db93a63f549f5749142da8e074b8144d9f5fc774d50007	59154cf311b36504b01b0f6988ed31f0dff233460901e22ad052618e1607b3e5	IMAGE	literal UI control names are not present in the proved IMAGE path	exact DATA model binding for each widget offset, kept as a separate DATA row	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
57285ee213cbe568518a37439ff3680b7da89937e772f4d3f78b8f159b14f663	FightAttr	0x006CFC90	0x1E8	0x00468CF0	blockrate	f32	0x1A8	UNKNOWN	UNKNOWN	PROVEN_EXACT	0x006CFC90	0x006D02CC	82fe1b85abbec568d4db93a63f549f5749142da8e074b8144d9f5fc774d50007	693f1fa729edee1d997042639f9b45ef9520a48b00ad8f07ab845d522c9fa11b	IMAGE	literal UI control names are not present in the proved IMAGE path	exact DATA model binding for each widget offset, kept as a separate DATA row	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
447f24613d181ceacdb08d41b7aface8abccf82e7cb946fc3a3f70f5757d459a	FightAttr	0x006CFC90	0x1EC	0x00468C10	absorb_shield	f32	0x1A8	UNKNOWN	UNKNOWN	PROVEN_EXACT	0x006CFC90	0x006D02CC	82fe1b85abbec568d4db93a63f549f5749142da8e074b8144d9f5fc774d50007	47a5c790710dd52de99c528bc6b43427d446fdc39b7aeff341aac05ec0e504ba	IMAGE	literal UI control names are not present in the proved IMAGE path	exact DATA model binding for each widget offset, kept as a separate DATA row	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
115fc4f29e9ba1eeed78916c5958f92e014dbc38e4f9a81f247e208683720190	ActivityModule_Client	0x005D5870	0x18	N/A	activity_jewel_radio_control	UI_CONTROL_POINTER	ALWAYS	RADIOBUTTON_JEWEL	PROVEN_EXACT	PROVEN_EXACT	0x005D5870	0x005D5957	24a1d8613401f95c235dbd61dc110e9b677291ffd844d0cc67a3279bbf136b4a	cacbd080a4cb5f835ff2526f566d50e6d41d92ec6dfa021eb897d0d8d8353b79	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
b104c510add715ba2156ebf64d0eda8925187920fcc21e9de5f6860e95ce41fd	ActivityModule_Client	0x005D5870	0x14	N/A	activity_link_radio_control	UI_CONTROL_POINTER	ALWAYS	RADIOBUTTON_LINK	PROVEN_EXACT	PROVEN_EXACT	0x005D5870	0x005D5957	24a1d8613401f95c235dbd61dc110e9b677291ffd844d0cc67a3279bbf136b4a	5166616bff38afaefc684576b20de06b803ab79c6658e9f5b45c7b449a170bef	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
67a0fbbbc432b1479d8184fbbf0ecdd5804326df070553a797116bd0fc4139af	ActivityModule_Client	0x005D5870	0x1C	N/A	activity_puzzle_radio_control	UI_CONTROL_POINTER	ALWAYS	RADIOBUTTON_PUZZLE	PROVEN_EXACT	PROVEN_EXACT	0x005D5870	0x005D5957	24a1d8613401f95c235dbd61dc110e9b677291ffd844d0cc67a3279bbf136b4a	a7c7256a10830d3c0a761bea1306e2e40d7a0372c06866b7435c6150a82687fe	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
1037385a1d6b13948d9aa290aa824eba7c8570b3dda50f2cd68180666b407758	ActivityModule_Client	0x005D5870	0x20	N/A	activity_ok_button_control	UI_CONTROL_POINTER	ALWAYS	BUTTON_OK	PROVEN_EXACT	PROVEN_EXACT	0x005D5870	0x005D5957	24a1d8613401f95c235dbd61dc110e9b677291ffd844d0cc67a3279bbf136b4a	9f3e86348cdec48985a0ed1a4d59282b93e4e9dcf54efb9c283b2b537edb2c22	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
