unresolved_kind	class	scope_status	blocker_head	row_count
OPEN_CONFLICT_WORK_ITEM	UNKNOWN_ITEMBAG_FAMILY_MEMBER	N/A	OPEN_REDERIVED_IMAGE_CONFLICT	398
OPEN_CONFLICT_WORK_ITEM	ActorAttr	N/A	OPEN_REDERIVED_IMAGE_CONFLICT	36
CONCRETE_CONSUMER_CLASS_UNKNOWN	AvatarAttr	UNKNOWN	scope	34
OPEN_CONFLICT_WORK_ITEM	ItemVaryAttr	N/A	OPEN_REDERIVED_IMAGE_CONFLICT	28
OPEN_CONFLICT_WORK_ITEM	ItemAttr	N/A	OPEN_REDERIVED_IMAGE_CONFLICT	26
CONCRETE_CONSUMER_CLASS_UNKNOWN	ActorAttr	UNKNOWN	scope	24
OPEN_CONFLICT_WORK_ITEM	CSkillAttr	N/A	OPEN_REDERIVED_IMAGE_CONFLICT	21
ROLE_PROVED_BROADER_IDENTITY_OPEN	PetAttr	PROVEN_EXACT	the structural/consumer role is exact but a unique broader g	18
CONCRETE_CONSUMER_AND_SEMANTIC_OPEN	ActorAttr	UNKNOWN	scope	14
CONCRETE_CONSUMER_CLASS_UNKNOWN	MovementAttr	UNKNOWN	scope	14
ROLE_PROVED_BROADER_IDENTITY_OPEN	CVehicleAttr	PROVEN_EXACT	the structural/consumer role is exact but a unique broader g	12
CONCRETE_CONSUMER_CLASS_UNKNOWN	ItemAttr	UNKNOWN	scope	12
CONCRETE_CONSUMER_CLASS_UNKNOWN	NPCAttr	UNKNOWN	scope	10
CONCRETE_CONSUMER_AND_SEMANTIC_OPEN	SummonedPetAttr	UNKNOWN	scope	10
CONCRETE_CONSUMER_AND_SEMANTIC_OPEN	CAchievementsAttr.ListChild	UNKNOWN	scope	8
CONCRETE_CONSUMER_AND_SEMANTIC_OPEN	ItemBagAttr	UNKNOWN	scope	8
FIELD_GAMEPLAY_SEMANTIC_UNKNOWN	PetAttr	PROVEN_EXACT	no unique non-codec gameplay producer or consumer was proved	8
OPEN_REDERIVED_IMAGE_CONFLICT	ItemAttr	PROVEN_EXACT	open conflict(s)	7
CONCRETE_CONSUMER_AND_SEMANTIC_OPEN	AvatarAttr	UNKNOWN	scope	6
ROLE_PROVED_BROADER_IDENTITY_OPEN	BackpackAttr	PROVEN_EXACT	gameplay identity is not uniquely bound to Data or an exact 	6
CONCRETE_CONTAINER_RECORD_CLASS_AND_SEMANTIC_OPEN	CBuffWireRecord	UNKNOWN	scope	6
ROLE_PROVED_BROADER_IDENTITY_OPEN	CGuildStorageAttr	PROVEN_EXACT	gameplay identity is not uniquely bound to Data or an exact 	6
CONCRETE_CONSUMER_CLASS_UNKNOWN	CSkillAttr	UNKNOWN	scope	6
ROLE_PROVED_BROADER_IDENTITY_OPEN	CollectionBagAttr	PROVEN_EXACT	gameplay identity is not uniquely bound to Data or an exact 	6
ROLE_PROVED_BROADER_IDENTITY_OPEN	ExpressBagAttr	PROVEN_EXACT	gameplay identity is not uniquely bound to Data or an exact 	6
ROLE_PROVED_BROADER_IDENTITY_OPEN	ItemBagAttr_Equiped	PROVEN_EXACT	gameplay identity is not uniquely bound to Data or an exact 	6
ROLE_PROVED_BROADER_IDENTITY_OPEN	ItemMallBagAttr	PROVEN_EXACT	gameplay identity is not uniquely bound to Data or an exact 	6
ROLE_PROVED_BROADER_IDENTITY_OPEN	NavigationExAttr	PROVEN_EXACT	the structural/consumer role is exact but a unique broader g	6
CONCRETE_CONTAINER_RECORD_CLASS_AND_SEMANTIC_OPEN	ResidentEffectWireRecord	UNKNOWN	scope	6
ROLE_PROVED_BROADER_IDENTITY_OPEN	StorageAttr	PROVEN_EXACT	gameplay identity is not uniquely bound to Data or an exact 	6
