batch_id	relative_path	size	sha256	content_class	canonical_relative_path	claim_eligible	exclusion_reason	parse_disposition	recognized_block_count	block_error_count	verification	source
CAPTURE-DELTA-20260830-0001	capture_adhocprobe_20260827_212411/capture_v141/GAME_20260827_212521_090231_56722.txt	11621184	c4453ea74efb511836d6dd0d25d166bf11369952c7642d5f0cae7db6261a9594	UNIQUE_NEW_CONTENT	capture_adhocprobe_20260827_212411/capture_v141/GAME_20260827_212521_090231_56722.txt	YES	NONE	RECOGNIZED_PACKET_BLOCKS	5063	0	SIZE_SHA256_VERIFIED_TWICE	CAPTURE
CAPTURE-DELTA-20260830-0002	capture_adhocprobe_20260827_212411/capture_v141/GAME_EVENTS_LIVE.txt	147057	743309fea5850a2f3e729a9c6334148cfb8d167d940349b600a5cbe1d8841b53	UNIQUE_NEW_CONTENT	capture_adhocprobe_20260827_212411/capture_v141/GAME_EVENTS_LIVE.txt	YES	NONE	NO_RECOGNIZED_PACKET_BLOCKS	0	0	SIZE_SHA256_VERIFIED_TWICE	CAPTURE
CAPTURE-DELTA-20260830-0003	capture_adhocprobe_20260827_212411/capture_v141/GAME_LIVE.txt	1188739	b9119b65d972d9e4058532564cadf35c663168fe6e3405a2f6327b13abab458f	UNIQUE_NEW_CONTENT	capture_adhocprobe_20260827_212411/capture_v141/GAME_LIVE.txt	YES	NONE	NO_RECOGNIZED_PACKET_BLOCKS	0	0	SIZE_SHA256_VERIFIED_TWICE	CAPTURE
CAPTURE-DELTA-20260830-0004	capture_adhocprobe_20260827_212411/capture_v141/LOGIN_20260827_212446_022434_50447.txt	2326	bad0e0e203261b9ed6f09ccce67118a1dc8e9a702a7ea08c796121c2b5376245	UNIQUE_NEW_CONTENT	capture_adhocprobe_20260827_212411/capture_v141/LOGIN_20260827_212446_022434_50447.txt	YES	NONE	RECOGNIZED_PACKET_BLOCKS	2	0	SIZE_SHA256_VERIFIED_TWICE	CAPTURE
CAPTURE-DELTA-20260830-0005	capture_adhocprobe_20260827_212411/server_console_live.err.txt	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	DUPLICATE_BASELINE_CONTENT	capture_action_consumer/scene008_ea7d_consumer_20260816_004142.stdout.txt	NO	SHA256_ALREADY_IN_V1	NO_RECOGNIZED_PACKET_BLOCKS	0	0	SIZE_SHA256_VERIFIED_TWICE	CAPTURE
CAPTURE-DELTA-20260830-0006	capture_adhocprobe_20260827_212411/server_console_live.out.txt	2469837	d9f861218030e853ad5c2a6dd4a20afcbbcdc2f91c862152433ae7fbcc2a7b2b	UNIQUE_NEW_CONTENT	capture_adhocprobe_20260827_212411/server_console_live.out.txt	YES	NONE	NO_RECOGNIZED_PACKET_BLOCKS	0	0	SIZE_SHA256_VERIFIED_TWICE	CAPTURE
CAPTURE-DELTA-20260830-0007	capture_b131151_20260830_000043/capture_v141/GAME_20260830_000202_493910_50398.txt	3035466	5d9dab3b70e83755a3ace99178356856d65aecf92d18c0313028104b383cd29e	UNIQUE_NEW_CONTENT	capture_b131151_20260830_000043/capture_v141/GAME_20260830_000202_493910_50398.txt	YES	NONE	RECOGNIZED_PACKET_BLOCKS	457	0	SIZE_SHA256_VERIFIED_TWICE	CAPTURE
CAPTURE-DELTA-20260830-0008	capture_b131151_20260830_000043/capture_v141/GAME_EVENTS_LIVE.txt	9140	02a7e6a502f982ada3c732ca20589a70b12aedf2938b56fd40986b9d8f6be726	UNIQUE_NEW_CONTENT	capture_b131151_20260830_000043/capture_v141/GAME_EVENTS_LIVE.txt	YES	NONE	NO_RECOGNIZED_PACKET_BLOCKS	0	0	SIZE_SHA256_VERIFIED_TWICE	CAPTURE
CAPTURE-DELTA-20260830-0009	capture_b131151_20260830_000043/capture_v141/GAME_LIVE.txt	114906	59bad82079e10443009630cef901cfb1496e070c33e4c39f25d45d6fafd1d352	UNIQUE_NEW_CONTENT	capture_b131151_20260830_000043/capture_v141/GAME_LIVE.txt	YES	NONE	NO_RECOGNIZED_PACKET_BLOCKS	0	0	SIZE_SHA256_VERIFIED_TWICE	CAPTURE
CAPTURE-DELTA-20260830-0010	capture_b131151_20260830_000043/capture_v141/LOGIN_20260830_000136_622004_50394.txt	2326	cafc4473d8a175bde8c82592839fd8b65aefbc735d84e0cfcc2959ae3924922c	UNIQUE_NEW_CONTENT	capture_b131151_20260830_000043/capture_v141/LOGIN_20260830_000136_622004_50394.txt	YES	NONE	RECOGNIZED_PACKET_BLOCKS	2	0	SIZE_SHA256_VERIFIED_TWICE	CAPTURE
