evidence_id	row_kind	topic	subject	direction	semantic_status	exact_observation	value_or_layout	owner_container	storage_key	removal_effect	evidence_file	evidence_locator	evidence_span_start	evidence_span_end	evidence_span_start_file_offset	evidence_span_end_file_offset	evidence_span_sha256	support_spans	evidence_key	semantic_fingerprint	evidence_grade	measurement_label	method	control	source	source_size	source_sha256	reference_artifact	reference_sha256	reference_selector	nonclaim	image_sha256
GDL-IMG-001	NEW_IMAGE_EVIDENCE	INBOUND_IDENTITY	GSCN_RunTimeProtocolRes	S2C	PROVEN_EXACT	The registration name computes to runtime ID 0x6E9D; vtable +0x1C is handler 0x005E4060.	runtime_id=0x6E9D;vtable=0x00F2FFC0;handler=0x005E4060	protocol dispatcher	runtime type ID	NONE	PF_ROOT://GameClient/GameClient.local.bin	gscn_register	0x00BEE050	0x00BEE068	0x007ED450	0x007ED468	9ab505714bc94c7c89a26bf45058ef3c46a54adf02a176a5ceb8bf270ecd3de3	0x0089B220..0x0089B27D@file_off=0x0049A620..0x0049A67D@sha256=a9d3a77ec6b70a2f15327cc34310a5fea6f6911ab2d70055e3515f6f6e22dfba;0x00F2FFC0..0x00F2FFE0@file_off=0x00B2E3C0..0x00B2E3E0@sha256=2777420d88b90bd0cb7d82182f1d4e1734827f7ef7608c75c640c53be30e94d3;0x005E4060..0x005E41CD@file_off=0x001E3460..0x001E35CD@sha256=85ff71ffceff5345f94facc9b7fa1c39c8efd2e429248d112cdba578d3df944e	66199ddec3bb83259bc3b244316016216dfc0b91a4fdc83bb7205eed35c8ddc2	24ee1ee3b421804e78f1850b30ab2b6222180df1ece115862ec174220cb8b0e9	A	MEASURED	STATIC_IMAGE_HASHED_SPAN_AND_CONTROL_FLOW	PINNED_IMAGE_SHA256;EXACT_PRIMARY_AND_SUPPORT_SPAN_SHA256	IMAGE	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623				The runtime type ID is not promoted to a top-level wire opcode.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
GDL-IMG-002	NEW_IMAGE_EVIDENCE	INBOUND_POOL_FIELD	GSCN_RunTimeProtocolRes+0x20	S2C	PROVEN_EXACT	Constructor leaves +0x20 NULL; codec mask bit 0x08 controls allocation of TerrainThingPool; the handler passes +0x20 to the typed bridge.	outer_mask_bit=0x08;field_offset=+0x20;type=TerrainThingPool*	GSCN_RunTimeProtocolRes	field +0x20	NULL is preserved into reconcile when the outer bit is absent	PF_ROOT://GameClient/GameClient.local.bin	gscn_codec	0x005E3EE0	0x005E404E	0x001E32E0	0x001E344E	ea5a21f39f095780b3f83fec2d465f3fe435f6b0ffc04a1e67107ffad489ea60	0x005E3720..0x005E37AD@file_off=0x001E2B20..0x001E2BAD@sha256=9865e2a746720025a6df41edb1854b7d7206c2da410aa9ae916d26c296d1b011;0x005E4060..0x005E41CD@file_off=0x001E3460..0x001E35CD@sha256=85ff71ffceff5345f94facc9b7fa1c39c8efd2e429248d112cdba578d3df944e;0x005E3D70..0x005E3EE0@file_off=0x001E3170..0x001E32E0@sha256=d71350bc21f8e5956d34b16b359947e2f5a723aff36ed9c9662f3aa8ea1efb22	da2dd14cdb168a6b4998af39197519aa4fe328074ff88831a288767b126232d4	74e26eb6a6884eeef4ca7f7f907e6dec6078c8d9be9d00017b64ecfd9b40549a	A	MEASURED	STATIC_IMAGE_HASHED_SPAN_AND_CONTROL_FLOW	PINNED_IMAGE_SHA256;EXACT_PRIMARY_AND_SUPPORT_SPAN_SHA256	IMAGE	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623				A top-level mask of zero does not itself prove delivery or an on-screen effect.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
GDL-IMG-003	NEW_IMAGE_EVIDENCE	TYPED_DISPATCH	TerrainThingPool to DropThingModule_Client	LOCAL	PROVEN_EXACT	Handler call 0x005E40D5 reaches bridge 0x005F53A0; the bridge resolves DropThingModule_Client and its sole direct reconcile call is 0x006AF970.	handler->bridge(+0x20)->DropThingModule_Client::reconcile	DropThingModule_Client	module runtime ID 0x651A	NONE	PF_ROOT://GameClient/GameClient.local.bin	typed_bridge	0x005F53A0	0x005F5456	0x001F47A0	0x001F4856	77136c150b0e557ad4facea096191de0fb9f23e9c30ee5c550c8fa6594b33894	0x005E4060..0x005E41CD@file_off=0x001E3460..0x001E35CD@sha256=85ff71ffceff5345f94facc9b7fa1c39c8efd2e429248d112cdba578d3df944e;0x006AF970..0x006B03E3@file_off=0x002AED70..0x002AF7E3@sha256=e5eb9e1fdae15544773c7e94fa6ff6aaa6990650cbb05f20e39a009941575663	2daf1243a850d3933c967135538f04a266d79ea121969d37b569271d122f2309	14f31a698ee5dbf759574c8bc1d8a852c8dd8fe435c29b056ea5794a67d629c3	A	MEASURED	STATIC_IMAGE_HASHED_SPAN_AND_CONTROL_FLOW	PINNED_IMAGE_SHA256;EXACT_PRIMARY_AND_SUPPORT_SPAN_SHA256	IMAGE	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623				This typed path does not select either FightingDrop reflection descriptor.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
GDL-IMG-004	NEW_IMAGE_EVIDENCE	POOL_CODEC	TerrainThingPool/TerrainThing	S2C	PROVEN_EXACT	The pool codec reads a u16 count, then keyed TerrainThing records and inserts them into the decoded pool map.	pool map=+0x10 sentinel=+0x28 count=+0x2C; element key=+0x10/u32 always; mask=+0x28/u8; bit0x02:+0x14/u32;bit0x04:+0x18/u16;bit0x08:+0x1B/u8;bit0x10:+0x1C,+0x20,+0x24/f32 XYZ;bit0x20:+0x1A/u8	TerrainThingPool	TerrainThing+0x10 u32	NONE	PF_ROOT://GameClient/GameClient.local.bin	terrain_codec	0x005F85B0	0x005F8869	0x001F79B0	0x001F7C69	ce0a58f72c5798f1d5263ebdb5ee449659ed04e2974f63f77657ea968a4f1b5b	0x005F82C0..0x005F85B0@file_off=0x001F76C0..0x001F79B0@sha256=680e050c1c8fb6316045ff1eb484321bbdb021822181df73cdd8187d3bc929df;0x005E3D70..0x005E3EE0@file_off=0x001E3170..0x001E32E0@sha256=d71350bc21f8e5956d34b16b359947e2f5a723aff36ed9c9662f3aa8ea1efb22	74771579c9eae642f70b4a58c738cd38be63878ce4ffd8477a5d199da8abe5cb	723f5eb2a6a6de6f9da01e77f553b7b46b859ab6db9cf653550fdd7e4a1f8cc1	A	MEASURED	STATIC_IMAGE_HASHED_SPAN_AND_CONTROL_FLOW	PINNED_IMAGE_SHA256;EXACT_PRIMARY_AND_SUPPORT_SPAN_SHA256	IMAGE	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623				Only offsets, widths, masks, and XYZ are named; other field semantics remain unknown.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
GDL-IMG-005	NEW_IMAGE_EVIDENCE	OWNER_STORAGE	DropThingModule_Client live map	LOCAL	PROVEN_EXACT	The module owns its live wrapper map at +0x18; decoded pool keys are the reconciliation identity used for lookup, insert, update, and erase.	module map=+0x18 sentinel=+0x30 count=+0x34; wrapper TerrainThing ref=+0x7C	DropThingModule_Client	TerrainThing+0x10 u32	map erase is keyed by the same runtime key	PF_ROOT://GameClient/GameClient.local.bin	reconcile	0x006AF970	0x006B03E3	0x002AED70	0x002AF7E3	e5eb9e1fdae15544773c7e94fa6ff6aaa6990650cbb05f20e39a009941575663	0x006B0730..0x006B07AB@file_off=0x002AFB30..0x002AFBAB@sha256=58d075ac14d37ece3c7cbf23cf43a48412a7fb9e6537846c28d86b8e01962f94;0x006AF720..0x006AF8C0@file_off=0x002AEB20..0x002AECC0@sha256=baf5da9cfa369316144e775492316ae327d9bb5c4ce503e14b60609962c9e132;0x005F49C0..0x005F4AEA@file_off=0x001F3DC0..0x001F3EEA@sha256=f4dd4e94aa07f0a1307c1ae992d3811167d2ceb3460a8f69e2da7be42eb14cf9	4c8c4b01d94e3b45b19c579cb33eb89f751a84e6e48380494d16e7cc3f71f10e	5a4b7de22e6e60a1c0c806f61fa78ae02f49f0df509ad13cae6ff8ef13a9d1f9	A	MEASURED	STATIC_IMAGE_HASHED_SPAN_AND_CONTROL_FLOW	PINNED_IMAGE_SHA256;EXACT_PRIMARY_AND_SUPPORT_SPAN_SHA256	IMAGE	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623				The key is a runtime object identity; it is not proven to be an item-template ID.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
GDL-IMG-006	NEW_IMAGE_EVIDENCE	CREATE_RENDER	new DropThingGameObj	LOCAL	PROVEN_EXACT	A new key allocates a wrapper, initializes it from TerrainThing, registers it with the world, and inserts it into the module map; the wrapper retains render/nameboard resources.	new key: 0x006AF720 -> 0x005F41E0 -> world register 0x00B0E4A0 -> map insert 0x00708E20; refs +0x7C/+0x80/+0x84/+0x88/+0x8C	DropThingModule_Client live map and world	TerrainThing+0x10 u32	NONE	PF_ROOT://GameClient/GameClient.local.bin	reconcile	0x006AF970	0x006B03E3	0x002AED70	0x002AF7E3	e5eb9e1fdae15544773c7e94fa6ff6aaa6990650cbb05f20e39a009941575663	0x006AF720..0x006AF8C0@file_off=0x002AEB20..0x002AECC0@sha256=baf5da9cfa369316144e775492316ae327d9bb5c4ce503e14b60609962c9e132;0x005F41E0..0x005F4897@file_off=0x001F35E0..0x001F3C97@sha256=d8011e41a99fef62e6c311e804b715b20f3187dc57128276e35b947a7510f105;0x00F30FAC..0x00F30FDC@file_off=0x00B2F3AC..0x00B2F3DC@sha256=d5e4811779c1c30cbbe0c912b7e3000bc4c10d2d1c40c6d406e3be61666637ff	f3ea7e4efa5658b20334b17a3a91b9a3b9c37163a068f03880871a33c8b4247d	dd946d4064456191d007dd6cf69c8ca235f86679400b6b25a2d208a1dbf520f8	A	MEASURED	STATIC_IMAGE_HASHED_SPAN_AND_CONTROL_FLOW	PINNED_IMAGE_SHA256;EXACT_PRIMARY_AND_SUPPORT_SPAN_SHA256	IMAGE	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623				Static construction does not prove that every data lookup yields visible geometry or a label.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
GDL-IMG-007	NEW_IMAGE_EVIDENCE	RECONCILE_NULL	NULL TerrainThingPool	LOCAL	PROVEN_EXACT	A NULL pool enters the full-removal loop: each live wrapper is unregistered from the world and erased from the module map.	input=NULL	DropThingModule_Client live map	all current keys	REMOVE_ALL: world unregister 0x00B0EE40 then map erase 0x005E0D40	PF_ROOT://GameClient/GameClient.local.bin	reconcile	0x006AF970	0x006B03E3	0x002AED70	0x002AF7E3	e5eb9e1fdae15544773c7e94fa6ff6aaa6990650cbb05f20e39a009941575663	0x005E3720..0x005E37AD@file_off=0x001E2B20..0x001E2BAD@sha256=9865e2a746720025a6df41edb1854b7d7206c2da410aa9ae916d26c296d1b011;0x005E3EE0..0x005E404E@file_off=0x001E32E0..0x001E344E@sha256=ea5a21f39f095780b3f83fec2d465f3fe435f6b0ffc04a1e67107ffad489ea60;0x005F53A0..0x005F5456@file_off=0x001F47A0..0x001F4856@sha256=77136c150b0e557ad4facea096191de0fb9f23e9c30ee5c550c8fa6594b33894	03d30786118878be809d158ebcc80b07f6ad03b557e36ea7484abc53e9227be3	7e21c63eff1558a194ebe954e27b6048746944ffba21b48003ddf7b06cfeef1b	A	MEASURED	STATIC_IMAGE_HASHED_SPAN_AND_CONTROL_FLOW	PINNED_IMAGE_SHA256;EXACT_PRIMARY_AND_SUPPORT_SPAN_SHA256	IMAGE	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623				This is a client-side static predicate, not a claim that a particular capture reached it.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
GDL-IMG-008	NEW_IMAGE_EVIDENCE	RECONCILE_EMPTY	non-NULL empty TerrainThingPool	LOCAL	PROVEN_EXACT	When the pool pointer is non-NULL but pool count +0x2C is zero, reconcile returns through the epilogue without mutating the live map.	input!=NULL;count=0	DropThingModule_Client live map	no keys	PRESERVE_ALL	PF_ROOT://GameClient/GameClient.local.bin	reconcile	0x006AF970	0x006B03E3	0x002AED70	0x002AF7E3	e5eb9e1fdae15544773c7e94fa6ff6aaa6990650cbb05f20e39a009941575663	0x005F85B0..0x005F8869@file_off=0x001F79B0..0x001F7C69@sha256=ce0a58f72c5798f1d5263ebdb5ee449659ed04e2974f63f77657ea968a4f1b5b;0x005F53A0..0x005F5456@file_off=0x001F47A0..0x001F4856@sha256=77136c150b0e557ad4facea096191de0fb9f23e9c30ee5c550c8fa6594b33894	2b94ca405a72a239f47c97c2a5716018d6cec8f95792e8a634940cb84862800e	349701b4e16873a6af5ee10cae7b1c3b965cc868f16dd9d8a18980801ad45ce7	A	MEASURED	STATIC_IMAGE_HASHED_SPAN_AND_CONTROL_FLOW	PINNED_IMAGE_SHA256;EXACT_PRIMARY_AND_SUPPORT_SPAN_SHA256	IMAGE	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623				A non-NULL empty pool is distinct from an absent +0x20 field that leaves a NULL pointer.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
GDL-IMG-009	NEW_IMAGE_EVIDENCE	RECONCILE_OMISSION	nonempty TerrainThingPool authoritative snapshot	LOCAL	PROVEN_EXACT	For a nonempty pool, a current live-map key omitted from the incoming pool is unregistered and erased.	input!=NULL;count>0;existing_key not in incoming keys	DropThingModule_Client live map	TerrainThing+0x10 u32	REMOVE_OMITTED: world unregister 0x00B0EE40 then map erase 0x005E0D40	PF_ROOT://GameClient/GameClient.local.bin	reconcile	0x006AF970	0x006B03E3	0x002AED70	0x002AF7E3	e5eb9e1fdae15544773c7e94fa6ff6aaa6990650cbb05f20e39a009941575663	0x005F85B0..0x005F8869@file_off=0x001F79B0..0x001F7C69@sha256=ce0a58f72c5798f1d5263ebdb5ee449659ed04e2974f63f77657ea968a4f1b5b	3432ac1e3866029db4607db33bab6269943fa8fe79a5678c21e0d46de72dec6e	a9c2dbaa5bed0a71d28af11c0b2d74e9d1393b6d5ca78c7d8af738d793e96313	A	MEASURED	STATIC_IMAGE_HASHED_SPAN_AND_CONTROL_FLOW	PINNED_IMAGE_SHA256;EXACT_PRIMARY_AND_SUPPORT_SPAN_SHA256	IMAGE	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623				This does not define server-side expiry policy; it defines the client snapshot consequence.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
GDL-IMG-010	NEW_IMAGE_EVIDENCE	RECONCILE_RANGE	range-pruned ground object	LOCAL	PROVEN_EXACT_BOUNDED	Reconcile references integer threshold 2500, squares it, and can remove an object outside that distance unless the audited bypass flag applies.	range=2500;distance_squared_threshold=6250000	DropThingModule_Client live map	TerrainThing+0x10 u32	REMOVE_OUT_OF_RANGE under the proven predicate	PF_ROOT://GameClient/GameClient.local.bin	reconcile	0x006AF970	0x006B03E3	0x002AED70	0x002AF7E3	e5eb9e1fdae15544773c7e94fa6ff6aaa6990650cbb05f20e39a009941575663	0x005F4C00..0x005F4DEE@file_off=0x001F4000..0x001F41EE@sha256=7b14d16ca60fc6917328cc9a59f8c8f7ab6e13052eac3764c69dae45d41c06c2	5f12a08aa0da68e04b6719607e16905e59cbcb56310e0dcc7fc044530bbc067b	ca811d1eaf2b052696ac48c09a06c03fbeeaf30557acbb15029964abc3768504	A	MEASURED	STATIC_IMAGE_HASHED_SPAN_AND_CONTROL_FLOW	PINNED_IMAGE_SHA256;EXACT_PRIMARY_AND_SUPPORT_SPAN_SHA256	IMAGE	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623				The bypass flag semantic name and every possible coordinate space remain unproven.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
