control_key	row_kind	control_surface	carrier_or_local_source	wire_direction	object_offset	wire_tag	wire_len	presence_gate	producer_va	consumer_va	condition	exact_observation	server_control_level	semantic_status	census_scope	census_count	census_digest	span_start_va	span_end_va	file_off_start	file_off_end	span_sha256	support_spans	reference_keys	source	source_file	source_sha256	nonclaim	blocker	required_next_evidence	artifact_pair_sha256	claim_sha256	evidence_key
MWC-IMG-001	WHOLE_IMAGE_DIRECT_E8_PRECALL_LITERAL_NEGATIVE	FontStyleID_55_through_67_vs_generic_wire_primitives	all direct E8 callers of WRITE/READ	W+R					0x0089A600;0x0089A640	0x00443F50	64-byte pre-call byte window at every direct primitive caller	[MEASURED][IMAGE] 2700 direct primitive call sites were scanned; none has a PUSH imm8 or PUSH imm32 encoding for 55..67 in the preceding 64 bytes	NO_LITERAL_STYLE_IMMEDIATE_ADJACENCY_FOUND	PROVEN_EXACT_MECHANICAL_CENSUS	.text:0x00401000..0x00C39A2C@file:0x00000400..0x00838E2C,.code:0x00C3A000..0x00C3A2E1@file:0x00839000..0x008392E1,.rdata:0x00C3B000..0x0101938E@file:0x00839400..0x00C1778E,.data:0x0101A000..0x0102BE00@file:0x00C17800..0x00C29600,.rsrc:0x0109C000..0x010F4998@file:0x00C29600..0x00C81F98,.reloc:0x010F5000..0x012865F0@file:0x00C82000..0x00E135F0	WRITE=1350;READ=1350;style_adjacent=0	d6fbd76fb71cd58e33cc51c05cad95fcc7b825f9b6c252dca12337110d5b5b4c	0x00443F50	0x004443C5	0x00043350	0x000437C5	ee845ee6ef6337ea41ae57a5a4df8af5a8a8ac00e458ea1ce3e587aff1f9cdf9	color_selector=VA:0x00443F50..0x004443C5@file:0x00043350..0x000437C5@sha256:ee845ee6ef6337ea41ae57a5a4df8af5a8a8ac00e458ea1ce3e587aff1f9cdf9;controller_style_store=VA:0x009F1A70..0x009F1A7A@file:0x005F0E70..0x005F0E7A@sha256:6d731f768f8834c3595c479205dc6991ea8b4b940958f6be330f60aa9373eef1;npc_label_sink=VA:0x005BDA47..0x005BDA95@file:0x001BCE47..0x001BCE95@sha256:f9e3b664c61f6350eae791d53192f3ba5df3bd3f627e0684696416865bc5a837;style_property_parser=VA:0x00A9DAE0..0x00A9DD9B@file:0x0069CEE0..0x0069D19B@sha256:5f974da52ed482920db7a92285d6e61e6a40594d864a6d659791054db46525ef;label_property_parser=VA:0x00AA488F..0x00AA4929@file:0x006A3C8F..0x006A3D29@sha256:a1f7e93fbd3fd7854a3d7a61242fe3e6c529f71302d90fe0043c34cb541c9c7f;ui_style_forwarder_1=VA:0x00AB97F0..0x00AB9816@file:0x006B8BF0..0x006B8C16@sha256:abe9496bbb8e1c36d17601ff5f5d9ead2baa676560d7421fe8f728ab3b4c4626;ui_style_forwarder_2=VA:0x00AB9D40..0x00AB9DBE@file:0x006B9140..0x006B91BE@sha256:7c81089be18717a530a95aee3612abe1ccb99278b8436a2b9f66d71b96a7f268	PF_MONSTER_COLOR_GATE:MCG-IMG-051;PF_MONSTER_COLOR_GATE:MCG-IMG-052	IMAGE	PF_ROOT://GameClient/GameClient.local.bin	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	[MEASURED][IMAGE][NONCLAIM] This is not a proof against indirect calls, custom codecs, aliases, whole-object copies, or transitive dataflow outside the 64-byte windows.	Indirect/custom dataflow is outside this byte-pattern census.	A whole-program indirect-call/dataflow proof or an original capture carrying an explicit style field.	6e2041061bc42b44934fd309059eb4177b136714d30e2b5eec5a5c8061d80cc7	c4a3337cfb3af5e1cb4f403f22f262ab24281a043d467be747c0b015ac7fbdf2	4a54cc9311c61f3b27f82cd5ffb91dcb494402fd8070530fcfe2c72d7d9cb48f
MWC-IMG-002	STYLE_SINK_PRODUCER_CENSUS	CNetNPC_nameboard_controller_plus_0x34	controller_style_store_and_selector						0x00443F50	0x009F1A70	whole-image raw E8 and dword-reference census	[MEASURED][IMAGE] controller style store has 0 raw E8 direct callers and 8 dword references; the selector has 1 raw E8 caller at 0x004446A7	CLIENT_LOCAL_SELECTOR_OUTPUT	PROVEN_EXACT_MECHANICAL_CENSUS	.text:0x00401000..0x00C39A2C@file:0x00000400..0x00838E2C,.code:0x00C3A000..0x00C3A2E1@file:0x00839000..0x008392E1,.rdata:0x00C3B000..0x0101938E@file:0x00839400..0x00C1778E,.data:0x0101A000..0x0102BE00@file:0x00C17800..0x00C29600,.rsrc:0x0109C000..0x010F4998@file:0x00C29600..0x00C81F98,.reloc:0x010F5000..0x012865F0@file:0x00C82000..0x00E135F0	style_store_E8=0;style_store_dword_refs=8;selector_E8=1	style_store_E8=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855;style_store_refs=f6af1986f93731ce3f46ac3e9680e4f5d6ff2e6bd26cac5c91f2959a18efb746;selector_E8=bea993f8b7ac808aad9daffe2a7b9f64c43d38a73266d1e50110c60e2f47a5ec	0x009F1A70	0x009F1A7A	0x005F0E70	0x005F0E7A	6d731f768f8834c3595c479205dc6991ea8b4b940958f6be330f60aa9373eef1	color_selector=VA:0x00443F50..0x004443C5@file:0x00043350..0x000437C5@sha256:ee845ee6ef6337ea41ae57a5a4df8af5a8a8ac00e458ea1ce3e587aff1f9cdf9;npc_label_sink=VA:0x005BDA47..0x005BDA95@file:0x001BCE47..0x001BCE95@sha256:f9e3b664c61f6350eae791d53192f3ba5df3bd3f627e0684696416865bc5a837	PF_MONSTER_COLOR_GATE:MCG-IMG-031;PF_MONSTER_COLOR_GATE:MCG-IMG-051	IMAGE	PF_ROOT://GameClient/GameClient.local.bin	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	[MEASURED][IMAGE][NONCLAIM] The 8 dword references are not all CNetNPC slots, and a virtual call cannot be excluded by the E8 negative.	Complete indirect-call target recovery is not part of the bounded census.	Full vtable-owner census plus indirect-call dataflow.	6e2041061bc42b44934fd309059eb4177b136714d30e2b5eec5a5c8061d80cc7	3142b2bf54bb107b5ea3d6af727576550ed7172f818831114d0c63bf83d5cb11	443c0ef254f8712d6298c07adff45db6dc73e11a7ac971f79c691da50e5f69b4
MWC-IMG-003	PROPERTY_LITERAL_REFERENCE_CENSUS	FontStyleID_and_embedded_FontStyle_literals	local GUI property parsing						0x00AA4892;0x00AA48A4;0x00AA5374;0x00AA4902;0x00AA5396	0x00A9DAE0;0x00AA37D0	whole-image dword-reference and raw E8 target census	[MEASURED][IMAGE] FontStyleID has 3 dword references and embedded FontStyle has 2; the style-property parser has 2 direct callers at 0x00A9FA11 and 0x00AA490D; neither parser span calls WRITE or READ	LITERAL_REFS_RESOLVE_TO_LOCAL_GUI_SITES;OTHER_PATHS_OPEN	PROVEN_EXACT_MECHANICAL_CENSUS	.text:0x00401000..0x00C39A2C@file:0x00000400..0x00838E2C,.code:0x00C3A000..0x00C3A2E1@file:0x00839000..0x008392E1,.rdata:0x00C3B000..0x0101938E@file:0x00839400..0x00C1778E,.data:0x0101A000..0x0102BE00@file:0x00C17800..0x00C29600,.rsrc:0x0109C000..0x010F4998@file:0x00C29600..0x00C81F98,.reloc:0x010F5000..0x012865F0@file:0x00C82000..0x00E135F0	FontStyleID_refs=3;FontStyle_refs=2;property_parser_E8=2	id_refs=cdde9f8994649036715fca6866aa716b689ce85c0ce95c710117fda015da362f;style_refs=9d37a30eb604aa3d0158727a8fdd4279221c5a1b53c636e844c5cecb1bf34fa1;parser_E8=a2908a708546a2e29af7947497fe31dbfc83a0bee8d45f9b716ef6a2ecf16d4f	0x00AA488F	0x00AA4929	0x006A3C8F	0x006A3D29	a1f7e93fbd3fd7854a3d7a61242fe3e6c529f71302d90fe0043c34cb541c9c7f	style_property_parser=VA:0x00A9DAE0..0x00A9DD9B@file:0x0069CEE0..0x0069D19B@sha256:5f974da52ed482920db7a92285d6e61e6a40594d864a6d659791054db46525ef;ui_style_forwarder_1=VA:0x00AB97F0..0x00AB9816@file:0x006B8BF0..0x006B8C16@sha256:abe9496bbb8e1c36d17601ff5f5d9ead2baa676560d7421fe8f728ab3b4c4626;ui_style_forwarder_2=VA:0x00AB9D40..0x00AB9DBE@file:0x006B9140..0x006B91BE@sha256:7c81089be18717a530a95aee3612abe1ccb99278b8436a2b9f66d71b96a7f268	PF_MONSTER_COLOR_GATE:MCG-IMG-057;PF_MONSTER_COLOR_GATE:MCG-IMG-058	IMAGE	PF_ROOT://GameClient/GameClient.local.bin	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	[MEASURED][IMAGE][NONCLAIM] A literal-reference census cannot rule out unnamed binary fields or runtime-computed aliases.	No complete alias/dataflow proof for unnamed fields.	Original traffic with an explicit style property or complete alias analysis.	6e2041061bc42b44934fd309059eb4177b136714d30e2b5eec5a5c8061d80cc7	54c339f56c4c7b912fa74a3f0c4e21f17c52b544921389c7baa6c041c935f792	64375f2afe8fd9e95ee68ce060b69b5dce696306baea9e280ebc6d4c9bda01b8
MWC-IMG-004	LOCAL_STYLE_IMMEDIATE_CENSUS	FontStyleID_55_through_63	name-color selector immediates						0x00443FF2;0x00443FE9;0x00444039;0x0044414A;0x00444071;0x00444113;0x0044417E;0x00444210;0x00444234;0x00444263;0x00444270;0x0044419F;0x00444214;0x00444218	0x009F1A70	all pinned selector PUSH-immediate sites match	[MEASURED][IMAGE] The selector itself contains 14 pinned immediate emission sites for FontStyleID 55..63; these values are local constants, not values read by a wire primitive in the selector	CLIENT_LOCAL_SELECTOR_OUTPUT	PROVEN_EXACT_MANUAL_HASH_ANCHORED	selector span plus direct primitive negative in same span	style_emit_sites=14;WRITE_calls=0;READ_calls=0	4a51d06d0bac031e59491cde1432f952368969b38263113893db59c4500935b8	0x00443F50	0x004443C5	0x00043350	0x000437C5	ee845ee6ef6337ea41ae57a5a4df8af5a8a8ac00e458ea1ce3e587aff1f9cdf9	controller_style_store=VA:0x009F1A70..0x009F1A7A@file:0x005F0E70..0x005F0E7A@sha256:6d731f768f8834c3595c479205dc6991ea8b4b940958f6be330f60aa9373eef1	PF_ATTR_NAME_COLOR_SELECTOR.tsv@sha256:d15864a21a7a124a23f6dffad174a55d376045a25a04814bbe6dc5f5632af82d;PF_MONSTER_COLOR_GATE:MCG-IMG-031..033	IMAGE	PF_ROOT://GameClient/GameClient.local.bin	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	[MEASURED][IMAGE][NONCLAIM] The local conditions are not proof that every live object reaches one path.	Live predicate values remain runtime facts.	Original capture or attended runtime observation for live branch selection.	6e2041061bc42b44934fd309059eb4177b136714d30e2b5eec5a5c8061d80cc7	017128fdfd08a89c72b14170c3210165b04ccf91aeac8aebf3b0cc5ac5906130	22dfe77ac2842999430ed321ec88715d0649f2f5b65b8944c1b0fcfbb092920f
MWC-IMG-006	SERVER_CONTROLLABLE_UPSTREAM	actor_type	GSCN_RunTimeProtocolRes actor entry	W+R	+0x10	0x0B	1	always in actor-entry codec	0x005E222D	0x005E2307	pinned direct primitive sites and manually interpreted hashed codec	[MEASURED][IMAGE] Actor-entry type is directly serialized/deserialized; value 4 selects the CNetNPC factory path.	DIRECT_WIRE	PROVEN_EXACT_MANUAL_HASH_ANCHORED	named codec span; direct E8 sites verified against whole-image census			0x005E21D0	0x005E23B5	0x001E15D0	0x001E17B5	44efb796eb00d2fcc6b07783dd101d172b8a2a230f85c490611cc46aa3a8d067		PF_MONSTER_COLOR_GATE:MCG-IMG-002	IMAGE	PF_ROOT://GameClient/GameClient.local.bin	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	[MEASURED][IMAGE][NONCLAIM] Type 4 proves CNetNPC construction, not the gameplay noun monster.	Live delivery and predicate outcome are not established by IMAGE alone.	Original capture or attended runtime join for the intended visible outcome.	6e2041061bc42b44934fd309059eb4177b136714d30e2b5eec5a5c8061d80cc7	7b4c41d40a44e0397d0af232e29454be49e43623838f71221e62a1d4024b1795	22467e283e46574dc5d72728dd049609be99b8e1e31d5aa1bfaed0e98d1a27f6
MWC-IMG-007	SERVER_CONTROLLABLE_UPSTREAM	actor_identity_sign	GSCN_RunTimeProtocolRes actor entry	W+R	+0x18..+0x1F	0x32	8	always in actor-entry codec	0x005E223C	0x005E2316;0x00443FFB	pinned direct primitive sites and manually interpreted hashed codec	[MEASURED][IMAGE] The full qword actor identity is directly carried and copied to the CNetNPC; its signed high dword selects the positive versus signed-nonpositive color lane.	DIRECT_WIRE_BUT_IDENTITY_INVARIANTS_APPLY	PROVEN_EXACT_MANUAL_HASH_ANCHORED	named codec span; direct E8 sites verified against whole-image census			0x005E21D0	0x005E23B5	0x001E15D0	0x001E17B5	44efb796eb00d2fcc6b07783dd101d172b8a2a230f85c490611cc46aa3a8d067	color_selector=VA:0x00443F50..0x004443C5@file:0x00043350..0x000437C5@sha256:ee845ee6ef6337ea41ae57a5a4df8af5a8a8ac00e458ea1ce3e587aff1f9cdf9	PF_MONSTER_COLOR_GATE:MCG-IMG-004;PF_MONSTER_COLOR_GATE:MCG-IMG-005;PF_MONSTER_COLOR_GATE:MCG-IMG-009	IMAGE	PF_ROOT://GameClient/GameClient.local.bin	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	[MEASURED][IMAGE][NONCLAIM] IMAGE does not prove which signed-negative identities the original server assigns or which remain registry-safe.	Live delivery and predicate outcome are not established by IMAGE alone.	Original capture or attended runtime join for the intended visible outcome.	6e2041061bc42b44934fd309059eb4177b136714d30e2b5eec5a5c8061d80cc7	843768dbbec7b3873cb4930d680cfd91fb0eaff928d78efba7bb46fed396804e	bb3b0c99a71f9b444b75ffba46120be4b77c174d26e721adb971f04937b421da
MWC-IMG-008	SERVER_CONTROLLABLE_UPSTREAM	current_HP_operand	BasicAttr	W+R	+0x44	0x14	4	presence mask +0x70 bit 0x0004	0x00465759	0x00465893;0x0043BD70	pinned direct primitive sites and manually interpreted hashed codec	[MEASURED][IMAGE] BasicAttr +0x44 is directly carried and is the integer zero operand of the CNetNPC death predicate.	DIRECT_WIRE	PROVEN_EXACT_MANUAL_HASH_ANCHORED	named codec span; direct E8 sites verified against whole-image census			0x004656F0	0x00465983	0x00064AF0	0x00064D83	d0c15b74a36077df30a0e60dbeb8441e878c08b82587c1ea55365ab2ebd70020	death_predicate=VA:0x0043BD70..0x0043BD9D@file:0x0003B170..0x0003B19D@sha256:1df3c62b4bbe0aab1ebf1404320a7b2466ef20390db060e67ba183a1178127aa	PF_MONSTER_COLOR_GATE:MCG-IMG-034	IMAGE	PF_ROOT://GameClient/GameClient.local.bin	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	[MEASURED][IMAGE][NONCLAIM] This row does not claim that setting HP alone makes the predicate true.	Live delivery and predicate outcome are not established by IMAGE alone.	Original capture or attended runtime join for the intended visible outcome.	6e2041061bc42b44934fd309059eb4177b136714d30e2b5eec5a5c8061d80cc7	bf4d67a5f99d9a5e976fa25fee4f8748baef06ddd2e198ca4e9fe7b2cc4ecfa0	8728e70fc9fca0774c0525ad161a650bd600fdafa158cf18b21bc2865623696d
MWC-IMG-009	SERVER_CONTROLLABLE_UPSTREAM	death_threshold_float_operand	BasicAttr	W+R	+0x58	0x2A	4	presence mask +0x70 bit 0x0080	0x004657BD	0x004658F7;0x0043BD70	pinned direct primitive sites and manually interpreted hashed codec	[MEASURED][IMAGE] BasicAttr +0x58 is directly carried and is the ordered-float <= 0 operand of the CNetNPC death predicate.	DIRECT_WIRE	PROVEN_EXACT_MANUAL_HASH_ANCHORED	named codec span; direct E8 sites verified against whole-image census			0x004656F0	0x00465983	0x00064AF0	0x00064D83	d0c15b74a36077df30a0e60dbeb8441e878c08b82587c1ea55365ab2ebd70020	death_predicate=VA:0x0043BD70..0x0043BD9D@file:0x0003B170..0x0003B19D@sha256:1df3c62b4bbe0aab1ebf1404320a7b2466ef20390db060e67ba183a1178127aa	PF_ATTR_FIELD_SEMANTICS:e0e2acc3668f95663b384b742add7f392a7310a745b235d4aa1a2ce790d391ce;PF_MONSTER_COLOR_GATE:MCG-IMG-034	IMAGE	PF_ROOT://GameClient/GameClient.local.bin	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	[MEASURED][IMAGE][NONCLAIM] The broader gameplay name/unit of +0x58 is not established here.	Live delivery and predicate outcome are not established by IMAGE alone.	Original capture or attended runtime join for the intended visible outcome.	6e2041061bc42b44934fd309059eb4177b136714d30e2b5eec5a5c8061d80cc7	d46d64f2c0147157bd6ac5aa6a47520d29fa9917a7f638ec2d261025ba786517	fae59d7b8a2267ca14d9402323ed83c1df0b50f70ac27f83fa235455fb1b3fc6
MWC-IMG-010	SERVER_CONTROLLABLE_UPSTREAM	faction_operand	BasicAttr attached to CNetNPC	W+R	+0x68	0x14	4	presence mask +0x70 bit 0x0400	0x00465820	0x0046595A;0x0043C380	pinned direct primitive sites and manually interpreted hashed codec	[MEASURED][IMAGE] BasicAttr +0x68 is directly carried and is a CNetNPC n_FACTION input consumed by the local relation predicate.	DIRECT_WIRE_PREDICATE_OPERAND	PROVEN_EXACT_MANUAL_HASH_ANCHORED	named codec span; direct E8 sites verified against whole-image census			0x004656F0	0x00465983	0x00064AF0	0x00064D83	d0c15b74a36077df30a0e60dbeb8441e878c08b82587c1ea55365ab2ebd70020	relation_predicate=VA:0x0043C380..0x0043C63C@file:0x0003B780..0x0003BA3C@sha256:1d99f8557252742914c4f7358853aac06f0b54603f78a4b4d073aaea2afcbd89	PF_ATTR_FIELD_SEMANTICS:f61d6df70f3ed3ef85bcb8388b482cabe5a6dd406fd3343633e7c7b5e0e44f16;PF_ATTR_FIELD_SEMANTICS:60bd7e9ad7c38843030431c91ddcc090acff9cbcf1a321e20e6983e23f07084e	IMAGE	PF_ROOT://GameClient/GameClient.local.bin	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	[MEASURED][IMAGE][NONCLAIM] The predicate is multi-input; no universal friendly/hostile enum label is assigned.	Live delivery and predicate outcome are not established by IMAGE alone.	Original capture or attended runtime join for the intended visible outcome.	6e2041061bc42b44934fd309059eb4177b136714d30e2b5eec5a5c8061d80cc7	ca8e476155e19f9639617710ba425050a6cb53514cdaf218d1bd9d1d741047f2	cb890ac4d997660f572af571efa99ffce8376250d4ff80e7e2bbe0171be1661b
MWC-IMG-011	SERVER_CONTROLLABLE_UPSTREAM	actor_relation_byte_operand	ActorAttr	W+R	+0x98	0x0B	1	presence mask +0x1B4 bit 0x04000000	0x00466595	0x00466AB2;0x0043C380	pinned direct primitive sites and manually interpreted hashed codec	[MEASURED][IMAGE] ActorAttr +0x98 is directly carried and participates in a local actor relation/name-style predicate.	DIRECT_WIRE_PREDICATE_OPERAND	PROVEN_EXACT_MANUAL_HASH_ANCHORED	named codec span; direct E8 sites verified against whole-image census			0x00466230	0x00466C6F	0x00065630	0x0006606F	ff1bf8f6b8beb33d6c070d4bbb2d37f8d83aaa93545a38397bf58f8acf72a5ed	relation_predicate=VA:0x0043C380..0x0043C63C@file:0x0003B780..0x0003BA3C@sha256:1d99f8557252742914c4f7358853aac06f0b54603f78a4b4d073aaea2afcbd89	PF_ATTR_FIELD_SEMANTICS:2360631178e80e06899077a2ab8d4057bfdaea703fb4a378b5b1420a2bd5fb35;PF_ATTR_FIELD_SEMANTICS:47b6d98d7c672f43755081524164ba6e44c242cdaccf2e5d2a2f52cfc9f5a8b9	IMAGE	PF_ROOT://GameClient/GameClient.local.bin	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	[MEASURED][IMAGE][NONCLAIM] No global gameplay relation noun or complete value domain is assigned.	Live delivery and predicate outcome are not established by IMAGE alone.	Original capture or attended runtime join for the intended visible outcome.	6e2041061bc42b44934fd309059eb4177b136714d30e2b5eec5a5c8061d80cc7	43f56de8af41713e271b682a305ffffe294528cc6a068008723f71be0678c3cf	2c85b9d7eabc23eba80bc5a0b82a4c0aabe879c0ed1dbf13945dca16bfe38340
