control_id	control_key	row_kind	axis	subject	measurement_label	method	control	exact_observation	measured_count	semantic_status	scope	evidence_file	evidence_file_size	evidence_file_sha256	evidence_locator	support_files	support_file_sizes	support_file_sha256s	evidence_key	claim_sha256	prior_artifact	prior_artifact_size	prior_artifact_sha256	prior_row_id	prior_row_key	prior_row_claim_sha256	relationship_to_prior	supersedes_artifact	supersedes_row_id	supersedes_row_key	supersedes_claim_digest	corrected_field	authority_precedence	source	nonclaim	blocker	required_next_evidence
CONSTDATA_INPUT_CHAIN	fcfda670803594864667d6dc1cdecd6ec7aba3febce407a7aeeeaae2fb2da208	DATA_INPUT_PIN	input_integrity	B_CONSTDATA_TH and four derived tables	PACKED_DECODED_DERIVED_PIN	Hash packed bytes, decode raw LZMA in memory, hash total payload and exact table spans, then hash derived TSV mirrors.	All inputs are opened read-only; decoded bytes are never written.	Packed size=426944 sha256=496b5c7b5a7f4c1ab5e343937ca7278b3db5b4501250caa7da47f22dc2c9c3f8;decoded size=8443000 sha256=496dfb2ef2cf517482a7b426c9dd5edf0278564fe11195b96f36df90607f0d2d;MOBS,AI_WANDER,AI_COMBAT,AI_TACTIC span and derived-table hashes all match their fixed pins.	packed_files=1;decoded_spans=4;derived_tables=4	PROVEN_EXACT	pinned_constdata_input_chain	PF_ROOT://GameClient/Data/B_CONSTDATA_TH.pc_	426944	496b5c7b5a7f4c1ab5e343937ca7278b3db5b4501250caa7da47f22dc2c9c3f8	DECOMP spans MOBS=0x0035AE0A..0x004A327E;AI_WANDER=0x00329A46..0x0032AA74;AI_TACTIC=0x0032AA74..0x0032BC36;AI_COMBAT=0x0032BC36..0x00351094	PF_ROOT://pf_bridge/gamedata/tables/CONSTDATA_TH__MOBS.tsv;PF_ROOT://pf_bridge/gamedata/tables/CONSTDATA_TH__AI_WANDER.tsv;PF_ROOT://pf_bridge/gamedata/tables/CONSTDATA_TH__AI_COMBAT.tsv;PF_ROOT://pf_bridge/gamedata/tables/CONSTDATA_TH__AI_TACTIC.tsv	749302;2313;79483;2393	3c0d33d68f832eefda56c845495008338dcef56f4277584b9ca479b7e1b3916b;0b3f1eb8e67915c4be5758c734cae17c575ac2aa76cb989e13242cfb6ad01a23;19cbc17fb124b5569dbe670fd793d22f00fec72645e6027348f09a6612d04a46;ddcdf163795217d717b5cf25d696ed60d93b51244a8f451541d7eed555efc42a	98518b5c1f599670228d851d94c379242a5cf67056cdd317547cb0ae726730bd	20aaf1af32157df8340b1f5d7c621b2aaae206843fca243d8326d18de81e888f	N/A	N/A	N/A	N/A	N/A	N/A	NEW_INPUT_CONTROL	N/A	N/A	N/A	N/A	N/A	N/A	DATA	Input integrity does not assign gameplay meaning to any column.	Input integrity alone does not validate an exact object-role law.	PROPOSED: Keep any consumer or runtime claim in a separately sourced artifact.
TEXTDATA_INPUT_CHAIN	cb6b93dc6df6f80d7507397abd563c3a52514400d0a1b453a0d70ee5f8a204ac	DATA_INPUT_PIN	input_integrity	B_TEXTDATA_TH and MOBS_TIP	PACKED_DECODED_DERIVED_PIN	Hash packed bytes, decode raw LZMA in memory, hash the total payload and MOBS_TIP span, then hash the derived TSV mirror.	Text labels remain DATA labels and are not promoted to behavior.	Packed size=336985 sha256=56b4826ed437c3f30bd1937c580ca612c22655600b5fbeb781b64c767e74c467;decoded size=3548508 sha256=80c8ae29b8fcd8fa2ca132a85d0ac786105d006ac7ed401639455ad1a940a5b0;MOBS_TIP span and derived-table hashes match their fixed pins.	packed_files=1;decoded_spans=1;derived_tables=1	PROVEN_EXACT	pinned_textdata_input_chain	PF_ROOT://GameClient/Data/B_TEXTDATA_TH.pc_	336985	56b4826ed437c3f30bd1937c580ca612c22655600b5fbeb781b64c767e74c467	DECOMP MOBS_TIP=0x001FEC7A..0x002431D6	PF_ROOT://pf_bridge/gamedata/tables/TEXTDATA_TH__MOBS_TIP.tsv	239200	e25ac667c9029e07752fbfd5d13b548d2e62ea439936884f30187c0c553ce38f	69f618a78fa3ada21da1d36e2b0b7da41f5f460f72458bac18307cde94dc76e6	d1f93d42eb93573c96863155befca1afef9ddc47ea922388f758cf30234b3065	N/A	N/A	N/A	N/A	N/A	N/A	NEW_INPUT_CONTROL	N/A	N/A	N/A	N/A	N/A	N/A	DATA	Text labels do not prove attackability or interaction policy.	MOBS_TIP is not a total join with MOBS.	PROPOSED: Join by exact n_ID and retain both missing-side populations.
AI_WANDER_LINK_INTEGRITY	1f4a34507717c4e8c32ab862a93cb162d059a0c181b30547273bef1f5a0df200	DATA_JOIN_CONTROL	AI_reference_integrity	MOBS.n_AI_WANDER to AI_WANDER.n_ID	FULL_LEFT_DOMAIN_REFERENCE_JOIN	Parse all 3210 MOBS rows, retain zero references, resolve every nonzero exact ID, and count unused definitions separately.	Zero-reference MOBS rows remain in the denominator; duplicate, missing, and orphan populations are independently counted.	MOBS=3210;zero_refs=17;nonzero_refs=3193;distinct_refs=61;definition_rows=73;duplicate_definition_ids=0;missing_refs=NONE;orphan_definition_ids=7,18,19,113,118,1002,1003,1004,9000,9001,9903,9904	population=3210;matched_nonzero=3193;missing_nonzero=0;orphan_definitions=12	PROVEN_EXACT	complete_MOBS_left_domain	PF_ROOT://pf_bridge/gamedata/tables/CONSTDATA_TH__MOBS.tsv	749302	3c0d33d68f832eefda56c845495008338dcef56f4277584b9ca479b7e1b3916b	all MOBS rows;AI definition table all rows	PF_ROOT://pf_bridge/gamedata/tables/CONSTDATA_TH__AI_WANDER.tsv;PF_ROOT://GameClient/Data/B_CONSTDATA_TH.pc_	2313;426944	0b3f1eb8e67915c4be5758c734cae17c575ac2aa76cb989e13242cfb6ad01a23;496b5c7b5a7f4c1ab5e343937ca7278b3db5b4501250caa7da47f22dc2c9c3f8	d6fceda980ea37e4172ca22a53b5d975c1aad8a6367747262d15864254944ce8	77f92bc8250c8faf111ca6b77ff815453d2f705d9ebac4bcce549803dc124e1c	PF_ROOT://pf_bridge/external/.pf_attr_generations/b96e420c290201ce60babec398fd2389ea36db2f2f30ce552d9d680f481f3fae/PF_ATTR_ROLE_DISCRIMINATOR.tsv	42626	3e8d99dd9fd9c8717e27d3ec8d43e2599a6037fc366e58637aff3a5cc8d5ec73	MOBS_SCHEMA_CENSUS	7354b105be5c884567bfd14fc5f0f8d6547d9311d4aa27df329428c48298b717	5de62fd8517fd720f520f4423e5c98f9571a04dced848f658060387db4ed7260	ADDITIVE_LINK_CENSUS	N/A	N/A	N/A	N/A	N/A	N/A	DATA	Reference integrity does not name the gameplay meaning of an AI profile.	No single joined ID is an exact NPC, monster, or training-object enum.	PROPOSED: Attach consumer evidence separately before assigning behavior semantics.
AI_COMBAT_LINK_INTEGRITY	e6185f2b3609625e1903d112a059ebe0e51160e6c751e1bcde20f23bd45388a3	DATA_JOIN_CONTROL	AI_reference_integrity	MOBS.n_AI_COMBAT to AI_COMBAT.n_ID	FULL_LEFT_DOMAIN_REFERENCE_JOIN	Parse all 3210 MOBS rows, retain zero references, resolve every nonzero exact ID, and count unused definitions separately.	Zero-reference MOBS rows remain in the denominator; duplicate, missing, and orphan populations are independently counted.	MOBS=3210;zero_refs=1326;nonzero_refs=1884;distinct_refs=184;definition_rows=276;duplicate_definition_ids=0;missing_refs=NONE;orphan_definition_ids=2,9,122,126,143,154,184,213,263,265,284,285,294,305,314,334,470,500,510,520,530,540,550,1000,1002,1004,1005,1007,1008,1009,1010,1011,1012,1013,1014,1015,1016,1017,1018,1019,1021,1022,1024,1025,1026,1028,1030,1032,1033,1035,1036,1037,1038,1500,1501,1502,1503,1504,1505,1506,1507,1511,1512,1513,1514,1515,1516,1517,1521,1522,1523,1524,1525,1526,1527,1531,1532,1533,1534,1535,1536,1537,1541,1542,1543,1544,1545,1546,1547,9903,9904,9999	population=3210;matched_nonzero=1884;missing_nonzero=0;orphan_definitions=92	PROVEN_EXACT	complete_MOBS_left_domain	PF_ROOT://pf_bridge/gamedata/tables/CONSTDATA_TH__MOBS.tsv	749302	3c0d33d68f832eefda56c845495008338dcef56f4277584b9ca479b7e1b3916b	all MOBS rows;AI definition table all rows	PF_ROOT://pf_bridge/gamedata/tables/CONSTDATA_TH__AI_COMBAT.tsv;PF_ROOT://GameClient/Data/B_CONSTDATA_TH.pc_	79483;426944	19cbc17fb124b5569dbe670fd793d22f00fec72645e6027348f09a6612d04a46;496b5c7b5a7f4c1ab5e343937ca7278b3db5b4501250caa7da47f22dc2c9c3f8	63adae0ca66d9bf88cdc7526e94aeae556fde668b2ea47054842658c3cc040ce	834215c2d0a815fc7795e95b10bc04733a601b3990467fb372ad14641e449393	PF_ROOT://pf_bridge/external/.pf_attr_generations/b96e420c290201ce60babec398fd2389ea36db2f2f30ce552d9d680f481f3fae/PF_ATTR_ROLE_DISCRIMINATOR.tsv	42626	3e8d99dd9fd9c8717e27d3ec8d43e2599a6037fc366e58637aff3a5cc8d5ec73	MOBS_SCHEMA_CENSUS	7354b105be5c884567bfd14fc5f0f8d6547d9311d4aa27df329428c48298b717	5de62fd8517fd720f520f4423e5c98f9571a04dced848f658060387db4ed7260	ADDITIVE_LINK_CENSUS	N/A	N/A	N/A	N/A	N/A	N/A	DATA	Reference integrity does not name the gameplay meaning of an AI profile.	No single joined ID is an exact NPC, monster, or training-object enum.	PROPOSED: Attach consumer evidence separately before assigning behavior semantics.
AI_TACTIC_LINK_INTEGRITY	1328ea18f78f863ca9f003a74ed2ca55613acd3326729ccbea6e190291e5cb42	DATA_JOIN_CONTROL	AI_reference_integrity	MOBS.n_AI_TACTIC to AI_TACTIC.n_ID	FULL_LEFT_DOMAIN_REFERENCE_JOIN	Parse all 3210 MOBS rows, retain zero references, resolve every nonzero exact ID, and count unused definitions separately.	Zero-reference MOBS rows remain in the denominator; duplicate, missing, and orphan populations are independently counted.	MOBS=3210;zero_refs=1326;nonzero_refs=1884;distinct_refs=6;definition_rows=9;duplicate_definition_ids=0;missing_refs=NONE;orphan_definition_ids=4,100,9903	population=3210;matched_nonzero=1884;missing_nonzero=0;orphan_definitions=3	PROVEN_EXACT	complete_MOBS_left_domain	PF_ROOT://pf_bridge/gamedata/tables/CONSTDATA_TH__MOBS.tsv	749302	3c0d33d68f832eefda56c845495008338dcef56f4277584b9ca479b7e1b3916b	all MOBS rows;AI definition table all rows	PF_ROOT://pf_bridge/gamedata/tables/CONSTDATA_TH__AI_TACTIC.tsv;PF_ROOT://GameClient/Data/B_CONSTDATA_TH.pc_	2393;426944	ddcdf163795217d717b5cf25d696ed60d93b51244a8f451541d7eed555efc42a;496b5c7b5a7f4c1ab5e343937ca7278b3db5b4501250caa7da47f22dc2c9c3f8	8c6b864d6679f05a28641f7e07761bda88c873250aa1a7e57c754453c5625473	96710b11f1eeb8b6420d3b9f626fe58f5de1455b5aed590dce37ee0712164f1c	PF_ROOT://pf_bridge/external/.pf_attr_generations/b96e420c290201ce60babec398fd2389ea36db2f2f30ce552d9d680f481f3fae/PF_ATTR_ROLE_DISCRIMINATOR.tsv	42626	3e8d99dd9fd9c8717e27d3ec8d43e2599a6037fc366e58637aff3a5cc8d5ec73	MOBS_SCHEMA_CENSUS	7354b105be5c884567bfd14fc5f0f8d6547d9311d4aa27df329428c48298b717	5de62fd8517fd720f520f4423e5c98f9571a04dced848f658060387db4ed7260	ADDITIVE_LINK_CENSUS	N/A	N/A	N/A	N/A	N/A	N/A	DATA	Reference integrity does not name the gameplay meaning of an AI profile.	No single joined ID is an exact NPC, monster, or training-object enum.	PROPOSED: Attach consumer evidence separately before assigning behavior semantics.
AI_COMBAT_TACTIC_COUPLING	7df8b42157dc57f527723bb675d7d315724299c6a7f6f9a3ec56b0eee5183048	DATA_MATRIX	AI_reference_coupling	MOBS W/C/T nonzero state	FULL_3210_BINARY_MATRIX	For every MOBS row, map each AI reference to zero/nonzero without dropping the 17 W=0 rows.	Assert C and T nonzero states agree on all 3210 rows and publish every observed W/C/T cell.	W0C0T0=17;W1C0T0=1309;W1C1T1=1884;C_T_state_mismatches=0	population=3210;observed_cells=3;mismatches=0	PROVEN_EXACT	complete_MOBS_binary_matrix	PF_ROOT://pf_bridge/gamedata/tables/CONSTDATA_TH__MOBS.tsv	749302	3c0d33d68f832eefda56c845495008338dcef56f4277584b9ca479b7e1b3916b	columns=n_AI_WANDER,n_AI_COMBAT,n_AI_TACTIC	PF_ROOT://pf_bridge/gamedata/tables/CONSTDATA_TH__AI_WANDER.tsv;PF_ROOT://pf_bridge/gamedata/tables/CONSTDATA_TH__AI_COMBAT.tsv;PF_ROOT://pf_bridge/gamedata/tables/CONSTDATA_TH__AI_TACTIC.tsv;PF_ROOT://GameClient/Data/B_CONSTDATA_TH.pc_	2313;79483;2393;426944	0b3f1eb8e67915c4be5758c734cae17c575ac2aa76cb989e13242cfb6ad01a23;19cbc17fb124b5569dbe670fd793d22f00fec72645e6027348f09a6612d04a46;ddcdf163795217d717b5cf25d696ed60d93b51244a8f451541d7eed555efc42a;496b5c7b5a7f4c1ab5e343937ca7278b3db5b4501250caa7da47f22dc2c9c3f8	e4e993026c505b29e75cd4eb54c3991741746bdcb2f9482a9bc757dda5c8878f	bc79261994ff95b8673660c6e598e767388ffbdce6b8b42e7f5e7d16766bc24c	PF_ROOT://pf_bridge/external/.pf_attr_generations/b96e420c290201ce60babec398fd2389ea36db2f2f30ce552d9d680f481f3fae/PF_ATTR_ROLE_DISCRIMINATOR.tsv	42626	3e8d99dd9fd9c8717e27d3ec8d43e2599a6037fc366e58637aff3a5cc8d5ec73	MOBS_SCHEMA_CENSUS	7354b105be5c884567bfd14fc5f0f8d6547d9311d4aa27df329428c48298b717	5de62fd8517fd720f520f4423e5c98f9571a04dced848f658060387db4ed7260	ADDITIVE_COUPLED_COUNT	N/A	N/A	N/A	N/A	N/A	N/A	DATA	Binary co-occurrence does not prove that combat and tactic IDs have identical semantics.	The table contains no role enum for the coupled state.	PROPOSED: Keep the coupling as reconstruction input, not a class label.
USAGE_RCO_FULL_MATRIX	7a3286614cd16e2b4c553c9ba6cb927408eec1e661b0391d88a266dc2711f816	DATA_MATRIX	usage_rank_combat_offensive	MOBS.n_MOB_USAGE crossed with R/C/O	FULL_USAGE_RCO_MATRIX	Partition all MOBS rows by U=n_MOB_USAGE and exact R=(rank>0), C=(combat!=0), O=(joined offensive!=0) cells.	All nine usage values and all zero cells are represented by a fixed complete-domain census.	U0:R0C0O0=180,R0C0O1=0,R0C1O0=0,R0C1O1=0,R1C0O0=0,R1C0O1=0,R1C1O0=0,R1C1O1=0|U1:R0C0O0=2,R0C0O1=0,R0C1O0=1,R0C1O1=5,R1C0O0=1,R1C0O1=3,R1C1O0=246,R1C1O1=1287|U2:R0C0O0=784,R0C0O1=0,R0C1O0=0,R0C1O1=14,R1C0O0=18,R1C0O1=0,R1C1O0=9,R1C1O1=7|U3:R0C0O0=0,R0C0O1=0,R0C1O0=0,R0C1O1=0,R1C0O0=0,R1C0O1=0,R1C1O0=0,R1C1O1=2|U4:R0C0O0=0,R0C0O1=0,R0C1O0=0,R0C1O1=6,R1C0O0=0,R1C0O1=0,R1C1O0=0,R1C1O1=11|U5:R0C0O0=93,R0C0O1=0,R0C1O0=0,R0C1O1=28,R1C0O0=0,R1C0O1=0,R1C1O0=0,R1C1O1=1|U6:R0C0O0=71,R0C0O1=12,R0C1O0=0,R0C1O1=0,R1C0O0=0,R1C0O1=0,R1C1O0=0,R1C1O1=0|U7:R0C0O0=127,R0C0O1=21,R0C1O0=0,R0C1O1=147,R1C0O0=6,R1C0O1=4,R1C1O0=19,R1C1O1=22|U8:R0C0O0=4,R0C0O1=0,R0C1O0=1,R0C1O1=10,R1C0O0=0,R1C0O1=0,R1C1O0=3,R1C1O1=65	population=3210;usage_values=9;total_cells=72;nonzero_cells=33	PROVEN_EXACT	complete_MOBS_usage_domain	PF_ROOT://pf_bridge/gamedata/tables/CONSTDATA_TH__MOBS.tsv	749302	3c0d33d68f832eefda56c845495008338dcef56f4277584b9ca479b7e1b3916b	columns=n_MOB_USAGE,n_RANK,n_AI_COMBAT,n_AI_WANDER;AI_WANDER.n_OFFESIVE	PF_ROOT://pf_bridge/gamedata/tables/CONSTDATA_TH__AI_WANDER.tsv;PF_ROOT://GameClient/Data/B_CONSTDATA_TH.pc_	2313;426944	0b3f1eb8e67915c4be5758c734cae17c575ac2aa76cb989e13242cfb6ad01a23;496b5c7b5a7f4c1ab5e343937ca7278b3db5b4501250caa7da47f22dc2c9c3f8	856f912b28bd90f5a728a7bb510019424c7b7907598bb55c48b505983d8381c0	d2ca58181f7bec43ff8ee21fb4dc9d74368a0f27a424e0c1ff29713b46657394	PF_ROOT://pf_bridge/external/.pf_attr_generations/b96e420c290201ce60babec398fd2389ea36db2f2f30ce552d9d680f481f3fae/PF_ATTR_ROLE_DISCRIMINATOR.tsv	42626	3e8d99dd9fd9c8717e27d3ec8d43e2599a6037fc366e58637aff3a5cc8d5ec73	MOBS_OFFESIVE_WEIGHTED_CROSS;MOBS_RANK_COMBAT_CROSS;MOBS_USAGE_VALUE_DOMAIN	a934981182bc7c0e599b51fd4430d8437b541794c382de8c556f809790c33af1;e40e07927107bff578c8526809280b9997529665b8bee43fd105e11aaa4dab95;8b33d827a18f114a67fbbd4d3aa6741a736b760893e263809133d0d8148d2828	6be00acea321d43dcb58527da89b7752aa1ba965dba387a24c8bc3d1d6e419fd;7f7621a88e675aff29253fbaa5459f5d6c96ea9dc7d9a8b573aa52bb7df84943;39168c0e09b7369589dd44991a4320091675e1664aa93ba57e2bc48b53a330e4	ADDITIVE_COMPLETE_MATRIX	N/A	N/A	N/A	N/A	N/A	N/A	DATA	R, C, O, and U are measured traits; no cell name is a gameplay role.	Every named role would still require an independent producer/consumer or runtime result.	PROPOSED: Use exact IDs and treat any selected reconstruction rule as a bounded hypothesis.
USAGE_U1_COUNTEREXAMPLES	789ef701b0c8c3dd1984c7491f6f3598738cb18883f6c35078f8b14e642e3926	DATA_COUNTEREXAMPLE_SET	usage1_cluster_limits	MOBS U=1	EXACT_FALSE_POSITIVE_AND_FALSE_NEGATIVE_IDS	Compare U=1 against the empirical R-and-C conjunction across the complete MOBS population.	Publish all 12 U1 rows outside RC and the distribution of 139 RC rows outside U1.	U1_total=1545;R=1537;C=1539;O=1295;K=3;Q=2;chat=918;voice=1;role_graphic=8;RC=1533;U1_non_RC_ids=642,896,933,1017,1924,1925,8039,8041,8163,8180,9043,9044;RC_outside_U1=139;RC_outside_by_U=U2=16;U3=2;U4=11;U5=1;U7=41;U8=68	counterexample_ids=12;missed_RC=139	PROVEN_EXACT	complete_MOBS_usage1_and_RC_comparator	PF_ROOT://pf_bridge/gamedata/tables/CONSTDATA_TH__MOBS.tsv	749302	3c0d33d68f832eefda56c845495008338dcef56f4277584b9ca479b7e1b3916b	all U1 rows plus all rank-positive/combat-nonzero rows	PF_ROOT://pf_bridge/gamedata/tables/CONSTDATA_TH__AI_WANDER.tsv;PF_ROOT://pf_bridge/gamedata/tables/TEXTDATA_TH__MOBS_TIP.tsv;PF_ROOT://GameClient/Data/B_CONSTDATA_TH.pc_;PF_ROOT://GameClient/Data/B_TEXTDATA_TH.pc_	2313;239200;426944;336985	0b3f1eb8e67915c4be5758c734cae17c575ac2aa76cb989e13242cfb6ad01a23;e25ac667c9029e07752fbfd5d13b548d2e62ea439936884f30187c0c553ce38f;496b5c7b5a7f4c1ab5e343937ca7278b3db5b4501250caa7da47f22dc2c9c3f8;56b4826ed437c3f30bd1937c580ca612c22655600b5fbeb781b64c767e74c467	1977b0807c2acbe60ea8e9462a02c931954c22213fa7b715bb4c2db7f0a90998	d0b20d96aa34fb2e2d68f307f53516c71e6df5572f73c50a2f45e3accfb1b258	PF_ROOT://pf_bridge/external/.pf_attr_generations/b96e420c290201ce60babec398fd2389ea36db2f2f30ce552d9d680f481f3fae/PF_ATTR_ROLE_DISCRIMINATOR.tsv	42626	3e8d99dd9fd9c8717e27d3ec8d43e2599a6037fc366e58637aff3a5cc8d5ec73	MOBS_USAGE1_RC_CLUSTER	5e3818a326e78ec2e00fc17bc8c29887867128b33570025a925260a0f2a20260	a093ef7ba1578d9165d188d797ccba3ab00aae64a082c44a223c56c7b2fe4a73	ADDITIVE_EXACT_COUNTEREXAMPLE_IDS	N/A	N/A	N/A	N/A	N/A	N/A	DATA	RC is only a comparator, not ground-truth monster class.	U1 and RC disagree in both directions.	PROPOSED: Do not implement U1 as an exact object-role law.
USAGE_U2_KQ_MIXED_TRAITS	0d9d905df0e82743285a2b9fba98d8f2d1f2a847fc0e0a8183b93c4de8dfa6f9	DATA_COUNTEREXAMPLE_SET	usage2_service_cluster_limits	MOBS U=2 and KQ subset	EXACT_MIXED_TRAIT_IDS	Count U2 traits, then enumerate every R, C, and O row inside the exact U2+K+Q subset.	No R/C/O row is discarded from the 670-row U2KQ denominator.	U2_total=832;R=34;C=30;O=21;K=674;Q=691;chat=790;voice=652;role_graphic=212;U2KQ=670;KQ_R_ids=528,529,576,586,850,1666,1667,1690,1691,1720,1721,3170;KQ_C_ids=157,187,191,529,573,576,586,918,1480,1487;KQ_O_ids=157,187,191,573,586,918,1480,1487	U2KQ=670;R=12;C=10;O=8	PROVEN_EXACT	complete_MOBS_usage2_KQ_subset	PF_ROOT://pf_bridge/gamedata/tables/CONSTDATA_TH__MOBS.tsv	749302	3c0d33d68f832eefda56c845495008338dcef56f4277584b9ca479b7e1b3916b	columns=n_MOB_USAGE,n_CAPABILITY,quest vectors,n_RANK,n_AI_COMBAT,n_AI_WANDER	PF_ROOT://pf_bridge/gamedata/tables/CONSTDATA_TH__AI_WANDER.tsv;PF_ROOT://pf_bridge/gamedata/tables/TEXTDATA_TH__MOBS_TIP.tsv;PF_ROOT://GameClient/Data/B_CONSTDATA_TH.pc_;PF_ROOT://GameClient/Data/B_TEXTDATA_TH.pc_	2313;239200;426944;336985	0b3f1eb8e67915c4be5758c734cae17c575ac2aa76cb989e13242cfb6ad01a23;e25ac667c9029e07752fbfd5d13b548d2e62ea439936884f30187c0c553ce38f;496b5c7b5a7f4c1ab5e343937ca7278b3db5b4501250caa7da47f22dc2c9c3f8;56b4826ed437c3f30bd1937c580ca612c22655600b5fbeb781b64c767e74c467	cb9501e26ae3eab8a7dd42e63138122c9bc27bf8e5019763630192bd405ed635	0f0ebf8620ab072a92ac3ccc53733a59fe4029007076667cd7c4e6af695827e2	PF_ROOT://pf_bridge/external/.pf_attr_generations/b96e420c290201ce60babec398fd2389ea36db2f2f30ce552d9d680f481f3fae/PF_ATTR_ROLE_DISCRIMINATOR.tsv	42626	3e8d99dd9fd9c8717e27d3ec8d43e2599a6037fc366e58637aff3a5cc8d5ec73	MOBS_USAGE2_KQ_CLUSTER	6518260e8bce7be2f3da7a00d4693acccf573ad32e687a1617bc9fdc14dacea3	f5325cec52077563a172092c9605b4af77c083b180b1a388ba78704fc31a8b92	ADDITIVE_EXACT_MIXED_IDS	N/A	N/A	N/A	N/A	N/A	N/A	DATA	K and Q are DATA traits, not proved talkability or service admission.	The U2KQ subset contains R, C, and O rows.	PROPOSED: Do not collapse the mixed subset into a universal NPC/service class.
USAGE_U7_MIXED_TRAITS	7214f02e46a915b1c2e9af30b8b814611caef1df65a10c2b59b4f8bd2ba60ade	DATA_MATRIX	usage7_mixed_population	MOBS U=7	COMPLETE_U7_TRAIT_COUNTS	Count R, C, O, K, Q, chat, voice, and role-graphic traits over every U7 row.	Use the full 346-row denominator and retain all seven observed R/C/O cells.	U7_total=346;R=51;C=188;O=194;K=75;Q=90;chat=72;voice=3;role_graphic=0;RCO_cells=R0C0O0=127;R0C0O1=21;R0C1O1=147;R1C0O0=6;R1C0O1=4;R1C1O0=19;R1C1O1=22;total=346	population=346;RCO_observed_cells=7	PROVEN_EXACT	complete_MOBS_usage7_population	PF_ROOT://pf_bridge/gamedata/tables/CONSTDATA_TH__MOBS.tsv	749302	3c0d33d68f832eefda56c845495008338dcef56f4277584b9ca479b7e1b3916b	all U7 rows;joined AI_WANDER and MOBS_TIP retained by left join	PF_ROOT://pf_bridge/gamedata/tables/CONSTDATA_TH__AI_WANDER.tsv;PF_ROOT://pf_bridge/gamedata/tables/TEXTDATA_TH__MOBS_TIP.tsv;PF_ROOT://GameClient/Data/B_CONSTDATA_TH.pc_;PF_ROOT://GameClient/Data/B_TEXTDATA_TH.pc_	2313;239200;426944;336985	0b3f1eb8e67915c4be5758c734cae17c575ac2aa76cb989e13242cfb6ad01a23;e25ac667c9029e07752fbfd5d13b548d2e62ea439936884f30187c0c553ce38f;496b5c7b5a7f4c1ab5e343937ca7278b3db5b4501250caa7da47f22dc2c9c3f8;56b4826ed437c3f30bd1937c580ca612c22655600b5fbeb781b64c767e74c467	a05a468db42e211cea0b5d3da185eaac7bc35806d30a34f8e558cc4f3abb0728	1a6574abd1ec12ce5980db01d5981c44946979a4cff0d7cac3285ddbb2e0e584	PF_ROOT://pf_bridge/external/.pf_attr_generations/b96e420c290201ce60babec398fd2389ea36db2f2f30ce552d9d680f481f3fae/PF_ATTR_ROLE_DISCRIMINATOR.tsv	42626	3e8d99dd9fd9c8717e27d3ec8d43e2599a6037fc366e58637aff3a5cc8d5ec73	MOBS_USAGE_VALUE_DOMAIN	8b33d827a18f114a67fbbd4d3aa6741a736b760893e263809133d0d8148d2828	39168c0e09b7369589dd44991a4320091675e1664aa93ba57e2bc48b53a330e4	ADDITIVE_U7_CONTROL	N/A	N/A	N/A	N/A	N/A	N/A	DATA	U7 is a heterogeneous DATA population, not a training-object enum.	No machine-readable role name accompanies U7.	PROPOSED: Use exact record evidence for any training-object behavior.
