delta_key	action	base_file	base_line	base_row_key	message	priority	old_registry_identity_status	new_registry_identity_status	old_registry_identity_missing	new_registry_identity_missing	old_serializer_status	new_serializer_status	old_serializer_blockers	new_serializer_blockers	old_structural_status	new_structural_status	old_blocker	new_blocker	evidence_ticket	closure_scope	source
d161847d1eee3b10bae6b7fa7c83a3ebb0f9ef711662058e7a26dce2112d50ab	CHANGED	PF_PROTOCOL_PRIORITY.tsv	365	9535eeba1201049446119bb81c6c256617da34b01a8ab0f2951d205808efcc04	ActorExpressData	1	KNOWN	KNOWN	N/A	N/A	CLOSED	OPEN	N/A	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot | invalid_parameter_import_call_wire_effect_unproved | invalid_parameter_singleton_register_call_wire_effect_unproved	CLOSED	OPEN	N/A	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot | invalid_parameter_import_call_wire_effect_unproved | invalid_parameter_singleton_register_call_wire_effect_unproved	SLOT34-CORRECTION	STATIC_WIRE_STRUCTURE_ONLY;V1_IMMUTABLE	IMAGE
40f425f0e4b2a2bd69af2da289e2fc641bef341b917455b5857f02d11ef58eaa	CHANGED	PF_PROTOCOL_PRIORITY.tsv	387	7c5bb6d0d3ee60c026bf1efd24da742f3e43b9d05c83803b9d370f58f0062430	ActorLearnedPetsSkillData	1	KNOWN	KNOWN	N/A	N/A	CLOSED	OPEN	N/A	direct_call_not_proven_serializer | invalid_parameter_import_call_wire_effect_unproved	CLOSED	OPEN	N/A	direct_call_not_proven_serializer | invalid_parameter_import_call_wire_effect_unproved	SLOT34-CORRECTION	STATIC_WIRE_STRUCTURE_ONLY;V1_IMMUTABLE	IMAGE
7a70991813a6290f68a49d6634fba5673370fa7f44b45baa31a788a163428493	CHANGED	PF_PROTOCOL_PRIORITY.tsv	130	3ec4c450a1c53dafd6b3440bc7ee1dc7754afbde2d693539d16f9fdceaf866e9	ActorMailData	1	KNOWN	KNOWN	N/A	N/A	CLOSED	OPEN	N/A	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | invalid_parameter_import_call_wire_effect_unproved | mutable_pointer_slot_traversal_alias_unproved	CLOSED	OPEN	N/A	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | invalid_parameter_import_call_wire_effect_unproved | mutable_pointer_slot_traversal_alias_unproved	SLOT34-CORRECTION	STATIC_WIRE_STRUCTURE_ONLY;V1_IMMUTABLE	IMAGE
c2628432a7691c8566b5ccaceced0ad6bc75710ce4be15d247296a2516c44a87	CHANGED	PF_PROTOCOL_PRIORITY.tsv	11	4fad886ed0ba6895f70c047d9af041546aa5f66878169691cbf5aea980f46129	BackpackAttr	3	KNOWN	KNOWN	N/A	N/A	OPEN	OPEN	direct_call_not_proven_serializer	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot | indirect_serializer_direction_unresolved | invalid_parameter_import_call_wire_effect_unproved | invalid_parameter_singleton_register_call_wire_effect_unproved | mutable_pointer_slot_traversal_alias_unproved	OPEN	OPEN	direct_call_not_proven_serializer	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot | indirect_serializer_direction_unresolved | invalid_parameter_import_call_wire_effect_unproved | invalid_parameter_singleton_register_call_wire_effect_unproved | mutable_pointer_slot_traversal_alias_unproved	SLOT34-CORRECTION	STATIC_WIRE_STRUCTURE_ONLY;V1_IMMUTABLE	IMAGE
93c8e8d91185890550cd38f97b81204107b08b3e20039205f0de49191bc1fb05	CHANGED	PF_PROTOCOL_PRIORITY.tsv	404	57973bc3d8367b7e6b0ba59f4ed59b27fe068a69c0792522e7def92c2b37acfd	CAchievementsAttr	3	KNOWN	KNOWN	N/A	N/A	CLOSED	OPEN	N/A	atomic_target_pointer_alias_unproved | direct_call_not_proven_serializer | indirect_call_not_proven_serializer_slot | invalid_parameter_import_call_wire_effect_unproved | invalid_parameter_singleton_register_call_wire_effect_unproved | locked_mutable_pointer_slot_nested_target_and_alias_unproved | mutable_chain_target_object_alias_unproved	CLOSED	OPEN	N/A	atomic_target_pointer_alias_unproved | direct_call_not_proven_serializer | indirect_call_not_proven_serializer_slot | invalid_parameter_import_call_wire_effect_unproved | invalid_parameter_singleton_register_call_wire_effect_unproved | locked_mutable_pointer_slot_nested_target_and_alias_unproved | mutable_chain_target_object_alias_unproved	SLOT34-CORRECTION	STATIC_WIRE_STRUCTURE_ONLY;V1_IMMUTABLE	IMAGE
92afda5a953dce44279a834e5e71a1b1dafc2d9f542dcd6446c4965f57b222ef	CHANGED	PF_PROTOCOL_PRIORITY.tsv	167	bbeadf318680d4a3b5b598183d5a54c89bbf37879770f086f6771971709efa0c	CBuffAttr	2	KNOWN	KNOWN	N/A	N/A	CLOSED	OPEN	N/A	direct_call_not_proven_serializer | primitive_tag_or_len_not_immediate	CLOSED	OPEN	N/A	direct_call_not_proven_serializer | primitive_tag_or_len_not_immediate	SLOT34-CORRECTION	STATIC_WIRE_STRUCTURE_ONLY;V1_IMMUTABLE	IMAGE
01cea0393841a73ad9a5947bad531ac758d260c03af925a3a478727360f875eb	CHANGED	PF_PROTOCOL_PRIORITY.tsv	349	579e06c67d6c6607a2c48d9308992ec7e88f4df3fef96a82e0a8f4384808c56f	CCooldownAttr	3	KNOWN	KNOWN	N/A	N/A	CLOSED	OPEN	N/A	direct_call_not_proven_serializer | invalid_parameter_import_call_wire_effect_unproved | mutable_chain_target_object_alias_unproved	CLOSED	OPEN	N/A	direct_call_not_proven_serializer | invalid_parameter_import_call_wire_effect_unproved | mutable_chain_target_object_alias_unproved	SLOT34-CORRECTION	STATIC_WIRE_STRUCTURE_ONLY;V1_IMMUTABLE	IMAGE
d7ea6be68e2656adab63669736997bfbf9053cddf3bcfc2f05d0c7d9d9ad0d68	CHANGED	PF_PROTOCOL_PRIORITY.tsv	209	6695d6b2ee5e33bc81e62ccb0f825bba1cdef96314cbe19fb844912ef96235ec	CGuildStorageAttr	3	KNOWN	KNOWN	N/A	N/A	OPEN	OPEN	direct_call_not_proven_serializer	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot | indirect_serializer_direction_unresolved | invalid_parameter_import_call_wire_effect_unproved | invalid_parameter_singleton_register_call_wire_effect_unproved | mutable_pointer_slot_traversal_alias_unproved	OPEN	OPEN	direct_call_not_proven_serializer	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot | indirect_serializer_direction_unresolved | invalid_parameter_import_call_wire_effect_unproved | invalid_parameter_singleton_register_call_wire_effect_unproved | mutable_pointer_slot_traversal_alias_unproved	SLOT34-CORRECTION	STATIC_WIRE_STRUCTURE_ONLY;V1_IMMUTABLE	IMAGE
d0dacbd95b8defad7539dba8eb176b34ab3e40dd2efc5bc52af81b886cae2754	CHANGED	PF_PROTOCOL_PRIORITY.tsv	503	6bff4a2a6538d672e1edc1d636a8098332fbe817ec14e48938861ae8c46c9c7d	CSkillAttr	2	KNOWN	KNOWN	N/A	N/A	CLOSED	OPEN	N/A	direct_call_not_proven_serializer | invalid_parameter_import_call_wire_effect_unproved	CLOSED	OPEN	N/A	direct_call_not_proven_serializer | invalid_parameter_import_call_wire_effect_unproved	SLOT34-CORRECTION	STATIC_WIRE_STRUCTURE_ONLY;V1_IMMUTABLE	IMAGE
7a97ca19b62b6ef27a3ce077492b80790ee1cd37e0bea9f80d9f7be748ff4616	CHANGED	PF_PROTOCOL_PRIORITY.tsv	13	822c3d2b36acd690d108a544b72a21f9085a5fe5f6140bc2143018f0a40a0203	CollectionBagAttr	3	KNOWN	KNOWN	N/A	N/A	OPEN	OPEN	direct_call_not_proven_serializer	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot | indirect_serializer_direction_unresolved | invalid_parameter_import_call_wire_effect_unproved | invalid_parameter_singleton_register_call_wire_effect_unproved | mutable_pointer_slot_traversal_alias_unproved	OPEN	OPEN	direct_call_not_proven_serializer	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot | indirect_serializer_direction_unresolved | invalid_parameter_import_call_wire_effect_unproved | invalid_parameter_singleton_register_call_wire_effect_unproved | mutable_pointer_slot_traversal_alias_unproved	SLOT34-CORRECTION	STATIC_WIRE_STRUCTURE_ONLY;V1_IMMUTABLE	IMAGE
