name	name_va	reg_site_va	id_global_va	getter_va	vtable_va	serializer_va	handler_va	file_off_reg	file_off_name	file_off_getter	file_off_vtable	file_off_serializer_ptr	file_off_handler_ptr	source
Attribute	0x00F0E748	0x00BD92D0	0x01033458	0x00467640	0x00F0E850	0x00515EC0	0x00463710	0x007D86D0	0x00B0CB48	0x00066A40	0x00B0CC50	0x00B0CC68	0x00B0CC6C	IMAGE
AvatarAttr	0x00F0E754	0x00BD9350	0x01033468	0x0045E150	0x00F0E088	0x0043BB80	0x00463710	0x007D8750	0x00B0CB54	0x0005D550	0x00B0C488	0x00B0C4A0	0x00B0C4A4	IMAGE
BasicAttr	0x00F0E820	0x00BD93B0	0x0103349C	0x00464A60	0x00F0E760	0x0043BB80	0x00463710	0x007D87B0	0x00B0CC20	0x00063E60	0x00B0CB60	0x00B0CB78	0x00B0CB7C	IMAGE
ActorAttr	0x00F0E82C	0x00BD93D0	0x010334A0	0x00464E40	0x00F0E7A0	0x0043BB80	0x00463710	0x007D87D0	0x00B0CC2C	0x00064240	0x00B0CBA0	0x00B0CBB8	0x00B0CBBC	IMAGE
NPCAttr	0x00F0E838	0x00BD93F0	0x010334A4	0x004652C0	0x00F0E7E0	0x0043BB80	0x00463710	0x007D87F0	0x00B0CC38	0x000646C0	0x00B0CBE0	0x00B0CBF8	0x00B0CBFC	IMAGE
MovementAttr	0x00F0E840	0x00BD9410	0x010334A8	0x0043BBB0	0x00F0D0F8	0x0043BB80	0x00463710	0x007D8810	0x00B0CC40	0x0003AFB0	0x00B0B4F8	0x00B0B510	0x00B0B514	IMAGE
DBAttribute	0x00F0E8D0	0x00BD9530	0x010334B8	0x00467680	0x00F0E890	0x0043BB80	0x00463710	0x007D8930	0x00B0CCD0	0x00066A80	0x00B0CC90	0x00B0CCA8	0x00B0CCAC	IMAGE
FightAttr	0x00F0E920	0x00BD95A0	0x010334CC	0x00467A20	0x00F0E8E0	0x00515EC0	0x00463710	0x007D89A0	0x00B0CD20	0x00066E20	0x00B0CCE0	0x00B0CCF8	0x00B0CCFC	IMAGE
InstanceRefreshAttr	0x00F0E970	0x00BD9600	0x010334DC	0x00469210	0x00F0E930	0x0043BB80	0x00463710	0x007D8A00	0x00B0CD70	0x00068610	0x00B0CD30	0x00B0CD48	0x00B0CD4C	IMAGE
BackpackAttr	0x00F0EAD4	0x00BD9660	0x0103353C	0x0046ABB0	0x00F0EA88	0x0046E0A0	0x0046D870	0x007D8A60	0x00B0CED4	0x00069FB0	0x00B0CE88	0x00B0CEA0	0x00B0CEA4	IMAGE
