root_key	name	schema_variant	base_registry_line	vtable_va	old_serializer_pointer_file_off	old_serializer_va	corrected_serializer_pointer_file_off	corrected_serializer_va	span_start	span_end	file_off	length	span_sha256	source
5b44332d38039d8b01c849c8fad507698c4f0d8e7fe612a2b6b724ea259cd35a	AvatarAttr	SINGLETON_SLOT34	3	0x00F0E088	0x00B0C4A0	0x0043BB80	0x00B0C4BC	0x00464560	0x00464560	0x00464952	0x00063960	1010	d9f565631b1e5afd35ceead1e230a8ecb38b55ffb007da587e0ce605e18a0b88	IMAGE
4b03394cff6f05865105307f3a24b8d73ab82ed743a7e379d70f935e21bcbc0a	BasicAttr	SINGLETON_SLOT34	4	0x00F0E760	0x00B0CB78	0x0043BB80	0x00B0CB94	0x004656F0	0x004656F0	0x00465986	0x00064AF0	662	4a8e1b0c95ec929c08bfe944f7f6bfc82d6c64b8b5154f1cbbfb387b5df5ef25	IMAGE
fb435862629f2e5522976a7ba8322527c7b34a30f16c0442e2584b7e49f40644	ActorAttr	SINGLETON_SLOT34	5	0x00F0E7A0	0x00B0CBB8	0x0043BB80	0x00B0CBD4	0x00466230	0x00466230	0x00466C79	0x00065630	2633	f9ea39f3a6bc80e6d29d4aae3efa79c1d5ff855d70109319578cba86d5f9aabc	IMAGE
eeffe508240ad2689b432a3ec6721a3774a17ca9285f67eb10710618f3d7a178	NPCAttr	SINGLETON_SLOT34	6	0x00F0E7E0	0x00B0CBF8	0x0043BB80	0x00B0CC14	0x00466EB0	0x00466EB0	0x0046702D	0x000662B0	381	da9a2c2a30f4d131d0d3018a9daaa1b4a97bdd2b41145ff6d607a3baa29253ff	IMAGE
86ce298637fb9521cddb6369e1a004229baf6b9eb2663366604d0492a52ab369	MovementAttr	SINGLETON_SLOT34	7	0x00F0D0F8	0x00B0B510	0x0043BB80	0x00B0B52C	0x004671C0	0x004671C0	0x00467326	0x000665C0	358	b4642a28e80a890d8c4a1717490c543d1590adc5ebdce982d84f2a8579cb1633	IMAGE
89d86a41af4c84e52ca7dc6cbe7c526e22988ef2da2ee9c0b759118a9705e15d	DBAttribute	SINGLETON_SLOT34	8	0x00F0E890	0x00B0CCA8	0x0043BB80	0x00B0CCC4	0x00467790	0x00467790	0x004677E8	0x00066B90	88	379f37ad0307e785fb4a230fc9f1871f69587e6a314da5930a3a4ed289e55608	IMAGE
388c5e491afdec3a2df84138b282b74a5538286832493167dcc0b28e9259a743	InstanceRefreshAttr	SINGLETON_SLOT34	10	0x00F0E930	0x00B0CD48	0x0043BB80	0x00B0CD64	0x004693B0	0x004693B0	0x004694F1	0x000687B0	321	13847761166d9e08bd61e7e7dbcc8b3db2853bcab9baeb08e18270594764b23d	IMAGE
00c9b533ca084f7cbec907c107d644f44a5e9744aeffdd5b12e1fbf768514aa4	BackpackAttr	SINGLETON_SLOT34	11	0x00F0EA88	0x00B0CEA0	0x0046E0A0	0x00B0CEBC	0x00469FA0	0x00469FA0	0x00469FD8	0x000693A0	56	828554cb9ece35a2316ffc9e8bf44be3b2ef033bd189cb9b15400ecd3b48c63f	IMAGE
0258b0c5236247e5bc125edd946e683a10446b57225ba4daf4583f5b56b20f1e	ItemBagAttr_Equiped	SINGLETON_SLOT34	12	0x00F0EA30	0x00B0CE48	0x0046E0A0	0x00B0CE64	0x0046F180	0x0046F180	0x0046F3E9	0x0006E580	617	29e38267ab54c852e3f1338c2fb833e3b9d1a41903544a390489c264c09fa813	IMAGE
20a34d95629a2aae09f6c52e2ae27251c6771b430bc3b0b339db0b4c84500e68	CollectionBagAttr	SINGLETON_SLOT34	13	0x00F0EAF8	0x00B0CF10	0x0046E0A0	0x00B0CF2C	0x00471830	0x00471830	0x00471910	0x00070C30	224	0756593899a697399b4cbdc8f03f32928f1829c20ebcc9cbcd34b8254c0a0692	IMAGE
47254a1616d00bab1571912088e9e2795ddced45f8de80266e2c4fd46793e6e1	ExpressBagAttr	SINGLETON_SLOT34	14	0x00F0EB58	0x00B0CF70	0x0046E0A0	0x00B0CF8C	0x00471830	0x00471830	0x00471910	0x00070C30	224	0756593899a697399b4cbdc8f03f32928f1829c20ebcc9cbcd34b8254c0a0692	IMAGE
