delta_key	action	change_type	base_file	base_line	base_row_key	base_delta_key	message	direction(W/R)	old_order	old_tag	old_field_offset	old_len	new_wire_order	new_tag	new_field_offset	new_len	new_gate_condition	resolution	evidence_ticket	evidence_span_start	evidence_span_end	evidence_span_sha256	evidence_file_off	source
b2d728ba408b2424548d3c5d871c45903dbdd93c94b63cbd008fe3a2b0585fa2	REMOVE_OVERLAY_NONWIRE_ROW	NONWIRE_LIST_NODE_AND_SIZE_LIFECYCLE_AFTER_STREAM_READ	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	288	a33104ddc276abb520f6c3d8d094b2bcef62ad64d502226ebe6807a65fd9e052	0c32b97ca57b8dc8a2b7299b4fca60ae1d7d3f08086d296fbb19ec1a2598eae5	ActorExpressData	R	18	CALL_UNCLASSIFIED:0x006B3440	UNKNOWN(direct_call_not_proven_serializer)	N/A	N/A	N/A	N/A	N/A	N/A	FIXED_12_BYTE_LIST_NODE_AND_SIZE_INCREMENT;NO_STREAM_FORMAL;ZERO_MODE_READ_BRANCH_ONLY	STATIC-TARGETS-694790-6B3440	0x006E3EF0	0x006E4142	9d533f91678a951228c059201bf22d160b6a685f2cb4a4aafddc89ed16ecab21	0x002E343A	IMAGE
a63cd813405721bb1f4b78df1158d36029ad82d64bec300159bb976e2a42765b	REMOVE_OVERLAY_NONWIRE_ROW	NONWIRE_LIST_NODE_AND_SIZE_LIFECYCLE_AFTER_STREAM_READ	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	289	eeb5798bfc6e8bdf74a57914cf6b70a1a1e077b4d732ab1fbba3b4005da15a3b	cdb0b7139f81eed4cb8839608d8cd066d3645a97cd7008183cf5bb7282be62df	ActorExpressData	W	18	CALL_UNCLASSIFIED:0x006B3440	UNKNOWN(direct_call_not_proven_serializer)	N/A	N/A	N/A	N/A	N/A	N/A	FIXED_12_BYTE_LIST_NODE_AND_SIZE_INCREMENT;NO_STREAM_FORMAL;ZERO_MODE_READ_BRANCH_ONLY	STATIC-TARGETS-694790-6B3440	0x006E3EF0	0x006E4142	9d533f91678a951228c059201bf22d160b6a685f2cb4a4aafddc89ed16ecab21	0x002E343A	IMAGE
bd6b5e9ad441d62ef61fec7af0cd495582bb889c0bf8153a280fc4d896123727	REMOVE_OVERLAY_NONWIRE_ROW	NONWIRE_LIST_NODE_AND_SIZE_LIFECYCLE_AFTER_STREAM_READ	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	290	11af6cc9c0e6adc38f952974f32a0c871b3585874b6668d173b6a9fe0469b15e	dd060510d2fdf738ec2b85ba68c22f1655a573421b7957bcae5d57f9ed7f075e	ActorExpressData	R	19	CALL_UNCLASSIFIED:0x00694790	UNKNOWN(direct_call_not_proven_serializer)	N/A	N/A	N/A	N/A	N/A	N/A	FIXED_12_BYTE_LIST_NODE_AND_SIZE_INCREMENT;NO_STREAM_FORMAL;ZERO_MODE_READ_BRANCH_ONLY	STATIC-TARGETS-694790-6B3440	0x006E3EF0	0x006E4142	9d533f91678a951228c059201bf22d160b6a685f2cb4a4aafddc89ed16ecab21	0x002E3445	IMAGE
90e2c27ca1f45458c729272d51c3438f128cffaefc69ccc197a9eb284a118182	REMOVE_OVERLAY_NONWIRE_ROW	NONWIRE_LIST_NODE_AND_SIZE_LIFECYCLE_AFTER_STREAM_READ	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	291	abdaccf6e9f1c2d6156c2bacc4cf714345e25b4d0ce1de83ebfab823c2af67b5	6426a3e1168df731f87f997a24105074771f9d6a3d37c8e207f5dc170e1aa7e7	ActorExpressData	W	19	CALL_UNCLASSIFIED:0x00694790	UNKNOWN(direct_call_not_proven_serializer)	N/A	N/A	N/A	N/A	N/A	N/A	FIXED_12_BYTE_LIST_NODE_AND_SIZE_INCREMENT;NO_STREAM_FORMAL;ZERO_MODE_READ_BRANCH_ONLY	STATIC-TARGETS-694790-6B3440	0x006E3EF0	0x006E4142	9d533f91678a951228c059201bf22d160b6a685f2cb4a4aafddc89ed16ecab21	0x002E3445	IMAGE
36dcab8f3d580c543c3c03deb8bde290dad5f890e52cad8b523b169fb005c363	REMOVE_NONWIRE_ROW	NONWIRE_LIST_NODE_AND_SIZE_LIFECYCLE_AFTER_STREAM_READ	PF_SERIALIZER_FIELDS.tsv	133	6223727a8b33bf5412c76a7b830475c17e13be0da66233b8fba3ba087d342ba1	N/A	GSCN_RunTimeProtocolReq	R	19	CALL_UNCLASSIFIED:0x006B3440	UNKNOWN(direct_call_not_proven_serializer)	N/A	N/A	N/A	N/A	N/A	N/A	FIXED_12_BYTE_LIST_NODE_AND_SIZE_INCREMENT;NO_STREAM_FORMAL;ZERO_MODE_READ_BRANCH_ONLY	STATIC-TARGETS-694790-6B3440	0x005F3E20	0x005F406D	bfdf1ada48068e9a3838b51241e164677e0142a6ce0f6d68d547299fe279e217	0x001F3375	IMAGE
1efcacddd525b0ba32b0678d8b708b7561d51f9c5147d4258621e590f527a4a7	REMOVE_NONWIRE_ROW	NONWIRE_LIST_NODE_AND_SIZE_LIFECYCLE_AFTER_STREAM_READ	PF_SERIALIZER_FIELDS.tsv	134	1d1cc8abef19d18edee1aa3303f8ed99031fbba23a2d0be2d6379e19b447aabd	N/A	GSCN_RunTimeProtocolReq	R	20	CALL_UNCLASSIFIED:0x00694790	UNKNOWN(direct_call_not_proven_serializer)	N/A	N/A	N/A	N/A	N/A	N/A	FIXED_12_BYTE_LIST_NODE_AND_SIZE_INCREMENT;NO_STREAM_FORMAL;ZERO_MODE_READ_BRANCH_ONLY	STATIC-TARGETS-694790-6B3440	0x005F3E20	0x005F406D	bfdf1ada48068e9a3838b51241e164677e0142a6ce0f6d68d547299fe279e217	0x001F3381	IMAGE
25e8205fdfdc618b0a3df4b771aa5743e84b654a566a277eb3f8f1715a938ce4	REMOVE_NONWIRE_ROW	NONWIRE_LIST_NODE_AND_SIZE_LIFECYCLE_AFTER_STREAM_READ	PF_SERIALIZER_FIELDS.tsv	174	677e831469b498f4c6f566c2d9971666be0e5b5791d95ca1ee11e89f6b449e5b	N/A	GSCN_RunTimeProtocolRes	R	20	CALL_UNCLASSIFIED:0x006B3440	UNKNOWN(direct_call_not_proven_serializer)	N/A	N/A	N/A	N/A	N/A	N/A	FIXED_12_BYTE_LIST_NODE_AND_SIZE_INCREMENT;NO_STREAM_FORMAL;ZERO_MODE_READ_BRANCH_ONLY	STATIC-TARGETS-694790-6B3440	0x005F3E20	0x005F406D	bfdf1ada48068e9a3838b51241e164677e0142a6ce0f6d68d547299fe279e217	0x001F3375	IMAGE
1ebf4919a2cd2f8c6e16445e22bf265e570634fa18f88be3038952080ef13185	REMOVE_NONWIRE_ROW	NONWIRE_LIST_NODE_AND_SIZE_LIFECYCLE_AFTER_STREAM_READ	PF_SERIALIZER_FIELDS.tsv	175	6986afb717e6d6cde89c0957a4bf93793491b1a41b3e7f541d88e9374eb6ad9b	N/A	GSCN_RunTimeProtocolRes	R	21	CALL_UNCLASSIFIED:0x00694790	UNKNOWN(direct_call_not_proven_serializer)	N/A	N/A	N/A	N/A	N/A	N/A	FIXED_12_BYTE_LIST_NODE_AND_SIZE_INCREMENT;NO_STREAM_FORMAL;ZERO_MODE_READ_BRANCH_ONLY	STATIC-TARGETS-694790-6B3440	0x005F3E20	0x005F406D	bfdf1ada48068e9a3838b51241e164677e0142a6ce0f6d68d547299fe279e217	0x001F3381	IMAGE
e951201ba58da99d0610bc4d482078121d4341165987ea62d75b6571684bc7b0	REMOVE_NONWIRE_ROW	NONWIRE_LIST_NODE_AND_SIZE_LIFECYCLE_AFTER_STREAM_READ	PF_SERIALIZER_FIELDS.tsv	321	58cb9cf078a1bea94e638cc21d8aa6756dd25a420285d2b2ea9fa33ea0f0c027	N/A	GSCN_LoginProtocol	R	20	CALL_UNCLASSIFIED:0x006B3440	UNKNOWN(direct_call_not_proven_serializer)	N/A	N/A	N/A	N/A	N/A	N/A	FIXED_12_BYTE_LIST_NODE_AND_SIZE_INCREMENT;NO_STREAM_FORMAL;ZERO_MODE_READ_BRANCH_ONLY	STATIC-TARGETS-694790-6B3440	0x005F3E20	0x005F406D	bfdf1ada48068e9a3838b51241e164677e0142a6ce0f6d68d547299fe279e217	0x001F3375	IMAGE
540ac50e2c97d7ae92ce7c2dc0ee17ee3a1e5ed35b5fade78562a5a17f183c20	REMOVE_NONWIRE_ROW	NONWIRE_LIST_NODE_AND_SIZE_LIFECYCLE_AFTER_STREAM_READ	PF_SERIALIZER_FIELDS.tsv	322	91d884a18ac8cc771fca1d9471985e7ba20204f6570cecd771f831af974b0bfe	N/A	GSCN_LoginProtocol	R	21	CALL_UNCLASSIFIED:0x00694790	UNKNOWN(direct_call_not_proven_serializer)	N/A	N/A	N/A	N/A	N/A	N/A	FIXED_12_BYTE_LIST_NODE_AND_SIZE_INCREMENT;NO_STREAM_FORMAL;ZERO_MODE_READ_BRANCH_ONLY	STATIC-TARGETS-694790-6B3440	0x005F3E20	0x005F406D	bfdf1ada48068e9a3838b51241e164677e0142a6ce0f6d68d547299fe279e217	0x001F3381	IMAGE
