delta_key	action	change_type	base_file	base_line	base_row_key	base_delta_key	message	direction(W/R)	old_order	old_tag	old_field_offset	old_len	new_wire_order	new_tag	new_field_offset	new_len	new_gate_condition	resolution	evidence_ticket	evidence_span_start	evidence_span_end	evidence_span_sha256	evidence_file_off	source
24cdcd915ccad57b6fc13f362eb4c5b318800c61f25819c7fa85f0966ae2e58f	REMOVE_OVERLAY_NONWIRE_ROW	NONWIRE_ORDERED_TREE_INSERT_AFTER_STREAM_READ	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	669	36cf6a9f9052791d631f2a11574f92f5ef3bd7c8036642404a2de6acbd18745f	54128723a50f5ddaf7e3e019583d9d2d7b19c2479457e6a718a4f5ea1ff0f71f	CCooldownAttr	R	14	CALL_UNCLASSIFIED:0x00652A30	UNKNOWN(direct_call_not_proven_serializer)	N/A	N/A	N/A	N/A	N/A	N/A	ORDERED_TREE_INSERT_NO_STREAM_FORMAL;CALLER_STACK_KEY_AND_RESULT	STATIC-TARGET-652A30	0x006C9DC0	0x006C9F4A	4d40cadb26437db551ef308732c53a30eddc7429174ee53cb966cbf474a5bd0d	0x002C9333	IMAGE
8a5fa3866a4ef09c6bb6d6e1f7b566be2f6d3b77337a12301835f430d69b9d0c	REMOVE_OVERLAY_NONWIRE_ROW	NONWIRE_ORDERED_TREE_INSERT_AFTER_STREAM_READ	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	670	88ff0a7cee248be5792c32f5175dd0eff70dad84e5b8ba9b747e3d7a0bcf5bbb	6529d7c89f8cf81c78fbcb31486dd4794810dd22215ee7dcfc698028a4d71e77	CCooldownAttr	W	14	CALL_UNCLASSIFIED:0x00652A30	UNKNOWN(direct_call_not_proven_serializer)	N/A	N/A	N/A	N/A	N/A	N/A	ORDERED_TREE_INSERT_NO_STREAM_FORMAL;CALLER_STACK_KEY_AND_RESULT	STATIC-TARGET-652A30	0x006C9DC0	0x006C9F4A	4d40cadb26437db551ef308732c53a30eddc7429174ee53cb966cbf474a5bd0d	0x002C9333	IMAGE
150e4c28db009496ed2d4585be1ede4c1728c4c3f4c4b459119469969cbc15ef	REMOVE_OVERLAY_NONWIRE_ROW	NONWIRE_ORDERED_TREE_INSERT_AFTER_STREAM_READ	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	1003	a375fd39f1daef6acfc9ceb73557a6a5a95eaeb704c0ebffb8735649e8ae8c3f	d85fadcd9ff10a8ab698641538a5136e426afefa40aadc3f9198383d3bb885fd	DailyActivityState	R	13	CALL_UNCLASSIFIED:0x00652A30	UNKNOWN(direct_call_not_proven_serializer)	N/A	N/A	N/A	N/A	N/A	N/A	ORDERED_TREE_INSERT_NO_STREAM_FORMAL;CALLER_STACK_KEY_AND_RESULT	STATIC-TARGET-652A30	0x0069CB20	0x0069CC63	28f27bb1158748030e9876e896e729d3b6fe1d18a988f7e90ed1d7b0745e31ca	0x0029C04C	IMAGE
fbeb8614d37a4df0cfd886e3c164eef58b342468ebbe340491e60cf380219cdf	REMOVE_OVERLAY_NONWIRE_ROW	NONWIRE_ORDERED_TREE_INSERT_AFTER_STREAM_READ	PF_A2_SERIALIZER_SLOT34_DELTA.tsv	1004	f08b077059ce907cccbe7a568530152b30ffc006413d9381cd42501531fba079	77c6f1c96d347f595cd4f6a2b4a1be8e8a10966f8fe83d5b4f57e5594c8f963e	DailyActivityState	W	13	CALL_UNCLASSIFIED:0x00652A30	UNKNOWN(direct_call_not_proven_serializer)	N/A	N/A	N/A	N/A	N/A	N/A	ORDERED_TREE_INSERT_NO_STREAM_FORMAL;CALLER_STACK_KEY_AND_RESULT	STATIC-TARGET-652A30	0x0069CB20	0x0069CC63	28f27bb1158748030e9876e896e729d3b6fe1d18a988f7e90ed1d7b0745e31ca	0x0029C04C	IMAGE
27aa14bf03460015261f5c04efae9ee504506b20576b4249b62895f9687c2a06	REMOVE_NONWIRE_ROW	NONWIRE_ORDERED_TREE_INSERT_AFTER_STREAM_READ	PF_SERIALIZER_FIELDS.tsv	983	e65814be56dd9ac47062cde0bfbd25e9d4c045e13561b5dd4bd6c0fa69a42111	N/A	ServerAddedInfoVital	R	10	CALL_UNCLASSIFIED:0x00652A30	UNKNOWN(direct_call_not_proven_serializer)	N/A	N/A	N/A	N/A	N/A	N/A	ORDERED_TREE_INSERT_NO_STREAM_FORMAL;CALLER_STACK_KEY_AND_RESULT	STATIC-TARGET-652A30	0x005EBCF0	0x005EBE33	f3608dd2456f8577a585e35164b6990d465abb1ffd73697ff7f103e4cbd34960	0x001EB21C	IMAGE
2d4f308d17f76622fdaee27901c3e4286d24e9534b6276e63f381ecffea534ca	REMOVE_NONWIRE_ROW	NONWIRE_ORDERED_TREE_INSERT_AFTER_STREAM_READ	PF_SERIALIZER_FIELDS.tsv	984	1b6e2a7d7a4f454269e744c289ad5992e647a084c50cb474e8410808a1a0afba	N/A	ServerAddedInfoVital	W	10	CALL_UNCLASSIFIED:0x00652A30	UNKNOWN(direct_call_not_proven_serializer)	N/A	N/A	N/A	N/A	N/A	N/A	ORDERED_TREE_INSERT_NO_STREAM_FORMAL;CALLER_STACK_KEY_AND_RESULT	STATIC-TARGET-652A30	0x005EBCF0	0x005EBE33	f3608dd2456f8577a585e35164b6990d465abb1ffd73697ff7f103e4cbd34960	0x001EB21C	IMAGE
7e4448f46cf4f5728f162f0575488b56db4b9879d519cdb6bf79fdf36359754a	REMOVE_NONWIRE_ROW	NONWIRE_ORDERED_TREE_INSERT_AFTER_STREAM_READ	PF_SERIALIZER_FIELDS.tsv	3039	5f321269b3b281adef248ca9caf77fe7340fc4c49c266bda65c441a51f320e79	N/A	GSSS_GuildDataVitalRes	W	53	CALL_UNCLASSIFIED:0x00652A30	UNKNOWN(direct_call_not_proven_serializer)	N/A	N/A	N/A	N/A	N/A	N/A	ORDERED_TREE_INSERT_NO_STREAM_FORMAL;CALLER_STACK_KEY_AND_RESULT	STATIC-TARGET-652A30	0x0066A320	0x0066A708	382d44de2e5bcdcfcba329d8a9a8a720f07276d1f49b819a7ce228fd99ca1abd	0x00269AF1	IMAGE
b7ee1d9433303a58eafc676f8c39b776aa923ee0f6cb13768739005521314b66	REMOVE_NONWIRE_ROW	NONWIRE_ORDERED_TREE_INSERT_AFTER_STREAM_READ	PF_SERIALIZER_FIELDS.tsv	3205	1f9204739be5606f0b482f7dece4d89b1121d43f758e0299a1c1c71f77d719d1	N/A	GSSS_GuildDataVitalRes	R	73	CALL_UNCLASSIFIED:0x00652A30	UNKNOWN(direct_call_not_proven_serializer)	N/A	N/A	N/A	N/A	N/A	N/A	ORDERED_TREE_INSERT_NO_STREAM_FORMAL;CALLER_STACK_KEY_AND_RESULT	STATIC-TARGET-652A30	0x0066A320	0x0066A708	382d44de2e5bcdcfcba329d8a9a8a720f07276d1f49b819a7ce228fd99ca1abd	0x00269AF1	IMAGE
73f6b0bdb73bad393013297ce42510d305380dab238773b95bc43e33319b56bb	REMOVE_NONWIRE_ROW	NONWIRE_ORDERED_TREE_INSERT_AFTER_STREAM_READ	PF_SERIALIZER_FIELDS.tsv	3332	a52fc93d56f67ad43c449d26c52a257d465e71541d7a7f28d363e1dfc29e84f9	N/A	GSSS_GSInitialGuildDataVital	W	53	CALL_UNCLASSIFIED:0x00652A30	UNKNOWN(direct_call_not_proven_serializer)	N/A	N/A	N/A	N/A	N/A	N/A	ORDERED_TREE_INSERT_NO_STREAM_FORMAL;CALLER_STACK_KEY_AND_RESULT	STATIC-TARGET-652A30	0x0066A320	0x0066A708	382d44de2e5bcdcfcba329d8a9a8a720f07276d1f49b819a7ce228fd99ca1abd	0x00269AF1	IMAGE
ed8b1ca2e3ad38e7ff5fb57b716a7af050545ab98a767d4e66ce2eef746a2bed	REMOVE_NONWIRE_ROW	NONWIRE_ORDERED_TREE_INSERT_AFTER_STREAM_READ	PF_SERIALIZER_FIELDS.tsv	3498	352a68d550049a778f4f3c92a55dba49f3e310a81eeadfc0f6901a951192ac34	N/A	GSSS_GSInitialGuildDataVital	R	73	CALL_UNCLASSIFIED:0x00652A30	UNKNOWN(direct_call_not_proven_serializer)	N/A	N/A	N/A	N/A	N/A	N/A	ORDERED_TREE_INSERT_NO_STREAM_FORMAL;CALLER_STACK_KEY_AND_RESULT	STATIC-TARGET-652A30	0x0066A320	0x0066A708	382d44de2e5bcdcfcba329d8a9a8a720f07276d1f49b819a7ce228fd99ca1abd	0x00269AF1	IMAGE
