status_key	message	priority	matched_groups	matched_keywords	base_line	base_registry_identity_status	effective_registry_identity_status	effective_registry_identity_missing	base_serializer_status	effective_serializer_status	base_structural_status	effective_structural_status	primary_blocker_group	effective_blocker	applied_overlay	row_semantics	source
acca5d7fc9188b66a2dccd36414e5de39572982ebfa06be305b6d0be167c3994	Activity_ActorCommandVital	1	combat/damage/hp/vital | actor/npc/monster	vital | actor	272	OPEN	OPEN	getter | vtable | serializer	OPEN	OPEN	OPEN	OPEN	REGISTRY_IDENTITY_UNRESOLVED	registry getter UNKNOWN | registry vtable UNKNOWN | registry serializer UNKNOWN | registry_serializer_unresolved:getter_hits=0	BASE_ONLY	DERIVED_EFFECTIVE_STATUS_INDEX;NOT_A_NEW_EVIDENCE_ROW	IMAGE
1675cc59450b6cf2be935b1cb7a35863fdd276b5329e179baa14edc6dfecedff	Activity_BasicVital	1	combat/damage/hp/vital	vital	271	OPEN	OPEN	getter | vtable | serializer	OPEN	OPEN	OPEN	OPEN	REGISTRY_IDENTITY_UNRESOLVED	registry getter UNKNOWN | registry vtable UNKNOWN | registry serializer UNKNOWN | registry_serializer_unresolved:getter_hits=0	BASE_ONLY	DERIVED_EFFECTIVE_STATUS_INDEX;NOT_A_NEW_EVIDENCE_ROW	IMAGE
06b0cc24f857ced12699fbdd3c47e6a9e9bb3b5243724629146c7116491829df	Activity_SendRankingVital	1	combat/damage/hp/vital	vital	277	KNOWN	KNOWN	N/A	OPEN	OPEN	OPEN	OPEN	DYNAMIC_DISPATCH_OR_SUBCALL_UNRESOLVED	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | invalid_parameter_import_call_wire_effect_unproved | mutable_dword_slot_nested_targets_and_alias_unproved	BASE_ONLY	DERIVED_EFFECTIVE_STATUS_INDEX;NOT_A_NEW_EVIDENCE_ROW	IMAGE
bb2509e7781ece1030897b75cea40b1e324635e30e7926a9c38ed49057bcdf00	ActorActivity_UpdateDailyActivityStateVital	1	combat/damage/hp/vital | actor/npc/monster	vital | actor	279	KNOWN	KNOWN	N/A	OPEN	OPEN	OPEN	OPEN	INDIRECT_JUMP_TARGET_UNRESOLVED	indirect_jump_not_proven_serializer	BASE_ONLY	DERIVED_EFFECTIVE_STATUS_INDEX;NOT_A_NEW_EVIDENCE_ROW	IMAGE
e137dd7494a4034d7ccbaa17da707d9aa235e0d9288b7c834e4fc1c4aa3b023a	ActorCommunityDataSet	1	actor/npc/monster	actor	129	OPEN	OPEN	getter | vtable | serializer	OPEN	OPEN	OPEN	OPEN	REGISTRY_IDENTITY_UNRESOLVED	registry getter UNKNOWN | registry vtable UNKNOWN | registry serializer UNKNOWN | registry_serializer_unresolved:getter_hits=0	BASE_ONLY	DERIVED_EFFECTIVE_STATUS_INDEX;NOT_A_NEW_EVIDENCE_ROW	IMAGE
92f5a848030cee67e666b8e0b9b73bc71de16561a8067d55a8586aa10ec6c23f	ActorEffectsModule_Client	1	actor/npc/monster	actor	475	KNOWN	KNOWN	N/A	OPEN	OPEN	OPEN	OPEN	DYNAMIC_DISPATCH_OR_SUBCALL_UNRESOLVED	indirect_call_not_proven_serializer_slot	BASE_ONLY	DERIVED_EFFECTIVE_STATUS_INDEX;NOT_A_NEW_EVIDENCE_ROW	IMAGE
143440624f2e0380dc27767f722252ebb2e3a072504aef5479c78e9cbbe8f4a4	ActorExpressData	1	actor/npc/monster	actor	365	KNOWN	KNOWN	N/A	CLOSED	OPEN	CLOSED	OPEN	DYNAMIC_DISPATCH_OR_SUBCALL_UNRESOLVED	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot | invalid_parameter_import_call_wire_effect_unproved | invalid_parameter_singleton_register_call_wire_effect_unproved	PF_PRIORITY_SERIALIZER_SLOT34_DELTA.tsv	DERIVED_EFFECTIVE_STATUS_INDEX;NOT_A_NEW_EVIDENCE_ROW	IMAGE
5f2090661bf7d615f3d4ed0d1ccb77138e20a309972e84d9d9f681a952dfb5a5	ActorLearnedPetsSkillData	1	actor/npc/monster	actor	387	KNOWN	KNOWN	N/A	CLOSED	OPEN	CLOSED	OPEN	CALL_EFFECT_OR_STREAM_PROVENANCE_UNRESOLVED	direct_call_not_proven_serializer | invalid_parameter_import_call_wire_effect_unproved	PF_PRIORITY_SERIALIZER_SLOT34_DELTA.tsv	DERIVED_EFFECTIVE_STATUS_INDEX;NOT_A_NEW_EVIDENCE_ROW	IMAGE
26c69389a588c0b0ee4018213626bc1a0bb9fc844d0544c20bfb88f9dba7ef6f	ActorMailData	1	actor/npc/monster	actor	130	KNOWN	KNOWN	N/A	CLOSED	OPEN	CLOSED	OPEN	DYNAMIC_DISPATCH_OR_SUBCALL_UNRESOLVED	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | invalid_parameter_import_call_wire_effect_unproved | mutable_pointer_slot_traversal_alias_unproved	PF_PRIORITY_SERIALIZER_SLOT34_DELTA.tsv	DERIVED_EFFECTIVE_STATUS_INDEX;NOT_A_NEW_EVIDENCE_ROW	IMAGE
be6935fb4c427f0cd0f99e68b9850208b4ec37aeee3db61f0346b1da2f109912	ActorPetsCommonAttr	1	actor/npc/monster	actor	384	OPEN	OPEN	getter | vtable | serializer	OPEN	OPEN	OPEN	OPEN	REGISTRY_IDENTITY_UNRESOLVED	registry getter UNKNOWN | registry vtable UNKNOWN | registry serializer UNKNOWN | registry_serializer_unresolved:getter_hits=0	BASE_ONLY	DERIVED_EFFECTIVE_STATUS_INDEX;NOT_A_NEW_EVIDENCE_ROW	IMAGE
